# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_3_model
# start_datetime = 2025-08-29 03:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/z5pag6fz.json
# init = 2 (Default)
# random
#   seed = 4631
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_313hwd0z1/poisson_3-20250829005433_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.179825
# Diagonal elements of inverse mass matrix:
# 0.155661, 0.124476, 0.159991, 0.11699, 0.17675, 0.228874, 0.145965, 0.148275, 0.189038, 0.151263, 0.260175, 0.142054, 0.138128, 0.186904, 0.138103, 0.399706, 0.248985, 0.171838, 0.131489, 0.205918, 0.167117, 0.168145, 0.160883, 0.132804, 0.396755, 0.117938, 0.214297, 0.148847, 0.181604, 0.192198, 0.210083, 0.187589, 0.182161, 0.271629, 0.120961, 0.122271, 0.205048, 0.220428, 0.115457
-138.098,0.919595,0.179825,5,31,0,164.07,-0.765029,0.347659,0.454756,1.13755,-0.671252,-0.797487,0.607917,0.614695,0.0185531,0.162924,-0.506075,0.970026,0.183939,-0.897709,0.0629266,-1.86029,-0.990007,-0.140112,0.985084,-0.365462,0.223919,0.193014,-0.327908,0.467557,0.119053,-0.00337076,-0.224929,0.0674837,0.101671,-0.868924,-0.623621,0.953672,0.0779918,-0.394234,0.404857,-0.0645382,-0.08381,-1.23491,-0.45769,-0.765029,0.347659,0.454756,1.13755,-0.671252,-0.797487,0.607917,0.614695,0.0185531,0.162924,-0.506075,0.970026,0.183939,-0.897709,0.0629266,-1.86029,-0.990007,-0.140112,0.985084,1.08193,-129.953
-137.684,0.967258,0.179825,5,31,0,160.273,-0.124462,0.518059,0.349575,0.358692,-0.456378,-0.62499,0.10148,0.615261,-0.281805,-0.592689,-0.371443,-0.265561,0.783998,0.606042,0.17075,-0.993137,-0.196322,-0.217297,0.1351,-0.424991,-0.339207,-0.176969,0.229933,0.282288,-1.40436,0.270511,0.307231,0.163134,-0.709259,-0.781199,-0.552456,-0.161874,-1.45034,-0.196475,0.867497,0.238566,-0.902433,0.802726,0.341479,-0.124462,0.518059,0.349575,0.358692,-0.456378,-0.62499,0.10148,0.615261,-0.281805,-0.592689,-0.371443,-0.265561,0.783998,0.606042,0.17075,-0.993137,-0.196322,-0.217297,0.1351,0.485128,-131.254
-149.842,0.993087,0.179825,4,15,0,168.546,-0.321163,0.974561,0.742765,0.868205,-0.728761,0.284723,-0.191624,0.573606,-0.357488,0.0651223,-0.81706,-0.448895,1.5714,-0.0974527,-0.0725443,-2.02109,-1.53184,-0.0670671,0.691353,-1.03267,0.604819,0.702602,-0.353757,-0.0670204,0.133762,0.777563,-0.00645947,0.211259,-0.726719,-0.0716725,-1.34875,-0.0884204,-1.32544,0.386681,0.178945,-0.371803,-0.260608,-0.186305,0.451549,-0.321163,0.974561,0.742765,0.868205,-0.728761,0.284723,-0.191624,0.573606,-0.357488,0.0651223,-0.81706,-0.448895,1.5714,-0.0974527,-0.0725443,-2.02109,-1.53184,-0.0670671,0.691353,0.883243,-139.241
-140.862,1,0.179825,5,31,0,166.047,-0.0890965,-0.632185,0.744724,0.583068,-0.355469,-0.888753,0.523498,0.362693,0.00976674,-0.330472,0.187085,0.5493,-0.18667,0.0736575,0.80215,-1.62602,-0.889854,-0.152016,1.23751,-0.258863,-0.567797,-0.286402,0.184104,0.458273,-2.30376,-0.123571,-0.225145,-0.117763,-0.076014,-0.412213,-1.11332,0.0725212,-0.373645,-0.564701,0.980271,0.107952,-0.647581,0.02712,-0.448036,-0.0890965,-0.632185,0.744724,0.583068,-0.355469,-0.888753,0.523498,0.362693,0.00976674,-0.330472,0.187085,0.5493,-0.18667,0.0736575,0.80215,-1.62602,-0.889854,-0.152016,1.23751,0.0770822,-131.703
-149.598,0.777123,0.179825,4,15,0,162.821,0.565944,0.19744,-0.186448,1.01376,-0.704395,-1.29057,0.137479,0.10876,-0.147782,-0.165183,-0.560524,0.449933,0.321142,-0.24413,-0.129854,-1.01373,-0.520995,-0.0410327,0.750653,-0.459509,0.0720425,0.231756,-0.100276,1.18807,0.477097,0.95695,0.247593,0.42075,-0.778873,-0.430292,-0.534299,0.754405,-2.03365,-0.497985,-0.127432,-0.0778988,0.468108,-1.31701,-0.0118093,0.565944,0.19744,-0.186448,1.01376,-0.704395,-1.29057,0.137479,0.10876,-0.147782,-0.165183,-0.560524,0.449933,0.321142,-0.24413,-0.129854,-1.01373,-0.520995,-0.0410327,0.750653,1.45953,-140.947
-147.779,1,0.179825,5,31,0,170.067,0.220528,-0.111824,0.35665,0.911043,-0.592927,-1.5299,-0.318952,-0.268108,0.0275949,-0.38599,-0.322639,0.808155,0.885921,-0.0168215,0.61854,-1.34041,-0.436212,-0.338417,0.802177,0.179931,-0.393017,0.197842,0.284633,0.609002,-1.22004,1.15984,0.35375,0.700782,-0.704899,-0.50166,-1.06124,0.714574,-1.80092,0.106417,0.210913,-0.471269,-0.178674,-1.89338,0.24513,0.220528,-0.111824,0.35665,0.911043,-0.592927,-1.5299,-0.318952,-0.268108,0.0275949,-0.38599,-0.322639,0.808155,0.885921,-0.0168215,0.61854,-1.34041,-0.436212,-0.338417,0.802177,1.03159,-136.571
