# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:54:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/azpxm6fm.json
# init = 2 (Default)
# random
#   seed = 43256
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4e6wgom7p/poisson_4-20250829005445_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.253482
# Diagonal elements of inverse mass matrix:
# 0.0744846, 0.0679936, 0.0581038, 0.156851, 0.0751175, 0.188149, 0.0620258, 0.0914711, 0.0885102, 0.105285, 0.0460607, 0.0796074, 0.0724635, 0.0663554, 0.0810223, 0.0652395, 0.0828152, 0.0888457, 0.0652306, 0.0690995, 0.103688, 0.0902524, 0.0877789, 0.0935317, 0.0592204, 0.210078, 0.0754271, 0.181986, 0.116823, 0.10497, 0.0743126, 0.0824023, 0.0622079, 0.0640525, 0.0941164, 0.0968236, 0.139547, 0.105361, 0.0668174, 0.016868
-265.025,0.913838,0.253482,4,15,0,282.355,-0.0356916,0.159081,0.544624,-0.491286,-0.538336,-0.924451,0.400414,0.223066,0.29919,-0.557723,0.727569,-0.127788,-0.0845013,0.619875,-0.469712,0.207746,0.234564,-0.246177,0.512542,0.025254,-0.897936,-0.388422,-0.494959,-0.207438,-0.0135354,-1.88043,-0.00716878,-0.692309,-0.673398,-1.01454,-0.434622,0.220778,-0.55984,0.0604185,-0.690936,-0.02313,-0.387219,-0.470525,0.0517778,0.637566,-0.0356916,0.159081,0.544624,-0.491286,-0.538336,-0.924451,0.400414,0.223066,0.29919,-0.557723,0.727569,-0.127788,-0.0845013,0.619875,-0.469712,0.207746,0.234564,-0.246177,0.512542,-0.453005,-258.797
-269.349,0.922596,0.253482,4,15,0,290.894,0.0072476,0.318509,0.0547607,-1.55353,-0.598966,-1.52286,0.830033,0.245374,-0.417734,-0.351298,0.932203,-0.318425,0.951543,0.247691,0.227109,0.385756,-0.220328,0.491146,0.235336,-0.514518,-0.699135,-0.675821,0.0385114,-0.532755,-0.195957,-1.53455,-0.138921,-1.00701,-0.499607,-0.00441935,-0.440836,-0.0373182,-0.434545,-0.434877,-0.407765,-0.0655863,-0.795531,-0.383574,-0.176194,0.478291,0.0072476,0.318509,0.0547607,-1.55353,-0.598966,-1.52286,0.830033,0.245374,-0.417734,-0.351298,0.932203,-0.318425,0.951543,0.247691,0.227109,0.385756,-0.220328,0.491146,0.235336,0.0564306,-261.508
-268.576,0.99806,0.253482,4,15,0,289.236,0.16992,0.240467,0.53242,-0.0689219,0.0533167,-0.327502,0.782914,-0.291668,0.102906,-0.294576,0.245042,-0.119034,-0.483194,0.197363,-0.414472,-0.133143,0.601561,-1.10267,0.384196,0.152073,-0.824273,0.256725,-1.0422,-0.290196,0.0606084,-1.56984,-0.243361,-0.975926,-0.405702,-0.818706,0.185237,0.14534,0.433679,0.551608,-0.601744,-0.384574,-1.17339,0.0672431,0.299265,0.508179,0.16992,0.240467,0.53242,-0.0689219,0.0533167,-0.327502,0.782914,-0.291668,0.102906,-0.294576,0.245042,-0.119034,-0.483194,0.197363,-0.414472,-0.133143,0.601561,-1.10267,0.384196,-0.0749279,-262.285
-271.767,0.87276,0.253482,4,15,0,302.056,0.492047,-0.236589,0.339535,-1.15093,-0.518946,-0.753685,0.398812,0.10285,-0.0416259,-0.235755,0.403355,0.0633806,0.498906,0.160448,0.249773,0.00446317,-0.0988116,0.5191,-0.519434,-0.316363,-1.206,-0.715126,0.244111,-1.02701,0.321597,-0.761414,-0.441673,-0.732409,-0.884555,0.0761241,0.115331,0.0912617,0.0525664,-0.384468,-0.10519,0.275415,-0.511406,-0.657401,0.0896582,0.389822,0.492047,-0.236589,0.339535,-1.15093,-0.518946,-0.753685,0.398812,0.10285,-0.0416259,-0.235755,0.403355,0.0633806,0.498906,0.160448,0.249773,0.00446317,-0.0988116,0.5191,-0.519434,0.323109,-266.592
-267.96,0.998019,0.253482,4,15,0,286.591,-0.199,0.528187,0.570604,-0.382792,0.109804,-1.13252,0.847141,-0.140426,-0.205127,-0.555986,0.652104,-0.133409,-0.030411,0.445891,-0.311891,0.079264,0.361915,-0.844407,0.690875,-0.174483,-0.391327,0.0593785,-1.056,-0.536171,-0.412619,-1.52242,-0.359525,-1.40213,-0.475582,-0.996194,-0.346564,-0.150296,0.00972873,0.0829807,-0.990876,-0.640321,-1.9461,-0.456209,-0.0511794,0.776619,-0.199,0.528187,0.570604,-0.382792,0.109804,-1.13252,0.847141,-0.140426,-0.205127,-0.555986,0.652104,-0.133409,-0.030411,0.445891,-0.311891,0.079264,0.361915,-0.844407,0.690875,-0.349816,-258.572
-270.509,0.843072,0.253482,4,15,0,293.747,0.475529,0.136446,0.622552,-1.03988,0.253691,-1.28871,0.876942,-0.207051,-0.54793,-0.424198,0.399086,0.664551,0.22667,-0.100726,-0.157073,0.297331,0.00229758,-0.943313,0.37116,-0.482337,-0.920559,-0.0559897,-0.0902832,-0.543323,0.155096,-1.38974,-0.277545,-1.31159,-0.369583,-0.886927,-0.172264,0.0618812,-0.433469,-0.356148,-0.736319,-0.624815,-1.20011,-0.848033,-0.530848,0.743894,0.475529,0.136446,0.622552,-1.03988,0.253691,-1.28871,0.876942,-0.207051,-0.54793,-0.424198,0.399086,0.664551,0.22667,-0.100726,-0.157073,0.297331,0.00229758,-0.943313,0.37116,0.382628,-262.073
