# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:54:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/azpxm6fm.json
# init = 2 (Default)
# random
#   seed = 43256
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4e6wgom7p/poisson_4-20250829005445_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.214154
# Diagonal elements of inverse mass matrix:
# 0.0697188, 0.0804685, 0.0658894, 0.167873, 0.077725, 0.216417, 0.0603746, 0.0877196, 0.0925093, 0.118909, 0.056014, 0.131664, 0.0689718, 0.0848618, 0.0819635, 0.0710917, 0.0970545, 0.0779834, 0.0713067, 0.0756387, 0.139155, 0.0626291, 0.0909419, 0.083825, 0.0820963, 0.226954, 0.093359, 0.160334, 0.126065, 0.0982137, 0.0759333, 0.0714667, 0.0694546, 0.0728937, 0.114804, 0.0736209, 0.166609, 0.0745498, 0.0725957, 0.0166144
-260.302,0.86171,0.214154,4,15,0,279.946,-0.0987503,-0.182281,0.673438,-0.876664,-0.78076,-0.0945595,0.0963102,-0.135279,0.208242,-0.234742,0.488904,-0.0549832,0.0161194,0.0416551,-0.0264885,-0.0107255,0.375136,-0.253785,0.483018,-0.230638,-0.540104,0.0590367,0.00566772,-0.280024,-0.00802448,-1.41316,-0.334068,-1.35045,-0.819492,-0.269021,0.0345303,0.0795377,0.198838,0.138209,-1.06171,-0.132395,-1.00947,-0.253577,0.33969,0.558819,-0.0987503,-0.182281,0.673438,-0.876664,-0.78076,-0.0945595,0.0963102,-0.135279,0.208242,-0.234742,0.488904,-0.0549832,0.0161194,0.0416551,-0.0264885,-0.0107255,0.375136,-0.253785,0.483018,0.366196,-255.043
-259.866,0.922895,0.214154,4,15,0,277.628,0.0575116,-0.0669922,0.446414,-0.740842,0.00770028,-0.898356,0.742729,0.159871,0.0942737,0.0603333,0.257713,-0.195966,-0.0950967,0.260435,-0.184786,-0.0438381,0.0348501,-0.00287321,0.0539009,0.0317333,-0.967775,-0.266433,-0.438544,-0.356027,0.344066,-1.48972,-0.649178,-0.754242,-0.0159441,-0.00611793,-0.196111,-0.183364,0.401787,-0.359284,0.105102,0.111947,-0.580851,-0.360558,0.212352,0.587524,0.0575116,-0.0669922,0.446414,-0.740842,0.00770028,-0.898356,0.742729,0.159871,0.0942737,0.0603333,0.257713,-0.195966,-0.0950967,0.260435,-0.184786,-0.0438381,0.0348501,-0.00287321,0.0539009,0.0530185,-255.729
-256.142,0.98201,0.214154,4,15,0,272.873,0.131161,0.228625,0.575184,-0.851667,0.207167,-1.20051,0.820324,-0.0317727,-0.196048,-0.489944,0.553782,-0.0605598,0.231462,-0.111118,-0.122791,0.326404,0.0786478,-0.0910059,0.12639,0.0616689,-0.855953,0.290707,-0.210751,-0.0435084,-0.0612974,-0.793144,0.0525196,-1.0414,-0.208255,-0.261789,0.364641,-0.0382592,-0.343347,0.164262,-0.29339,0.00964287,-0.876276,-0.178292,-0.283891,0.369139,0.131161,0.228625,0.575184,-0.851667,0.207167,-1.20051,0.820324,-0.0317727,-0.196048,-0.489944,0.553782,-0.0605598,0.231462,-0.111118,-0.122791,0.326404,0.0786478,-0.0910059,0.12639,-0.123727,-252.056
-254.841,0.962471,0.214154,4,15,0,269.523,-0.464151,0.0607819,0.298018,-1.31829,-0.304407,-0.775555,0.595835,0.252726,0.0171597,0.0488203,0.493347,-0.0982371,0.224006,0.199891,-0.230693,-0.123081,0.3991,0.311542,0.330223,-0.343655,-0.676685,-0.345525,-0.135295,-0.391813,0.0594451,-1.39959,-0.186506,-0.803297,-0.462895,-0.122638,-0.262937,0.0200967,0.0900545,-0.225854,-0.495516,0.00613738,-0.724282,-0.63317,0.0602512,0.601423,-0.464151,0.0607819,0.298018,-1.31829,-0.304407,-0.775555,0.595835,0.252726,0.0171597,0.0488203,0.493347,-0.0982371,0.224006,0.199891,-0.230693,-0.123081,0.3991,0.311542,0.330223,0.0829635,-250.17
-262.362,0.641265,0.214154,4,15,0,275.395,-0.435215,0.417342,0.547639,-1.14511,-0.144754,-1.42202,0.473255,0.401353,-0.0213226,0.0378604,0.590389,0.281954,0.332455,0.380845,-0.366264,0.203872,0.333475,0.291568,0.144892,-0.0683283,-0.680413,0.046663,0.177622,-0.220142,0.0255704,-1.13886,-0.281186,-1.22554,-0.766448,-0.213471,-0.0940451,-0.100052,0.0496282,-0.564943,-0.817693,-0.160825,-1.1123,-0.650144,-0.00524167,0.48024,-0.435215,0.417342,0.547639,-1.14511,-0.144754,-1.42202,0.473255,0.401353,-0.0213226,0.0378604,0.590389,0.281954,0.332455,0.380845,-0.366264,0.203872,0.333475,0.291568,0.144892,-0.902217,-256.128
-258.243,0.976178,0.214154,4,15,0,283.645,0.364868,-0.196474,0.366712,-0.18329,-0.307371,-0.259092,0.789354,-0.0628221,0.0490186,-0.364727,0.679137,-0.431253,0.1485,0.211443,-0.359382,0.246864,-0.24985,-0.439709,0.414059,-0.214161,-0.520464,0.00483608,-0.676865,-0.1506,-0.131327,-1.24337,-0.267878,-0.634,-0.299775,-0.643125,-0.0938413,0.202598,0.175708,0.189691,-0.066748,-0.290974,-0.606784,-0.278477,0.165243,0.427917,0.364868,-0.196474,0.366712,-0.18329,-0.307371,-0.259092,0.789354,-0.0628221,0.0490186,-0.364727,0.679137,-0.431253,0.1485,0.211443,-0.359382,0.246864,-0.24985,-0.439709,0.414059,-0.415986,-254.845
