# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:54:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/dl1kzjry.json
# init = 2 (Default)
# random
#   seed = 20852
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4f8na18c0/poisson_4-20250829005443_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.186782
# Diagonal elements of inverse mass matrix:
# 0.15711, 0.14333, 0.120851, 0.183523, 0.134351, 0.349005, 0.0932037, 0.218307, 0.142862, 0.198657, 0.16305, 0.163316, 0.102131, 0.17565, 0.205244, 0.169078, 0.183339, 0.125144, 0.151464, 0.112149, 0.186556, 0.168123, 0.246161, 0.179076, 0.135678, 0.256699, 0.139814, 0.262919, 0.176835, 0.144926, 0.16537, 0.141565, 0.207478, 0.17503, 0.179607, 0.206129, 0.200075, 0.19789, 0.12575, 0.0265125
-145.817,0.983014,0.186782,5,31,0,164.947,0.130566,-0.0343205,0.404906,0.127763,0.362792,-0.193795,0.331868,-0.301439,-0.0820484,0.136515,-0.0558909,0.11919,0.339079,0.151043,-0.322755,0.118846,-0.00441456,-0.625559,-0.123168,0.346182,-0.0311717,-0.284237,0.123606,0.425473,-0.494368,-0.87632,-0.499214,-0.933948,0.0236522,0.181443,0.220297,0.630685,-0.261905,-0.176745,0.198049,-1.22729,-0.56849,-0.134787,0.166774,0.557451,0.130566,-0.0343205,0.404906,0.127763,0.362792,-0.193795,0.331868,-0.301439,-0.0820484,0.136515,-0.0558909,0.11919,0.339079,0.151043,-0.322755,0.118846,-0.00441456,-0.625559,-0.123168,-0.479176,-142.511
-147.933,0.939645,0.186782,4,15,0,168.771,-0.00893941,0.348554,0.0888261,-0.131041,-0.100345,-0.492451,0.646698,0.496746,0.253897,0.769437,-0.264787,-0.998639,0.657374,-0.252724,0.0326813,0.244714,-0.236786,-0.00588122,-0.342705,0.214403,-0.69907,-0.422812,-0.17399,-0.279229,-0.399457,-0.471038,0.0678618,-1.27547,-1.11376,-0.010905,-0.263832,0.311162,-0.733915,-0.150634,-0.203655,0.152208,-0.380055,0.277095,0.460325,0.669319,-0.00893941,0.348554,0.0888261,-0.131041,-0.100345,-0.492451,0.646698,0.496746,0.253897,0.769437,-0.264787,-0.998639,0.657374,-0.252724,0.0326813,0.244714,-0.236786,-0.00588122,-0.342705,-0.70463,-143.3
-149.365,0.984458,0.186782,4,15,0,171.165,0.118686,-0.405522,-0.182147,-0.555813,0.0949441,-0.90119,0.46264,0.0539517,0.386431,-0.803619,0.686286,0.274785,0.199485,0.120571,-1.02358,-0.149666,0.92206,0.447422,0.165617,0.0399499,0.161026,-0.243873,-0.561111,0.760617,0.114888,-1.05259,0.0868247,-0.870403,-0.0135555,-0.101445,0.749001,-0.221468,-0.329734,-0.332346,0.0423939,-0.75095,-0.302791,-0.647101,0.0940467,0.263528,0.118686,-0.405522,-0.182147,-0.555813,0.0949441,-0.90119,0.46264,0.0539517,0.386431,-0.803619,0.686286,0.274785,0.199485,0.120571,-1.02358,-0.149666,0.92206,0.447422,0.165617,0.0886596,-144.384
-144.701,0.999418,0.186782,4,15,0,159.752,0.0151653,0.657195,0.361247,-0.605474,0.190109,-1.48022,0.363548,0.489771,-0.156083,0.142811,-0.0645436,0.3908,0.216068,0.071162,0.473448,0.202434,-0.310307,-0.540907,-0.19581,0.270576,-0.336282,0.0244685,0.120666,-0.873374,0.0845321,-0.829317,0.114413,-1.08891,-0.656116,-0.100909,-0.31239,0.220017,-0.419375,0.455476,-0.40697,0.224736,-0.312675,0.0818036,0.651712,0.643375,0.0151653,0.657195,0.361247,-0.605474,0.190109,-1.48022,0.363548,0.489771,-0.156083,0.142811,-0.0645436,0.3908,0.216068,0.071162,0.473448,0.202434,-0.310307,-0.540907,-0.19581,-0.220408,-139.97
-157.411,0.929154,0.186782,4,15,0,169.473,0.309452,-0.579605,-0.318166,-0.982256,-0.540292,0.740047,0.702321,-0.220017,-0.0874917,-0.307264,0.215271,0.17267,0.354249,0.167446,-0.549016,-0.0403416,0.76701,0.287122,0.111679,-0.219273,-0.241787,-0.385353,-0.700168,0.530445,-0.120557,-1.27089,0.221219,-0.637679,0.0923555,-0.885289,1.00332,-0.109549,0.204603,-0.202001,-0.870299,-0.286259,-1.58968,-0.151414,0.581197,0.296897,0.309452,-0.579605,-0.318166,-0.982256,-0.540292,0.740047,0.702321,-0.220017,-0.0874917,-0.307264,0.215271,0.17267,0.354249,0.167446,-0.549016,-0.0403416,0.76701,0.287122,0.111679,-0.202815,-150.903
-151.27,0.959408,0.186782,4,15,0,174.035,0.410344,0.298914,0.0735929,-0.28831,0.289056,-2.18381,0.679965,-0.47159,0.0147459,0.357532,0.328692,0.204299,-0.00296278,-0.617534,0.464167,-0.0575008,0.350683,-0.660377,-0.165422,-0.269155,-0.438897,-0.617852,-0.315479,-0.688445,0.230137,-0.737502,-0.450487,-0.950296,-0.485972,0.583288,-0.240464,0.0220614,-0.706371,0.249548,-0.0449271,-0.0457251,-0.72245,-0.307103,0.7292,0.64911,0.410344,0.298914,0.0735929,-0.28831,0.289056,-2.18381,0.679965,-0.47159,0.0147459,0.357532,0.328692,0.204299,-0.00296278,-0.617534,0.464167,-0.0575008,0.350683,-0.660377,-0.165422,0.975514,-144.749
