# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:54:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/_9u4elt1.json
# init = 2 (Default)
# random
#   seed = 15090
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4hngnlgnp/poisson_4-20250829005454_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.180648
# Diagonal elements of inverse mass matrix:
# 0.0766831, 0.0703194, 0.0767633, 0.0720707, 0.0768019, 0.064965, 0.080821, 0.0901759, 0.0723358, 0.0944058, 0.0880852, 0.0796584, 0.0896362, 0.0873447, 0.107466, 0.0709281, 0.0969546, 0.104892, 0.0829073, 0.0852156, 0.0846795, 0.0920575, 0.0699807, 0.112832, 0.0989239, 0.0722467, 0.0733462, 0.0659701, 0.0821021, 0.145501, 0.0759765, 0.0773902, 0.075583, 0.0832103, 0.159349, 0.0931553, 0.0978025, 0.058662, 0.0957806, 0.016941
-272.883,0.985006,0.180648,5,31,0,296.357,-0.126792,0.370294,0.372859,-0.343987,0.139579,0.365435,0.245493,-0.37327,0.315377,-0.793168,-0.00637018,0.564989,-0.00315763,-0.298248,-0.041723,0.312102,0.0938229,-0.711846,-0.246346,-0.104018,0.188733,0.0155324,0.536175,-0.503681,0.0397868,-0.13588,0.124293,0.45517,-0.502232,-0.259873,-0.19926,-0.247754,0.227239,0.0319453,-0.855255,-0.303871,-0.32986,0.755126,-0.145707,0.271548,-0.126792,0.370294,0.372859,-0.343987,0.139579,0.365435,0.245493,-0.37327,0.315377,-0.793168,-0.00637018,0.564989,-0.00315763,-0.298248,-0.041723,0.312102,0.0938229,-0.711846,-0.246346,0.164959,-270.145
-278.617,0.880631,0.180648,5,31,0,300.168,0.191435,-0.049536,-0.57557,0.595598,0.157052,0.43399,0.412559,0.130206,-0.336103,0.112058,-0.384632,-0.274559,-0.320746,0.300498,-0.905219,0.0181195,-0.479951,0.306838,0.567407,0.358982,0.134864,0.405847,0.525694,0.04358,-0.0472921,0.393112,0.58217,-0.0153901,0.472672,-0.750787,0.710351,0.483891,-0.201186,0.243998,-0.356838,0.327196,-0.0900277,0.470494,-0.118589,0.00421863,0.191435,-0.049536,-0.57557,0.595598,0.157052,0.43399,0.412559,0.130206,-0.336103,0.112058,-0.384632,-0.274559,-0.320746,0.300498,-0.905219,0.0181195,-0.479951,0.306838,0.567407,0.100556,-275.455
-275.247,0.973432,0.180648,5,31,0,295.677,-0.257016,0.156606,-0.501749,0.498145,0.253556,0.549077,0.123358,0.0356604,-0.0455344,-0.0129506,-0.349348,-0.155871,-0.424736,0.186635,-0.558926,-0.0840728,-0.438922,0.254614,0.780268,0.397536,0.344388,0.0694811,0.342477,-0.248715,0.304378,0.206992,0.516493,0.0996233,0.452587,-1.00502,0.579224,0.502557,0.0364966,0.292067,-0.106562,-0.00302741,-0.109711,0.454816,-0.0949543,-0.121143,-0.257016,0.156606,-0.501749,0.498145,0.253556,0.549077,0.123358,0.0356604,-0.0455344,-0.0129506,-0.349348,-0.155871,-0.424736,0.186635,-0.558926,-0.0840728,-0.438922,0.254614,0.780268,-0.0087943,-272.477
-276.71,0.920382,0.180648,5,31,0,294.574,0.328587,0.517638,0.111961,0.172927,-0.137026,0.309965,0.241859,-0.0203308,0.473018,-0.602771,-0.633835,-0.102764,0.180172,-0.474428,-1.02313,0.743445,0.359327,-0.535661,-0.397428,0.113168,-0.0839042,-0.0780254,0.70023,-0.653859,0.115274,-0.259997,0.14303,0.369257,-0.537096,0.200511,-0.36102,0.0151929,-0.285689,-0.192953,-0.740164,-0.445448,-0.355613,0.582701,0.0231746,0.21843,0.328587,0.517638,0.111961,0.172927,-0.137026,0.309965,0.241859,-0.0203308,0.473018,-0.602771,-0.633835,-0.102764,0.180172,-0.474428,-1.02313,0.743445,0.359327,-0.535661,-0.397428,0.488479,-273.189
-274.705,0.955104,0.180648,5,31,0,294.683,0.0155876,-0.0809208,-0.238468,0.0318149,0.371461,0.548222,0.0219777,-0.393769,-0.302385,0.106325,-0.0411316,0.20619,-0.240337,0.177859,-0.169394,-0.316043,-0.825265,-0.124523,0.575291,-0.020709,-0.214184,0.390875,-0.158193,-0.0403939,-0.480091,0.164848,0.467485,0.113627,0.151902,-1.26342,0.223384,0.142993,0.461061,0.080161,-0.518866,-0.2045,-0.0979008,0.438834,-0.472455,0.150674,0.0155876,-0.0809208,-0.238468,0.0318149,0.371461,0.548222,0.0219777,-0.393769,-0.302385,0.106325,-0.0411316,0.20619,-0.240337,0.177859,-0.169394,-0.316043,-0.825265,-0.124523,0.575291,0.677506,-271.988
-272.685,1,0.180648,4,31,0,289.102,-0.0808361,-0.16191,-0.0954894,0.357762,-0.232568,0.525221,0.107849,-0.139168,0.179589,0.176278,-0.480274,0.355308,0.0131147,0.197965,-0.196487,-0.367547,-0.588883,-0.482,0.432392,-0.0475785,0.0186207,0.0884474,0.150586,-0.509402,-0.817793,0.160241,0.433048,-0.00470535,-0.224286,-1.23451,0.291875,0.198409,0.380956,0.45508,-0.802202,-0.363046,-0.346764,0.861875,-0.137713,0.196224,-0.0808361,-0.16191,-0.0954894,0.357762,-0.232568,0.525221,0.107849,-0.139168,0.179589,0.176278,-0.480274,0.355308,0.0131147,0.197965,-0.196487,-0.367547,-0.588883,-0.482,0.432392,0.479685,-269.259
