# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:54:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/y00coxfh.json
# init = 2 (Default)
# random
#   seed = 50073
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4kpek2gpa/poisson_4-20250829005456_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.187731
# Diagonal elements of inverse mass matrix:
# 0.0430959, 0.03958, 0.0557983, 0.0474236, 0.0403813, 0.0463995, 0.053876, 0.0545751, 0.0547274, 0.0556336, 0.0514704, 0.0467975, 0.0633108, 0.0526982, 0.0942117, 0.0480902, 0.0634233, 0.0603131, 0.0560551, 0.0531427, 0.0650546, 0.0532941, 0.0493172, 0.0652066, 0.0456936, 0.0547494, 0.0502818, 0.0562565, 0.0517866, 0.0659054, 0.0672372, 0.0582609, 0.0521325, 0.0510318, 0.0987434, 0.0844137, 0.0758705, 0.0334322, 0.0739213, 0.0102212
-405.931,0.750503,0.187731,5,31,0,425.218,-0.242667,0.243924,-0.715336,0.497954,-0.0370563,-0.00954503,-0.211469,0.032333,0.157157,0.0216372,-0.141218,0.051718,0.158332,-0.292357,-0.205142,0.452915,0.00172014,-0.309846,0.406274,0.159302,0.244678,0.0307416,0.347884,0.0771966,0.269097,-0.206472,0.0371293,-0.143551,0.176135,-0.204169,0.182805,0.155169,0.135976,0.216956,-0.577278,-0.530762,-0.0883943,0.37169,-0.273806,0.298034,-0.242667,0.243924,-0.715336,0.497954,-0.0370563,-0.00954503,-0.211469,0.032333,0.157157,0.0216372,-0.141218,0.051718,0.158332,-0.292357,-0.205142,0.452915,0.00172014,-0.309846,0.406274,0.140672,-404.399
-407.245,0.983914,0.187731,5,31,0,424.391,-0.209875,0.344526,0.218743,0.289588,0.0433762,0.280367,0.0477867,0.119694,0.294467,-0.509645,2.81136e-05,-0.129088,0.115772,-0.617496,-0.355967,0.0810589,-0.200697,-0.59275,0.418235,-0.341992,0.133654,0.314186,0.474707,-0.222175,-0.0381904,0.207312,-0.166699,-0.229942,-0.106577,-0.137421,0.0106439,0.0479858,0.185333,-0.100016,-0.503567,-0.924669,-0.332281,0.415481,-0.38915,0.252006,-0.209875,0.344526,0.218743,0.289588,0.0433762,0.280367,0.0477867,0.119694,0.294467,-0.509645,2.81136e-05,-0.129088,0.115772,-0.617496,-0.355967,0.0810589,-0.200697,-0.59275,0.418235,0.361875,-405.162
-406.278,0.990224,0.187731,4,31,0,425.65,-0.0186823,0.46087,-0.0585829,0.184129,0.171451,0.280703,0.542821,-0.0151496,0.0681141,-0.348504,-0.395371,0.449873,-0.0515975,-0.0339465,-0.494076,-0.0931801,0.00194572,-0.441003,-0.327771,-0.428319,-0.125883,-0.0112352,0.0283381,0.0718106,0.231074,0.282889,0.108441,0.665023,-0.00733185,-0.16619,-0.233423,-0.330888,0.00765554,0.0317107,-0.151115,-0.454589,-0.00802055,0.608029,-0.363541,0.297803,-0.0186823,0.46087,-0.0585829,0.184129,0.171451,0.280703,0.542821,-0.0151496,0.0681141,-0.348504,-0.395371,0.449873,-0.0515975,-0.0339465,-0.494076,-0.0931801,0.00194572,-0.441003,-0.327771,0.117957,-404.527
-404.293,0.997909,0.187731,4,15,0,423.906,0.0317713,0.460846,0.0517649,0.414343,-0.0103254,0.0741383,0.0742329,0.0117632,-0.284,-0.0355776,-0.0730685,-0.0909494,-0.0649906,-0.114167,-0.0921586,-0.296089,0.0842754,-0.388239,-0.121161,-0.329703,0.0525205,0.0941372,0.313906,-0.398618,0.407839,-0.128421,0.0243446,0.00667531,0.0464981,0.218594,-0.0724154,-0.0590816,-0.300291,0.391572,-0.687207,-0.473629,-0.215353,0.468466,0.0559046,0.21122,0.0317713,0.460846,0.0517649,0.414343,-0.0103254,0.0741383,0.0742329,0.0117632,-0.284,-0.0355776,-0.0730685,-0.0909494,-0.0649906,-0.114167,-0.0921586,-0.296089,0.0842754,-0.388239,-0.121161,0.367591,-402.966
-399.889,0.950993,0.187731,5,31,0,419.24,0.365378,0.634608,0.0681721,0.129994,-0.126808,-0.236067,0.594854,-0.0815404,0.109284,-0.4901,-0.403285,0.356707,-0.455778,0.0511282,-0.451775,0.331912,-0.272708,-0.433078,0.242096,0.206839,0.331051,-0.222978,0.147375,0.234857,-0.0431525,-0.230197,0.215276,0.119523,-0.00362093,-0.46397,0.243038,0.0661513,-0.13443,-0.108114,-0.562334,-0.362025,-0.339002,0.596048,-0.289903,0.306208,0.365378,0.634608,0.0681721,0.129994,-0.126808,-0.236067,0.594854,-0.0815404,0.109284,-0.4901,-0.403285,0.356707,-0.455778,0.0511282,-0.451775,0.331912,-0.272708,-0.433078,0.242096,0.0670069,-397.801
-411.363,0.886746,0.187731,4,15,0,424.456,0.505909,0.750427,0.0390967,0.265601,0.0514966,-0.731571,0.5143,-0.21481,-0.240854,-0.385796,-0.512584,0.239858,-0.537214,-0.0617433,0.0895204,0.291442,-0.270493,-0.259057,0.520955,0.171776,0.348242,-0.122379,0.203057,-0.0304666,-0.157322,-0.103148,0.16901,0.283223,-0.226818,-0.0823535,0.135447,0.301028,-0.0178802,0.138456,-0.311144,-0.397936,-0.413726,0.551597,-0.299307,0.343975,0.505909,0.750427,0.0390967,0.265601,0.0514966,-0.731571,0.5143,-0.21481,-0.240854,-0.385796,-0.512584,0.239858,-0.537214,-0.0617433,0.0895204,0.291442,-0.270493,-0.259057,0.520955,-0.0544852,-409.093
