# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:54:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/y00coxfh.json
# init = 2 (Default)
# random
#   seed = 50073
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4kpek2gpa/poisson_4-20250829005456_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.193035
# Diagonal elements of inverse mass matrix:
# 0.036498, 0.031459, 0.048881, 0.0558926, 0.0487859, 0.0472744, 0.0362467, 0.0602811, 0.0499117, 0.0593362, 0.050472, 0.0419277, 0.0586398, 0.0616753, 0.0825797, 0.0520653, 0.0565144, 0.0739398, 0.0497377, 0.0593616, 0.0568309, 0.0671646, 0.0504695, 0.0604884, 0.0551317, 0.0639785, 0.0508545, 0.0469331, 0.0466916, 0.064012, 0.0569389, 0.0536293, 0.0576411, 0.0691998, 0.0949205, 0.0770056, 0.0609251, 0.0329922, 0.0610707, 0.0103483
-403.189,0.976915,0.193035,4,15,0,425.738,0.205557,0.406284,-0.102761,-0.0134333,0.069845,0.150064,-0.109607,0.481513,0.014592,-0.0676992,-0.239304,0.183361,-0.37664,-0.230326,-0.884244,0.0984141,-0.00683784,0.0832258,0.137389,-0.0663734,0.29866,0.0466748,0.113849,-0.210064,0.299984,0.143674,0.479141,0.576332,0.385704,-0.491876,-0.432808,0.24733,0.12419,-0.113814,-0.710571,-0.360557,-0.409106,0.486876,-0.102093,0.155097,0.205557,0.406284,-0.102761,-0.0134333,0.069845,0.150064,-0.109607,0.481513,0.014592,-0.0676992,-0.239304,0.183361,-0.37664,-0.230326,-0.884244,0.0984141,-0.00683784,0.0832258,0.137389,0.200607,-401.107
-403.891,0.9042,0.193035,5,31,0,417.619,0.15345,0.512703,-0.100928,-0.00276375,0.0956579,0.00234607,-0.144532,0.475536,0.0380002,0.0119944,-0.0454009,0.00119264,-0.547254,-0.143356,-0.727735,0.0792394,-0.105103,-0.0170128,0.175149,0.0789911,0.117809,-0.00924331,0.268934,-0.260919,0.258225,-0.0691779,0.578562,0.495233,0.273084,-0.410563,-0.509835,0.369576,0.175555,-0.330285,-0.646722,-0.305824,-0.47287,0.395562,-0.0494572,0.171249,0.15345,0.512703,-0.100928,-0.00276375,0.0956579,0.00234607,-0.144532,0.475536,0.0380002,0.0119944,-0.0454009,0.00119264,-0.547254,-0.143356,-0.727735,0.0792394,-0.105103,-0.0170128,0.175149,0.288818,-401.906
-411.464,0.766428,0.193035,4,15,0,432.531,0.268425,0.560562,-0.0393692,-0.481272,0.188279,-0.251945,0.00911759,-0.027495,-0.0646504,-0.350004,-0.395815,0.259262,0.0649118,0.0240292,-0.343042,0.247036,-0.0746279,-0.653471,0.565369,-0.0838023,-0.000551316,-0.525912,0.348125,-0.256554,0.360616,-0.377383,0.402015,0.300436,0.226004,-0.0275077,0.268008,0.112063,0.14822,-0.566707,-0.403449,0.230207,-0.413508,0.832949,-0.401872,0.303051,0.268425,0.560562,-0.0393692,-0.481272,0.188279,-0.251945,0.00911759,-0.027495,-0.0646504,-0.350004,-0.395815,0.259262,0.0649118,0.0240292,-0.343042,0.247036,-0.0746279,-0.653471,0.565369,0.494699,-409.057
-400.995,0.674178,0.193035,4,15,0,427.026,0.0991071,0.314203,0.143406,0.0136588,0.0388097,-0.104108,0.0772046,-0.196043,0.00607709,-0.145747,0.0267016,0.36963,-0.483618,-0.098062,-0.216,0.0447353,-0.150437,-0.57511,0.272314,-0.0213784,0.210144,0.345811,0.379432,0.0578379,0.342185,0.233714,0.181555,-0.146148,0.0486485,-0.292881,-0.146573,0.309152,0.149767,-0.0747891,-0.625158,-0.339795,0.202122,0.476307,-0.781274,0.100075,0.0991071,0.314203,0.143406,0.0136588,0.0388097,-0.104108,0.0772046,-0.196043,0.00607709,-0.145747,0.0267016,0.36963,-0.483618,-0.098062,-0.216,0.0447353,-0.150437,-0.57511,0.272314,0.563279,-399.38
-420.499,0.954004,0.193035,4,15,0,434.803,0.467552,0.477263,0.052303,-0.277349,0.576311,-0.0690337,0.0744446,0.135454,0.074448,-0.163083,0.371366,0.0959841,-0.211764,-0.142385,-1.36395,-0.00795062,-0.495477,0.0661892,0.269301,0.298771,0.391395,0.199009,0.285379,0.212427,0.546733,-0.64253,0.563561,-0.0883843,-0.0261889,0.24599,0.203065,-0.137158,0.390732,-0.0737106,-1.08856,0.191135,-0.231522,0.208747,-0.439064,0.200362,0.467552,0.477263,0.052303,-0.277349,0.576311,-0.0690337,0.0744446,0.135454,0.074448,-0.163083,0.371366,0.0959841,-0.211764,-0.142385,-1.36395,-0.00795062,-0.495477,0.0661892,0.269301,0.0703723,-417.204
-416.561,1,0.193035,4,15,0,443.216,0.485891,0.621734,0.223915,-0.211237,0.267142,-0.0179365,0.151517,0.061544,0.179032,-0.0485521,0.189139,-0.169391,-0.240118,-0.0602986,-1.38161,0.104617,-0.608107,-0.272599,0.294082,0.387306,0.074515,0.250824,0.371141,0.214911,0.329306,-0.468593,0.535293,0.0474263,-0.297749,0.169396,0.381189,0.0947924,0.250624,0.179928,-1.24004,0.340184,-0.636671,0.575049,-0.295044,0.115404,0.485891,0.621734,0.223915,-0.211237,0.267142,-0.0179365,0.151517,0.061544,0.179032,-0.0485521,0.189139,-0.169391,-0.240118,-0.0602986,-1.38161,0.104617,-0.608107,-0.272599,0.294082,0.431235,-412.91
