# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:54:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/so77q2f9.json
# init = 2 (Default)
# random
#   seed = 18692
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4foc6gcms/poisson_4-20250829005452_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.186388
# Diagonal elements of inverse mass matrix:
# 0.195202, 0.142983, 0.176239, 0.158024, 0.148591, 0.124715, 0.202594, 0.148026, 0.166954, 0.195695, 0.209627, 0.154586, 0.196105, 0.163047, 0.207015, 0.158141, 0.184149, 0.171169, 0.19234, 0.176978, 0.213055, 0.226209, 0.175529, 0.227981, 0.236036, 0.153385, 0.150471, 0.219695, 0.175597, 0.292693, 0.164477, 0.157585, 0.132587, 0.155513, 0.268889, 0.194119, 0.176255, 0.133408, 0.26843, 0.0320703
-149.451,0.994096,0.186388,5,31,0,172.813,-0.0862714,0.569067,-0.622693,0.177843,-0.531898,-0.0591442,0.875309,-0.823653,0.169467,-0.0404769,-0.472762,0.278502,0.378286,0.617393,-0.703483,1.3587,0.328584,-0.227033,-0.947706,0.553656,-0.852039,-0.5551,-0.431138,-0.0442708,-1.15076,-0.0716516,0.333779,-0.484537,-0.253873,-1.29961,-1.38617,-0.072115,-0.0406645,-1.02285,-1.56823,-0.00158215,-0.279573,0.404313,-0.383291,0.302703,-0.0862714,0.569067,-0.622693,0.177843,-0.531898,-0.0591442,0.875309,-0.823653,0.169467,-0.0404769,-0.472762,0.278502,0.378286,0.617393,-0.703483,1.3587,0.328584,-0.227033,-0.947706,-0.238027,-140.647
-141.107,0.993476,0.186388,4,15,0,170.098,-0.561357,0.242809,-0.00970868,0.655513,0.0492065,0.259893,0.413708,-0.524297,-0.162247,-0.527159,-1.10138,0.409813,0.848927,0.65573,-0.739997,0.580478,0.0581886,-0.454511,0.462239,0.339314,-0.63065,-0.093614,0.610677,-0.416712,-1.24774,-0.446446,0.266068,0.0674192,-0.40385,-1.56202,-0.857675,-0.10815,-0.608863,0.138279,-0.820614,0.0340318,-0.791929,0.530372,-0.675446,0.407541,-0.561357,0.242809,-0.00970868,0.655513,0.0492065,0.259893,0.413708,-0.524297,-0.162247,-0.527159,-1.10138,0.409813,0.848927,0.65573,-0.739997,0.580478,0.0581886,-0.454511,0.462239,-0.555848,-133.952
-136.038,0.999643,0.186388,4,31,0,155.096,-0.255032,0.338969,-0.610784,-0.156499,0.242111,0.231899,-0.111634,-0.275383,0.0332416,-0.376565,-0.837623,0.5055,0.414425,0.291249,-0.679913,0.614043,0.404526,-0.107278,0.247076,-0.14596,-1.20921,-0.0760838,-0.578581,-0.326301,-1.13008,0.0445008,0.0762621,-0.29974,-0.930867,-1.79771,-0.0404009,-0.179919,0.33062,0.270398,-1.56693,-0.117411,0.347049,0.457855,-1.11446,0.279908,-0.255032,0.338969,-0.610784,-0.156499,0.242111,0.231899,-0.111634,-0.275383,0.0332416,-0.376565,-0.837623,0.5055,0.414425,0.291249,-0.679913,0.614043,0.404526,-0.107278,0.247076,0.0876712,-128.563
-135.419,0.959896,0.186388,4,15,0,150.678,-0.220161,0.336297,-0.619902,-0.161181,0.315508,0.289461,-0.151175,-0.154033,0.0575321,-0.352819,-0.746005,0.445872,0.452702,0.339083,-0.67875,0.587324,0.3721,-0.0744237,0.199698,-0.0767743,-1.03654,-0.0554699,-0.571728,-0.457285,-1.05527,-0.076669,0.0527276,-0.427274,-0.922907,-1.66959,-0.00478082,-0.280887,0.330192,0.278933,-1.61188,-0.00393469,0.319501,0.550021,-1.02073,0.290329,-0.220161,0.336297,-0.619902,-0.161181,0.315508,0.289461,-0.151175,-0.154033,0.0575321,-0.352819,-0.746005,0.445872,0.452702,0.339083,-0.67875,0.587324,0.3721,-0.0744237,0.199698,-0.237128,-128.443
-141.622,0.964812,0.186388,4,31,0,159.893,-0.315337,0.421951,-0.730709,-0.405225,0.1297,0.386928,0.243546,-0.21693,0.533276,-0.733452,-0.546449,0.620358,0.799414,-0.0752472,-1.01052,0.353808,0.0996954,-0.257949,0.202057,0.230576,-0.807909,-0.314236,-0.177132,-0.635173,-0.973228,0.0636094,-0.0906555,-0.684241,-0.179246,-1.33108,-0.106196,-0.565966,-0.191296,0.139432,-1.44502,0.86789,-0.251015,0.665474,-0.353661,0.32043,-0.315337,0.421951,-0.730709,-0.405225,0.1297,0.386928,0.243546,-0.21693,0.533276,-0.733452,-0.546449,0.620358,0.799414,-0.0752472,-1.01052,0.353808,0.0996954,-0.257949,0.202057,0.501085,-135.074
-130.741,1,0.186388,4,31,0,150.974,-0.480277,0.419305,-1.04138,0.180286,0.219292,0.908211,0.492137,-0.31694,0.0412378,-0.135895,-0.850993,0.616981,-0.114522,0.00539203,-0.590614,0.540107,0.0127252,-0.473311,0.180536,0.545065,-0.234137,-0.654748,0.71556,-0.517668,-0.695637,0.00679731,-0.12556,0.0148272,-0.0361533,-0.568269,0.0133079,-0.464768,-0.221112,0.0858199,-0.948725,0.0684014,-0.141685,0.721096,-0.556321,0.113544,-0.480277,0.419305,-1.04138,0.180286,0.219292,0.908211,0.492137,-0.31694,0.0412378,-0.135895,-0.850993,0.616981,-0.114522,0.00539203,-0.590614,0.540107,0.0127252,-0.473311,0.180536,0.387718,-126.142
