# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/z16pfnzr.json
# init = 2 (Default)
# random
#   seed = 78769
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4c2khmzq1/poisson_4-20250829005503_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.291434
# Diagonal elements of inverse mass matrix:
# 0.0592493, 0.0542164, 0.110475, 0.0895156, 0.122216, 0.112926, 0.0808289, 0.0539933, 0.0880125, 0.144006, 0.0855537, 0.12402, 0.0577263, 0.0847193, 0.0436909, 0.10827, 0.0795851, 0.0575597, 0.104338, 0.0763994, 0.109913, 0.162481, 0.10877, 0.10752, 0.124801, 0.0966453, 0.107536, 0.075567, 0.110187, 0.100105, 0.0676287, 0.0895967, 0.0938316, 0.0759693, 0.066207, 0.0624818, 0.0854182, 0.105305, 0.0882124, 0.0168417
-280.576,0.928445,0.291434,4,15,0,297.863,0.42317,0.0449626,0.148399,0.188029,-0.542362,-0.0671009,0.586461,0.58437,0.316484,0.0642172,0.154579,-0.791162,0.327021,-0.376532,0.54648,0.0652916,-0.714183,0.372841,-0.817552,-0.0519735,-0.363372,-0.543374,-0.888592,-0.0522849,-0.354452,-0.03587,0.22754,0.220004,-0.688785,-0.477664,0.381382,-0.625565,-0.591203,-0.522389,0.0679659,-0.103355,-0.318473,-0.517144,0.246112,0.359671,0.42317,0.0449626,0.148399,0.188029,-0.542362,-0.0671009,0.586461,0.58437,0.316484,0.0642172,0.154579,-0.791162,0.327021,-0.376532,0.54648,0.0652916,-0.714183,0.372841,-0.817552,-0.513414,-276.71
-274.729,0.973655,0.291434,4,15,0,299.904,0.347208,0.704789,-0.804988,-0.213081,-0.372142,-0.614033,0.053927,0.241724,-0.144811,-1.2892,0.0247348,-0.124559,0.522597,0.429168,0.74426,-0.272195,0.427823,0.392828,0.290681,0.107622,-0.144524,-0.23123,0.0344973,0.112398,0.215433,-0.30606,-0.599774,0.512097,-0.0782254,-0.225287,-0.229018,0.222316,0.20472,0.247037,0.220411,-0.210227,0.336128,0.458652,-0.193788,0.0719465,0.347208,0.704789,-0.804988,-0.213081,-0.372142,-0.614033,0.053927,0.241724,-0.144811,-1.2892,0.0247348,-0.124559,0.522597,0.429168,0.74426,-0.272195,0.427823,0.392828,0.290681,-0.344728,-271.391
-286.715,0.821674,0.291434,4,15,0,304.629,0.154235,0.0203503,0.448713,-0.0622562,-0.0797267,0.691164,0.471688,0.689899,0.0275185,0.332281,-0.105535,-0.928414,0.45357,-0.459946,0.2971,-0.484088,-0.791269,1.0238,-1.35348,-0.0681249,-0.154531,-0.962289,-0.461993,-0.356683,-1.06371,0.140148,-0.0772759,-0.0485651,-0.325756,-0.470815,0.641614,-0.0546063,-0.393627,-0.464652,0.156424,0.400791,-0.393573,-0.67962,0.199277,0.215044,0.154235,0.0203503,0.448713,-0.0622562,-0.0797267,0.691164,0.471688,0.689899,0.0275185,0.332281,-0.105535,-0.928414,0.45357,-0.459946,0.2971,-0.484088,-0.791269,1.0238,-1.35348,-0.3456,-281.166
-273.463,0.996963,0.291434,4,15,0,300.342,0.238714,0.44917,0.0491324,0.222354,-0.316679,0.297206,-0.0711705,0.452507,0.285568,-0.29647,-0.143962,-0.362549,0.502902,-0.88076,0.257128,-0.26175,-0.631734,0.925824,-0.475447,0.210428,-0.229439,-0.554207,-0.660635,-0.141381,-1.06873,0.180275,-0.0860646,0.35085,-0.827527,-0.233222,0.460876,-0.252195,-0.336602,-0.381765,-0.139281,0.0425583,-0.139592,-0.370628,0.266623,0.220564,0.238714,0.44917,0.0491324,0.222354,-0.316679,0.297206,-0.0711705,0.452507,0.285568,-0.29647,-0.143962,-0.362549,0.502902,-0.88076,0.257128,-0.26175,-0.631734,0.925824,-0.475447,-0.239984,-269.756
-274.327,0.96265,0.291434,4,15,0,291.994,0.276572,0.59424,-0.296481,-0.211989,-0.0554569,-0.89535,0.346676,0.498343,-0.562057,-0.995305,0.305476,-0.0717599,0.456004,0.64523,0.408528,0.234049,0.0259821,0.615204,-0.811325,-0.172355,-0.0857248,-0.628831,0.13295,0.181546,0.0938829,-0.0855953,-0.0686317,-0.0809332,0.174998,0.0321186,-0.280351,0.286113,0.142538,0.418845,0.715589,0.417042,0.113204,0.297151,-0.0603114,-0.056146,0.276572,0.59424,-0.296481,-0.211989,-0.0554569,-0.89535,0.346676,0.498343,-0.562057,-0.995305,0.305476,-0.0717599,0.456004,0.64523,0.408528,0.234049,0.0259821,0.615204,-0.811325,-0.50658,-270.969
-270.214,0.938319,0.291434,4,15,0,292.111,0.408369,0.249102,-0.369342,0.0620994,-0.503185,0.384875,0.00109842,0.418099,0.536074,-0.616058,-0.377095,-0.514714,0.475079,-0.551393,0.579945,-0.504456,-0.529298,0.69957,0.187772,0.0463552,-0.114031,-0.460111,-0.145494,-0.13918,-0.494998,-0.0553224,-0.556128,0.437821,-0.380296,-0.646224,0.26253,-0.0939922,-0.265898,-0.592697,-0.302499,-0.0541498,-0.0121992,-0.216825,0.304673,0.264891,0.408369,0.249102,-0.369342,0.0620994,-0.503185,0.384875,0.00109842,0.418099,0.536074,-0.616058,-0.377095,-0.514714,0.475079,-0.551393,0.579945,-0.504456,-0.529298,0.69957,0.187772,-0.0365434,-267.051
