# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/z16pfnzr.json
# init = 2 (Default)
# random
#   seed = 78769
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4c2khmzq1/poisson_4-20250829005503_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.2786
# Diagonal elements of inverse mass matrix:
# 0.0525179, 0.0593745, 0.108233, 0.11786, 0.109456, 0.120727, 0.071672, 0.0609654, 0.0844308, 0.134082, 0.0921492, 0.116868, 0.0567201, 0.0724648, 0.0599708, 0.0916181, 0.0968641, 0.0436731, 0.1337, 0.0674891, 0.115078, 0.12938, 0.108447, 0.0950107, 0.109713, 0.114606, 0.118197, 0.0608796, 0.127275, 0.0976152, 0.0770732, 0.0834328, 0.0894808, 0.0949304, 0.0688053, 0.0658598, 0.0828497, 0.0915726, 0.0878559, 0.0177324
-271.644,0.957886,0.2786,4,15,0,288.48,0.367186,0.44408,-0.449362,-0.164529,-0.123745,0.298754,0.482204,0.342009,-0.426359,-0.339953,-0.378932,-0.839994,0.301982,0.249271,0.618312,-0.141399,0.222506,0.707606,-0.799047,-0.359367,-0.0163545,-0.607607,-0.158304,-0.310267,-0.456363,0.249498,-0.248902,0.593667,-0.0868724,-0.526027,0.0877093,-0.303559,-1.0988,-0.169507,0.335106,0.200574,-0.128011,-0.0783228,-0.338953,0.119199,0.367186,0.44408,-0.449362,-0.164529,-0.123745,0.298754,0.482204,0.342009,-0.426359,-0.339953,-0.378932,-0.839994,0.301982,0.249271,0.618312,-0.141399,0.222506,0.707606,-0.799047,-0.370592,-268.076
-274.532,0.780043,0.2786,4,15,0,293.434,0.339817,0.361415,-0.0272502,-0.177618,-0.426566,-0.233622,-0.0398707,0.817817,-0.0928754,-1.01648,-0.0302403,-0.288571,0.497568,0.0311709,0.357322,0.0997478,-0.0898507,0.747347,-0.239232,0.29789,-0.505272,0.0930562,-0.593874,0.060477,-0.248535,-0.634823,-0.0012153,0.212008,-0.228558,-0.0710478,-0.223509,-0.0784017,0.109437,0.00729495,-0.833019,0.652763,-0.110582,-0.023929,-0.0265978,-0.0614765,0.339817,0.361415,-0.0272502,-0.177618,-0.426566,-0.233622,-0.0398707,0.817817,-0.0928754,-1.01648,-0.0302403,-0.288571,0.497568,0.0311709,0.357322,0.0997478,-0.0898507,0.747347,-0.239232,-0.590027,-271.63
-274.993,0.987824,0.2786,4,15,0,295.229,0.443227,0.0829357,-0.547182,0.160863,-0.00497693,-0.00671606,-0.125131,-0.0539548,0.378574,-0.958788,0.407097,0.0392695,0.478087,0.141278,0.764356,-0.100395,-0.619489,0.91482,-0.880571,0.289459,-0.54316,-0.719409,0.128059,-0.268919,-0.504427,0.1203,-0.450517,0.295147,0.162382,-0.0744309,0.513807,-0.122091,0.0620949,0.0534755,0.497956,0.217122,-0.0475416,-0.456837,0.232129,0.279059,0.443227,0.0829357,-0.547182,0.160863,-0.00497693,-0.00671606,-0.125131,-0.0539548,0.378574,-0.958788,0.407097,0.0392695,0.478087,0.141278,0.764356,-0.100395,-0.619489,0.91482,-0.880571,-0.513305,-271.435
-276.78,0.944947,0.2786,4,15,0,294.325,0.236243,0.86276,0.0057502,-0.148539,-0.550771,-0.613753,0.52835,1.03643,-0.502656,-0.577882,-0.377555,-0.831931,0.465993,-0.124125,0.316723,-0.275647,0.0783163,0.325482,0.39055,-0.27703,0.0656563,-0.243773,-0.557794,0.315046,0.0913825,-0.386463,0.0139146,0.274119,-0.451953,-0.277534,-0.243364,0.169623,-0.13938,-0.41307,-0.154181,0.444135,0.0996237,0.496418,-0.0652101,0.231271,0.236243,0.86276,0.0057502,-0.148539,-0.550771,-0.613753,0.52835,1.03643,-0.502656,-0.577882,-0.377555,-0.831931,0.465993,-0.124125,0.316723,-0.275647,0.0783163,0.325482,0.39055,-0.243737,-273.366
-282.563,0.964228,0.2786,4,15,0,299.133,0.315997,-0.097752,-0.518473,0.0850403,-0.954257,0.311829,-0.229679,-0.183664,0.489908,-0.284926,0.368826,0.264346,0.509621,0.324079,0.689065,0.241962,-0.324106,0.798177,-1.28117,0.1312,-0.455183,-0.919739,-0.000791401,-0.649758,-0.7484,-0.498178,-0.738958,-0.0594365,-0.115596,-0.164901,0.501184,-0.202287,-0.303183,0.0271866,0.325763,0.016902,-0.452466,-0.694032,-0.125222,0.261981,0.315997,-0.097752,-0.518473,0.0850403,-0.954257,0.311829,-0.229679,-0.183664,0.489908,-0.284926,0.368826,0.264346,0.509621,0.324079,0.689065,0.241962,-0.324106,0.798177,-1.28117,-0.524819,-277.842
-281.984,0.818277,0.2786,4,15,0,307.899,0.642885,0.170532,-0.175423,-0.0328439,0.136613,0.153332,0.272748,-0.053899,-0.0736622,-1.11987,-0.206413,-0.244235,0.432233,-0.400991,0.407814,0.0230743,0.185875,0.787964,-0.454123,-0.130423,-0.732485,-1.07216,0.0707244,-1.02008,0.0438253,0.317844,-0.667612,-0.00458453,0.179563,-1.018,-0.0333121,0.368222,0.095989,-0.477237,-0.247258,0.233678,0.00741547,-0.176802,-0.529835,0.362501,0.642885,0.170532,-0.175423,-0.0328439,0.136613,0.153332,0.272748,-0.053899,-0.0736622,-1.11987,-0.206413,-0.244235,0.432233,-0.400991,0.407814,0.0230743,0.185875,0.787964,-0.454123,-0.451611,-277.668
