# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/a_2un1k6.json
# init = 2 (Default)
# random
#   seed = 47586
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4w_7jk226/poisson_4-20250829005506_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.261965
# Diagonal elements of inverse mass matrix:
# 0.0223335, 0.0260562, 0.0543884, 0.0579678, 0.0585661, 0.0406077, 0.0284001, 0.0320383, 0.0428171, 0.0996932, 0.0460215, 0.0577803, 0.0422011, 0.0413521, 0.0403997, 0.0547951, 0.0492541, 0.0311828, 0.0407265, 0.0372043, 0.0431351, 0.0525619, 0.050171, 0.050249, 0.0508584, 0.0670033, 0.0474901, 0.0448748, 0.0645692, 0.0426999, 0.0457876, 0.0347227, 0.0450071, 0.0381362, 0.0397671, 0.031604, 0.0422007, 0.052831, 0.0443036, 0.00759275
-534.172,0.693347,0.261965,4,15,0,548.972,0.731342,0.328732,-0.341914,0.0110315,-0.21651,0.139338,0.381896,-0.118404,0.0981992,-0.258895,-0.254672,-0.415296,0.418753,-0.0705378,0.0251619,-0.12825,-0.103321,0.0689412,0.173518,-0.00247322,-0.0822661,-0.193405,-0.0737936,0.245618,-0.249164,-0.599928,-0.40398,-0.0014441,-0.79086,0.0109526,-0.130608,0.796554,0.0372155,0.182857,0.177007,0.486763,0.110515,0.143609,-0.0599775,0.0104556,0.731342,0.328732,-0.341914,0.0110315,-0.21651,0.139338,0.381896,-0.118404,0.0981992,-0.258895,-0.254672,-0.415296,0.418753,-0.0705378,0.0251619,-0.12825,-0.103321,0.0689412,0.173518,-0.469112,-532.244
-525.227,0.975416,0.261965,4,15,0,555.601,0.561173,0.404843,-0.0935069,-0.35603,-0.202918,-0.16982,0.437817,0.32867,0.185304,-1.32875,0.105582,0.170514,0.138268,0.00289387,0.231,-0.349696,-0.265884,0.306149,-0.066583,0.0456987,0.017693,-0.12965,-0.186824,-0.216353,-0.132212,-0.907365,0.240557,-0.173586,-0.0859564,-0.087765,0.0457209,0.0801405,0.0868261,0.225029,-0.13847,-0.00673149,0.110915,-0.164051,0.13165,0.121214,0.561173,0.404843,-0.0935069,-0.35603,-0.202918,-0.16982,0.437817,0.32867,0.185304,-1.32875,0.105582,0.170514,0.138268,0.00289387,0.231,-0.349696,-0.265884,0.306149,-0.066583,-0.0390283,-523.033
-532.738,0.822878,0.261965,4,15,0,546.529,0.61117,0.451614,-0.136196,-0.0917949,-0.451111,0.238297,0.268428,0.325945,0.127193,-0.800804,-0.174596,-0.748013,0.10919,-0.138998,0.0665728,-0.209619,-0.025124,0.369477,0.136515,0.0461479,0.064112,-0.292229,0.0453647,-0.0869035,0.104895,-0.123788,-0.280845,0.361676,-0.969652,0.216483,-0.250186,0.598416,0.128453,-0.199327,0.0547984,0.687293,-0.117609,0.0356132,-0.0883719,-0.117485,0.61117,0.451614,-0.136196,-0.0917949,-0.451111,0.238297,0.268428,0.325945,0.127193,-0.800804,-0.174596,-0.748013,0.10919,-0.138998,0.0665728,-0.209619,-0.025124,0.369477,0.136515,0.0718549,-530.318
-530.546,0.966151,0.261965,4,15,0,554.113,0.475534,0.448783,-0.0925766,-0.640798,-0.0171111,-0.13952,0.544718,0.111837,0.310283,-0.681989,-0.361349,0.139463,0.250132,-0.000720865,0.289625,-0.214876,-0.60656,0.437553,0.0725526,0.0993206,0.375581,-0.231481,0.00526885,0.123647,0.0818865,-0.665099,0.0683571,0.007122,-0.0143913,-0.0631565,0.314445,0.421365,0.324956,0.453666,-0.0125018,0.0291479,0.19889,-0.00715276,0.173068,0.0255419,0.475534,0.448783,-0.0925766,-0.640798,-0.0171111,-0.13952,0.544718,0.111837,0.310283,-0.681989,-0.361349,0.139463,0.250132,-0.000720865,0.289625,-0.214876,-0.60656,0.437553,0.0725526,-0.324981,-528.555
-538.077,0.812984,0.261965,4,15,0,556.452,0.750094,0.531338,-0.0868971,0.144119,-0.089021,-0.117239,0.562588,0.507071,-0.142205,-0.718061,0.0345481,-0.116062,-0.180682,-0.320891,0.393505,-0.134441,-0.768374,-0.0558189,0.322941,0.285313,-0.219556,-0.529323,-0.17795,0.0826547,-0.00804726,-0.660097,-0.297453,0.169143,-0.58041,-0.107193,0.0675654,0.140221,0.0377862,0.514416,-0.120181,0.430309,-0.162438,0.204117,0.175609,-0.000958448,0.750094,0.531338,-0.0868971,0.144119,-0.089021,-0.117239,0.562588,0.507071,-0.142205,-0.718061,0.0345481,-0.116062,-0.180682,-0.320891,0.393505,-0.134441,-0.768374,-0.0558189,0.322941,-0.516512,-535.595
-531.147,0.902802,0.261965,4,15,0,549.117,0.485023,0.31912,-0.297604,-0.670398,-0.256921,0.141428,0.250251,0.280331,0.487501,-1.31857,-0.0576847,-0.156794,0.490599,-0.00702663,-0.021529,-0.266932,0.0937302,0.665668,-0.302878,-0.226419,0.30947,-0.0528587,-0.0227165,0.0223127,-0.153595,-0.289675,0.136669,0.089798,-0.298954,0.134907,-0.153134,0.525446,0.0419915,-0.0156495,0.0644572,0.215714,-0.0399868,-0.584111,-0.0124375,0.126685,0.485023,0.31912,-0.297604,-0.670398,-0.256921,0.141428,0.250251,0.280331,0.487501,-1.31857,-0.0576847,-0.156794,0.490599,-0.00702663,-0.021529,-0.266932,0.0937302,0.665668,-0.302878,0.142687,-528.613
