# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/soy9u08o.json
# init = 2 (Default)
# random
#   seed = 7012
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4lcy8zsod/poisson_4-20250829005500_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.235932
# Diagonal elements of inverse mass matrix:
# 0.0124283, 0.0192459, 0.0183782, 0.0269833, 0.0313287, 0.022765, 0.0131052, 0.0233424, 0.0171675, 0.0382534, 0.0226424, 0.0226034, 0.0161789, 0.0284534, 0.0255547, 0.0191793, 0.0345454, 0.0205596, 0.0232043, 0.0322326, 0.0298299, 0.0291961, 0.0315478, 0.0270338, 0.0255829, 0.0254543, 0.0263185, 0.0232778, 0.0294452, 0.0261165, 0.0241722, 0.0175599, 0.0239006, 0.0217016, 0.0258235, 0.0202429, 0.0252719, 0.0263517, 0.0218739, 0.004292
-1002.94,0.947099,0.235932,4,15,0,1020.88,0.443113,0.4238,0.0991826,-0.211228,-0.248303,-0.161611,0.306591,0.175214,0.331257,-0.713413,-0.0788623,-0.144971,-0.020014,-0.0284322,-0.149822,0.208096,-0.402718,0.398583,-0.279207,-0.187897,-0.0282162,-0.196753,-0.151232,-0.0195366,-0.257749,-0.389013,0.229266,0.176272,-0.419224,-0.376685,0.178105,0.237466,-0.0143972,-0.0868632,-0.320758,0.648077,-0.0102481,-0.205327,-0.0925219,0.24324,0.443113,0.4238,0.0991826,-0.211228,-0.248303,-0.161611,0.306591,0.175214,0.331257,-0.713413,-0.0788623,-0.144971,-0.020014,-0.0284322,-0.149822,0.208096,-0.402718,0.398583,-0.279207,0.0527459,-1001.34
-1008.94,0.989135,0.235932,4,15,0,1022.1,0.563176,0.250666,-0.112592,-0.0837835,-0.334383,0.0539399,0.651576,0.0223479,-0.278062,-0.345856,0.096986,0.389374,0.0920109,-0.370778,0.0813752,-0.295918,-0.34956,0.180488,-0.200305,-0.136208,0.00402235,-0.228369,-0.226391,-0.299158,-0.0587594,-0.331726,-0.251948,-0.205786,0.0675916,0.100354,0.143937,0.0459042,-0.264036,0.0972459,0.0024062,0.105922,0.120546,-0.0693839,0.125734,0.166597,0.563176,0.250666,-0.112592,-0.0837835,-0.334383,0.0539399,0.651576,0.0223479,-0.278062,-0.345856,0.096986,0.389374,0.0920109,-0.370778,0.0813752,-0.295918,-0.34956,0.180488,-0.200305,-0.0107006,-1007.76
-1006.46,0.996133,0.235932,4,15,0,1027.43,0.594905,0.41867,-0.0324594,-0.0559252,-0.624089,-0.0816441,0.642014,0.0518295,-0.122987,-0.350152,-0.156189,0.307363,-0.019443,-0.110879,-0.112014,-0.320388,-0.208032,0.165784,0.176484,-0.243218,-0.230572,-0.0165649,-0.338295,-0.14631,-0.00269468,-0.443683,-0.0850574,-0.0231684,-0.220381,-0.0367067,0.39558,0.192978,-0.368933,0.0529682,-0.190303,0.426374,0.0780281,-0.368488,0.119556,0.217943,0.594905,0.41867,-0.0324594,-0.0559252,-0.624089,-0.0816441,0.642014,0.0518295,-0.122987,-0.350152,-0.156189,0.307363,-0.019443,-0.110879,-0.112014,-0.320388,-0.208032,0.165784,0.176484,-0.162849,-1004.92
-1006.77,0.962835,0.235932,4,15,0,1023.01,0.4144,0.384046,0.0998363,-0.146189,-0.608035,0.209124,0.525978,-0.1265,-0.154076,-0.354109,-0.00943455,0.38913,-0.0180046,-0.247065,-0.0616168,-0.128854,-0.276758,0.209757,0.0995799,-0.374517,-0.201643,-0.329552,-0.407335,-0.137229,-0.090433,-0.453832,-0.124384,0.145858,-0.139079,-0.0794772,0.392051,0.0444618,-0.207023,0.0258007,-0.0784935,0.503336,0.0944732,-0.317558,0.0659709,0.173196,0.4144,0.384046,0.0998363,-0.146189,-0.608035,0.209124,0.525978,-0.1265,-0.154076,-0.354109,-0.00943455,0.38913,-0.0180046,-0.247065,-0.0616168,-0.128854,-0.276758,0.209757,0.0995799,-0.201209,-1005.31
-1003.52,0.969201,0.235932,4,15,0,1025.07,0.303088,0.355626,0.0192595,-0.28329,-0.132469,-0.195966,0.471306,0.00975887,0.162049,-0.433475,-0.198191,-0.0592865,0.0177313,-0.125191,-0.099276,0.251241,-0.317543,0.388696,-0.138249,0.0930867,0.128643,-0.150185,-0.218467,-0.224502,-0.0464488,0.138635,0.164311,-0.0459511,-0.300555,-0.138457,-0.0575803,0.135674,-0.153558,0.0207058,0.109104,0.284209,0.0184491,-0.0172726,-0.197282,0.305149,0.303088,0.355626,0.0192595,-0.28329,-0.132469,-0.195966,0.471306,0.00975887,0.162049,-0.433475,-0.198191,-0.0592865,0.0177313,-0.125191,-0.099276,0.251241,-0.317543,0.388696,-0.138249,0.00418194,-1002.64
-1004.88,0.965902,0.235932,4,15,0,1022.82,0.443316,0.310809,-0.137283,-0.0316919,-0.107724,-0.134088,0.578428,0.0672013,0.0904512,-0.559325,-0.224021,0.35442,-0.0167226,-0.255221,0.13011,-0.162212,-0.46151,0.428057,-0.295406,-0.542738,-0.143052,-0.218488,-0.574289,0.0421274,-0.547264,-0.220857,0.125213,0.0751667,-0.302919,-0.139262,0.0853014,0.103655,-0.139414,-0.0834842,-0.180201,0.487602,0.0482282,-0.218331,0.181545,0.164026,0.443316,0.310809,-0.137283,-0.0316919,-0.107724,-0.134088,0.578428,0.0672013,0.0904512,-0.559325,-0.224021,0.35442,-0.0167226,-0.255221,0.13011,-0.162212,-0.46151,0.428057,-0.295406,-0.0175884,-1003.2
