# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/uwvy8581.json
# init = 2 (Default)
# random
#   seed = 59759
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_43647yp5d/poisson_4-20250829005502_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.202887
# Diagonal elements of inverse mass matrix:
# 0.112219, 0.131705, 0.236867, 0.194611, 0.361256, 0.192826, 0.182114, 0.120779, 0.178757, 0.245399, 0.175595, 0.179102, 0.134047, 0.186764, 0.150029, 0.348316, 0.234996, 0.112078, 0.220328, 0.143579, 0.212182, 0.196712, 0.246569, 0.154053, 0.249273, 0.296707, 0.208552, 0.116283, 0.202506, 0.139767, 0.176197, 0.209831, 0.202964, 0.188118, 0.192107, 0.144674, 0.145518, 0.17942, 0.129045, 0.0319591
-143.065,0.967939,0.202887,4,15,0,163.91,0.813671,-0.46057,-0.941386,-0.250317,-1.51713,-0.203519,0.0636691,0.50875,0.564804,0.02522,0.0174043,0.0531276,0.34371,0.134037,0.513224,-0.349571,-0.843909,0.913653,-0.153961,0.26345,-0.213797,0.542391,-0.776531,-0.0235909,-0.0869744,-0.72244,-0.398962,0.0519875,-1.43089,0.0826709,-0.184395,-0.0595074,0.278482,-0.002914,0.294204,-0.177737,0.555176,-0.269769,0.712968,0.043616,0.813671,-0.46057,-0.941386,-0.250317,-1.51713,-0.203519,0.0636691,0.50875,0.564804,0.02522,0.0174043,0.0531276,0.34371,0.134037,0.513224,-0.349571,-0.843909,0.913653,-0.153961,0.769088,-137.202
-138.308,0.997185,0.202887,4,31,0,166.759,0.137001,0.113974,-0.497734,0.0913625,-0.923428,0.0993717,-0.139269,0.89573,1.26575,-0.259083,-0.0409337,-0.663799,0.507517,-0.199124,0.882443,-1.33817,-0.569978,1.1189,0.505594,0.120561,-0.207925,-0.384446,-1.55103,0.25358,-0.92266,-0.379131,-0.199769,0.148191,-0.933741,0.0615731,-0.263863,-0.382128,-0.257165,-0.222974,0.199529,0.00209835,0.394011,0.395766,0.0558173,0.328298,0.137001,0.113974,-0.497734,0.0913625,-0.923428,0.0993717,-0.139269,0.89573,1.26575,-0.259083,-0.0409337,-0.663799,0.507517,-0.199124,0.882443,-1.33817,-0.569978,1.1189,0.505594,-0.986119,-131.216
-137.428,0.996921,0.202887,4,15,0,156.497,0.200169,0.12379,-0.443997,0.0682363,-0.977021,0.0615079,-0.259705,1.02004,1.27695,-0.289035,-0.0815678,-0.505606,0.577582,-0.207415,0.847941,-1.30827,-0.603308,0.939845,0.43687,0.00587965,-0.221054,-0.390872,-1.61174,0.105379,-1.03697,-0.52558,-0.209543,0.116433,-0.867717,0.0263296,-0.292821,-0.269451,-0.251059,-0.31632,0.119281,-0.0841852,0.333622,0.525788,0.115528,0.336596,0.200169,0.12379,-0.443997,0.0682363,-0.977021,0.0615079,-0.259705,1.02004,1.27695,-0.289035,-0.0815678,-0.505606,0.577582,-0.207415,0.847941,-1.30827,-0.603308,0.939845,0.43687,-0.877013,-130.241
-137.634,0.989146,0.202887,5,31,0,154.693,0.226733,0.837838,-0.429793,0.0207019,-1.24863,-1.10728,0.545065,0.538598,0.659986,-0.339762,-0.0252103,0.238557,0.404609,0.291148,0.649007,-1.59139,-0.405758,1.04236,0.47241,-0.202493,0.467081,-0.0699613,-0.531317,0.00633779,-1.09309,-0.738154,-0.394028,0.314798,-0.893303,-0.40625,-0.0113997,-0.485941,-0.604831,0.126453,-0.713145,0.210344,1.05327,0.366314,-0.408085,-0.09421,0.226733,0.837838,-0.429793,0.0207019,-1.24863,-1.10728,0.545065,0.538598,0.659986,-0.339762,-0.0252103,0.238557,0.404609,0.291148,0.649007,-1.59139,-0.405758,1.04236,0.47241,-0.779188,-129.789
-140.13,0.86509,0.202887,4,15,0,160.331,0.302416,0.229446,-0.375536,-0.039298,-0.652559,-1.17814,0.665183,0.726743,0.436659,-0.419192,0.135995,0.336079,0.243897,0.644659,0.988251,-1.75805,-0.281556,1.20126,0.751842,-0.309252,0.483035,0.0832184,-0.593346,0.0123875,-1.18064,-0.432627,-0.222895,0.44286,-1.2122,-0.429801,-0.0324281,-0.495271,-0.314702,0.277793,-0.363519,0.348639,0.212189,0.408005,-0.196712,0.0835588,0.302416,0.229446,-0.375536,-0.039298,-0.652559,-1.17814,0.665183,0.726743,0.436659,-0.419192,0.135995,0.336079,0.243897,0.644659,0.988251,-1.75805,-0.281556,1.20126,0.751842,-1.9581,-132.479
-137.395,0.9422,0.202887,4,31,0,160.724,0.358541,1.45577,-0.715333,0.0693452,-0.874521,-0.561079,-0.628858,0.147233,0.356533,0.245227,0.290932,-0.395382,0.782877,-0.266769,0.331261,-0.317417,-0.480662,1.34274,-0.640162,-0.213478,-0.0240559,-1.63773,0.0883477,0.105348,-0.239684,-0.546762,-0.353983,-0.0545856,0.0653768,0.253767,-0.41915,-0.623507,0.00768659,-0.928376,-0.342829,-1.09263,0.529656,0.179917,-0.0797652,0.289588,0.358541,1.45577,-0.715333,0.0693452,-0.874521,-0.561079,-0.628858,0.147233,0.356533,0.245227,0.290932,-0.395382,0.782877,-0.266769,0.331261,-0.317417,-0.480662,1.34274,-0.640162,-0.500278,-130.16
