# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/sooq8xpd.json
# init = 2 (Default)
# random
#   seed = 60589
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4ozl6f75s/poisson_4-20250829005511_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.213703
# Diagonal elements of inverse mass matrix:
# 0.0561796, 0.0864148, 0.0727354, 0.0681297, 0.0545947, 0.0855714, 0.0577921, 0.0616171, 0.0819439, 0.0801312, 0.0891785, 0.0947272, 0.109375, 0.101837, 0.101375, 0.0851531, 0.0841553, 0.0815414, 0.0656036, 0.0738749, 0.104338, 0.0932215, 0.0920575, 0.083124, 0.0793172, 0.152444, 0.0794778, 0.0791124, 0.118561, 0.0662329, 0.081761, 0.0791249, 0.102463, 0.0810452, 0.0867826, 0.0852493, 0.0949482, 0.0799302, 0.107816, 0.0155827
-277.348,0.97828,0.213703,4,15,0,292.005,0.176592,-0.387679,-0.03246,0.181915,0.265634,-0.183898,0.572778,0.369515,0.515625,-0.139817,-0.172172,-0.292156,0.00675581,-0.0408605,-0.271529,-0.330827,0.029947,0.22977,-0.280053,0.225186,-1.06158,0.292691,-0.734658,0.342205,-0.0681427,-0.582241,-0.140694,0.187722,-0.0805764,0.16577,-0.660414,0.469797,-0.121113,0.0844876,-0.284381,0.392882,-0.0953639,-0.614551,-0.59986,0.37547,0.176592,-0.387679,-0.03246,0.181915,0.265634,-0.183898,0.572778,0.369515,0.515625,-0.139817,-0.172172,-0.292156,0.00675581,-0.0408605,-0.271529,-0.330827,0.029947,0.22977,-0.280053,-0.21708,-274.52
-286.718,0.918708,0.213703,4,15,0,308.985,-0.17182,-0.31105,-0.0298466,-0.147874,0.348543,0.362241,0.684513,-0.024705,0.0961197,-0.0289939,-0.819677,-0.146344,-0.173013,-0.230538,-0.272606,0.0568019,0.0322884,0.549493,-0.275451,0.156534,-1.25383,0.265253,-0.647912,0.43185,-0.425767,-0.883874,0.500041,-0.038125,-0.183896,0.206291,-0.277106,0.298748,0.123341,0.407016,-0.276849,0.27605,0.368197,-0.488228,-0.256697,0.28499,-0.17182,-0.31105,-0.0298466,-0.147874,0.348543,0.362241,0.684513,-0.024705,0.0961197,-0.0289939,-0.819677,-0.146344,-0.173013,-0.230538,-0.272606,0.0568019,0.0322884,0.549493,-0.275451,0.501916,-283.369
-280.51,1,0.213703,4,15,0,308.697,-0.00110533,-0.348893,0.00688238,-0.353119,0.455697,0.0809662,0.217092,0.332691,0.125422,0.224331,-0.154841,0.101593,-0.801494,-0.035485,-0.00699945,0.175582,-0.284793,0.107592,-0.0592618,-0.0432717,-0.376947,0.631662,0.054294,-0.0248073,0.315598,-1.46399,-0.304511,0.198664,-0.784044,0.173095,0.515874,0.40122,0.00761392,0.12088,-0.241483,0.0283903,0.259988,0.128954,-0.4995,0.13519,-0.00110533,-0.348893,0.00688238,-0.353119,0.455697,0.0809662,0.217092,0.332691,0.125422,0.224331,-0.154841,0.101593,-0.801494,-0.035485,-0.00699945,0.175582,-0.284793,0.107592,-0.0592618,0.218144,-277.555
-271.373,0.99997,0.213703,4,15,0,294.205,0.15351,-0.373958,0.19417,-0.0815959,0.227104,0.0422149,0.148892,0.0694908,0.517228,-0.17444,-0.0716534,-0.233064,-0.448556,-0.182223,0.0267499,-0.550687,-0.282546,0.216636,0.444988,-0.235439,-0.17795,-0.0987983,-0.0832013,0.0291517,-0.106695,-0.851221,0.00523089,-0.103084,0.0368205,0.0149432,0.223266,0.211593,0.176665,-0.0777935,-0.276558,0.255889,-0.0855883,-0.173415,0.316352,0.399001,0.15351,-0.373958,0.19417,-0.0815959,0.227104,0.0422149,0.148892,0.0694908,0.517228,-0.17444,-0.0716534,-0.233064,-0.448556,-0.182223,0.0267499,-0.550687,-0.282546,0.216636,0.444988,0.35774,-269.907
-282.727,0.821876,0.213703,4,15,0,299.839,0.577532,-0.243449,-0.0385595,0.303502,0.0669355,0.705345,-0.149887,0.054999,0.544589,-0.163527,-0.41447,0.100073,-0.493545,-0.248192,0.124012,-0.438669,-0.49541,-0.0760338,0.0908063,-0.42805,-0.917369,0.395764,-0.553966,-0.173788,-0.00793334,-0.703461,-0.0181356,0.120498,-0.54676,0.459203,0.139367,-0.325443,0.19737,-0.0839246,-0.571832,0.424476,-0.55092,-0.460201,-0.0241136,0.216225,0.577532,-0.243449,-0.0385595,0.303502,0.0669355,0.705345,-0.149887,0.054999,0.544589,-0.163527,-0.41447,0.100073,-0.493545,-0.248192,0.124012,-0.438669,-0.49541,-0.0760338,0.0908063,0.193948,-279.692
-273.68,0.923239,0.213703,4,15,0,297.935,0.697472,0.0775035,-0.310436,0.570663,0.311393,-0.177856,0.197984,0.272338,0.20375,0.499411,-0.0618343,0.135991,-0.779833,-0.972076,-0.690867,-0.383797,-0.190456,0.18746,0.13661,-0.533706,-0.434116,-0.201692,-0.624167,0.464182,-0.0414967,-0.888088,0.175997,0.113129,-0.0399483,0.517241,-0.131985,0.0981703,-0.0954365,0.338706,-0.340851,0.0542746,-0.292427,0.00763032,-0.105078,0.348642,0.697472,0.0775035,-0.310436,0.570663,0.311393,-0.177856,0.197984,0.272338,0.20375,0.499411,-0.0618343,0.135991,-0.779833,-0.972076,-0.690867,-0.383797,-0.190456,0.18746,0.13661,0.276579,-270.456
