# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/usya5fq8.json
# init = 2 (Default)
# random
#   seed = 90066
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_45u90ik6_/poisson_4-20250829005513_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.214512
# Diagonal elements of inverse mass matrix:
# 0.045747, 0.0411566, 0.0489255, 0.03944, 0.0608396, 0.0548937, 0.045169, 0.0521523, 0.0435733, 0.0480364, 0.0653782, 0.0500316, 0.0606835, 0.0889861, 0.047444, 0.0517414, 0.056757, 0.0662107, 0.0498258, 0.0643029, 0.0703477, 0.0681835, 0.0763839, 0.0497646, 0.0723638, 0.0618296, 0.0725799, 0.0614603, 0.06472, 0.0408973, 0.0570706, 0.0503133, 0.0600338, 0.0431586, 0.0725612, 0.0403523, 0.0610636, 0.0537342, 0.06539, 0.00971583
-416.863,0.95465,0.214512,4,15,0,440.49,0.0110539,0.24013,0.497254,0.295107,0.480895,-0.129672,0.487536,-0.122655,0.164181,-0.08172,-0.836611,0.402291,-0.0984133,-0.621487,-0.0876263,0.0657687,-0.114763,0.0773876,-0.254239,-0.0469491,-0.28213,-0.102694,-0.307126,-0.147855,0.279279,-0.750576,-0.351468,0.1734,-0.445,0.363997,-0.00613456,-0.0917815,0.415149,0.0331269,-0.252333,0.551508,0.191298,-0.154122,0.258622,0.280699,0.0110539,0.24013,0.497254,0.295107,0.480895,-0.129672,0.487536,-0.122655,0.164181,-0.08172,-0.836611,0.402291,-0.0984133,-0.621487,-0.0876263,0.0657687,-0.114763,0.0773876,-0.254239,-0.374417,-414.678
-416.564,0.873661,0.214512,4,15,0,440.722,-0.149417,0.393127,-0.21166,0.647341,0.41197,-0.123047,0.625839,-0.142362,0.286384,-0.0629147,-0.476678,0.00717691,-0.031593,-0.772238,-0.368975,0.0320397,0.0200518,-0.171408,0.0586645,-0.0990738,0.137738,-0.22613,-0.0372378,-0.445096,-0.0994463,-0.794802,-0.0859211,0.512781,-0.25367,0.347103,-0.125543,0.252261,0.101425,0.317808,0.0176778,0.507689,0.225972,-0.0183088,0.298335,0.0958678,-0.149417,0.393127,-0.21166,0.647341,0.41197,-0.123047,0.625839,-0.142362,0.286384,-0.0629147,-0.476678,0.00717691,-0.031593,-0.772238,-0.368975,0.0320397,0.0200518,-0.171408,0.0586645,0.027698,-414.418
-414.747,0.923758,0.214512,4,15,0,437.356,0.657169,-0.167969,0.269655,-0.308501,-0.3152,0.345673,0.270376,-0.393632,-0.271285,0.282886,0.122669,0.460913,-0.286313,-0.488581,0.271075,0.115168,-0.0218793,-0.617488,0.0859969,-0.0536203,-0.303036,-0.136984,-0.250472,-0.0174604,-0.202497,-0.319679,-0.24897,-0.42183,-0.0451791,0.343652,0.332489,0.319518,-0.0590424,-0.225282,-0.266394,0.0908214,-0.250567,0.448237,-0.253995,0.242388,0.657169,-0.167969,0.269655,-0.308501,-0.3152,0.345673,0.270376,-0.393632,-0.271285,0.282886,0.122669,0.460913,-0.286313,-0.488581,0.271075,0.115168,-0.0218793,-0.617488,0.0859969,-0.0107322,-412.914
-415.044,0.767754,0.214512,4,15,0,432.686,0.246844,-0.214857,0.448921,-0.0394912,0.0739878,0.23856,0.238136,-0.78073,0.0830822,0.197861,0.0431702,0.453934,-0.182964,-0.423944,0.187678,0.06496,0.0407587,-0.785384,0.037555,-0.258392,-0.33903,-0.456126,-0.246797,-0.061613,0.0365977,-0.468964,-0.286962,-0.208776,-0.162995,0.596405,0.438932,0.261166,0.0336567,-0.400954,-0.210978,0.23968,-0.329949,0.0729835,0.0851458,0.147533,0.246844,-0.214857,0.448921,-0.0394912,0.0739878,0.23856,0.238136,-0.78073,0.0830822,0.197861,0.0431702,0.453934,-0.182964,-0.423944,0.187678,0.06496,0.0407587,-0.785384,0.037555,0.0719222,-413.035
-419.385,0.973941,0.214512,4,15,0,437.355,0.0472875,0.757442,-0.328919,0.37324,0.0833975,-0.153406,0.806118,-0.386561,-0.480845,0.0055233,-0.212835,0.19209,-0.209817,-0.152261,-0.233975,-0.260711,0.0998511,0.0191361,0.407355,-0.0151871,-0.398178,-0.0624037,-0.307669,-0.474507,-0.420124,-0.570727,-0.0735016,0.326334,-0.363173,0.180784,-0.111114,0.286415,-0.0850099,0.395301,-0.0834393,0.327217,0.0563335,0.382499,-0.0668227,0.364752,0.0472875,0.757442,-0.328919,0.37324,0.0833975,-0.153406,0.806118,-0.386561,-0.480845,0.0055233,-0.212835,0.19209,-0.209817,-0.152261,-0.233975,-0.260711,0.0998511,0.0191361,0.407355,-0.372111,-417.259
-419.768,1,0.214512,4,15,0,439.694,0.311026,-0.181443,0.502485,-0.132107,-0.18963,0.47316,0.0403704,0.216714,-0.0217909,-0.0684752,-0.139494,-0.120487,0.055161,-0.591799,0.125882,0.282634,-0.12866,-0.484888,-0.116167,-0.29643,-0.205942,-0.339438,-0.1574,0.37371,0.156403,-0.456107,-0.328094,-0.466645,-0.381962,0.497932,0.390454,0.0950557,0.144108,-0.24365,-0.178479,0.0050464,-0.517977,-0.0599717,0.0925202,0.319585,0.311026,-0.181443,0.502485,-0.132107,-0.18963,0.47316,0.0403704,0.216714,-0.0217909,-0.0684752,-0.139494,-0.120487,0.055161,-0.591799,0.125882,0.282634,-0.12866,-0.484888,-0.116167,0.167507,-418.028
