# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/usya5fq8.json
# init = 2 (Default)
# random
#   seed = 90066
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_45u90ik6_/poisson_4-20250829005513_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.268954
# Diagonal elements of inverse mass matrix:
# 0.044321, 0.0371467, 0.0498801, 0.0526793, 0.0473467, 0.0511457, 0.0314444, 0.0616402, 0.046978, 0.0547398, 0.0702263, 0.0535765, 0.0683549, 0.0772173, 0.0488666, 0.0592939, 0.05375, 0.0704275, 0.0510958, 0.0495799, 0.072487, 0.0749982, 0.0755735, 0.067582, 0.0652326, 0.0756596, 0.070009, 0.0524522, 0.0716539, 0.0413164, 0.0561133, 0.0494008, 0.0660213, 0.0470738, 0.0662848, 0.0567994, 0.0642611, 0.0423493, 0.0512845, 0.0103142
-416.374,0.951789,0.268954,4,15,0,435.337,0.133956,0.081277,0.484285,0.0302668,0.18378,-0.224456,0.302244,-0.103202,-0.0918684,0.110404,0.0102398,0.516057,-0.106267,-0.736677,0.102119,-0.363968,0.0418467,-0.31199,-0.0826196,0.182416,-0.532139,-0.4217,-0.804983,-0.348199,-0.0665451,0.102766,-0.209067,0.262901,0.0252433,0.259691,-0.310289,0.355662,0.017292,0.315435,-0.345633,0.0545711,-0.0531461,0.0682551,0.313195,0.317221,0.133956,0.081277,0.484285,0.0302668,0.18378,-0.224456,0.302244,-0.103202,-0.0918684,0.110404,0.0102398,0.516057,-0.106267,-0.736677,0.102119,-0.363968,0.0418467,-0.31199,-0.0826196,0.0245742,-414.551
-412.766,0.511573,0.268954,4,15,0,433.38,0.289456,0.0553006,0.306662,-0.0117464,0.23296,0.103775,0.397144,-0.176757,0.0576085,0.0309783,0.166491,0.246969,-0.0636611,-0.441862,0.164351,-0.334642,-0.0466979,-0.169436,0.0241157,-0.0159173,-0.386547,-0.392004,-0.433175,-0.387071,0.0536126,0.114112,-0.278428,0.370824,-0.213136,0.52714,-0.244276,0.354798,-0.1971,0.154439,-0.554562,0.258702,-0.0301704,0.405032,0.232417,0.350504,0.289456,0.0553006,0.306662,-0.0117464,0.23296,0.103775,0.397144,-0.176757,0.0576085,0.0309783,0.166491,0.246969,-0.0636611,-0.441862,0.164351,-0.334642,-0.0466979,-0.169436,0.0241157,-0.831007,-411.237
-412.052,0.965021,0.268954,4,15,0,428.681,0.414455,0.284628,-0.250797,0.300734,0.225247,0.110167,0.617946,-3.95297e-05,0.0922683,-0.0827093,-0.244811,0.138467,0.085394,-0.603427,0.311556,-0.149256,-0.212256,-0.156588,0.0579605,-0.170957,-0.386118,-0.666336,0.0992383,-0.172504,-0.253671,-0.448296,0.147957,0.222513,-0.345504,0.409306,0.062056,0.580051,-0.243227,0.241973,0.16129,-0.00074226,0.00279589,0.325692,-0.00942752,0.227909,0.414455,0.284628,-0.250797,0.300734,0.225247,0.110167,0.617946,-3.95297e-05,0.0922683,-0.0827093,-0.244811,0.138467,0.085394,-0.603427,0.311556,-0.149256,-0.212256,-0.156588,0.0579605,-0.938938,-410.334
-414.082,0.91251,0.268954,4,15,0,437.508,-0.0770097,0.147179,-0.138521,0.249759,0.112559,0.0703832,0.153064,-0.0652454,-0.123467,-0.0249712,-0.327831,0.0596425,-0.49017,-0.0559549,0.0345228,0.441328,0.390534,-0.593028,0.287947,-0.1139,0.383819,0.142853,-0.0199278,0.0104741,0.2146,-0.00302646,-0.439793,0.0606095,0.0690437,0.551816,0.276927,0.133101,0.251858,0.401637,-0.111615,0.803723,0.251014,0.564851,0.151611,0.0526547,-0.0770097,0.147179,-0.138521,0.249759,0.112559,0.0703832,0.153064,-0.0652454,-0.123467,-0.0249712,-0.327831,0.0596425,-0.49017,-0.0559549,0.0345228,0.441328,0.390534,-0.593028,0.287947,-0.0507186,-412.369
-414.407,0.396075,0.268954,4,15,0,439.258,0.338135,-0.0895019,0.414173,-0.0438385,0.157277,0.156569,0.859174,-0.176173,-0.235744,0.0744989,0.195874,0.41681,-0.516602,-0.33484,-0.109816,-0.0621444,-0.141654,-0.292262,-0.0221026,0.011193,-0.313626,-0.168861,0.0285961,-0.113828,-0.339205,-0.638454,0.0728112,0.254958,-0.535209,0.487712,0.155324,0.546695,-0.269873,0.0217462,0.456264,0.0467056,0.10764,0.308479,0.104861,0.108842,0.338135,-0.0895019,0.414173,-0.0438385,0.157277,0.156569,0.859174,-0.176173,-0.235744,0.0744989,0.195874,0.41681,-0.516602,-0.33484,-0.109816,-0.0621444,-0.141654,-0.292262,-0.0221026,-0.587831,-412.466
-408.553,0.978276,0.268954,4,15,0,430.105,0.207361,0.488543,0.0235423,0.155048,-0.0601407,-0.0549706,0.235063,0.0467236,0.11334,-0.0301468,-0.350188,0.410814,-0.0251459,-0.836555,-0.250402,0.375717,0.0197476,-0.366504,0.0654727,-0.0419069,0.00315178,-0.227098,-0.414349,-0.0124638,-6.23217e-05,-1.1837,-0.496614,0.050652,-0.242583,0.167045,0.0725204,0.304202,0.152274,0.0315196,-0.427414,0.131032,0.115422,0.0100963,-0.135801,0.357758,0.207361,0.488543,0.0235423,0.155048,-0.0601407,-0.0549706,0.235063,0.0467236,0.11334,-0.0301468,-0.350188,0.410814,-0.0251459,-0.836555,-0.250402,0.375717,0.0197476,-0.366504,0.0654727,-0.16732,-406.471
