# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/5gpg3zdw.json
# init = 2 (Default)
# random
#   seed = 99444
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4dkomdp7x/poisson_4-20250829005515_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.227573
# Diagonal elements of inverse mass matrix:
# 0.0333274, 0.0328521, 0.0334355, 0.0481531, 0.029215, 0.0310361, 0.0306205, 0.0423263, 0.0577411, 0.0345399, 0.0557104, 0.0335305, 0.0448451, 0.052637, 0.0492338, 0.0370177, 0.0377425, 0.0527775, 0.0406133, 0.0394178, 0.0481355, 0.0461149, 0.0547181, 0.0518534, 0.0491724, 0.069001, 0.0476482, 0.0475047, 0.0540295, 0.0319194, 0.0464455, 0.0412672, 0.0490923, 0.0346278, 0.0565852, 0.0307565, 0.0460617, 0.0355176, 0.0397568, 0.00758396
-542.759,0.989133,0.227573,4,15,0,566.053,0.213464,0.376106,0.172529,0.235399,-0.0310813,-0.101714,0.602364,-0.148244,-0.423188,-0.126887,-0.267681,0.158021,-0.0265004,-0.533228,0.179367,0.132814,-0.0970409,-0.462829,0.125194,0.164022,-0.0540846,0.0637435,-0.346948,-0.129934,-0.313597,-0.371424,-0.195616,-0.267521,-0.312552,0.206279,0.0177725,0.0894502,-0.859892,-0.0784044,-0.443737,0.375881,-0.0922593,0.169422,-0.179282,0.433473,0.213464,0.376106,0.172529,0.235399,-0.0310813,-0.101714,0.602364,-0.148244,-0.423188,-0.126887,-0.267681,0.158021,-0.0265004,-0.533228,0.179367,0.132814,-0.0970409,-0.462829,0.125194,0.0231342,-540.989
-544.834,0.941657,0.227573,4,15,0,561.698,0.322591,0.175323,0.348984,-0.0563238,0.243774,0.131156,0.292372,-0.121029,-0.0782949,0.333707,-0.580987,0.463627,-0.337859,-0.393709,-0.682834,0.292055,0.256956,-0.414296,-0.232512,0.00772901,-0.406549,-0.534262,-0.0287792,-0.0410978,-0.0982175,-0.639884,-0.0318183,0.235293,-0.200174,0.342451,-0.175866,0.0150651,0.25513,0.538533,0.0840757,0.226352,-0.127219,0.20364,0.284149,0.159287,0.322591,0.175323,0.348984,-0.0563238,0.243774,0.131156,0.292372,-0.121029,-0.0782949,0.333707,-0.580987,0.463627,-0.337859,-0.393709,-0.682834,0.292055,0.256956,-0.414296,-0.232512,0.0373016,-542.877
-544.764,0.997368,0.227573,4,15,0,562.141,0.381057,0.0882954,0.327406,-0.030367,0.2516,0.251379,0.45071,-0.0622448,-0.204073,0.16784,-0.399139,0.248372,-0.10495,-0.168996,-0.820166,0.122464,0.266934,-0.426916,-0.263273,0.0124007,-0.316021,-0.67677,-0.161197,-0.0640083,-0.249782,-0.67455,0.0800876,0.243334,-0.00582809,0.290832,-0.0642406,-0.118754,0.0117248,0.524278,-0.17833,0.36949,-0.311928,0.27474,0.301864,0.223326,0.381057,0.0882954,0.327406,-0.030367,0.2516,0.251379,0.45071,-0.0622448,-0.204073,0.16784,-0.399139,0.248372,-0.10495,-0.168996,-0.820166,0.122464,0.266934,-0.426916,-0.263273,-0.0759316,-542.781
-546.342,0.880831,0.227573,4,15,0,568.313,0.044538,0.225114,0.225084,0.4215,0.0310156,0.204916,0.0871582,0.152799,-0.10053,0.104163,0.168374,0.421643,-0.378665,-0.884858,-0.657398,0.301889,-0.0139256,-0.354843,0.24109,0.199788,-0.447369,-0.152648,-0.272688,-0.268774,0.408159,-0.235124,-0.163123,0.0085373,-0.0922477,0.398054,-0.102691,-0.154106,-0.0849511,0.256596,-0.155456,0.266101,-0.0902208,0.256499,-0.175297,0.27357,0.044538,0.225114,0.225084,0.4215,0.0310156,0.204916,0.0871582,0.152799,-0.10053,0.104163,0.168374,0.421643,-0.378665,-0.884858,-0.657398,0.301889,-0.0139256,-0.354843,0.24109,-0.239062,-544.63
-545.091,0.92872,0.227573,4,15,0,565.542,0.302309,0.436797,0.403983,-0.235383,0.511438,0.130647,0.560425,0.0468164,0.0915634,-0.0743342,-0.570614,0.37957,-0.220625,-0.943435,-0.348972,0.219908,0.0328225,-0.352243,-0.0543652,-0.335204,-0.12655,-0.00218344,-0.593224,0.354051,-0.406673,-0.58922,0.0145296,-0.204891,-0.433413,0.119562,-0.108197,-0.0548955,-0.507305,0.0337798,-0.984263,0.0427104,-0.198638,0.216093,0.0114103,0.411474,0.302309,0.436797,0.403983,-0.235383,0.511438,0.130647,0.560425,0.0468164,0.0915634,-0.0743342,-0.570614,0.37957,-0.220625,-0.943435,-0.348972,0.219908,0.0328225,-0.352243,-0.0543652,-0.316309,-542.252
-541.603,0.97595,0.227573,4,15,0,563.928,0.0627667,0.578505,0.230185,-0.0574872,0.5662,-0.0537614,0.560638,-0.187474,-0.195777,0.323343,-0.330126,0.176259,-0.0966313,-0.792429,-0.369499,-0.00836415,0.0792287,-0.420629,-0.000899693,-0.133683,-0.360687,-0.0691393,-0.385243,0.0122991,0.0900937,-0.625228,-0.130145,0.177115,-0.060404,0.406577,0.125864,-0.199109,0.0620245,0.482261,-0.437439,0.398267,-0.00695857,0.236231,0.176955,0.214479,0.0627667,0.578505,0.230185,-0.0574872,0.5662,-0.0537614,0.560638,-0.187474,-0.195777,0.323343,-0.330126,0.176259,-0.0966313,-0.792429,-0.369499,-0.00836415,0.0792287,-0.420629,-0.000899693,-0.0640491,-539.603
