# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/5gpg3zdw.json
# init = 2 (Default)
# random
#   seed = 99444
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4dkomdp7x/poisson_4-20250829005515_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.242588
# Diagonal elements of inverse mass matrix:
# 0.0351487, 0.0370678, 0.0290117, 0.0391482, 0.0352592, 0.0341718, 0.0280358, 0.0492341, 0.0497243, 0.0396091, 0.0492594, 0.0336898, 0.0592677, 0.05558, 0.0483547, 0.0316278, 0.036629, 0.0621451, 0.0491354, 0.0363804, 0.0535891, 0.0411174, 0.0590328, 0.0416115, 0.0496871, 0.0733229, 0.04833, 0.0458305, 0.0600061, 0.0302349, 0.042381, 0.0415915, 0.0487488, 0.0293071, 0.0481874, 0.0359854, 0.042354, 0.0331586, 0.0377708, 0.00837196
-551.491,0.987323,0.242588,4,15,0,570.385,0.0632517,0.0339921,0.0402617,0.290937,0.0303073,0.0985092,0.490415,-0.397255,0.142554,-0.123725,-0.563799,0.766374,-0.184653,-0.241833,-0.00747253,0.254042,-0.0499618,-0.499876,-0.135551,-0.051028,-0.0553584,0.0237909,-0.977464,-0.104991,0.255463,-0.504838,-0.152825,-0.120194,-0.277167,0.200553,-0.239545,0.242855,-0.280877,0.41237,-0.500327,0.260352,-0.325043,0.25121,0.257867,0.386023,0.0632517,0.0339921,0.0402617,0.290937,0.0303073,0.0985092,0.490415,-0.397255,0.142554,-0.123725,-0.563799,0.766374,-0.184653,-0.241833,-0.00747253,0.254042,-0.0499618,-0.499876,-0.135551,-0.00651678,-549.299
-549.505,0.976644,0.242588,4,15,0,576.547,0.465361,0.675865,0.543343,0.172944,-0.117571,0.110914,0.191499,-0.158792,-0.191565,0.102865,-0.516348,0.037322,-0.17336,-0.51173,-0.199901,-0.113681,0.0744337,-0.636075,0.281659,0.0638992,-0.332513,-0.225236,0.0780886,0.0914697,-0.659428,-0.489839,-0.130283,0.181615,-0.567733,-0.0829673,0.029723,-0.191891,0.154975,0.307285,0.00917017,0.350857,0.00493325,0.164125,0.0717446,0.277328,0.465361,0.675865,0.543343,0.172944,-0.117571,0.110914,0.191499,-0.158792,-0.191565,0.102865,-0.516348,0.037322,-0.17336,-0.51173,-0.199901,-0.113681,0.0744337,-0.636075,0.281659,-0.0371815,-547.576
-553.127,0.975652,0.242588,4,15,0,568.186,-0.117586,-0.252374,0.109741,-0.15335,0.582146,0.232335,0.443686,0.0462574,-0.142555,0.035795,-0.0560124,0.41283,-0.426248,-0.391194,-0.170174,0.615812,-0.157749,-0.14787,-0.34573,-0.315065,-0.189491,0.0216549,-0.855708,-0.210194,0.150179,-0.614035,-0.29455,-0.315648,-0.0439247,0.504803,-0.174459,-0.038129,-0.707997,-0.0737893,-0.626183,0.148546,-0.336069,0.162812,-0.243026,0.443863,-0.117586,-0.252374,0.109741,-0.15335,0.582146,0.232335,0.443686,0.0462574,-0.142555,0.035795,-0.0560124,0.41283,-0.426248,-0.391194,-0.170174,0.615812,-0.157749,-0.14787,-0.34573,-0.117762,-550.671
-546.286,0.99295,0.242588,4,15,0,570.383,0.242649,0.508109,0.259345,0.174481,-0.137263,0.191861,0.559497,-0.0704166,-0.219484,-0.112809,-0.439106,0.231542,-0.210038,-0.243946,-0.298155,0.0963187,-0.0364648,-0.689607,0.182244,-0.111662,-0.612453,-0.157676,-0.00197797,0.0675582,-0.470362,-0.44158,-0.304103,0.14683,-0.792537,-0.004121,-0.100286,-0.362669,0.192499,-0.199816,-0.22421,0.177147,-0.132839,-0.190165,0.131988,0.410991,0.242649,0.508109,0.259345,0.174481,-0.137263,0.191861,0.559497,-0.0704166,-0.219484,-0.112809,-0.439106,0.231542,-0.210038,-0.243946,-0.298155,0.0963187,-0.0364648,-0.689607,0.182244,0.0112423,-544.324
-541.315,0.988507,0.242588,4,15,0,562.613,-0.172646,0.378697,0.340345,0.0731864,0.243114,0.259791,0.514939,-0.241361,-0.426691,0.0226325,-0.485158,0.282325,-0.657355,-0.307992,-0.0576724,0.0772442,0.212325,-0.123678,0.0502167,-0.0986564,-0.0300859,-0.2878,-0.482507,0.154411,-0.350783,-0.680503,-0.24889,-0.0935076,-0.324889,0.190853,0.20812,-0.26923,-0.435446,0.520992,-0.628426,-0.0218723,-0.180053,-0.00530556,-0.00881128,0.419836,-0.172646,0.378697,0.340345,0.0731864,0.243114,0.259791,0.514939,-0.241361,-0.426691,0.0226325,-0.485158,0.282325,-0.657355,-0.307992,-0.0576724,0.0772442,0.212325,-0.123678,0.0502167,0.017738,-539.229
-544.296,0.614969,0.242588,4,15,0,562.724,0.534937,0.114322,0.271409,-0.101292,0.271665,0.0369795,0.128143,-0.0963714,0.0525723,0.00561033,-0.0984153,0.176763,0.0392862,-0.586923,-0.28375,0.347561,-0.242271,-0.649165,-0.142541,0.0394539,-0.397925,0.211068,-0.127635,-0.143371,-0.0911036,-0.310881,-0.0986453,0.0728617,-0.180977,0.329468,-0.257416,0.202633,0.105294,-0.0879111,-0.269446,0.583035,0.0212149,0.236786,0.0943805,0.137163,0.534937,0.114322,0.271409,-0.101292,0.271665,0.0369795,0.128143,-0.0963714,0.0525723,0.00561033,-0.0984153,0.176763,0.0392862,-0.586923,-0.28375,0.347561,-0.242271,-0.649165,-0.142541,0.221479,-542.946
