# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/31mziyn2.json
# init = 2 (Default)
# random
#   seed = 33455
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_40h3999pm/poisson_4-20250829005508_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.26978
# Diagonal elements of inverse mass matrix:
# 0.0218759, 0.0172026, 0.0129944, 0.0227327, 0.018192, 0.0184725, 0.0122377, 0.0288404, 0.0221641, 0.0236201, 0.0283496, 0.0157666, 0.0220539, 0.0290719, 0.0234292, 0.0160845, 0.0276915, 0.0228253, 0.026984, 0.0282732, 0.032265, 0.0273014, 0.0244025, 0.0238251, 0.0235975, 0.0388814, 0.0253587, 0.0215844, 0.0287047, 0.0136391, 0.0174462, 0.0263435, 0.0192855, 0.0159573, 0.0245931, 0.0190843, 0.0273054, 0.0193644, 0.01855, 0.00397599
-1013.39,0.986851,0.26978,4,15,0,1034.06,0.00693813,0.303441,0.458464,-0.0592447,0.293256,0.0665728,0.419916,0.0310798,-0.233921,0.0640182,-0.580681,0.0534652,0.0848881,-0.545022,-0.147066,0.456337,-0.380967,-0.335796,-0.0706328,-0.316951,-0.640077,-0.365019,-0.186474,-0.0683309,-0.0127541,-0.125681,-0.111554,-0.285432,-0.375276,0.23514,0.343912,-0.1179,-0.0720336,0.141404,-0.0796072,0.12728,0.0281787,0.203866,0.307515,0.342497,0.00693813,0.303441,0.458464,-0.0592447,0.293256,0.0665728,0.419916,0.0310798,-0.233921,0.0640182,-0.580681,0.0534652,0.0848881,-0.545022,-0.147066,0.456337,-0.380967,-0.335796,-0.0706328,0.114953,-1011.79
-1014.4,0.976477,0.26978,4,15,0,1041.64,0.0188697,0.193402,0.23391,0.0649207,0.137271,0.0969171,0.32405,-0.548701,0.0240432,-0.051002,-0.299554,0.181649,-0.0193443,-0.137535,-0.131243,0.160252,-0.0585953,0.110638,-0.0854126,-0.0375871,-0.0683783,0.243779,0.0127038,-0.0206804,0.123281,-0.819657,-0.171834,0.218168,-0.133368,0.624122,0.210016,-0.142349,-0.0476443,0.272862,-0.265565,0.350782,-0.2245,0.331832,0.0112809,0.265913,0.0188697,0.193402,0.23391,0.0649207,0.137271,0.0969171,0.32405,-0.548701,0.0240432,-0.051002,-0.299554,0.181649,-0.0193443,-0.137535,-0.131243,0.160252,-0.0585953,0.110638,-0.0854126,-0.214536,-1013.12
-1012.04,0.944718,0.26978,4,15,0,1032.08,0.158954,0.403879,0.423592,0.0481426,0.274924,0.145451,0.405498,-0.328872,0.101066,0.0358939,-0.558317,0.0521719,-0.0750679,-0.463954,-0.28893,0.35331,-0.471243,-0.140556,-0.0447866,-0.348397,-0.571565,-0.251528,-0.0939344,-0.310969,-0.133871,-0.172446,-0.0319426,-0.072124,-0.248729,0.200858,0.284186,-0.0981606,-0.0408894,0.125497,0.0627427,0.0342897,-0.214074,0.258668,0.26071,0.273048,0.158954,0.403879,0.423592,0.0481426,0.274924,0.145451,0.405498,-0.328872,0.101066,0.0358939,-0.558317,0.0521719,-0.0750679,-0.463954,-0.28893,0.35331,-0.471243,-0.140556,-0.0447866,-0.0311555,-1010.6
-1012,0.820029,0.26978,4,15,0,1035.47,-0.103703,0.0469219,0.321552,-0.0135613,0.151255,-0.138023,0.478112,-0.199772,-0.280487,-0.0807621,-0.21398,0.122094,0.0410685,-0.257745,0.0796049,0.245535,-0.0402691,-0.0556115,-0.150022,-0.14927,-0.193428,-0.0520047,-0.11876,0.115082,0.157024,-0.868402,-0.332632,-0.0725213,-0.35957,0.5047,0.0978036,-0.263441,-0.278367,0.23181,-0.340365,0.316096,-0.100827,0.184074,0.0204876,0.306926,-0.103703,0.0469219,0.321552,-0.0135613,0.151255,-0.138023,0.478112,-0.199772,-0.280487,-0.0807621,-0.21398,0.122094,0.0410685,-0.257745,0.0796049,0.245535,-0.0402691,-0.0556115,-0.150022,0.0477918,-1010.67
-1012.78,0.943526,0.26978,4,15,0,1034.85,-0.047478,0.420192,0.430778,0.0369266,0.304901,0.238356,0.271411,-0.450445,0.0280696,0.0523957,-0.373529,0.063927,-0.0435964,-0.351107,-0.224079,0.360231,-0.524818,-0.204397,-0.00249631,-0.370028,-0.575426,-0.112848,-0.149418,-0.259234,-0.101351,-0.148334,-0.032578,-0.0652757,-0.114458,0.346477,0.41574,-0.108349,0.00784318,0.224124,0.0813228,0.164976,-0.199201,0.345384,0.163706,0.207594,-0.047478,0.420192,0.430778,0.0369266,0.304901,0.238356,0.271411,-0.450445,0.0280696,0.0523957,-0.373529,0.063927,-0.0435964,-0.351107,-0.224079,0.360231,-0.524818,-0.204397,-0.00249631,0.0147558,-1011.38
-1011.71,0.652434,0.26978,4,15,0,1028.41,-0.121685,0.0787806,0.355746,-0.0197268,0.0169577,-0.114432,0.422956,-0.0801378,-0.111557,-0.0905355,-0.290339,0.247235,0.131752,-0.312801,0.0351773,0.166522,0.0128758,0.0309132,-0.192443,-0.0585162,-0.233003,-0.0335344,-0.0403935,0.0478856,0.136345,-0.948709,-0.18033,-0.0461785,-0.391851,0.445248,0.135016,-0.181697,-0.146578,0.2044,-0.329646,0.290293,-0.0907351,0.111018,0.124608,0.39834,-0.121685,0.0787806,0.355746,-0.0197268,0.0169577,-0.114432,0.422956,-0.0801378,-0.111557,-0.0905355,-0.290339,0.247235,0.131752,-0.312801,0.0351773,0.166522,0.0128758,0.0309132,-0.192443,-0.165257,-1010.43
-1014.24,0.97302,0.26978,4,15,0,1029.43,0.127265,0.389244,0.375908,0.0214077,0.399557,0.365863,0.35578,-0.402184,0.0456046,0.0710013,-0.433598,0.0678437,-0.102891,-0.455558,-0.200251,0.342349,-0.579811,-0.20384,-0.0158737,-0.534616,-0.595879,-0.196491,-0.288743,-0.224877,-0.182592,-0.212954,-0.0910606,-0.0748889,-0.110281,0.194709,0.358477,-0.176697,-0.0708307,0.227709,-0.200894,0.125958,-0.265935,0.339702,0.0442424,0.293413,0.127265,0.389244,0.375908,0.0214077,0.399557,0.365863,0.35578,-0.402184,0.0456046,0.0710013,-0.433598,0.0678437,-0.102891,-0.455558,-0.200251,0.342349,-0.579811,-0.20384,-0.0158737,-0.167816,-1012.57
-1014.71,0.94817,0.26978,4,15,0,1031.98,-0.0520096,0.152583,0.289032,-0.125903,0.0132197,-0.176327,0.302466,-0.0209691,-0.116241,-0.0597314,-0.226478,0.244944,0.180846,-0.18375,-0.0581832,0.24933,-0.0350284,-0.00230614,-0.142604,-0.137311,-0.315143,-0.229499,-0.178069,-0.0966145,0.1112,-0.972945,-0.275711,-0.140032,-0.547234,0.35758,0.0282702,-0.309423,-0.306938,-0.11139,-0.321843,0.1974,-0.182175,-0.0475358,0.0693092,0.460797,-0.0520096,0.152583,0.289032,-0.125903,0.0132197,-0.176327,0.302466,-0.0209691,-0.116241,-0.0597314,-0.226478,0.244944,0.180846,-0.18375,-0.0581832,0.24933,-0.0350284,-0.00230614,-0.142604,-0.232889,-1013.3
-1016.59,0.847204,0.26978,4,15,0,1037.08,0.116558,0.37967,0.424665,0.143661,0.435231,0.339757,0.485583,-0.487566,0.00783018,0.0298697,-0.539051,0.0504808,-0.0699568,-0.469417,-0.168979,0.376268,-0.458048,-0.191311,-0.0566323,-0.504873,-0.587817,-0.0713622,-0.196639,-0.205752,-0.178316,-0.234868,-0.0957386,-0.17418,-0.167034,0.254388,0.296926,-0.20778,-0.0393269,0.391449,-0.12643,0.190224,-0.229409,0.464545,0.0609973,0.240673,0.116558,0.37967,0.424665,0.143661,0.435231,0.339757,0.485583,-0.487566,0.00783018,0.0298697,-0.539051,0.0504808,-0.0699568,-0.469417,-0.168979,0.376268,-0.458048,-0.191311,-0.0566323,-0.348612,-1014.77
-1016.41,0.990367,0.26978,4,15,0,1033.97,-0.118597,0.108454,0.314257,-0.110296,0.0384551,-0.0758944,0.351796,-0.0538728,-0.183506,-0.0118167,-0.135094,0.301938,0.0567196,-0.225472,0.0295416,0.30564,-0.0135847,-0.0247202,-0.242927,0.00840511,-0.189012,-0.153832,-0.143315,0.0386143,0.221268,-0.80769,-0.321233,-0.106739,-0.477411,0.496981,0.152904,-0.226537,-0.307267,0.011769,-0.147635,0.244346,-0.138459,-0.054115,0.217812,0.353484,-0.118597,0.108454,0.314257,-0.110296,0.0384551,-0.0758944,0.351796,-0.0538728,-0.183506,-0.0118167,-0.135094,0.301938,0.0567196,-0.225472,0.0295416,0.30564,-0.0135847,-0.0247202,-0.242927,-0.311019,-1015.19
-1014.91,0.89834,0.26978,4,15,0,1031.91,0.156718,0.408476,0.455501,0.0909798,0.423519,0.238727,0.297401,-0.463556,-0.00829301,0.0119652,-0.606182,-0.0387649,0.0262943,-0.462678,-0.199599,0.289114,-0.430465,-0.120707,0.0670672,-0.477734,-0.60528,-0.0277605,-0.123453,-0.221753,-0.170281,-0.254126,0.0228554,-0.0548256,-0.0498271,0.242678,0.323207,-0.158201,-0.036303,0.356645,-0.228467,0.227173,-0.152374,0.506469,0.0348419,0.30652,0.156718,0.408476,0.455501,0.0909798,0.423519,0.238727,0.297401,-0.463556,-0.00829301,0.0119652,-0.606182,-0.0387649,0.0262943,-0.462678,-0.199599,0.289114,-0.430465,-0.120707,0.0670672,-0.135518,-1013.21
-1015.03,0.697346,0.26978,4,15,0,1034.73,-0.129948,0.016486,0.254567,-0.0414178,0.0477343,-0.0273753,0.403291,-0.171351,-0.0535395,-0.103764,-0.351445,0.333892,-0.0147666,-0.166926,-0.0581895,0.403928,-0.106226,-0.0758429,-0.23653,0.0655539,-0.360764,-0.142194,-0.0614033,0.0920034,0.263858,-0.791776,-0.309863,-0.0703306,-0.443099,0.546414,0.130037,-0.254992,-0.287232,0.0800997,-0.0242821,0.252542,-0.172046,0.000328443,0.140668,0.334251,-0.129948,0.016486,0.254567,-0.0414178,0.0477343,-0.0273753,0.403291,-0.171351,-0.0535395,-0.103764,-0.351445,0.333892,-0.0147666,-0.166926,-0.0581895,0.403928,-0.106226,-0.0758429,-0.23653,0.0774248,-1013.7
-1022.82,0.931709,0.26978,4,15,0,1040.68,0.0911853,0.0683695,0.221802,-0.172893,0.185939,0.0956256,0.378074,-0.209883,-0.232952,-0.0784604,-0.31114,0.187586,0.185661,-0.0972075,-0.0944149,0.618657,-0.289517,-0.178857,-0.0859387,-0.0318936,-0.297399,0.0579818,0.174831,-0.00839862,0.0415853,-0.833887,-0.361993,0.0955166,-0.590807,0.541382,0.137261,-0.142098,-0.2445,-0.0477219,0.0476634,0.228783,-0.158585,-0.0553812,0.294316,0.371909,0.0911853,0.0683695,0.221802,-0.172893,0.185939,0.0956256,0.378074,-0.209883,-0.232952,-0.0784604,-0.31114,0.187586,0.185661,-0.0972075,-0.0944149,0.618657,-0.289517,-0.178857,-0.0859387,-0.281636,-1021.28
