# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/trvie82k.json
# init = 2 (Default)
# random
#   seed = 44871
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4tr_w705r/poisson_4-20250829005510_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.201075
# Diagonal elements of inverse mass matrix:
# 0.107932, 0.194289, 0.205162, 0.123432, 0.114484, 0.263356, 0.147789, 0.176493, 0.15314, 0.139544, 0.194143, 0.110636, 0.267631, 0.18416, 0.251375, 0.176407, 0.175919, 0.130572, 0.116793, 0.179616, 0.214598, 0.189643, 0.221059, 0.1873, 0.155698, 0.211028, 0.161512, 0.16793, 0.256098, 0.15887, 0.219964, 0.173412, 0.19387, 0.110622, 0.218364, 0.141774, 0.17018, 0.149379, 0.13629, 0.0283183
-149.768,0.998528,0.201075,4,15,0,174.171,0.250619,0.728072,0.00631173,0.582826,0.458313,-0.817351,-0.455005,-0.113509,0.120081,-0.0259341,-0.170542,0.346075,-1.40632,-0.85415,-0.375728,-0.0763232,0.199514,0.59287,0.352378,-0.371038,-0.210447,-0.323774,-1.57638,-0.16317,0.0596053,-0.869298,-0.232942,0.104647,-0.110002,-0.534689,-0.874447,-0.262272,0.129696,-0.106326,-0.590235,-0.669545,-0.525505,-1.25388,0.835677,0.49999,0.250619,0.728072,0.00631173,0.582826,0.458313,-0.817351,-0.455005,-0.113509,0.120081,-0.0259341,-0.170542,0.346075,-1.40632,-0.85415,-0.375728,-0.0763232,0.199514,0.59287,0.352378,0.657801,-142.797
-149.782,0.991814,0.201075,4,31,0,172.913,0.23201,0.0369722,0.443456,0.768128,0.728181,-0.606156,0.507915,0.11723,0.671163,-0.40253,-0.44303,-0.438345,-0.815948,-0.404187,-0.686281,-1.10182,-0.323888,0.753745,0.437819,-0.281413,0.0963415,-0.00529119,-1.1056,0.677969,0.313269,-1.31674,0.29509,0.0674535,0.00955518,0.131324,-0.405997,-1.1294,-0.0623306,0.484532,-0.487184,-0.27833,-0.0167697,-0.710832,0.246081,0.27214,0.23201,0.0369722,0.443456,0.768128,0.728181,-0.606156,0.507915,0.11723,0.671163,-0.40253,-0.44303,-0.438345,-0.815948,-0.404187,-0.686281,-1.10182,-0.323888,0.753745,0.437819,0.525569,-143.414
-149.906,0.950772,0.201075,4,15,0,170.092,0.369682,-0.263715,0.784557,0.677877,1.25586,-0.689263,0.511991,-0.307715,-0.182944,0.238613,0.275689,-0.719632,-0.56719,-0.555032,-0.511116,-0.870759,-0.35588,0.15058,0.938657,-0.294165,-0.392576,-0.438036,-1.84897,0.1115,0.00345894,0.273185,0.137037,1.02116,-0.197737,0.813396,0.118066,-0.974451,0.0124175,0.426836,-0.590497,0.610972,0.379197,-0.175249,0.273519,0.10766,0.369682,-0.263715,0.784557,0.677877,1.25586,-0.689263,0.511991,-0.307715,-0.182944,0.238613,0.275689,-0.719632,-0.56719,-0.555032,-0.511116,-0.870759,-0.35588,0.15058,0.938657,-0.180264,-142.465
-151.216,0.957007,0.201075,5,31,0,175.954,1.11491,-0.83157,-0.0367085,0.778073,1.19281,-1.39115,0.422572,-0.331924,-0.170292,0.426842,0.0731503,-0.259136,-0.719266,-0.166392,-0.504151,-0.721531,0.660352,0.231002,0.235157,-0.119169,-0.29378,-1.26925,-1.25285,0.242696,-0.820132,-0.342051,0.558024,0.124221,0.501033,1.41917,-0.471343,0.0550001,0.28943,0.744327,-0.0250273,-0.093918,-0.891116,-0.0455325,-0.304896,0.112503,1.11491,-0.83157,-0.0367085,0.778073,1.19281,-1.39115,0.422572,-0.331924,-0.170292,0.426842,0.0731503,-0.259136,-0.719266,-0.166392,-0.504151,-0.721531,0.660352,0.231002,0.235157,-0.00275417,-142.8
-139.127,0.998144,0.201075,4,15,0,162.832,0.188532,-0.512831,0.177264,0.686039,0.959791,-1.00562,0.0585315,-0.127387,-0.564089,0.758398,0.0499307,0.190536,-0.73723,-0.880062,0.0939765,-0.12934,-0.352284,0.514406,0.947113,0.208135,-0.211152,-1.12909,-0.769179,-0.100138,-0.764626,0.21263,0.518603,-0.741575,-0.253792,0.0337197,-0.54245,-0.0462704,-0.55268,0.336802,-0.781545,-0.213991,-0.402795,0.0435421,0.10652,0.322945,0.188532,-0.512831,0.177264,0.686039,0.959791,-1.00562,0.0585315,-0.127387,-0.564089,0.758398,0.0499307,0.190536,-0.73723,-0.880062,0.0939765,-0.12934,-0.352284,0.514406,0.947113,-0.315673,-133.404
-140.697,0.962283,0.201075,4,15,0,158.65,0.268455,-0.931977,0.177639,0.675221,0.735448,-0.912739,-0.162103,-0.172514,-0.265333,0.719622,0.448379,-0.084442,-1.12918,-0.362169,-0.0142795,0.058787,-0.433595,0.609619,0.582939,-0.543656,-0.349797,-0.746034,-0.43546,-0.0166285,-0.476485,0.040997,0.966081,-0.476674,-0.433294,-0.0789005,-1.53915,0.0959726,-0.205285,0.181101,-0.492415,-0.048393,0.0922094,0.520159,0.501527,0.328596,0.268455,-0.931977,0.177639,0.675221,0.735448,-0.912739,-0.162103,-0.172514,-0.265333,0.719622,0.448379,-0.084442,-1.12918,-0.362169,-0.0142795,0.058787,-0.433595,0.609619,0.582939,0.192222,-134.673
