# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/wx_p9440.json
# init = 2 (Default)
# random
#   seed = 95515
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_42t50760w/poisson_4-20250829005520_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.165502
# Diagonal elements of inverse mass matrix:
# 0.0569084, 0.100964, 0.0704176, 0.0600144, 0.051417, 0.105447, 0.106961, 0.0678642, 0.0692268, 0.0810271, 0.0728136, 0.0803707, 0.0682214, 0.119548, 0.0644396, 0.0903974, 0.0737602, 0.0770414, 0.0867504, 0.082975, 0.0681507, 0.145969, 0.0884097, 0.107087, 0.0826982, 0.0815432, 0.110154, 0.095822, 0.0599601, 0.101001, 0.0626734, 0.0623641, 0.117784, 0.0834546, 0.0656764, 0.138784, 0.0842772, 0.0462693, 0.0836363, 0.0141512
-282.209,0.90129,0.165502,4,31,0,303.682,-0.0812542,-0.456237,0.346814,0.40061,0.211021,-0.459932,-0.449881,0.116208,0.0178939,-0.269242,0.210225,0.48232,0.442352,-0.426846,-0.261688,-0.157245,-0.0298523,-0.305465,0.119628,-0.337016,0.777903,-0.640546,-0.354584,-0.841082,-0.337878,-0.257872,-0.152089,0.353629,0.351425,-0.669167,0.40128,0.648225,-0.250022,0.0727314,0.531053,-0.334426,-0.00831,0.919408,0.313993,0.212113,-0.0812542,-0.456237,0.346814,0.40061,0.211021,-0.459932,-0.449881,0.116208,0.0178939,-0.269242,0.210225,0.48232,0.442352,-0.426846,-0.261688,-0.157245,-0.0298523,-0.305465,0.119628,0.55057,-278.813
-276.72,0.999574,0.165502,5,31,0,295.022,0.266659,-0.503117,0.167679,0.369743,0.606936,-0.22905,-0.249631,0.203034,0.226851,-0.619403,-0.168179,0.0137122,0.531841,-0.62991,0.0775079,0.0394352,-0.302454,-0.0795025,-0.0071066,0.32861,0.339924,-0.825037,-0.19584,-0.900848,0.231071,0.386634,0.292454,-0.00461987,0.333274,-0.240975,0.196231,-0.0491362,-0.400821,-0.260763,0.00128194,-0.32025,-0.0385438,0.438091,-0.0833358,0.319365,0.266659,-0.503117,0.167679,0.369743,0.606936,-0.22905,-0.249631,0.203034,0.226851,-0.619403,-0.168179,0.0137122,0.531841,-0.62991,0.0775079,0.0394352,-0.302454,-0.0795025,-0.0071066,0.284954,-274.145
-286.513,0.854803,0.165502,5,31,0,305.572,0.479033,-0.171829,0.47969,-0.131738,0.324334,-0.626281,-0.352895,-0.190436,-0.0408805,0.495277,0.555615,-0.124391,-0.0429213,-0.274508,0.0406619,-0.533021,0.125479,-0.392962,-0.156527,-0.750317,0.0593677,-0.367647,-0.219794,-0.082113,-0.687177,-0.495829,-0.818109,0.00806487,-0.0676604,-0.807175,0.255906,-0.0792332,-0.620844,0.00208768,0.419168,-0.603524,-0.394072,0.567231,-0.260682,0.523298,0.479033,-0.171829,0.47969,-0.131738,0.324334,-0.626281,-0.352895,-0.190436,-0.0408805,0.495277,0.555615,-0.124391,-0.0429213,-0.274508,0.0406619,-0.533021,0.125479,-0.392962,-0.156527,0.538299,-283.058
-279.602,0.999476,0.165502,5,31,0,299.811,0.338901,-0.390923,0.376114,0.223248,0.545232,0.0811096,-0.345636,0.240619,0.211877,-0.725599,-0.524996,-0.176396,0.324921,-0.475502,0.296395,-0.145773,-0.361085,0.0651529,0.152983,0.636799,0.664851,-0.605042,0.157342,-0.80532,0.18105,0.0794581,-0.249866,0.0227022,0.398093,0.00121388,0.634941,0.390351,-0.0431481,0.126972,0.304152,-0.363883,0.454493,0.697142,0.00667349,0.0345172,0.338901,-0.390923,0.376114,0.223248,0.545232,0.0811096,-0.345636,0.240619,0.211877,-0.725599,-0.524996,-0.176396,0.324921,-0.475502,0.296395,-0.145773,-0.361085,0.0651529,0.152983,0.289357,-276.574
-281.019,0.86135,0.165502,5,31,0,299.543,0.119247,-0.340509,0.412443,-0.0128692,0.358368,-0.670802,0.130588,0.0109626,0.362502,0.435788,0.649375,-0.160537,0.303377,-0.349002,-0.195297,-0.316652,-0.024666,-0.507025,-0.0104831,-0.656302,0.273233,-0.604533,-0.232399,0.332492,0.180194,0.11443,0.000522981,0.104023,0.256476,-0.530988,0.288653,0.00283305,-0.573142,0.0120765,0.356296,-0.14843,-0.200307,0.651227,0.137322,0.334342,0.119247,-0.340509,0.412443,-0.0128692,0.358368,-0.670802,0.130588,0.0109626,0.362502,0.435788,0.649375,-0.160537,0.303377,-0.349002,-0.195297,-0.316652,-0.024666,-0.507025,-0.0104831,-0.194807,-278.584
-281.805,0.979363,0.165502,5,31,0,304.62,0.605518,-0.371847,0.259763,0.169632,0.644943,-0.0497812,-0.59528,0.182738,0.175514,-0.47477,-0.275686,-0.284311,0.188664,-0.278386,0.236167,-0.271105,-0.253663,0.219022,0.136135,0.638408,0.618482,-0.220398,-0.0448761,-1.01202,-0.0214468,-0.307947,0.00425962,0.0945735,0.288655,-0.418461,0.905879,0.533537,-0.0570556,0.18674,0.407848,-0.199381,-0.0705974,0.729437,-0.0316071,0.15316,0.605518,-0.371847,0.259763,0.169632,0.644943,-0.0497812,-0.59528,0.182738,0.175514,-0.47477,-0.275686,-0.284311,0.188664,-0.278386,0.236167,-0.271105,-0.253663,0.219022,0.136135,0.0367345,-278.639
