# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/k059u7h_.json
# init = 2 (Default)
# random
#   seed = 36301
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4ie8a1fw1/poisson_4-20250829005521_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.165835
# Diagonal elements of inverse mass matrix:
# 0.0301355, 0.0727034, 0.0332194, 0.0432735, 0.0381155, 0.0640302, 0.0594344, 0.0704383, 0.0385727, 0.0560063, 0.0441677, 0.0731274, 0.0335146, 0.0628306, 0.0506332, 0.065105, 0.053463, 0.0708533, 0.0615496, 0.0548495, 0.0398932, 0.103373, 0.0726418, 0.0704384, 0.0532561, 0.0503802, 0.0987214, 0.0645476, 0.0514531, 0.0722174, 0.04338, 0.0445248, 0.0435734, 0.0563086, 0.0367023, 0.0855708, 0.0768709, 0.0365719, 0.0720867, 0.0104378
-409.056,0.98614,0.165835,5,31,0,425.979,0.375581,-0.00346673,0.394791,0.267075,0.339527,0.148902,0.128041,-0.555708,0.0858833,-0.145577,-0.0168912,-0.383868,0.401385,-0.164863,0.145336,-0.297641,-0.183756,-0.365963,-0.313545,0.00649681,0.597034,-0.808312,-0.25477,-0.593377,-0.112016,-0.0149903,-0.329615,-0.156944,0.15266,-0.491974,0.145974,0.0432439,0.367648,-0.143001,-0.451197,-0.587061,-0.0246778,0.400195,-0.250309,0.407839,0.375581,-0.00346673,0.394791,0.267075,0.339527,0.148902,0.128041,-0.555708,0.0858833,-0.145577,-0.0168912,-0.383868,0.401385,-0.164863,0.145336,-0.297641,-0.183756,-0.365963,-0.313545,0.144758,-406.793
-428.686,0.927474,0.165835,4,31,0,438.442,0.258009,-0.338192,0.423789,0.0565531,0.574022,-0.155859,0.4459,-0.572585,0.0214296,-0.426207,-0.131222,0.00276531,0.644043,0.277704,-0.0721123,-0.430943,-0.298203,-0.384444,-0.0943818,-0.400362,0.61437,-0.905502,-0.00557874,-1.10727,-0.841909,0.03885,-0.511321,-0.339513,-0.14991,-0.534654,0.352297,-0.0105386,0.11936,0.100882,-0.531977,-0.61509,0.136924,0.585834,0.272306,0.379201,0.258009,-0.338192,0.423789,0.0565531,0.574022,-0.155859,0.4459,-0.572585,0.0214296,-0.426207,-0.131222,0.00276531,0.644043,0.277704,-0.0721123,-0.430943,-0.298203,-0.384444,-0.0943818,0.199935,-424.815
-420.407,0.986742,0.165835,5,31,0,453.189,0.479981,0.138587,0.663547,0.202161,0.494364,-0.356214,-0.296306,-0.781628,0.230451,-0.0417553,0.321654,-0.625083,0.438004,-0.322306,0.364675,-0.460613,-0.37683,-0.100339,-0.101682,0.265797,0.372597,-0.859206,-0.476095,0.180554,0.29903,0.12537,-0.793717,-0.168576,0.235713,-0.1293,0.0445903,0.189736,0.197629,-0.68817,0.465862,-0.848678,-0.701295,0.289398,-0.374081,0.267069,0.479981,0.138587,0.663547,0.202161,0.494364,-0.356214,-0.296306,-0.781628,0.230451,-0.0417553,0.321654,-0.625083,0.438004,-0.322306,0.364675,-0.460613,-0.37683,-0.100339,-0.101682,0.129332,-416.672
-421.605,0.996822,0.165835,4,31,0,435.683,0.526201,0.178026,0.672507,0.220812,0.54484,-0.352384,-0.299374,-0.830164,0.275651,0.00829601,0.210949,-0.578027,0.497259,-0.377472,0.248891,-0.536315,-0.302611,-0.319873,-0.139753,0.319165,0.436254,-0.525447,-0.402659,0.0310283,0.460047,0.0548724,-0.547443,-0.148861,0.260348,-0.143692,0.0636929,0.198466,0.30753,-0.677872,0.475882,-0.76556,-0.771014,0.2137,-0.0383467,0.281472,0.526201,0.178026,0.672507,0.220812,0.54484,-0.352384,-0.299374,-0.830164,0.275651,0.00829601,0.210949,-0.578027,0.497259,-0.377472,0.248891,-0.536315,-0.302611,-0.319873,-0.139753,0.352539,-418.153
-422.125,0.9555,0.165835,5,31,0,455.325,0.570326,-0.242689,0.0506188,0.447958,0.0772641,-0.356983,0.230737,0.00784003,0.382582,-0.452366,-0.301407,-0.566946,0.460453,0.168354,-0.113602,-0.362998,0.0188334,0.0245795,-0.124853,-0.538945,0.572596,-1.24369,-0.405469,-0.886978,-0.489519,-0.113218,-0.345539,-0.441918,-0.400948,-0.877086,0.191748,0.0897723,0.262592,-0.326274,-0.119662,-0.667066,-0.402219,0.45789,-0.378504,0.392145,0.570326,-0.242689,0.0506188,0.447958,0.0772641,-0.356983,0.230737,0.00784003,0.382582,-0.452366,-0.301407,-0.566946,0.460453,0.168354,-0.113602,-0.362998,0.0188334,0.0245795,-0.124853,0.0822964,-418.174
-416.151,0.994577,0.165835,5,31,0,441.101,-0.089993,-0.0965797,0.411908,-0.125003,0.645039,0.0104903,-0.156428,-0.317197,0.139057,0.121997,0.308055,0.0114658,0.414129,-0.34894,0.330024,0.117964,-0.581487,-0.635889,-0.145402,0.196864,0.0126353,-0.655119,-0.337769,-0.423107,0.0467178,-0.056106,-0.746321,-0.211028,0.439831,0.0905844,0.148182,0.213978,-0.108735,0.0846047,0.264378,-0.267792,-0.139654,0.338007,-0.149646,0.290105,-0.089993,-0.0965797,0.411908,-0.125003,0.645039,0.0104903,-0.156428,-0.317197,0.139057,0.121997,0.308055,0.0114658,0.414129,-0.34894,0.330024,0.117964,-0.581487,-0.635889,-0.145402,-0.0132101,-414.106
-422.245,0.966031,0.165835,5,31,0,441.138,0.799125,-0.362189,0.317468,0.521229,-0.0458904,-0.601005,0.00514602,0.0344067,-0.0173073,-0.320813,-0.13653,-0.917803,0.521784,-0.000968972,-0.195018,-0.394961,0.355715,-0.0450968,0.136598,-0.291201,0.498777,-1.35321,-0.191869,-0.321892,-0.304571,-0.0775411,-0.458699,-0.607714,-0.367209,-0.640996,0.0584598,0.194075,0.413344,-0.391281,0.287321,-0.709394,-0.483817,0.572979,-0.41837,0.269462,0.799125,-0.362189,0.317468,0.521229,-0.0458904,-0.601005,0.00514602,0.0344067,-0.0173073,-0.320813,-0.13653,-0.917803,0.521784,-0.000968972,-0.195018,-0.394961,0.355715,-0.0450968,0.136598,0.346111,-418.058
-418.973,0.954283,0.165835,5,31,0,444.298,-0.222804,-0.214072,0.355438,-0.196954,0.640446,0.0440182,0.06407,-0.356426,0.324661,0.11264,0.223419,0.185493,0.364324,-0.378809,0.291264,-0.099343,-0.60758,-0.642938,-0.0869878,0.0121133,0.149971,-0.67718,-0.512364,-0.436746,-0.234733,-0.304698,-0.805806,-0.00755089,-0.0681137,-0.0136453,0.26293,0.222851,-0.17019,0.0984608,0.259126,-0.31524,-0.0494074,0.255289,-0.124961,0.306713,-0.222804,-0.214072,0.355438,-0.196954,0.640446,0.0440182,0.06407,-0.356426,0.324661,0.11264,0.223419,0.185493,0.364324,-0.378809,0.291264,-0.099343,-0.60758,-0.642938,-0.0869878,0.20014,-416.77
-423.627,0.813015,0.165835,5,31,0,447.524,0.396152,-0.148332,0.209149,-0.00864762,0.446068,-0.417585,-0.124323,-0.140737,0.187425,-0.256727,-0.160589,-0.778326,0.340732,0.207762,-0.22371,0.0445841,0.233977,0.0360228,-0.161517,0.0308703,0.799506,-1.18641,-0.405315,-0.198211,0.508319,0.568837,-0.445016,-0.260137,-0.100912,-0.234312,0.324935,0.52006,0.287215,-0.262765,0.478044,0.0976753,-0.572139,0.961139,-0.688529,0.23343,0.396152,-0.148332,0.209149,-0.00864762,0.446068,-0.417585,-0.124323,-0.140737,0.187425,-0.256727,-0.160589,-0.778326,0.340732,0.207762,-0.22371,0.0445841,0.233977,0.0360228,-0.161517,0.31862,-419.943
-412.411,0.970388,0.165835,4,31,0,442.3,0.249399,-0.012025,0.319467,0.344432,0.408123,-0.571023,-0.0584836,-0.234761,-0.103562,-0.0324372,0.211566,-0.567445,0.554829,-0.445902,0.183799,-0.184831,-0.0272016,-0.355946,-0.0865062,0.000617225,0.567655,-0.756184,-0.729346,0.0225991,-0.286343,0.359961,0.0822113,-0.507447,0.507449,-0.223968,0.264496,0.042301,0.5887,-0.0925813,0.396016,-0.375416,0.205276,0.718324,-0.104434,0.116864,0.249399,-0.012025,0.319467,0.344432,0.408123,-0.571023,-0.0584836,-0.234761,-0.103562,-0.0324372,0.211566,-0.567445,0.554829,-0.445902,0.183799,-0.184831,-0.0272016,-0.355946,-0.0865062,0.408509,-409.691
