# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/aqokcbz7.json
# init = 2 (Default)
# random
#   seed = 85950
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4b4gq7l3r/poisson_4-20250829005523_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.180256
# Diagonal elements of inverse mass matrix:
# 0.0261654, 0.0426861, 0.024107, 0.0410344, 0.0293923, 0.0421637, 0.0331345, 0.0418338, 0.0337712, 0.0383667, 0.0486608, 0.0562353, 0.0294616, 0.0456112, 0.0340143, 0.0416352, 0.0345478, 0.0549343, 0.0486501, 0.0401055, 0.0308932, 0.0814972, 0.0584711, 0.0547889, 0.0445108, 0.0367619, 0.0677507, 0.0453896, 0.0390913, 0.0650874, 0.03433, 0.0350306, 0.0331339, 0.0416628, 0.0392914, 0.0535848, 0.0506163, 0.0258781, 0.0555894, 0.00796282
-548.058,0.994826,0.180256,5,31,0,573.938,0.0669246,-0.0518439,0.484129,-0.299008,0.477242,-0.0225087,-0.243038,-0.321863,-0.0413112,0.119729,0.00327568,-0.620941,0.345884,-0.0665187,0.498569,-0.260101,0.0916192,-0.00554908,-0.159713,0.044245,0.221619,-0.521344,-0.228636,-0.68187,-0.210765,-0.131284,-0.317361,-0.136671,0.16075,-0.474295,-0.0505796,-0.157076,0.389821,0.178742,0.362714,-0.0742896,0.0075065,0.584501,-0.0802948,0.292648,0.0669246,-0.0518439,0.484129,-0.299008,0.477242,-0.0225087,-0.243038,-0.321863,-0.0413112,0.119729,0.00327568,-0.620941,0.345884,-0.0665187,0.498569,-0.260101,0.0916192,-0.00554908,-0.159713,0.00502325,-546.232
-546.423,0.999563,0.180256,5,31,0,562.504,0.524478,-0.307959,0.265606,0.309654,0.367359,-0.155174,0.16476,-0.16246,0.249012,-0.185009,-0.120002,-0.134146,0.272419,-0.185405,-0.160956,-0.0230809,-0.150561,-0.63879,-0.0195991,0.036011,0.575468,-1.07624,-0.321509,-0.00648081,0.0123551,0.161292,-0.36345,-0.205011,-0.0964133,-0.153411,0.219778,0.463441,0.141161,-0.282341,-0.135236,-0.451936,-0.333778,0.517439,-0.294503,0.260631,0.524478,-0.307959,0.265606,0.309654,0.367359,-0.155174,0.16476,-0.16246,0.249012,-0.185009,-0.120002,-0.134146,0.272419,-0.185405,-0.160956,-0.0230809,-0.150561,-0.63879,-0.0195991,0.0898534,-544.228
-552.867,0.85165,0.180256,4,15,0,571.581,0.444976,-0.327295,0.310674,0.313893,0.284126,-0.378718,0.225127,-0.0514264,0.255728,-0.0502783,-0.121809,-0.147287,0.224926,-0.0778809,-0.0611032,-0.110274,-0.194563,-0.611629,0.142869,0.246522,0.723961,-0.974831,-0.207445,0.0798523,0.0841381,0.352743,-0.155382,-0.322985,0.0783675,-0.189289,0.208039,0.403313,0.00323581,-0.203552,-0.0829644,-0.574541,-0.36342,0.356506,-0.486746,0.30077,0.444976,-0.327295,0.310674,0.313893,0.284126,-0.378718,0.225127,-0.0514264,0.255728,-0.0502783,-0.121809,-0.147287,0.224926,-0.0778809,-0.0611032,-0.110274,-0.194563,-0.611629,0.142869,-0.0700536,-550.644
-551.023,0.991498,0.180256,5,31,0,569.974,0.479009,-0.184631,0.319551,0.0393623,0.326427,-0.303502,0.222106,-0.352158,0.370623,-0.228164,0.141992,-0.243694,0.140423,-0.205612,-0.081394,-0.194573,-0.421848,-0.476582,0.308528,0.139141,0.70096,-0.446525,-0.114879,-0.0505563,-0.0253778,0.41519,-0.490003,-0.351306,0.0937477,-0.140777,0.415747,0.411718,0.229352,-0.136465,0.125468,-0.246952,-0.122139,0.432553,-0.470348,0.191265,0.479009,-0.184631,0.319551,0.0393623,0.326427,-0.303502,0.222106,-0.352158,0.370623,-0.228164,0.141992,-0.243694,0.140423,-0.205612,-0.081394,-0.194573,-0.421848,-0.476582,0.308528,0.344137,-549.095
-549.765,0.985698,0.180256,5,31,0,564.279,0.0958983,-0.146594,0.412609,-0.0470446,0.474219,0.0818319,-0.0367102,-0.00317862,-0.156796,0.0420292,-0.366855,-0.421375,0.494543,-0.120534,0.447057,-0.109414,0.266285,-0.220221,-0.511348,-0.0822858,0.0980589,-1.09641,-0.366049,-0.69871,-0.140886,-0.356117,-0.209973,0.0290126,-0.0731166,-0.469093,-0.150013,-0.0657178,0.236974,-0.0661156,0.122879,-0.296769,-0.118128,0.65257,0.0826747,0.392492,0.0958983,-0.146594,0.412609,-0.0470446,0.474219,0.0818319,-0.0367102,-0.00317862,-0.156796,0.0420292,-0.366855,-0.421375,0.494543,-0.120534,0.447057,-0.109414,0.266285,-0.220221,-0.511348,-0.174401,-547.427
-551.853,0.9897,0.180256,5,31,0,569.27,0.0833984,-0.00200283,0.435781,0.189858,0.552393,0.127078,0.198877,-0.226855,0.259648,-0.338239,-0.0545321,-0.567146,0.425421,-0.383688,0.464004,-0.161759,-0.406663,-0.715131,-0.113642,-0.00709017,0.294248,-0.669097,-0.333537,-0.436777,-0.162654,-0.0420415,-0.0569898,-0.0353579,0.347757,-0.161163,-0.0908961,0.513589,0.333122,-0.00888866,0.321835,-0.0694935,-0.244377,0.832614,-0.00125338,0.342898,0.0833984,-0.00200283,0.435781,0.189858,0.552393,0.127078,0.198877,-0.226855,0.259648,-0.338239,-0.0545321,-0.567146,0.425421,-0.383688,0.464004,-0.161759,-0.406663,-0.715131,-0.113642,0.2332,-549.459
