# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/ajahu37g.json
# init = 2 (Default)
# random
#   seed = 24888
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_466b50gp6/poisson_4-20250829005516_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.216067
# Diagonal elements of inverse mass matrix:
# 0.0166783, 0.0213505, 0.0153871, 0.0263681, 0.013847, 0.0230969, 0.0196795, 0.0281632, 0.0180296, 0.0176773, 0.0194758, 0.0228009, 0.0125411, 0.0205489, 0.0172767, 0.0289214, 0.0178636, 0.0198058, 0.0200958, 0.0264133, 0.015731, 0.0233962, 0.0288741, 0.0314734, 0.0289512, 0.0212508, 0.0333484, 0.0314932, 0.020063, 0.0317968, 0.0214513, 0.018931, 0.0156084, 0.0216189, 0.0195085, 0.0220086, 0.0204495, 0.0138383, 0.0247178, 0.00401713
-1072.17,0.971188,0.216067,4,15,0,1093.2,0.302634,0.135708,0.314305,-0.0847694,0.296607,0.00407914,0.129734,-0.26488,0.105463,-0.149918,-0.0769249,-0.207459,0.11728,-0.576708,-0.0756899,-0.387699,0.271933,0.0718752,0.0579702,-0.342538,0.346747,-0.289383,-0.18933,-0.439627,-0.435751,0.0164969,-0.508302,-0.248131,0.00573998,-0.254863,0.400222,-0.105935,0.258882,-0.0459191,0.0525001,-0.149967,-0.216495,0.698828,0.184044,0.33469,0.302634,0.135708,0.314305,-0.0847694,0.296607,0.00407914,0.129734,-0.26488,0.105463,-0.149918,-0.0769249,-0.207459,0.11728,-0.576708,-0.0756899,-0.387699,0.271933,0.0718752,0.0579702,0.0164594,-1070.61
-1073.97,0.955076,0.216067,4,15,0,1103.63,0.15911,-0.231528,0.293728,-0.13206,0.310014,-0.325102,-0.178602,-0.24517,-0.0289993,0.052421,0.320186,-0.112295,0.451888,-0.337277,0.412556,0.00616652,-0.213493,0.00401493,-0.22132,0.191264,0.566484,-0.254172,-0.456473,-0.266561,0.141904,0.141199,-0.223657,-0.252643,0.259756,-0.438027,-0.24511,0.590038,0.364601,0.0391473,0.23305,-0.0391428,0.113051,0.322148,-0.0666026,0.301264,0.15911,-0.231528,0.293728,-0.13206,0.310014,-0.325102,-0.178602,-0.24517,-0.0289993,0.052421,0.320186,-0.112295,0.451888,-0.337277,0.412556,0.00616652,-0.213493,0.00401493,-0.22132,0.01576,-1072.41
-1075.06,0.93188,0.216067,4,15,0,1102.1,0.401517,-0.0900011,0.271369,-0.352079,0.366328,-0.570688,0.020516,-0.00337993,-0.235523,-0.0820375,0.191651,-0.211583,0.300517,-0.224123,0.327621,0.00461126,-0.00184984,-0.0321542,-0.116944,-0.0667894,0.446754,-0.245743,-0.519944,-0.13407,0.011308,0.162737,-0.311076,-0.39864,0.0953933,-0.189348,0.0157788,0.528358,0.694297,-0.00663533,0.0572059,0.204461,0.177474,0.391899,0.194961,0.184234,0.401517,-0.0900011,0.271369,-0.352079,0.366328,-0.570688,0.020516,-0.00337993,-0.235523,-0.0820375,0.191651,-0.211583,0.300517,-0.224123,0.327621,0.00461126,-0.00184984,-0.0321542,-0.116944,0.0362331,-1073.47
-1063.52,0.967872,0.216067,4,15,0,1092.34,0.207858,-0.273318,0.179623,-0.182499,0.173366,0.166461,0.00552865,-0.568509,0.0498922,0.0177408,0.0599338,0.00647526,0.185919,-0.0306461,-0.0185925,-0.421427,0.0858876,-0.0283644,0.212168,-0.0429778,0.40974,-0.114966,-0.0977421,-0.37044,-0.0932502,0.261423,-0.68216,-0.133532,0.0378471,-0.287819,-0.0607887,0.126853,0.212009,-0.0464259,0.247099,-0.00868483,-0.0623011,0.827215,0.0439207,0.288593,0.207858,-0.273318,0.179623,-0.182499,0.173366,0.166461,0.00552865,-0.568509,0.0498922,0.0177408,0.0599338,0.00647526,0.185919,-0.0306461,-0.0185925,-0.421427,0.0858876,-0.0283644,0.212168,0.172504,-1062.16
-1061.62,0.980766,0.216067,4,15,0,1081.84,0.151211,0.112454,0.203673,-0.142373,0.362632,-0.516761,0.0535612,-0.0958992,-0.0233727,0.101912,0.0937767,-0.242187,0.461337,-0.250487,0.120388,-0.110869,-0.105241,0.0119332,-0.333516,-0.039365,0.517373,-0.265806,-0.232966,-0.194753,-0.160919,-0.142764,-0.0374061,-0.344735,0.26637,-0.361857,0.287236,0.362151,0.493166,-0.0539555,0.054299,-0.00882479,0.0748076,0.342255,0.0710917,0.250313,0.151211,0.112454,0.203673,-0.142373,0.362632,-0.516761,0.0535612,-0.0958992,-0.0233727,0.101912,0.0937767,-0.242187,0.461337,-0.250487,0.120388,-0.110869,-0.105241,0.0119332,-0.333516,0.147829,-1060.39
-1065.73,0.775059,0.216067,4,15,0,1084.57,0.354207,-0.188282,0.260426,0.174443,0.26875,-0.241039,-0.0753,-0.503226,0.0664461,0.250926,0.323593,-0.232733,0.503258,-0.290943,0.0261943,-0.3491,-0.033633,0.215494,-0.407219,-0.0328238,0.335235,-0.00626334,-0.228993,-0.385251,-0.0772303,0.0384588,-0.198889,-0.424989,0.348921,-0.339449,0.0654875,0.395975,0.412267,0.065427,0.107626,0.116977,0.0853701,0.503485,0.0995125,0.201834,0.354207,-0.188282,0.260426,0.174443,0.26875,-0.241039,-0.0753,-0.503226,0.0664461,0.250926,0.323593,-0.232733,0.503258,-0.290943,0.0261943,-0.3491,-0.033633,0.215494,-0.407219,-0.122263,-1064.23
