# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/_24tunzu.json
# init = 2 (Default)
# random
#   seed = 17901
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4nonx7q78/poisson_4-20250829005518_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.151184
# Diagonal elements of inverse mass matrix:
# 0.126391, 0.2275, 0.09888, 0.161374, 0.0877268, 0.18554, 0.194842, 0.157119, 0.128492, 0.162686, 0.1579, 0.160639, 0.127848, 0.156396, 0.143056, 0.247678, 0.13147, 0.218949, 0.182199, 0.166097, 0.115529, 0.200408, 0.258808, 0.220128, 0.107032, 0.123802, 0.175812, 0.120228, 0.141003, 0.177367, 0.170959, 0.145881, 0.208581, 0.178931, 0.119399, 0.211549, 0.167208, 0.103209, 0.176686, 0.026067
-152.759,0.989831,0.151184,5,31,0,172.68,0.384091,-0.178788,0.622208,-0.352245,0.62098,-1.64099,0.0859321,-0.0532046,-0.451404,-0.111967,-0.0741174,0.206561,-0.313662,-0.211273,0.317047,0.135005,0.755856,-0.30011,0.261793,0.482707,0.240888,-0.10295,-1.42616,-0.24379,0.172679,-0.179813,-0.529985,0.728855,0.176932,-1.13466,0.581273,0.708496,-0.236043,-1.10826,0.825249,-0.601713,-0.843885,0.690125,-0.706524,0.290534,0.384091,-0.178788,0.622208,-0.352245,0.62098,-1.64099,0.0859321,-0.0532046,-0.451404,-0.111967,-0.0741174,0.206561,-0.313662,-0.211273,0.317047,0.135005,0.755856,-0.30011,0.261793,0.298286,-145.478
-151.597,0.877455,0.151184,5,31,0,168.402,-0.0266549,-0.696255,0.840616,-0.191259,1.12876,0.193942,-0.0509457,-0.0294128,0.264131,0.185827,0.587268,-0.496463,0.278399,-0.344557,0.217447,-1.16826,-0.0264702,-0.377953,-0.538379,-0.0357017,0.611402,-1.1937,-0.0549862,0.0632569,0.492527,0.726696,0.329323,0.645446,0.148404,0.590869,-0.928945,0.0106816,-0.300071,0.156018,-0.0749994,0.0290581,-0.0559471,0.63989,-0.233264,0.0237984,-0.0266549,-0.696255,0.840616,-0.191259,1.12876,0.193942,-0.0509457,-0.0294128,0.264131,0.185827,0.587268,-0.496463,0.278399,-0.344557,0.217447,-1.16826,-0.0264702,-0.377953,-0.538379,0.25022,-146.493
-151.242,0.995716,0.151184,5,31,0,170.837,-0.0701589,-0.492985,0.141453,0.00742346,0.513043,-1.0928,-0.0951426,0.336673,0.057075,-0.440647,0.110083,-0.0342846,0.321633,0.188919,-0.0954778,0.0790123,0.267014,-0.410657,0.162713,0.891871,0.530666,0.304736,-1.60092,-0.196505,-0.244734,-0.050015,-1.24329,0.330006,0.376534,-0.933587,0.384197,0.44768,-0.284078,-0.929093,0.774798,-0.526802,0.149293,0.707164,-0.45713,0.232563,-0.0701589,-0.492985,0.141453,0.00742346,0.513043,-1.0928,-0.0951426,0.336673,0.057075,-0.440647,0.110083,-0.0342846,0.321633,0.188919,-0.0954778,0.0790123,0.267014,-0.410657,0.162713,0.547108,-145.274
-140.437,0.998005,0.151184,4,31,0,160.962,-0.0355555,-0.225386,0.542604,-0.0152399,0.746212,-0.829214,-0.256637,0.12989,-0.00876964,-0.388446,0.0105499,-0.489676,0.333775,-0.019206,0.412781,-0.506377,0.0813262,-0.184778,0.174651,0.355879,0.591343,-0.0713112,-0.154875,0.464799,0.418775,0.348572,-0.86064,0.476189,0.51104,-0.588687,-0.114579,0.376493,0.245191,-0.0452813,0.331741,-0.131146,0.152772,0.780141,-0.189728,0.316473,-0.0355555,-0.225386,0.542604,-0.0152399,0.746212,-0.829214,-0.256637,0.12989,-0.00876964,-0.388446,0.0105499,-0.489676,0.333775,-0.019206,0.412781,-0.506377,0.0813262,-0.184778,0.174651,0.527495,-137.246
-152.501,0.945714,0.151184,5,31,0,162.9,0.806007,-0.807152,0.478658,0.357837,0.285706,-0.420553,0.24212,-0.388494,-0.883883,0.173007,0.541935,-0.138667,-0.0414988,0.802202,0.148347,-0.296358,0.327917,-0.98516,-0.737366,0.448293,0.399998,0.0256279,-0.951167,0.00105646,0.504524,0.726758,0.0610848,0.409235,-1.90659e-05,-0.972653,-0.808616,0.433631,-0.262552,-0.307173,0.523354,0.235105,-0.258394,0.48902,0.251382,0.0520632,0.806007,-0.807152,0.478658,0.357837,0.285706,-0.420553,0.24212,-0.388494,-0.883883,0.173007,0.541935,-0.138667,-0.0414988,0.802202,0.148347,-0.296358,0.327917,-0.98516,-0.737366,0.535396,-147.251
-161.275,0.971113,0.151184,5,31,0,180.758,0.86949,0.0883016,0.656619,-0.420921,-0.142728,0.0257346,0.15204,0.407536,0.0208835,0.304051,-0.016669,0.697179,0.122457,0.0521463,-0.568057,-0.590955,0.038891,-1.54877,-0.698566,0.251533,-0.483467,-0.567211,-1.51288,-0.394892,0.124718,0.475933,-0.112723,0.792506,0.0599452,-1.02926,-0.0988929,0.251371,0.539015,-0.547163,0.387464,-0.558484,0.582049,1.00984,0.15899,0.276319,0.86949,0.0883016,0.656619,-0.420921,-0.142728,0.0257346,0.15204,0.407536,0.0208835,0.304051,-0.016669,0.697179,0.122457,0.0521463,-0.568057,-0.590955,0.038891,-1.54877,-0.698566,0.551335,-154.608
