# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/is8rs3hk.json
# init = 2 (Default)
# random
#   seed = 67813
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4cp4co9nn/poisson_4-20250829005529_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.197806
# Diagonal elements of inverse mass matrix:
# 0.100387, 0.0487816, 0.0768029, 0.0541973, 0.084612, 0.078107, 0.0992828, 0.0777251, 0.112533, 0.115169, 0.13596, 0.0609165, 0.0667629, 0.0993207, 0.0630778, 0.0842447, 0.0974128, 0.0598622, 0.0616264, 0.157544, 0.0894439, 0.108619, 0.108306, 0.0551543, 0.207112, 0.0688606, 0.098897, 0.0497714, 0.0819234, 0.091263, 0.0860062, 0.108556, 0.0829872, 0.129524, 0.0712327, 0.0914535, 0.118954, 0.059505, 0.0887265, 0.0141982
-274.206,0.984324,0.197806,4,15,0,301.054,-0.119408,0.155064,-0.203617,0.236498,-0.27638,-0.190104,-0.439625,0.326551,-0.439678,-0.258054,-0.826322,0.518507,0.351284,-0.699911,0.532859,0.19166,0.406464,0.308592,0.171934,-0.323931,-0.184816,-0.283645,0.0622441,0.506632,-0.637837,0.00793044,0.297005,0.334875,0.301149,0.119674,0.273604,0.000361311,-0.186533,-0.569481,0.198914,0.0866249,-0.278855,0.500482,0.559475,0.183983,-0.119408,0.155064,-0.203617,0.236498,-0.27638,-0.190104,-0.439625,0.326551,-0.439678,-0.258054,-0.826322,0.518507,0.351284,-0.699911,0.532859,0.19166,0.406464,0.308592,0.171934,0.253686,-271.54
-283.512,0.958051,0.197806,4,15,0,301.389,0.0557342,-0.40049,0.230058,0.404672,0.257371,0.477638,-0.337234,0.085552,-0.204304,-1.46823,0.0492884,0.257594,0.389454,-0.0160314,0.327156,0.0839294,-1.10122,0.616001,0.54539,-0.527111,0.346529,0.106922,-0.181995,0.441212,-1.04767,0.473573,-0.0699583,0.474755,-0.198368,-0.243769,0.571561,-0.483984,-0.207012,-0.127068,0.109471,0.178891,-0.370075,-0.156325,-0.376722,0.0164911,0.0557342,-0.40049,0.230058,0.404672,0.257371,0.477638,-0.337234,0.085552,-0.204304,-1.46823,0.0492884,0.257594,0.389454,-0.0160314,0.327156,0.0839294,-1.10122,0.616001,0.54539,-0.252331,-279.276
-282.479,0.90156,0.197806,4,15,0,299.976,-0.0599582,-0.2988,-0.017845,0.461508,0.096683,0.574819,-0.280763,-0.0141083,-0.354256,-1.41639,-0.0089514,0.533181,0.353039,-0.24388,0.402075,-0.0235056,-1.1217,0.471445,0.590458,-0.912065,0.226806,0.252148,0.0582422,0.521671,-0.531541,0.522602,0.0732312,0.453531,-0.0540614,-0.276965,0.294804,-0.483829,-0.162436,-0.231748,-0.121462,0.34114,-0.434118,-0.104843,-0.177533,-0.0457692,-0.0599582,-0.2988,-0.017845,0.461508,0.096683,0.574819,-0.280763,-0.0141083,-0.354256,-1.41639,-0.0089514,0.533181,0.353039,-0.24388,0.402075,-0.0235056,-1.1217,0.471445,0.590458,0.356948,-278.404
-277.132,0.999729,0.197806,4,15,0,299.541,-0.342489,-0.189282,-0.159646,0.603033,0.0664586,0.146983,-0.157987,0.214271,-0.636862,-1.05661,0.274706,0.160993,-0.172865,0.14786,0.23346,0.232147,-0.510291,0.767207,0.268708,-0.79462,-0.234061,0.0978972,-0.217319,0.95245,-0.845377,0.409352,0.0756989,0.884834,0.222442,0.0531899,0.402504,0.133214,-0.310271,-0.29126,0.244727,-0.147494,-0.162091,0.165363,-0.427774,0.205161,-0.342489,-0.189282,-0.159646,0.603033,0.0664586,0.146983,-0.157987,0.214271,-0.636862,-1.05661,0.274706,0.160993,-0.172865,0.14786,0.23346,0.232147,-0.510291,0.767207,0.268708,0.110203,-273.412
-280.781,0.985731,0.197806,4,15,0,299.693,-0.157738,-0.263607,-0.321764,0.532091,-0.00313345,0.319915,-0.0705326,0.397329,-0.537999,-1.0456,0.195073,0.125091,-0.178055,0.265719,0.156583,0.330722,-0.447152,0.564136,0.220949,-0.768605,-0.113547,-0.0596585,-0.341385,0.990303,-0.907007,0.480768,0.231502,0.83706,0.293817,-0.0095791,0.27113,0.427614,-0.337365,-0.385267,0.213084,-0.101835,-0.192426,-0.0661071,-0.369433,0.143875,-0.157738,-0.263607,-0.321764,0.532091,-0.00313345,0.319915,-0.0705326,0.397329,-0.537999,-1.0456,0.195073,0.125091,-0.178055,0.265719,0.156583,0.330722,-0.447152,0.564136,0.220949,-0.0820227,-277.102
-276.573,0.97584,0.197806,4,31,0,298.682,0.0374442,0.224599,-0.144596,0.533517,-0.291741,-0.0692232,0.351384,-0.16794,-0.541692,-0.870173,-0.512137,0.195367,0.01421,-0.075489,0.293497,0.274211,-0.235592,0.553979,0.529631,-0.663258,0.257094,-0.0898886,-0.324371,0.436242,-1.35981,0.744045,0.179635,0.51387,0.406038,0.405893,-0.109331,-0.875219,-0.106965,-0.622995,0.609784,0.00853659,-0.605148,0.507895,0.0593692,-0.0447975,0.0374442,0.224599,-0.144596,0.533517,-0.291741,-0.0692232,0.351384,-0.16794,-0.541692,-0.870173,-0.512137,0.195367,0.01421,-0.075489,0.293497,0.274211,-0.235592,0.553979,0.529631,-0.0992545,-272.184
