# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/is8rs3hk.json
# init = 2 (Default)
# random
#   seed = 67813
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4cp4co9nn/poisson_4-20250829005529_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.209531
# Diagonal elements of inverse mass matrix:
# 0.0923655, 0.0687857, 0.0709119, 0.0597263, 0.0757074, 0.0731796, 0.110631, 0.0821765, 0.108807, 0.117227, 0.117456, 0.0544166, 0.0640445, 0.112461, 0.068139, 0.073098, 0.102979, 0.0571139, 0.0682057, 0.154191, 0.0927145, 0.0973911, 0.10537, 0.0591888, 0.1725, 0.0604835, 0.105005, 0.05122, 0.0642589, 0.100912, 0.0705172, 0.111508, 0.0965885, 0.132317, 0.0744399, 0.0655993, 0.0973821, 0.0610759, 0.0926289, 0.0149771
-273.784,0.97809,0.209531,4,15,0,289.782,-0.301507,0.215612,0.170228,0.25573,0.160651,0.129729,-0.0971605,-0.00747417,-0.362715,-0.15674,-0.356835,-0.0912174,0.0478187,-0.238752,0.0294398,0.0528499,-0.34162,0.709593,0.541902,-0.5452,-0.0436883,0.110247,-0.0866287,0.359493,-0.705015,0.123728,-0.693446,0.554835,0.156824,-0.136373,-0.0476749,-0.87145,-0.477762,-0.551029,0.117213,0.554199,-0.229089,0.985291,-0.0471556,0.251953,-0.301507,0.215612,0.170228,0.25573,0.160651,0.129729,-0.0971605,-0.00747417,-0.362715,-0.15674,-0.356835,-0.0912174,0.0478187,-0.238752,0.0294398,0.0528499,-0.34162,0.709593,0.541902,-0.359531,-270.759
-274.324,0.954463,0.209531,4,15,0,288.811,0.394819,0.298799,0.200835,0.349109,0.0639739,-0.260069,-0.157091,0.135975,-0.654353,-0.54365,-0.326488,0.100084,-0.259636,-0.284582,0.20649,-0.209376,-0.262012,0.869482,0.479063,-0.280132,-0.415201,0.418675,-0.240133,0.748176,-0.865443,0.649829,0.0654786,0.547486,-0.530247,-0.540674,0.146274,-0.962885,-0.391,-0.642373,0.307681,-0.0692347,-0.0323886,0.489811,0.167746,0.15326,0.394819,0.298799,0.200835,0.349109,0.0639739,-0.260069,-0.157091,0.135975,-0.654353,-0.54365,-0.326488,0.100084,-0.259636,-0.284582,0.20649,-0.209376,-0.262012,0.869482,0.479063,-0.141373,-270.499
-278.906,0.860846,0.209531,4,15,0,297.003,-0.460272,-0.203133,-0.347787,0.458689,0.48187,-0.0862506,-0.0327171,-0.164593,-0.289159,-0.168546,-0.262843,0.597103,0.37936,0.164453,-0.0932235,0.36271,-0.782253,0.485718,0.400409,-1.00377,-0.813068,-0.943851,-0.157732,0.262936,-0.876642,-0.137191,-0.208899,0.39574,0.326858,-0.0358918,0.167165,-0.131475,0.212626,-0.459797,-0.326996,-0.113729,0.0743383,0.450387,-0.0499523,0.303318,-0.460272,-0.203133,-0.347787,0.458689,0.48187,-0.0862506,-0.0327171,-0.164593,-0.289159,-0.168546,-0.262843,0.597103,0.37936,0.164453,-0.0932235,0.36271,-0.782253,0.485718,0.400409,-0.439536,-275.314
-276.962,0.842696,0.209531,4,15,0,309.45,0.38586,-0.00698224,0.330424,0.293567,0.0498565,0.0377345,-0.217265,0.473844,-1.11721,-1.23556,-0.387062,0.266396,0.230396,-0.654787,0.297585,-0.285166,0.126044,0.673825,0.467053,-0.245774,-0.119049,0.230369,-0.0207854,0.579936,-0.926,0.711151,-0.334581,0.624236,-0.125073,-0.326952,0.117902,-0.342648,-0.437213,-0.312503,0.447596,0.100643,-0.320351,0.685687,-0.24261,0.0591181,0.38586,-0.00698224,0.330424,0.293567,0.0498565,0.0377345,-0.217265,0.473844,-1.11721,-1.23556,-0.387062,0.266396,0.230396,-0.654787,0.297585,-0.285166,0.126044,0.673825,0.467053,0.27145,-272.626
-276.455,0.999482,0.209531,4,15,0,291.688,-0.298644,0.276491,-0.252441,0.977851,-0.0872639,-0.000666677,0.106543,-0.27953,0.165106,-0.719007,-0.685546,-0.034578,0.242768,-0.0756228,0.346787,-0.206472,-0.609838,0.45873,0.566558,-0.349734,0.0398687,0.00435206,-0.224396,0.471462,-0.897791,0.240916,0.369432,0.668691,0.117932,-0.147946,0.764813,-0.0506861,-0.819334,-0.891339,0.00121766,-0.0364565,-0.345298,0.518527,0.123449,0.144362,-0.298644,0.276491,-0.252441,0.977851,-0.0872639,-0.000666677,0.106543,-0.27953,0.165106,-0.719007,-0.685546,-0.034578,0.242768,-0.0756228,0.346787,-0.206472,-0.609838,0.45873,0.566558,0.108773,-272.561
-281.057,0.801503,0.209531,4,15,0,301.029,-0.264144,0.327652,0.244867,0.347481,-0.0602888,-0.329137,-0.581462,0.517534,-0.58813,-0.565193,-0.141962,0.298288,0.0774413,-0.638559,-0.120677,0.213635,0.493996,0.830322,0.436425,-0.56873,-0.650513,-0.339383,-0.496105,0.289489,-0.920476,0.305729,-0.325452,0.572305,-0.309145,-0.305344,-0.276071,-0.222394,0.263671,-0.296127,0.538148,0.0284399,-1.04387,0.439963,-0.491367,0.194425,-0.264144,0.327652,0.244867,0.347481,-0.0602888,-0.329137,-0.581462,0.517534,-0.58813,-0.565193,-0.141962,0.298288,0.0774413,-0.638559,-0.120677,0.213635,0.493996,0.830322,0.436425,-0.498089,-276.888
