# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_4_model
# start_datetime = 2025-08-29 03:55:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/quu4katx.json
# init = 2 (Default)
# random
#   seed = 71805
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_4koxhht2o/poisson_4-20250829005530_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,nu,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.206883
# Diagonal elements of inverse mass matrix:
# 0.0731457, 0.0403675, 0.0410693, 0.0350428, 0.0529506, 0.0470717, 0.080079, 0.0467432, 0.052166, 0.0747237, 0.0721588, 0.0407921, 0.0424813, 0.0699493, 0.0502173, 0.0614016, 0.0691107, 0.0355936, 0.0353866, 0.0895149, 0.0618587, 0.0618427, 0.0891751, 0.0453573, 0.0950199, 0.0554355, 0.0673719, 0.0473475, 0.0451222, 0.0599811, 0.0405195, 0.0683983, 0.0669579, 0.0663068, 0.0528645, 0.0670289, 0.0661669, 0.0379948, 0.0536222, 0.0112063
-411.479,1,0.206883,4,15,0,428.606,-0.249769,0.175228,-0.108232,0.265135,-0.247802,0.273492,-0.148913,0.117231,-0.0358055,-0.826231,-0.0798978,0.490678,0.334952,-0.591002,0.0152084,-0.174685,-0.0479114,0.241412,0.41288,-0.946236,-0.361945,0.0247222,-0.00330069,-0.0679224,-0.980111,0.432478,-0.203167,-0.114836,0.089271,-0.172167,0.162434,-0.316286,-0.260251,-0.538191,-0.150082,0.0864497,-0.0305379,0.282042,-0.314082,0.450459,-0.249769,0.175228,-0.108232,0.265135,-0.247802,0.273492,-0.148913,0.117231,-0.0358055,-0.826231,-0.0798978,0.490678,0.334952,-0.591002,0.0152084,-0.174685,-0.0479114,0.241412,0.41288,0.184034,-408.895
-409.391,0.943433,0.206883,4,15,0,427.013,-0.0634962,-0.120433,0.193586,0.317379,0.21333,0.289549,-0.75666,-0.0167492,0.0553096,-0.364502,-0.838352,0.00115811,0.019526,0.002606,0.384395,0.160385,-0.351029,0.562779,0.481385,-0.180846,-0.0599404,-0.380585,-0.575229,0.264927,-0.317476,0.143076,0.226572,0.543585,0.0631579,0.0058231,0.421075,-0.154996,-0.316656,-0.762491,-0.0771894,-0.14372,-0.603184,0.19474,0.276089,0.340631,-0.0634962,-0.120433,0.193586,0.317379,0.21333,0.289549,-0.75666,-0.0167492,0.0553096,-0.364502,-0.838352,0.00115811,0.019526,0.002606,0.384395,0.160385,-0.351029,0.562779,0.481385,-0.170165,-406.84
-413.786,0.98507,0.206883,4,15,0,430.161,-0.459168,0.252137,-0.0695332,0.289777,-0.255418,-0.170721,0.0401798,0.330437,-0.201864,-0.537847,-0.28412,0.178242,0.766103,-0.489951,0.0531685,-0.144148,-0.0531932,0.373614,0.126328,-0.80098,-0.0808081,-0.0454556,0.118374,0.318855,-0.595628,0.415713,-0.123516,-0.0733275,0.172767,-0.287337,0.26621,-0.0709332,-0.525784,0.21182,0.254226,-0.0241735,0.0957567,0.367698,0.0331769,0.299434,-0.459168,0.252137,-0.0695332,0.289777,-0.255418,-0.170721,0.0401798,0.330437,-0.201864,-0.537847,-0.28412,0.178242,0.766103,-0.489951,0.0531685,-0.144148,-0.0531932,0.373614,0.126328,0.255979,-411.714
-408.795,0.989204,0.206883,4,15,0,431.416,-0.440091,0.147727,0.43572,0.393557,0.231584,0.472482,-0.893383,-0.132084,0.0814832,-0.0920998,-0.551046,-0.0396343,0.263323,-0.208485,-0.0273046,-0.055693,-0.256269,0.374137,0.0305588,-0.134415,-0.423245,0.00953543,-0.197155,0.34502,0.0170729,0.177931,-0.159215,0.460182,0.20026,0.0706081,0.598137,0.0168315,-0.219453,-0.177584,0.197172,0.256099,-0.716277,0.287615,0.0143463,0.280763,-0.440091,0.147727,0.43572,0.393557,0.231584,0.472482,-0.893383,-0.132084,0.0814832,-0.0920998,-0.551046,-0.0396343,0.263323,-0.208485,-0.0273046,-0.055693,-0.256269,0.374137,0.0305588,0.265517,-406.704
-410.881,0.963579,0.206883,4,15,0,425.669,-0.246224,0.422665,0.141654,0.373065,-0.252992,0.0666612,-0.282141,0.123622,-0.228149,-0.668666,-0.55705,0.734422,0.333767,-0.138011,0.0451524,-0.0902764,-0.298663,0.392199,0.0874338,-0.2551,0.011875,-0.531779,-0.776554,0.386269,-0.774651,-0.339504,0.0822339,0.0966761,0.125765,0.192672,0.271175,-0.123786,-0.419551,-0.317967,-0.130305,-0.0913156,0.142343,0.0355372,0.46783,0.322608,-0.246224,0.422665,0.141654,0.373065,-0.252992,0.0666612,-0.282141,0.123622,-0.228149,-0.668666,-0.55705,0.734422,0.333767,-0.138011,0.0451524,-0.0902764,-0.298663,0.392199,0.0874338,0.0415307,-408.42
-422.144,0.965242,0.206883,4,15,0,438.59,0.0145686,0.441462,0.0491702,0.467618,0.31214,-0.00786675,-0.434574,0.0399355,-0.739356,-0.203105,-0.243378,-0.0154034,-0.0191203,-0.158421,0.0142187,0.00267416,0.0483187,-0.185144,0.438261,-0.300714,0.150157,-0.354399,0.12836,-0.0408925,-0.176983,0.219838,-0.331889,0.341418,0.0658793,-0.102457,0.485318,-0.15916,0.292745,0.0513125,0.649462,0.410311,-0.322156,0.400264,-0.0287738,0.233942,0.0145686,0.441462,0.0491702,0.467618,0.31214,-0.00786675,-0.434574,0.0399355,-0.739356,-0.203105,-0.243378,-0.0154034,-0.0191203,-0.158421,0.0142187,0.00267416,0.0483187,-0.185144,0.438261,0.178002,-420.423
