# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/2nm2py45.json
# init = 2 (Default)
# random
#   seed = 30022
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5zdqxas7u/poisson_5-20250829005538_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.165453
# Diagonal elements of inverse mass matrix:
# 0.114052, 0.111469, 0.145688, 0.292024, 0.139591, 0.242319, 0.10505, 0.156662, 0.183448, 0.169126, 0.0769331, 0.211492, 0.193948, 0.147269, 0.1346, 0.0878578, 0.128703, 0.166929, 0.121013, 0.132796, 0.299217, 0.200095, 0.236334, 0.232353, 0.180054, 0.381188, 0.205367, 0.195478, 0.24561, 0.194471, 0.230489, 0.228139, 0.202979, 0.132837, 0.213962, 0.20705, 0.39768, 0.247772, 0.177058, 0.189616, 0.147745, 0.11645, 0.160934, 0.136513, 0.258836, 0.122192, 0.261101, 0.223379, 0.204845, 0.109566, 0.0951273, 0.110796, 0.137534, 0.164054, 0.149974, 0.217673, 0.126907, 0.132804, 0.197274, 0.221933, 0.162712, 0.23359, 0.21416, 0.41964, 0.149606, 0.255618, 0.225227, 0.246262, 0.18493, 0.188076, 0.136211, 0.252502, 0.249233, 0.324728, 0.240037, 0.259882, 0.210261, 0.216414
-271.251,0.915563,0.165453,5,31,0,298.648,0.108531,-0.0405366,0.206502,-0.956132,0.39412,-0.0448305,0.614496,-0.112893,-0.578001,-0.395234,0.626381,-0.278004,0.0705816,0.487281,0.317849,0.0756679,0.366259,0.0133498,-0.456404,0.514025,-0.412132,0.799809,0.98502,-0.679269,0.430308,-1.04398,0.0263183,-0.6621,0.659593,-0.251328,0.641053,0.120821,0.207748,0.82703,-0.187823,0.921576,-2.96951,-0.159168,-0.0415767,-0.686552,0.152846,0.164369,0.017874,1.24392,-0.448387,-0.619568,-0.659742,-0.919039,0.311497,0.607439,0.905703,0.264894,-0.196221,0.475669,0.613956,0.66695,0.0120815,1.02153,-0.596344,-0.323626,-0.179669,-0.581104,-0.684336,-1.69684,0.0122897,-0.918104,-0.639601,-1.30344,-0.699316,0.533875,0.0663024,-0.662435,-0.093429,-0.963357,0.256638,-0.239289,0.144047,-1.2544,0.108531,-0.0405366,0.206502,-0.956132,0.39412,-0.0448305,0.614496,-0.112893,-0.578001,-0.395234,0.626381,-0.278004,0.0705816,0.487281,0.317849,0.0756679,0.366259,0.0133498,-0.456404,-0.418982,0.514025,-0.412132,0.799809,0.98502,-0.679269,0.430308,-1.04398,0.0263183,-0.6621,0.659593,-0.251328,0.641053,0.120821,0.207748,0.82703,-0.187823,0.921576,-2.96951,-0.159168,0.232004,-252.655
-274.792,0.921202,0.165453,5,31,0,312.025,-0.0901762,0.174429,1.01535,-0.425657,-0.187921,-0.848529,0.392551,0.110877,0.413836,-0.127599,0.394306,-0.94056,-0.841254,0.397467,-0.491386,0.921959,0.204401,-0.584861,0.779623,0.587985,-0.870182,-0.130599,-0.75743,0.716895,0.420351,-1.04196,0.075576,0.532171,-0.368024,0.988405,-0.523354,0.665734,-0.00211394,0.10519,0.384233,-0.7636,0.0982015,-0.326388,-0.0501639,0.131505,0.486285,0.0524171,0.439537,-0.0184378,-0.410871,0.425366,-0.56494,0.322917,-0.577226,0.710434,0.919604,0.803082,0.393265,-1.02311,-0.187772,-0.876243,0.00881713,0.545421,0.0414489,-0.383012,-0.136839,-1.48897,-0.108718,-0.843586,-0.0104597,-0.576973,0.481029,-0.0399824,0.190126,-1.12843,0.109893,-1.07967,-0.0140385,-1.32669,-1.26797,-0.353992,-0.817801,0.019114,-0.0901762,0.174429,1.01535,-0.425657,-0.187921,-0.848529,0.392551,0.110877,0.413836,-0.127599,0.394306,-0.94056,-0.841254,0.397467,-0.491386,0.921959,0.204401,-0.584861,0.779623,-0.266854,0.587985,-0.870182,-0.130599,-0.75743,0.716895,0.420351,-1.04196,0.075576,0.532171,-0.368024,0.988405,-0.523354,0.665734,-0.00211394,0.10519,0.384233,-0.7636,0.0982015,-0.326388,0.208914,-260.304
-278.266,0.850872,0.165453,5,31,0,314.684,-0.230914,0.26864,1.29528,-1.09641,0.119203,-0.370199,1.08818,-0.971852,-0.109274,-0.127813,0.430258,-0.247124,-0.383899,0.512482,-0.576459,0.735775,0.412769,0.372288,0.377643,0.393429,0.106911,0.175635,-1.10275,-0.163993,0.109514,0.0529696,-0.315028,0.274514,0.152013,0.73248,-0.685341,-0.132611,0.43935,0.298529,0.00869031,-0.201831,-0.348558,0.303761,-0.688777,-0.785099,1.13401,-0.309073,0.204842,0.022185,-0.813643,0.0670472,-1.07011,-0.111518,-0.173445,1.10493,0.429208,1.04511,0.694768,-0.834795,-0.610468,0.447128,0.436435,0.982304,-0.0625047,-0.394615,0.0564114,-0.713111,0.0744997,-1.11423,0.14068,-0.829956,-0.182743,-0.676115,0.214341,-0.784342,0.708938,-0.420403,0.328445,-1.39929,-1.09564,-0.270118,-0.281993,0.162572,-0.230914,0.26864,1.29528,-1.09641,0.119203,-0.370199,1.08818,-0.971852,-0.109274,-0.127813,0.430258,-0.247124,-0.383899,0.512482,-0.576459,0.735775,0.412769,0.372288,0.377643,-1.49858,0.393429,0.106911,0.175635,-1.10275,-0.163993,0.109514,0.0529696,-0.315028,0.274514,0.152013,0.73248,-0.685341,-0.132611,0.43935,0.298529,0.00869031,-0.201831,-0.348558,0.303761,-0.0976824,-264.174
-284.314,0.944807,0.165453,5,31,0,317.515,-0.395794,0.0288626,0.974345,-1.80174,0.0990497,-0.43768,1.33903,-0.282767,-0.364843,0.18348,0.228158,-0.774976,-0.461591,0.528705,0.0573925,0.456151,0.473698,0.163966,0.786228,0.280682,0.189704,0.970085,-0.521006,-0.268708,-0.735581,-0.255001,0.106301,0.63054,0.427094,0.231963,-0.132994,0.797465,0.432051,0.0464006,-0.0308639,0.437339,-1.1767,-0.65147,-0.171309,-1.08653,0.0416859,-0.610365,0.138721,0.436477,-0.771795,-0.170143,-0.648276,-0.487279,-0.366071,0.987124,0.93251,0.377047,0.06102,-0.553855,-0.152219,-0.848417,0.278211,0.818018,0.298003,-0.235252,-0.065372,-0.206728,0.168123,-2.02515,-0.160036,-0.519429,-0.464545,-0.468243,0.0375121,0.525651,0.230547,-1.03508,-0.702572,-1.44756,-1.04561,0.57171,-0.0576818,0.042636,-0.395794,0.0288626,0.974345,-1.80174,0.0990497,-0.43768,1.33903,-0.282767,-0.364843,0.18348,0.228158,-0.774976,-0.461591,0.528705,0.0573925,0.456151,0.473698,0.163966,0.786228,-0.799679,0.280682,0.189704,0.970085,-0.521006,-0.268708,-0.735581,-0.255001,0.106301,0.63054,0.427094,0.231963,-0.132994,0.797465,0.432051,0.0464006,-0.0308639,0.437339,-1.1767,-0.65147,-0.777299,-268.424
-272.489,0.951141,0.165453,5,31,0,320.348,0.696716,0.663954,0.339209,-0.106843,-0.0237268,-0.575844,0.381018,0.366874,-0.428998,-0.884828,0.944157,-0.439511,-0.434191,-0.0371085,-0.113872,0.396847,0.193871,-0.740702,-0.457307,0.433632,-1.4002,0.0467096,0.876265,0.676252,1.09318,-1.15632,0.311726,-0.586373,-0.36397,0.405149,0.135817,-0.671196,0.336623,0.76135,0.28494,-0.686907,-0.693039,-0.265334,-0.0655037,0.280632,0.0629982,0.503668,0.299747,0.680222,-0.303619,0.423855,-0.464684,0.191802,-0.058941,0.668697,0.344913,1.14525,0.417281,-0.122769,0.599766,0.266341,-0.31902,0.34726,-0.934898,-0.565745,0.101104,-1.75261,-1.23851,-1.50095,0.139607,-0.555874,-0.234494,-1.01612,-0.580921,-0.897486,0.577386,-0.369664,0.190238,-0.701426,0.293413,-0.844805,-0.750058,-0.404424,0.696716,0.663954,0.339209,-0.106843,-0.0237268,-0.575844,0.381018,0.366874,-0.428998,-0.884828,0.944157,-0.439511,-0.434191,-0.0371085,-0.113872,0.396847,0.193871,-0.740702,-0.457307,0.260287,0.433632,-1.4002,0.0467096,0.876265,0.676252,1.09318,-1.15632,0.311726,-0.586373,-0.36397,0.405149,0.135817,-0.671196,0.336623,0.76135,0.28494,-0.686907,-0.693039,-0.265334,0.461692,-256.953
-271.277,0.941508,0.165453,5,31,0,298.677,-0.418534,-0.448008,0.595515,-1.52152,0.11368,-0.432797,1.31364,-0.399498,0.157859,0.388141,0.239124,-0.882047,-0.487292,0.560967,0.117346,0.374293,0.290904,-0.0976901,0.460328,0.93233,0.101308,0.778905,0.0469454,-0.157707,-0.444641,-1.91602,-0.173128,0.09099,0.826938,0.0299453,-0.38891,0.359746,0.377866,0.607553,-0.128173,0.683354,-1.03503,-0.0167214,-0.288648,-0.940601,0.174664,-0.22746,0.384265,0.484449,-0.48792,0.0204258,-0.400868,-0.180643,-0.0181183,0.967256,0.839808,0.51194,0.554211,-0.217102,-0.422632,-0.740807,0.613212,0.496988,-0.321944,-0.285554,-0.211908,-0.236209,0.421323,-1.70627,-0.187091,-0.823635,-0.737342,-0.338097,0.416646,0.496824,-0.110639,-0.651066,-0.374066,-1.94525,-1.20961,0.45528,0.190951,-0.666293,-0.418534,-0.448008,0.595515,-1.52152,0.11368,-0.432797,1.31364,-0.399498,0.157859,0.388141,0.239124,-0.882047,-0.487292,0.560967,0.117346,0.374293,0.290904,-0.0976901,0.460328,0.0755917,0.93233,0.101308,0.778905,0.0469454,-0.157707,-0.444641,-1.91602,-0.173128,0.09099,0.826938,0.0299453,-0.38891,0.359746,0.377866,0.607553,-0.128173,0.683354,-1.03503,-0.0167214,-0.575551,-254.899
