# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/gnq913lk.json
# init = 2 (Default)
# random
#   seed = 70991
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5h63eqi82/poisson_5-20250829005539_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.137122
# Diagonal elements of inverse mass matrix:
# 0.0681041, 0.0548207, 0.0782165, 0.159178, 0.0737531, 0.215804, 0.0762746, 0.104539, 0.0890604, 0.191135, 0.0538004, 0.168035, 0.125469, 0.106294, 0.119524, 0.0864882, 0.0857113, 0.104927, 0.106211, 0.0875383, 0.200706, 0.104719, 0.157415, 0.149803, 0.0876906, 0.195827, 0.134193, 0.157919, 0.163186, 0.129354, 0.156832, 0.125063, 0.159558, 0.118926, 0.160948, 0.143036, 0.294137, 0.168844, 0.120895, 0.108187, 0.131507, 0.072713, 0.12743, 0.0917109, 0.134862, 0.0862624, 0.244451, 0.0995808, 0.120551, 0.0601049, 0.0655008, 0.0678445, 0.0666836, 0.129424, 0.130552, 0.165613, 0.0768487, 0.0936977, 0.171427, 0.162566, 0.151657, 0.226342, 0.177841, 0.32908, 0.107936, 0.128852, 0.158868, 0.133125, 0.125127, 0.16668, 0.0984798, 0.185164, 0.137371, 0.202653, 0.180611, 0.122899, 0.0756955, 0.170781
-414.839,0.920534,0.137122,5,31,0,454.256,-0.235736,0.524042,-0.139435,-0.241355,0.668019,-2.56108,0.776171,0.0858393,0.587233,-0.213867,0.705687,-0.0664432,-0.210292,0.263794,0.30289,0.60288,0.0117009,-0.779356,0.499182,0.650507,-0.427724,0.142137,0.497257,0.580075,0.0122412,-0.311689,0.560891,-0.226927,-0.188421,0.449416,-0.199131,0.520634,0.593109,0.197496,-0.247418,-0.784236,-0.928379,-0.796679,-0.0819347,0.0577262,-0.535436,0.236677,0.228223,0.290872,-0.123041,0.229812,-0.133575,-0.188674,-0.0595774,0.0955497,-0.156815,0.59657,0.158202,-0.003961,-0.490896,-0.14556,0.151858,0.313818,-0.374956,0.0904824,-0.289726,-0.309936,-0.696978,-2.38842,-0.0737147,0.0670091,-0.159909,-1.03212,0.374533,-0.866485,0.87174,-0.522394,-0.342441,-0.179473,-0.156784,-0.104646,0.33567,-0.288293,-0.235736,0.524042,-0.139435,-0.241355,0.668019,-2.56108,0.776171,0.0858393,0.587233,-0.213867,0.705687,-0.0664432,-0.210292,0.263794,0.30289,0.60288,0.0117009,-0.779356,0.499182,-0.57987,0.650507,-0.427724,0.142137,0.497257,0.580075,0.0122412,-0.311689,0.560891,-0.226927,-0.188421,0.449416,-0.199131,0.520634,0.593109,0.197496,-0.247418,-0.784236,-0.928379,-0.796679,-0.0931593,-401.607
-422.164,0.978446,0.137122,5,31,0,456.819,-0.154369,1.12693,0.228461,-0.345146,1.09744,-1.90773,0.380949,-0.0269168,0.427319,0.180031,0.857639,-0.78872,-0.323403,0.225063,-0.227168,0.145065,0.0862143,-0.376742,-0.0354519,0.679002,-0.147928,0.0285213,0.536691,0.423944,0.226899,-0.347594,0.48844,0.0863338,-1.12806,0.485645,-0.334258,0.8016,-0.231723,0.00490567,-0.083225,-0.242902,-0.414952,-1.01789,0.435002,0.299204,-0.609911,0.139025,0.1912,-0.22032,-0.34727,-0.479825,-0.815803,0.549105,0.530067,0.483001,-0.247839,0.915207,0.117819,-0.755075,-0.471046,0.00365753,0.586291,0.00987983,-0.521677,0.0266901,-0.645942,-1.28538,-0.41499,-1.46935,-0.343796,-0.155027,-0.104912,-0.813819,0.386181,-0.282808,0.404704,-0.441334,-0.447881,-0.727087,0.562264,-0.342336,0.16779,0.0134664,-0.154369,1.12693,0.228461,-0.345146,1.09744,-1.90773,0.380949,-0.0269168,0.427319,0.180031,0.857639,-0.78872,-0.323403,0.225063,-0.227168,0.145065,0.0862143,-0.376742,-0.0354519,-0.569466,0.679002,-0.147928,0.0285213,0.536691,0.423944,0.226899,-0.347594,0.48844,0.0863338,-1.12806,0.485645,-0.334258,0.8016,-0.231723,0.00490567,-0.083225,-0.242902,-0.414952,-1.01789,0.18655,-409.529
-412.827,0.999836,0.137122,5,31,0,457.948,1.07653,0.546016,0.867742,-1.20304,0.260291,-1.54559,0.938177,-0.88762,-0.0254808,-0.331408,0.528942,-0.234096,-0.281295,-0.359754,0.106663,0.576532,0.127692,-0.340146,0.580334,-0.056543,-0.31735,0.441733,0.343304,-0.493426,0.571827,-0.344086,0.14683,-0.402138,0.478014,0.1574,0.241288,-0.0274988,0.193194,0.10275,-0.526556,0.0851904,-0.791841,-0.650306,-0.822288,-0.44497,-0.255014,0.0251792,0.0859316,0.354408,-0.484952,0.325046,0.00336786,-0.102695,-0.262369,0.575777,0.651137,0.463393,0.95125,0.417452,0.133863,-0.562812,-0.0970467,0.332389,-0.278837,-0.24285,0.145583,-0.605133,-1.06478,-1.07527,0.121848,-0.209585,-0.0728453,0.290449,-0.194245,-0.179696,0.10499,-0.68412,0.485895,-0.966324,-1.13141,0.529244,0.241366,-0.317939,1.07653,0.546016,0.867742,-1.20304,0.260291,-1.54559,0.938177,-0.88762,-0.0254808,-0.331408,0.528942,-0.234096,-0.281295,-0.359754,0.106663,0.576532,0.127692,-0.340146,0.580334,-0.400487,-0.056543,-0.31735,0.441733,0.343304,-0.493426,0.571827,-0.344086,0.14683,-0.402138,0.478014,0.1574,0.241288,-0.0274988,0.193194,0.10275,-0.526556,0.0851904,-0.791841,-0.650306,0.848214,-401.513
-404.924,0.999826,0.137122,5,31,0,448.303,0.59843,0.636449,0.399158,-0.789643,0.103745,-0.989783,1.21975,-1.15798,0.0274042,-0.325091,0.498106,-0.56896,-0.163931,-0.369994,-0.253042,0.873037,0.0655478,-0.382243,0.389457,0.216407,-0.294428,0.221284,0.340595,-0.720432,0.796289,-0.0180277,0.408591,-0.301249,0.352316,0.433886,-0.312531,0.0505731,0.0419614,0.217079,-0.614586,0.279023,-0.884143,-0.779556,-0.674254,0.275725,-0.47996,0.0247016,0.298729,0.28835,-0.590937,0.0596211,0.343666,0.0437967,-0.0822008,0.498619,0.186795,0.689109,0.949229,-0.171245,0.141202,-0.152771,0.0477287,0.178493,0.0461788,-0.589999,-0.28499,-0.718685,-0.355841,-1.29054,0.00944197,-0.118095,-0.0540344,0.205734,0.182215,-0.0605925,0.28238,-0.808368,0.908834,-1.05329,-0.552523,-0.00254941,-0.0881978,-0.388651,0.59843,0.636449,0.399158,-0.789643,0.103745,-0.989783,1.21975,-1.15798,0.0274042,-0.325091,0.498106,-0.56896,-0.163931,-0.369994,-0.253042,0.873037,0.0655478,-0.382243,0.389457,0.189582,0.216407,-0.294428,0.221284,0.340595,-0.720432,0.796289,-0.0180277,0.408591,-0.301249,0.352316,0.433886,-0.312531,0.0505731,0.0419614,0.217079,-0.614586,0.279023,-0.884143,-0.779556,0.566948,-394.674
-407.041,0.935555,0.137122,5,31,0,445.552,0.0242419,0.916738,0.190453,-0.931456,0.0324451,-0.789521,0.140007,0.320955,-0.0475052,0.0390654,0.807935,-0.541091,-0.690466,0.438248,0.128529,0.119504,0.0522756,0.0893621,0.0233911,0.280803,0.294661,-0.74344,0.356523,0.352328,0.538816,-1.04906,0.698095,-0.685298,0.0118897,0.099034,-0.362173,0.524811,-0.119992,0.327341,-0.392779,0.310238,-0.731429,-0.00186407,0.158805,-0.178981,0.500756,0.0506667,-0.119961,0.311022,0.231151,0.664592,-0.933479,0.231037,0.272318,0.819127,0.35027,0.650604,0.715398,0.0358576,-0.158969,-0.337235,-0.0250701,-0.575068,-1.0118,-0.411699,0.296402,-0.668371,-0.105785,-1.32117,0.180953,0.0707174,-0.0129611,-0.511264,-0.314692,-0.464942,0.128441,-1.08914,-0.150817,-1.26001,0.413301,-0.034222,-0.108787,-0.339509,0.0242419,0.916738,0.190453,-0.931456,0.0324451,-0.789521,0.140007,0.320955,-0.0475052,0.0390654,0.807935,-0.541091,-0.690466,0.438248,0.128529,0.119504,0.0522756,0.0893621,0.0233911,-0.323112,0.280803,0.294661,-0.74344,0.356523,0.352328,0.538816,-1.04906,0.698095,-0.685298,0.0118897,0.099034,-0.362173,0.524811,-0.119992,0.327341,-0.392779,0.310238,-0.731429,-0.00186407,0.291495,-396.981
-403.906,0.982696,0.137122,5,31,0,437.581,0.191136,0.966702,0.37329,-1.05726,0.112699,-0.76214,0.318681,0.109232,0.135319,0.0822455,0.941135,-0.668537,-0.610939,0.18536,-0.578513,0.239492,0.0148658,-0.0844243,0.228245,0.0408921,0.239995,-0.417369,0.449065,-0.110764,0.512616,-0.260229,0.529581,0.234471,-0.0562423,0.00974519,0.146067,0.349597,-0.406068,-0.0358384,-0.786193,0.277206,-1.25844,-0.282883,-0.00460177,-0.139502,0.475842,0.184384,0.0615001,0.528487,0.519547,0.444764,-0.718932,0.346174,0.575745,0.730667,0.858907,0.345699,0.703514,0.605541,0.146186,-0.0643174,-0.242938,-0.183928,-0.872799,-0.00713882,-0.0148969,-1.12821,-0.579343,-2.06937,-0.303668,0.0893861,0.312839,-0.624778,-0.45794,-0.451053,0.039834,-0.980413,-0.227758,-1.05133,-0.0640481,-0.0662541,-0.0631173,-0.505369,0.191136,0.966702,0.37329,-1.05726,0.112699,-0.76214,0.318681,0.109232,0.135319,0.0822455,0.941135,-0.668537,-0.610939,0.18536,-0.578513,0.239492,0.0148658,-0.0844243,0.228245,-0.136591,0.0408921,0.239995,-0.417369,0.449065,-0.110764,0.512616,-0.260229,0.529581,0.234471,-0.0562423,0.00974519,0.146067,0.349597,-0.406068,-0.0358384,-0.786193,0.277206,-1.25844,-0.282883,0.824789,-392.232
