# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/mzx6fs7l.json
# init = 2 (Default)
# random
#   seed = 13891
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_55w3_43cn/poisson_5-20250829005542_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.165391
# Diagonal elements of inverse mass matrix:
# 0.0423321, 0.0499815, 0.065314, 0.130057, 0.0598769, 0.112563, 0.0513192, 0.0855196, 0.0656356, 0.0929216, 0.0442881, 0.0950935, 0.102176, 0.0680919, 0.0930587, 0.0583622, 0.0789498, 0.0631064, 0.0907288, 0.0877628, 0.075796, 0.0810119, 0.0795179, 0.101814, 0.083463, 0.173707, 0.0990544, 0.111414, 0.0983714, 0.103644, 0.0725719, 0.101616, 0.0962905, 0.0746771, 0.130521, 0.110744, 0.1493, 0.146641, 0.110505, 0.0830895, 0.0796584, 0.0567409, 0.0763805, 0.084263, 0.0925527, 0.0619148, 0.111108, 0.0827744, 0.0953866, 0.0574414, 0.0521625, 0.0409764, 0.0501905, 0.0906922, 0.0895743, 0.125838, 0.0627254, 0.0628181, 0.0871247, 0.141307, 0.126458, 0.166165, 0.163575, 0.236502, 0.0804847, 0.0959285, 0.102196, 0.111995, 0.0550076, 0.108084, 0.0924783, 0.152244, 0.0999656, 0.106905, 0.104717, 0.10376, 0.0664123, 0.1424
-548.11,0.992956,0.165391,5,31,0,586.312,0.520987,0.261384,0.305671,-0.402455,0.753354,-0.885824,0.689109,-0.422162,0.280062,-0.487941,0.685541,-0.116867,-0.513759,0.404633,-0.60483,0.255438,0.573878,-0.675257,-0.494059,0.61352,-0.319379,0.742918,0.551437,-0.0281928,0.367001,-1.16027,0.134624,-0.667024,0.0621193,0.0974561,0.447303,-0.15683,-0.0176216,0.410898,-1.1223,-0.0040039,0.154518,-0.533979,-0.122223,-0.137707,0.153184,0.654535,0.139571,-0.00967556,-0.496615,0.16891,-0.282374,0.291446,-0.795099,0.569635,0.139709,0.918783,0.638871,0.496232,-0.523192,-0.334716,0.00395857,0.238362,0.220783,0.286685,-0.267963,-0.954023,-0.528308,-0.797111,0.22699,-0.135518,-0.587763,-0.590541,0.362337,-0.275112,-0.19064,-1.20593,-0.561936,-0.0722388,-0.548048,-0.0946531,-0.0223382,0.178765,0.520987,0.261384,0.305671,-0.402455,0.753354,-0.885824,0.689109,-0.422162,0.280062,-0.487941,0.685541,-0.116867,-0.513759,0.404633,-0.60483,0.255438,0.573878,-0.675257,-0.494059,-0.126902,0.61352,-0.319379,0.742918,0.551437,-0.0281928,0.367001,-1.16027,0.134624,-0.667024,0.0621193,0.0974561,0.447303,-0.15683,-0.0176216,0.410898,-1.1223,-0.0040039,0.154518,-0.533979,0.427799,-538.331
-547.665,0.989017,0.165391,5,31,0,591.313,0.340396,0.476164,-0.290271,-0.297727,-0.326683,-1.05719,0.730745,-1.07489,0.115469,0.465846,1.00466,-0.392507,0.123173,0.0569231,-0.39716,0.34271,0.0894982,0.229032,0.0817865,0.471915,0.806467,-0.108121,0.340443,-0.435567,0.245513,-0.767864,0.106603,0.00148308,0.0547403,0.17943,0.0291024,0.493907,-0.113401,0.536902,-0.436024,-0.700901,-0.850984,-0.119769,-0.825205,0.241265,-0.106766,0.714211,0.0380848,-0.0598423,0.322768,0.489443,-0.512483,0.279074,-0.120367,0.806927,0.576516,0.458842,0.422479,-0.0567208,0.171213,0.233633,-0.179613,-0.0849371,0.0341804,-0.20949,-0.269295,-0.654537,-0.857842,-1.45161,-0.0998895,0.36883,0.375649,0.119542,0.912435,-0.295721,-0.185384,-0.582378,0.315643,-0.21482,0.133241,-0.733105,0.201271,-0.66859,0.340396,0.476164,-0.290271,-0.297727,-0.326683,-1.05719,0.730745,-1.07489,0.115469,0.465846,1.00466,-0.392507,0.123173,0.0569231,-0.39716,0.34271,0.0894982,0.229032,0.0817865,-0.219974,0.471915,0.806467,-0.108121,0.340443,-0.435567,0.245513,-0.767864,0.106603,0.00148308,0.0547403,0.17943,0.0291024,0.493907,-0.113401,0.536902,-0.436024,-0.700901,-0.850984,-0.119769,0.266125,-538.328
-554.355,0.950745,0.165391,5,31,0,599.5,0.751334,-0.0909721,0.609121,-0.837236,0.742505,-0.0573828,-0.0728446,-0.604802,0.345129,-0.551095,0.631031,-0.204397,-0.677235,0.39062,-0.40955,0.404467,-0.163155,0.138678,-0.044344,0.2769,-0.196527,0.595218,-0.138601,0.449097,-0.0566496,-0.395723,0.356693,-0.896604,-0.0761202,-0.899881,0.391364,-0.0779465,0.119314,0.0211023,-0.0456025,0.396166,0.00461827,-0.054938,0.0514857,-0.525628,0.271912,0.198325,-0.0357273,0.487393,-0.93476,0.118813,0.00701677,-0.379041,0.034268,0.0711543,0.937201,0.805471,0.38484,0.492206,-0.361849,-0.2334,0.535246,0.705828,-0.0377779,-0.175981,-0.365299,-0.667648,-0.22854,-0.612642,0.207048,-0.221974,-0.781995,-0.632058,-0.143964,-0.0856302,0.218826,-0.69323,-0.523112,-0.505748,-0.330931,-0.35324,0.186821,-0.9083,0.751334,-0.0909721,0.609121,-0.837236,0.742505,-0.0573828,-0.0728446,-0.604802,0.345129,-0.551095,0.631031,-0.204397,-0.677235,0.39062,-0.40955,0.404467,-0.163155,0.138678,-0.044344,-0.299871,0.2769,-0.196527,0.595218,-0.138601,0.449097,-0.0566496,-0.395723,0.356693,-0.896604,-0.0761202,-0.899881,0.391364,-0.0779465,0.119314,0.0211023,-0.0456025,0.396166,0.00461827,-0.054938,0.228121,-546.237
-553.937,0.768094,0.165391,5,31,0,599.254,0.109359,0.504938,-0.200813,-0.146641,-0.561929,-0.744334,0.797096,0.00778272,0.251624,0.495409,0.721029,-0.348756,0.213845,-0.114925,-0.310062,0.37203,0.000272253,0.175484,-0.102717,0.543606,0.489148,-0.315126,1.05683,-0.493152,0.585961,-1.64122,0.00440294,0.333731,0.145547,-0.127412,0.235539,0.374746,0.242417,0.540137,-0.638944,-0.612035,-0.479793,-0.400811,-0.425828,0.251193,-0.041256,0.808446,0.308861,0.124475,-0.105935,0.624485,-0.472007,0.419614,-0.109426,0.529176,0.676917,0.770309,0.650407,-0.0747068,0.364831,0.232063,0.0700757,0.116998,-0.0269734,-0.256374,-0.464305,-0.485116,-1.07134,-1.65923,-0.185252,0.518566,0.196642,-0.0855013,0.21724,-0.340593,-0.217478,-0.772578,-0.096819,-0.0458421,0.0347926,0.121384,-0.0112625,0.10029,0.109359,0.504938,-0.200813,-0.146641,-0.561929,-0.744334,0.797096,0.00778272,0.251624,0.495409,0.721029,-0.348756,0.213845,-0.114925,-0.310062,0.37203,0.000272253,0.175484,-0.102717,-1.11869,0.543606,0.489148,-0.315126,1.05683,-0.493152,0.585961,-1.64122,0.00440294,0.333731,0.145547,-0.127412,0.235539,0.374746,0.242417,0.540137,-0.638944,-0.612035,-0.479793,-0.400811,0.156433,-544.227
-546.753,0.967846,0.165391,5,31,0,588.375,0.777514,0.425863,0.534333,-1.24136,0.885965,-0.589671,0.121266,-0.508365,0.13961,-0.73215,0.773603,-0.0870754,-0.760187,0.432643,-0.0947991,0.283218,0.0295864,-0.161762,0.213452,0.602707,0.0483625,0.708864,-0.786457,0.491463,-0.415506,0.225673,0.292053,-1.04716,0.108464,0.000573715,0.118152,-0.12207,-0.0320115,0.235756,-0.100736,0.0973344,-0.921673,0.0581511,-0.364512,-0.347763,-0.10129,-0.033367,-0.0231683,0.337135,-0.227763,-0.0559737,-0.198156,-0.293995,-0.0978017,0.628865,0.303336,0.688575,0.366239,0.257812,-0.448673,-0.63757,0.323697,0.405218,0.081195,-0.406334,-0.186909,-0.778512,0.250124,-0.818248,-0.108918,-0.415858,-0.662122,-0.245498,0.633794,-0.301147,-0.216033,-0.647843,-0.54336,-0.690999,-0.214816,-0.0509034,0.203195,-0.717792,0.777514,0.425863,0.534333,-1.24136,0.885965,-0.589671,0.121266,-0.508365,0.13961,-0.73215,0.773603,-0.0870754,-0.760187,0.432643,-0.0947991,0.283218,0.0295864,-0.161762,0.213452,-0.44168,0.602707,0.0483625,0.708864,-0.786457,0.491463,-0.415506,0.225673,0.292053,-1.04716,0.108464,0.000573715,0.118152,-0.12207,-0.0320115,0.235756,-0.100736,0.0973344,-0.921673,0.0581511,0.438064,-538.061
-552.108,0.972375,0.165391,5,31,0,587.832,0.420374,0.366496,-0.163673,-0.0461951,-0.305156,-0.408861,0.509528,-0.103518,0.302342,0.385957,0.390974,-0.136754,-0.443284,0.00684894,-0.542779,0.203383,-0.324264,0.171573,-0.308719,0.278546,0.339847,0.397007,0.898976,-0.356678,0.154391,-1.41244,-0.278511,0.0370914,0.297272,0.215724,-0.0828595,0.809217,0.298156,0.352069,-0.376546,-0.623789,-0.233116,-1.00014,-0.313802,0.249805,-0.162566,0.382651,0.430719,0.218335,-0.264267,0.0864747,-0.660158,0.253683,0.402163,0.328376,0.811814,0.81765,0.866248,0.00500863,0.527291,0.311611,-0.118211,0.455743,-0.710283,-0.0522547,-0.546012,-0.954293,-1.0982,-0.952344,0.22399,-0.106478,0.297718,-0.596729,-0.17801,0.0316593,-0.0594307,-1.60859,0.033737,0.0209823,0.2106,-0.366546,0.00673448,-0.178855,0.420374,0.366496,-0.163673,-0.0461951,-0.305156,-0.408861,0.509528,-0.103518,0.302342,0.385957,0.390974,-0.136754,-0.443284,0.00684894,-0.542779,0.203383,-0.324264,0.171573,-0.308719,0.025727,0.278546,0.339847,0.397007,0.898976,-0.356678,0.154391,-1.41244,-0.278511,0.0370914,0.297272,0.215724,-0.0828595,0.809217,0.298156,0.352069,-0.376546,-0.623789,-0.233116,-1.00014,0.285788,-542.466
