# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/tdaxlqzc.json
# init = 2 (Default)
# random
#   seed = 79781
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5zpnzm7v8/poisson_5-20250829005544_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.178551
# Diagonal elements of inverse mass matrix:
# 0.0244137, 0.0228636, 0.0623946, 0.0313736, 0.0267403, 0.0497343, 0.0267967, 0.0240907, 0.0354825, 0.0331321, 0.0245767, 0.0273462, 0.0484131, 0.039981, 0.0728049, 0.0264879, 0.0471621, 0.0385033, 0.0611682, 0.0384975, 0.0690283, 0.0352723, 0.0399547, 0.0556022, 0.0506593, 0.0363913, 0.0479589, 0.0484726, 0.051955, 0.0533444, 0.0587414, 0.0412356, 0.0339868, 0.0459391, 0.0476819, 0.0443979, 0.0626385, 0.0363525, 0.0446164, 0.0331516, 0.0321836, 0.0304389, 0.0478699, 0.0310334, 0.0408238, 0.0366067, 0.0397364, 0.0370686, 0.0578351, 0.0345707, 0.033717, 0.0385883, 0.0341986, 0.0573252, 0.0322977, 0.0427642, 0.0358548, 0.0383539, 0.030117, 0.0437723, 0.0599278, 0.0457902, 0.0572134, 0.0600552, 0.0524734, 0.0619081, 0.0625791, 0.0661779, 0.0497166, 0.0394882, 0.0847768, 0.0307711, 0.0515058, 0.0305535, 0.0574256, 0.0494142, 0.0479583, 0.0332881
-1055.28,0.945518,0.178551,5,31,0,1105.64,0.639355,0.585145,-0.463855,0.251081,-0.0470363,-0.170578,0.380259,0.400317,-0.649267,-0.223045,0.285864,0.537906,-0.399579,-0.0790334,-0.00132744,0.0144455,-0.318368,-0.257619,-0.570696,-0.136737,-0.124713,0.553622,0.378731,0.0226332,0.301807,0.125749,-0.162474,0.0122456,0.0191408,0.187483,-0.115679,-0.0547645,-0.192871,-0.00172753,-0.308758,0.016191,-0.27608,0.158329,-0.14836,0.459145,0.312315,0.442418,-0.312925,0.42083,0.580395,-0.147382,-0.219072,0.268738,-0.247856,0.204022,0.180457,0.316436,0.427943,0.209325,0.258121,0.160273,0.486031,0.0403057,0.597734,-0.178199,-0.221477,0.0676257,0.0588619,-0.251401,-0.113604,-0.0144919,-0.329349,0.214858,0.265905,0.21987,-0.445816,0.454574,-0.135414,0.0946234,-0.398666,0.175548,0.39424,0.52169,0.639355,0.585145,-0.463855,0.251081,-0.0470363,-0.170578,0.380259,0.400317,-0.649267,-0.223045,0.285864,0.537906,-0.399579,-0.0790334,-0.00132744,0.0144455,-0.318368,-0.257619,-0.570696,0.0860351,-0.136737,-0.124713,0.553622,0.378731,0.0226332,0.301807,0.125749,-0.162474,0.0122456,0.0191408,0.187483,-0.115679,-0.0547645,-0.192871,-0.00172753,-0.308758,0.016191,-0.27608,0.158329,-0.402127,-1051.43
-1057.15,0.940547,0.178551,5,31,0,1094.02,-0.0856914,0.295295,-0.414196,-0.130492,0.501419,-0.0872504,0.224287,0.133371,0.73139,0.117007,0.190286,-0.184151,-0.122897,-0.248717,-1.22374,0.472906,-0.124593,-0.225104,0.0128751,0.412494,-0.744001,0.301498,0.103266,-0.433215,-0.146177,0.239665,0.123793,0.183357,0.132543,0.174956,-0.610449,0.360043,0.774423,-0.0209573,0.0937533,-0.534814,-0.531975,0.591531,0.323658,0.400064,0.470368,0.462195,0.268226,0.486992,-0.0290682,0.234317,0.32472,0.00768872,-0.0616449,0.347507,0.318045,0.144556,0.531829,-0.561731,0.324828,0.024658,0.541924,0.34368,0.327949,0.358743,-0.209781,0.0674868,-0.316965,-0.221936,-0.169812,-0.448067,-0.067755,-0.671364,-0.456873,0.0399665,-0.49864,0.454142,-0.0749166,0.44646,-0.448921,-0.584249,-0.205707,0.221108,-0.0856914,0.295295,-0.414196,-0.130492,0.501419,-0.0872504,0.224287,0.133371,0.73139,0.117007,0.190286,-0.184151,-0.122897,-0.248717,-1.22374,0.472906,-0.124593,-0.225104,0.0128751,0.167995,0.412494,-0.744001,0.301498,0.103266,-0.433215,-0.146177,0.239665,0.123793,0.183357,0.132543,0.174956,-0.610449,0.360043,0.774423,-0.0209573,0.0937533,-0.534814,-0.531975,0.591531,-0.469732,-1051.41
-1058.71,0.992089,0.178551,5,31,0,1097.78,0.379651,0.590213,-0.652032,0.0919397,-0.101705,-0.131056,0.275742,0.319221,-0.106855,-0.277207,0.440216,0.562963,-0.280915,-0.138054,0.0653257,0.212937,-0.333191,-0.752834,-0.405074,-0.0828342,0.181633,0.379842,0.4689,-0.0136909,0.510283,0.0173337,-0.141759,-0.0377951,0.211043,-0.159387,-0.0710281,-0.0575592,-0.0937987,-0.0274024,-0.15557,0.0327386,-0.668224,-0.0710729,0.378413,0.485817,0.411585,0.285359,-0.191845,0.365806,0.14277,-0.00683125,-0.183073,0.177142,-0.243465,0.408129,0.104733,0.0908,0.414101,-0.488683,0.432608,0.281846,0.491102,0.217282,0.669231,0.0923772,0.176194,-0.179119,0.425853,-0.429051,-0.302718,0.207515,-0.516484,-0.0525257,0.00857317,0.25998,-0.383729,0.428353,-0.197823,0.243222,-0.349762,0.174648,0.404259,0.591559,0.379651,0.590213,-0.652032,0.0919397,-0.101705,-0.131056,0.275742,0.319221,-0.106855,-0.277207,0.440216,0.562963,-0.280915,-0.138054,0.0653257,0.212937,-0.333191,-0.752834,-0.405074,0.240713,-0.0828342,0.181633,0.379842,0.4689,-0.0136909,0.510283,0.0173337,-0.141759,-0.0377951,0.211043,-0.159387,-0.0710281,-0.0575592,-0.0937987,-0.0274024,-0.15557,0.0327386,-0.668224,-0.0710729,-0.221651,-1054.45
-1058.05,0.91614,0.178551,5,31,0,1100.38,0.435299,0.414932,-0.0937562,0.273208,0.552998,-0.0372068,0.362677,0.243165,0.28906,-0.206782,-0.0336989,0.0543203,-0.506217,-0.375713,-1.31186,0.409768,-0.07001,0.0862973,-0.402377,0.03341,-0.915886,0.434644,0.0532568,-0.151534,-0.000497501,0.132371,0.173683,0.50033,-0.23733,0.20406,-0.814423,0.327421,0.349174,0.0961027,0.0677005,-0.513983,-0.667061,0.745458,0.222925,0.585404,0.545759,0.369873,0.0204581,0.417512,0.573023,-0.0891905,0.0967811,0.290613,-0.301335,0.0356428,0.425208,0.196287,0.582354,0.473376,0.185263,0.291386,0.403268,0.0508722,0.298868,0.00489023,-0.538982,-0.189558,-0.460032,-0.173899,0.112662,-0.587289,-0.240887,-0.355475,-0.239905,0.137644,-0.928934,0.0898802,0.116695,0.0490974,-0.17848,-0.270198,-0.217719,0.306215,0.435299,0.414932,-0.0937562,0.273208,0.552998,-0.0372068,0.362677,0.243165,0.28906,-0.206782,-0.0336989,0.0543203,-0.506217,-0.375713,-1.31186,0.409768,-0.07001,0.0862973,-0.402377,-0.0841079,0.03341,-0.915886,0.434644,0.0532568,-0.151534,-0.000497501,0.132371,0.173683,0.50033,-0.23733,0.20406,-0.814423,0.327421,0.349174,0.0961027,0.0677005,-0.513983,-0.667061,0.745458,0.183105,-1051.97
-1055.06,0.952848,0.178551,5,31,0,1107.98,0.2462,0.579508,-0.551807,-0.100067,0.115337,-0.253948,0.329274,0.182521,0.106639,-0.201483,0.515787,0.506103,-0.323224,-0.105554,-0.4487,0.0577692,-0.367718,-0.577692,-0.010876,0.347375,-0.249478,0.545269,0.465527,-0.385136,-0.0967773,0.442416,-0.0616037,-0.318134,0.11885,0.167081,-0.226208,0.132956,0.227834,0.252375,-0.240174,-0.453592,-0.222881,-0.00944685,0.158376,0.510736,0.210341,0.702642,-0.242746,0.307148,-0.0472575,0.506881,-0.170363,0.194612,-0.0638487,0.659068,0.190399,0.206128,0.323615,-0.664024,0.0881228,-0.376532,0.718708,0.330947,0.436561,0.0769258,0.264131,-0.127754,-0.200497,-0.132919,-0.4484,-0.184028,-0.0951542,-0.435822,0.081019,0.261892,-0.0346275,0.37556,-0.108061,0.21518,-0.772135,-0.0170883,0.187792,0.628292,0.2462,0.579508,-0.551807,-0.100067,0.115337,-0.253948,0.329274,0.182521,0.106639,-0.201483,0.515787,0.506103,-0.323224,-0.105554,-0.4487,0.0577692,-0.367718,-0.577692,-0.010876,0.301929,0.347375,-0.249478,0.545269,0.465527,-0.385136,-0.0967773,0.442416,-0.0616037,-0.318134,0.11885,0.167081,-0.226208,0.132956,0.227834,0.252375,-0.240174,-0.453592,-0.222881,-0.00944685,-0.436253,-1050.45
-1049.51,0.998558,0.178551,5,31,0,1087.91,0.364711,0.393792,-0.249271,0.259074,0.219467,-0.065252,0.216613,0.210588,0.101318,0.134291,-0.0874854,-0.0677799,-0.194939,-0.18473,-0.772107,0.421561,-0.262816,-0.0390593,-0.519021,0.0729044,-0.538626,0.271825,0.0567386,0.00194361,0.234186,-0.158041,0.0491431,0.527013,-0.0234636,0.150697,-0.303926,0.173979,0.225396,-0.432073,-0.00625738,-0.101164,-0.553199,0.682927,0.29566,0.494584,0.671851,0.293812,0.25909,0.760638,0.582665,-0.388119,0.160599,0.0217537,-0.210532,0.0422053,0.417254,0.295966,0.679043,0.382629,0.547027,0.508215,0.343966,0.141649,0.572601,0.166224,-0.652717,0.225672,-0.11507,-0.231919,0.165835,-0.234884,-0.324161,-0.0266206,-0.16226,0.0500533,-0.925291,0.573372,-0.088334,0.225475,0.102068,-0.257384,0.0136002,0.173262,0.364711,0.393792,-0.249271,0.259074,0.219467,-0.065252,0.216613,0.210588,0.101318,0.134291,-0.0874854,-0.0677799,-0.194939,-0.18473,-0.772107,0.421561,-0.262816,-0.0390593,-0.519021,0.121044,0.0729044,-0.538626,0.271825,0.0567386,0.00194361,0.234186,-0.158041,0.0491431,0.527013,-0.0234636,0.150697,-0.303926,0.173979,0.225396,-0.432073,-0.00625738,-0.101164,-0.553199,0.682927,-0.330004,-1044.61
