# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/tdaxlqzc.json
# init = 2 (Default)
# random
#   seed = 79781
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5zpnzm7v8/poisson_5-20250829005544_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.189975
# Diagonal elements of inverse mass matrix:
# 0.0273364, 0.0233161, 0.0642838, 0.0378957, 0.0277422, 0.0480115, 0.0277415, 0.0330241, 0.0324093, 0.0473527, 0.0304581, 0.0312569, 0.0474229, 0.0480487, 0.0650558, 0.0275074, 0.0458416, 0.0539127, 0.0545999, 0.0423418, 0.0685657, 0.029799, 0.0384738, 0.0469694, 0.0502248, 0.0347343, 0.0442659, 0.0366638, 0.0491065, 0.0420467, 0.0539928, 0.0454233, 0.0411915, 0.0455328, 0.0463321, 0.0568685, 0.0537153, 0.03305, 0.0403631, 0.0299474, 0.0288865, 0.0323615, 0.0547054, 0.0275117, 0.0358526, 0.0554594, 0.0528026, 0.03882, 0.0501805, 0.0395153, 0.0350196, 0.041161, 0.0247482, 0.0523365, 0.0407434, 0.0393641, 0.0281013, 0.0431936, 0.028709, 0.035977, 0.0638734, 0.0536111, 0.04806, 0.0587148, 0.0473788, 0.0519182, 0.0507916, 0.0595263, 0.0517241, 0.0390854, 0.0785739, 0.0330476, 0.0481946, 0.0386438, 0.0629849, 0.0489924, 0.0448994, 0.0302821
-1056.62,0.953706,0.189975,5,31,0,1090.19,0.489413,0.475476,-0.557943,-0.398035,0.441319,-0.505937,0.326965,0.371251,0.405197,-0.310034,0.361417,0.205584,-0.347653,-0.0319599,-0.967651,-0.107591,-0.0401671,-0.199103,-0.0134576,0.0969135,-1.11222,0.696052,0.322865,-0.0595541,-0.34633,0.151497,-0.18916,0.535865,0.289956,0.28599,-0.757277,0.287424,0.307267,0.430992,0.0784537,-0.517908,-0.423589,0.441827,0.291202,0.337675,0.489219,0.274632,0.36992,0.300605,0.136492,0.351678,0.213347,0.301191,-0.0395892,0.456128,0.484553,0.215383,0.405942,0.0610413,0.341993,0.271165,0.385393,0.179178,0.456228,0.38305,-0.251415,-0.0893311,-0.14011,-0.349283,-0.31071,0.0626861,0.202141,-0.0681576,-0.23926,-0.0198755,-0.679379,0.144362,0.0401216,0.477208,-0.5596,-0.190901,-0.151286,0.473498,0.489413,0.475476,-0.557943,-0.398035,0.441319,-0.505937,0.326965,0.371251,0.405197,-0.310034,0.361417,0.205584,-0.347653,-0.0319599,-0.967651,-0.107591,-0.0401671,-0.199103,-0.0134576,0.40291,0.0969135,-1.11222,0.696052,0.322865,-0.0595541,-0.34633,0.151497,-0.18916,0.535865,0.289956,0.28599,-0.757277,0.287424,0.307267,0.430992,0.0784537,-0.517908,-0.423589,0.441827,-0.51906,-1050.94
-1049.52,0.993124,0.189975,5,31,0,1091.53,0.169578,0.528308,-0.342276,-0.0683309,-0.172341,0.0256919,0.48137,0.451023,-0.0819123,0.0534783,0.174542,0.250072,-0.200048,-0.0303282,-0.353697,0.105953,-0.268124,-0.154842,-0.401027,0.224781,0.042819,0.407731,0.0390706,-0.16793,0.25441,0.329933,0.180004,0.171197,-0.0396013,0.0571145,-0.605899,0.20633,0.301427,-0.257752,-0.175297,0.215225,-0.535466,0.0407095,0.378505,0.401831,0.515141,0.364093,0.127258,0.601783,0.480353,-0.463593,-0.161585,-0.101077,-0.0898959,0.24082,0.401304,0.367546,0.584543,-0.229806,0.47153,-0.0770361,0.797044,0.488838,0.717506,-0.169154,-0.247909,-0.22004,-0.180908,-0.302541,-0.225358,-0.119054,-0.371927,-0.353078,-0.175728,0.263924,-0.412643,0.667048,-0.0550683,0.194703,-0.00134341,-0.407645,0.500766,0.13035,0.169578,0.528308,-0.342276,-0.0683309,-0.172341,0.0256919,0.48137,0.451023,-0.0819123,0.0534783,0.174542,0.250072,-0.200048,-0.0303282,-0.353697,0.105953,-0.268124,-0.154842,-0.401027,-0.167088,0.224781,0.042819,0.407731,0.0390706,-0.16793,0.25441,0.329933,0.180004,0.171197,-0.0396013,0.0571145,-0.605899,0.20633,0.301427,-0.257752,-0.175297,0.215225,-0.535466,0.0407095,-0.688805,-1045.23
-1063.03,0.958612,0.189975,5,31,0,1097.19,0.263015,0.606571,-0.731891,0.203348,-0.00271084,-0.398519,0.180684,0.436528,0.12642,-0.0983498,0.422615,0.100208,-0.0358564,-0.309539,-0.623907,0.0209149,-0.581508,-0.11969,0.104324,-0.196309,-0.632536,0.5706,0.217037,0.0162054,0.0449548,0.199681,-0.615669,0.432762,0.130201,0.173331,0.0309981,0.19561,-0.128853,0.29804,-0.0845604,-0.545277,-0.0638685,0.463317,-0.0842899,0.509147,-0.0710791,0.679807,-0.0111619,0.384719,0.262471,-0.228848,-0.570838,0.584272,-0.373469,0.375,0.0794614,0.158864,0.172621,0.257267,0.40308,-0.0755184,0.442243,-0.166643,0.588985,-0.139272,-0.0442843,-0.21753,-0.183856,-0.191691,-0.226904,-0.441333,-0.14249,0.173147,0.182094,0.0718585,-0.634478,0.385879,-0.304472,0.523277,-0.532085,0.085998,-0.0855591,0.443935,0.263015,0.606571,-0.731891,0.203348,-0.00271084,-0.398519,0.180684,0.436528,0.12642,-0.0983498,0.422615,0.100208,-0.0358564,-0.309539,-0.623907,0.0209149,-0.581508,-0.11969,0.104324,0.437344,-0.196309,-0.632536,0.5706,0.217037,0.0162054,0.0449548,0.199681,-0.615669,0.432762,0.130201,0.173331,0.0309981,0.19561,-0.128853,0.29804,-0.0845604,-0.545277,-0.0638685,0.463317,-0.505664,-1058.38
-1053.69,0.945166,0.189975,5,31,0,1102.11,0.0158892,0.584578,-0.136144,-0.0598442,0.0534688,-0.229598,0.1924,0.349987,0.400617,-0.00574866,0.195597,0.181262,-0.497198,-0.24595,-0.829468,0.329187,-0.564988,-0.263541,0.150902,0.0642332,-0.414821,0.297283,0.389456,0.0015747,0.12864,0.223165,-0.44716,0.260264,-0.178158,0.365,-0.314661,0.325743,0.324797,-0.282016,-0.0969764,-0.163519,-0.376851,0.215213,0.389561,0.507127,0.379992,0.507203,-0.192055,0.584541,-0.182231,-0.313167,-0.423212,-0.112832,-0.240026,0.234582,0.462501,0.210724,0.757727,-0.52783,0.442438,-0.194968,0.44961,-0.160823,0.355628,-0.328555,-0.263409,-0.41027,-0.235441,-0.675549,-0.399408,-0.28242,-0.0865015,-0.15853,0.190492,0.175217,-0.450705,0.538647,-0.154501,0.136574,-0.384722,-0.320833,-0.051849,0.588332,0.0158892,0.584578,-0.136144,-0.0598442,0.0534688,-0.229598,0.1924,0.349987,0.400617,-0.00574866,0.195597,0.181262,-0.497198,-0.24595,-0.829468,0.329187,-0.564988,-0.263541,0.150902,0.378593,0.0642332,-0.414821,0.297283,0.389456,0.0015747,0.12864,0.223165,-0.44716,0.260264,-0.178158,0.365,-0.314661,0.325743,0.324797,-0.282016,-0.0969764,-0.163519,-0.376851,0.215213,-0.321205,-1048.93
-1043.46,0.995146,0.189975,4,15,0,1083.78,0.21614,0.48444,-0.611955,-0.0218572,0.105114,-0.0642808,0.214325,0.0459281,0.0295907,0.212878,0.310924,0.429863,-0.448033,-0.31302,-0.680246,0.378322,-0.430092,-0.27356,0.0236441,0.263492,-0.623803,0.39275,-0.00760864,-0.443848,-0.22099,0.0667943,-0.397851,0.414764,0.294235,0.401273,-0.331019,0.246172,0.471404,-0.144933,-0.0903158,0.141073,-0.2986,0.294587,0.280761,0.290022,0.408149,0.116579,0.127765,0.511347,0.332218,0.126755,0.15903,0.292551,-0.170405,0.367475,0.196806,0.438386,0.542429,-0.469772,0.158709,-0.283399,0.570163,0.372309,0.41246,0.0366923,0.00264655,0.117386,0.0263257,-0.257723,-0.0359169,-0.259363,0.0772754,0.0814576,0.101629,0.0345121,-0.173813,0.464105,0.141908,0.0745555,-0.466622,-0.0821304,0.482398,0.22349,0.21614,0.48444,-0.611955,-0.0218572,0.105114,-0.0642808,0.214325,0.0459281,0.0295907,0.212878,0.310924,0.429863,-0.448033,-0.31302,-0.680246,0.378322,-0.430092,-0.27356,0.0236441,0.391875,0.263492,-0.623803,0.39275,-0.00760864,-0.443848,-0.22099,0.0667943,-0.397851,0.414764,0.294235,0.401273,-0.331019,0.246172,0.471404,-0.144933,-0.0903158,0.141073,-0.2986,0.294587,-0.427578,-1039.6
-1047.06,0.984461,0.189975,5,31,0,1082.25,0.35216,0.450194,-0.220721,-0.213867,0.220061,-0.295545,0.444372,0.504037,0.106585,-0.21803,0.182058,-0.282878,-0.0397504,-0.0424282,-0.62883,0.293169,-0.344706,-0.0692008,-0.507927,0.0825605,-0.422386,0.400193,0.627226,0.0817853,0.287994,0.228292,-0.113902,-0.0210117,-0.375426,-0.0414271,-0.239923,0.0318559,0.213321,0.108977,-0.185043,-0.584461,-0.48368,0.540772,0.213087,0.83347,0.369363,0.762085,-0.129278,0.492383,0.455045,0.0513152,0.111944,0.0649809,-0.0759395,0.599045,0.278212,0.0507691,0.393406,0.242298,0.137786,0.527295,0.265933,-0.0547495,0.735999,0.0622354,-0.280382,0.0296975,-0.348259,-0.167459,-0.211881,-0.299345,-0.521293,-0.342191,-0.207256,0.232155,-0.653033,0.565475,-0.197412,0.540556,-0.208976,-0.0295728,-0.0479474,0.472621,0.35216,0.450194,-0.220721,-0.213867,0.220061,-0.295545,0.444372,0.504037,0.106585,-0.21803,0.182058,-0.282878,-0.0397504,-0.0424282,-0.62883,0.293169,-0.344706,-0.0692008,-0.507927,0.311247,0.0825605,-0.422386,0.400193,0.627226,0.0817853,0.287994,0.228292,-0.113902,-0.0210117,-0.375426,-0.0414271,-0.239923,0.0318559,0.213321,0.108977,-0.185043,-0.584461,-0.48368,0.540772,-0.135718,-1042.15
