# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/h23jt8qs.json
# init = 2 (Default)
# random
#   seed = 59553
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5zftt32t6/poisson_5-20250829005546_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.175984
# Diagonal elements of inverse mass matrix:
# 0.330702, 0.283561, 0.364706, 0.356177, 0.263441, 0.293112, 0.358938, 0.283911, 0.25855, 0.338614, 0.499994, 0.276395, 0.286406, 0.303306, 0.517484, 0.197104, 0.598938, 0.381847, 0.33095, 0.301423, 0.363248, 0.369925, 0.466061, 0.312798, 0.389257, 0.407249, 0.319277, 0.287192, 0.440299, 0.575143, 0.302902, 0.302859, 0.257113, 0.444805, 0.493436, 0.4057, 0.285642, 0.25702, 0.379661, 0.283139, 0.320857, 0.281068, 0.466542, 0.310101, 0.245943, 0.384201, 0.415105, 0.255325, 0.315536, 0.349408, 0.320217, 0.302473, 0.285237, 0.448843, 0.31332, 0.455395, 0.404552, 0.350587, 0.491357, 0.365133, 0.281592, 0.285761, 0.39758, 0.276473, 0.344725, 0.426341, 0.444588, 0.474912, 0.339721, 0.363151, 0.493026, 0.422586, 0.326604, 0.396937, 0.287115, 0.407381, 0.44424, 0.253885
-160.314,0.971462,0.175984,5,31,0,198.229,-0.563637,-0.175547,0.74754,0.00528804,0.62864,1.0489,0.638955,0.332219,-0.627121,1.21449,0.12337,0.100616,-1.21451,0.410308,-1.31376,0.606562,-1.20422,-0.906739,-0.248671,-0.0926672,-0.755858,-0.664737,0.321064,0.425114,-0.813798,0.313373,1.66818,0.315431,-0.329277,-0.177086,-0.584959,-0.0696682,0.718668,-0.67725,-0.672526,1.03839,0.197022,0.861989,0.129501,-0.383222,-0.700762,-0.888041,-1.48961,0.433415,-0.478137,-0.324564,0.408133,-0.175274,-0.104017,-0.884303,-0.853449,1.21387,0.945991,0.0543724,-0.00439947,0.680018,-0.673049,-0.609165,-0.672283,0.468331,-0.636205,-0.475197,-0.103929,0.77978,-0.221515,-2.26997,0.456157,-1.97199,-0.694773,-2.56381,-0.351624,-0.335348,-0.501515,-0.686551,-0.026816,0.779168,0.407458,0.758358,-0.563637,-0.175547,0.74754,0.00528804,0.62864,1.0489,0.638955,0.332219,-0.627121,1.21449,0.12337,0.100616,-1.21451,0.410308,-1.31376,0.606562,-1.20422,-0.906739,-0.248671,0.397308,-0.0926672,-0.755858,-0.664737,0.321064,0.425114,-0.813798,0.313373,1.66818,0.315431,-0.329277,-0.177086,-0.584959,-0.0696682,0.718668,-0.67725,-0.672526,1.03839,0.197022,0.861989,-1.0214,-135.438
-156.811,0.938891,0.175984,4,15,0,202.433,-0.577413,-0.0501456,0.383857,-0.0290179,-0.0905733,-0.461696,0.370498,0.115061,-0.250316,1.22004,-1.30723,0.246673,0.633051,-0.243491,-1.13273,0.528904,-1.13252,0.584475,0.318386,0.668416,-0.403249,0.758796,0.645497,-0.292128,-0.423978,0.644733,0.540905,0.458747,-0.302077,-0.345412,-0.144297,0.0812782,0.196145,0.784727,0.213595,-0.392745,0.582814,-0.117805,-1.21193,0.0684299,0.71171,-0.49585,0.901022,-0.44366,-0.174772,0.389274,0.798745,0.351414,-0.095991,-0.381696,-0.227193,0.647882,-0.361689,0.343792,-0.512667,-0.290903,0.13108,-0.529372,-0.861499,-0.978847,-0.9047,0.509996,-0.123896,-0.432998,-0.395508,0.563665,-0.283893,-2.26246,-0.379496,0.221933,-0.390424,0.611543,-0.997576,0.724652,0.361192,-1.31717,-0.771889,0.0183546,-0.577413,-0.0501456,0.383857,-0.0290179,-0.0905733,-0.461696,0.370498,0.115061,-0.250316,1.22004,-1.30723,0.246673,0.633051,-0.243491,-1.13273,0.528904,-1.13252,0.584475,0.318386,0.874197,0.668416,-0.403249,0.758796,0.645497,-0.292128,-0.423978,0.644733,0.540905,0.458747,-0.302077,-0.345412,-0.144297,0.0812782,0.196145,0.784727,0.213595,-0.392745,0.582814,-0.117805,-3.15396,-141.205
-158.485,0.939186,0.175984,5,31,0,200.212,0.477716,1.00138,-0.0624031,0.32076,0.399837,1.38946,0.414934,0.237485,-0.0153774,0.292375,0.0926065,1.13293,-0.602576,-0.53138,-1.21623,0.897111,-1.62642,-1.91505,-0.38152,0.60173,0.403444,0.737029,-0.412278,0.143965,-0.372822,-1.23648,0.883602,-1.0193,0.715893,-1.30533,0.420111,0.527242,0.650385,0.785914,-1.43297,-0.54743,-0.232884,0.582772,1.15015,0.10099,-1.2569,0.773905,-2.50051,-0.334006,0.189132,-0.16519,-0.934597,0.745857,-1.23927,0.660893,-1.49432,0.24712,0.467815,0.152466,0.938691,-0.0782721,0.0849846,-1.178,-0.130539,-0.209502,-0.727426,-1.03088,-0.626335,0.127581,-0.603481,-1.29842,0.751519,0.045267,-0.919508,-1.287,-0.192436,-0.255176,0.642464,-1.2721,-0.0579664,-0.543954,0.393638,0.22155,0.477716,1.00138,-0.0624031,0.32076,0.399837,1.38946,0.414934,0.237485,-0.0153774,0.292375,0.0926065,1.13293,-0.602576,-0.53138,-1.21623,0.897111,-1.62642,-1.91505,-0.38152,-0.305638,0.60173,0.403444,0.737029,-0.412278,0.143965,-0.372822,-1.23648,0.883602,-1.0193,0.715893,-1.30533,0.420111,0.527242,0.650385,0.785914,-1.43297,-0.54743,-0.232884,0.582772,0.107405,-131.683
-156.209,0.821455,0.175984,5,31,0,213.589,-0.354007,-0.091384,0.438953,0.75785,-0.566111,-0.61246,0.495362,0.362845,1.57661,0.479304,-1.35308,-0.213254,-0.120199,-0.34222,-0.924395,1.15459,-1.32057,-0.314515,0.755557,0.514346,-0.0907167,0.0746904,0.472242,0.475064,-0.242229,-1.36816,0.925274,0.466786,-0.377295,-0.259156,-0.805736,-0.0645584,-0.549908,-0.391219,0.225905,0.0331905,-0.19691,1.37605,-0.239259,0.477932,-0.152025,-0.368175,0.417345,0.783856,-0.0137075,-0.326426,0.613611,-0.229235,0.996667,0.251069,0.785627,1.00707,0.380507,0.760641,-0.479534,0.278419,0.438569,-0.819872,0.0758611,-0.592774,-0.0289862,0.628886,-0.786683,1.11456,-0.643847,0.437876,-1.01166,-1.89785,-0.332318,0.0510889,-0.338873,0.716701,-0.137091,0.384285,-1.08651,-0.953864,-0.168286,0.257144,-0.354007,-0.091384,0.438953,0.75785,-0.566111,-0.61246,0.495362,0.362845,1.57661,0.479304,-1.35308,-0.213254,-0.120199,-0.34222,-0.924395,1.15459,-1.32057,-0.314515,0.755557,0.191131,0.514346,-0.0907167,0.0746904,0.472242,0.475064,-0.242229,-1.36816,0.925274,0.466786,-0.377295,-0.259156,-0.805736,-0.0645584,-0.549908,-0.391219,0.225905,0.0331905,-0.19691,1.37605,-0.217664,-138.397
-157.267,0.89937,0.175984,5,31,0,206.458,0.822663,1.0026,0.223834,-0.550499,0.457086,0.727141,0.0632336,-0.0700856,-0.292387,0.329508,-1.47629,1.70531,-0.129795,0.0992414,-1.43932,0.419881,0.102621,-0.788193,-0.8835,0.231373,-0.337399,0.851992,0.157136,0.593563,-0.796789,-2.08431,0.88093,-0.826997,0.328301,-1.46064,0.171714,0.10652,1.24595,0.326277,-1.14034,1.05914,-0.281693,0.62882,-0.0706144,-0.473741,-0.239238,0.458138,-1.40323,-1.02792,0.542973,0.650116,0.0246899,1.20343,-1.38978,0.0953142,0.0876857,0.288824,1.46389,-0.131764,1.5392,0.553614,-0.342649,-1.51497,-0.833681,-0.579166,-0.243393,-0.520267,-1.11312,-0.437301,-0.470787,0.639045,-0.174446,0.130632,-1.37337,0.161202,-0.760032,-0.479933,0.12116,-0.933264,0.126598,-0.859918,-0.54365,0.270199,0.822663,1.0026,0.223834,-0.550499,0.457086,0.727141,0.0632336,-0.0700856,-0.292387,0.329508,-1.47629,1.70531,-0.129795,0.0992414,-1.43932,0.419881,0.102621,-0.788193,-0.8835,-0.32305,0.231373,-0.337399,0.851992,0.157136,0.593563,-0.796789,-2.08431,0.88093,-0.826997,0.328301,-1.46064,0.171714,0.10652,1.24595,0.326277,-1.14034,1.05914,-0.281693,0.62882,0.346455,-132.535
-157.781,0.955675,0.175984,5,31,0,195.063,-0.463747,-0.460102,0.598036,0.812292,-0.214432,-0.0726975,0.653644,0.254598,-0.350199,0.486781,0.42268,-0.728251,-0.430914,-0.125147,-0.346562,0.285393,-2.23996,0.617157,0.413473,0.886234,-0.387639,1.68174,-2.11703,0.122335,0.0831257,0.658476,-0.387722,-0.0545184,0.20852,0.476778,0.032395,-0.128716,0.334471,0.409533,-0.46225,-1.70571,0.660527,0.173975,0.599907,-0.231025,-0.572106,-0.418901,-0.44914,0.57188,-0.146948,-0.434759,-0.136029,-0.410387,0.151013,-0.662504,-0.210068,1.08973,-0.320694,0.000713146,-1.28791,0.0811967,-0.080369,0.693481,-0.809843,-1.04869,-1.44091,-1.32313,0.530988,0.246301,-1.01314,0.701119,0.257349,-1.72936,-0.144295,-1.29129,-0.559186,0.0752186,0.14423,0.226991,0.686233,0.906162,-0.14694,0.548671,-0.463747,-0.460102,0.598036,0.812292,-0.214432,-0.0726975,0.653644,0.254598,-0.350199,0.486781,0.42268,-0.728251,-0.430914,-0.125147,-0.346562,0.285393,-2.23996,0.617157,0.413473,0.887956,0.886234,-0.387639,1.68174,-2.11703,0.122335,0.0831257,0.658476,-0.387722,-0.0545184,0.20852,0.476778,0.032395,-0.128716,0.334471,0.409533,-0.46225,-1.70571,0.660527,0.173975,-0.484524,-136.769
