# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/vvkh875x.json
# init = 2 (Default)
# random
#   seed = 21761
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5eynn1p0o/poisson_5-20250829005559_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.184244
# Diagonal elements of inverse mass matrix:
# 0.0738523, 0.0651192, 0.150394, 0.168199, 0.173315, 0.165977, 0.0797807, 0.0812894, 0.189595, 0.276747, 0.0801796, 0.124663, 0.11655, 0.111982, 0.0761638, 0.120358, 0.207846, 0.0877084, 0.101233, 0.0832347, 0.119108, 0.109616, 0.153503, 0.125203, 0.147433, 0.149715, 0.184934, 0.11269, 0.180513, 0.133587, 0.105257, 0.0858184, 0.185755, 0.0886885, 0.158519, 0.0911308, 0.132569, 0.0893627, 0.114582, 0.176608, 0.213957, 0.102514, 0.0919221, 0.143667, 0.150419, 0.0871656, 0.114929, 0.100297, 0.163846, 0.0958518, 0.0863753, 0.100776, 0.118833, 0.09555, 0.0692107, 0.128113, 0.167458, 0.131264, 0.0685718, 0.0982544, 0.195796, 0.143323, 0.138872, 0.16571, 0.116502, 0.118967, 0.0911419, 0.148574, 0.222524, 0.20811, 0.104343, 0.168866, 0.127702, 0.148033, 0.12776, 0.0966539, 0.184645, 0.166848
-413.305,0.976414,0.184244,5,31,0,456.007,0.5231,0.602712,-0.296316,-0.463128,-0.07492,-0.388381,-0.32284,0.792737,0.115932,-0.940869,0.574704,0.0363072,0.690595,0.19483,0.0496043,-0.126498,-1.0879,-0.162868,-0.187597,0.0657519,-0.133537,0.0894433,-0.207524,0.179374,-0.293244,-0.345904,-0.349738,0.382276,0.69204,0.117286,-0.227169,-0.562916,-0.886279,0.243939,-0.368181,1.01977,0.293091,0.113026,-0.011043,-0.242328,-0.560322,0.245375,0.343621,-0.161322,0.152578,0.349091,-0.356907,-0.275013,-0.298205,-0.261801,0.763064,0.795426,-0.224154,0.393445,0.351976,-0.384058,0.299598,-0.185723,0.676032,0.0515971,-0.213041,0.395321,-0.450942,-0.458462,0.272471,0.334707,0.259502,0.0381072,-1.1651,0.00358774,0.797355,-0.542628,0.894262,0.284857,-0.11404,-0.342418,-0.643415,-0.865597,0.5231,0.602712,-0.296316,-0.463128,-0.07492,-0.388381,-0.32284,0.792737,0.115932,-0.940869,0.574704,0.0363072,0.690595,0.19483,0.0496043,-0.126498,-1.0879,-0.162868,-0.187597,0.470794,0.0657519,-0.133537,0.0894433,-0.207524,0.179374,-0.293244,-0.345904,-0.349738,0.382276,0.69204,0.117286,-0.227169,-0.562916,-0.886279,0.243939,-0.368181,1.01977,0.293091,0.113026,0.178501,-404.762
-422.833,0.92101,0.184244,5,31,0,464.122,0.195881,0.601327,0.0547203,-0.0545359,-0.669534,-0.239838,1.39001,0.235896,-0.5143,-0.554241,0.380703,-0.632014,-0.525882,-0.294725,0.76765,-0.654217,-0.34807,0.958746,0.38649,0.305185,0.668245,0.180088,-0.0634555,-0.515437,0.735095,-0.647478,-0.82618,0.161452,-1.75924,-0.211271,0.00327467,1.01156,-0.289357,0.120186,0.0703152,0.037527,0.0875558,0.802867,0.0340319,-0.551251,-0.968789,-0.659508,0.0851178,-1.20869,-0.700804,-0.371866,-0.167307,-0.0371308,-0.179372,0.303542,-0.230769,0.251068,0.108181,0.514062,-0.0503878,-0.192144,-0.170338,0.274089,0.444357,0.31656,-0.486455,-1.40863,-0.0535176,-0.357262,-0.319396,0.00866558,0.133372,-0.827539,-0.720897,-1.53058,-1.27385,-0.285704,0.255786,-0.332442,0.0574648,0.849479,-0.162315,-0.255088,0.195881,0.601327,0.0547203,-0.0545359,-0.669534,-0.239838,1.39001,0.235896,-0.5143,-0.554241,0.380703,-0.632014,-0.525882,-0.294725,0.76765,-0.654217,-0.34807,0.958746,0.38649,-0.484068,0.305185,0.668245,0.180088,-0.0634555,-0.515437,0.735095,-0.647478,-0.82618,0.161452,-1.75924,-0.211271,0.00327467,1.01156,-0.289357,0.120186,0.0703152,0.037527,0.0875558,0.802867,0.129064,-409.086
-415.088,0.994827,0.184244,5,31,0,457.998,0.125904,0.344772,0.0126753,-0.303996,-1.00383,-0.122492,0.543163,0.654084,-0.361881,-0.32077,0.177176,-0.208233,0.353197,0.316679,0.408912,-0.0625537,-0.721409,0.288159,-0.28339,0.634478,0.578954,-0.0742052,-0.110127,0.138025,0.65737,-1.05547,-0.56541,0.482868,-0.361319,-0.504925,-0.153924,0.890136,-0.311858,0.357335,-0.296984,0.0774949,-0.12566,-0.270888,0.142503,-0.415442,-1.83337,-0.0221734,0.305826,-0.830298,-0.930258,0.170171,-0.869562,-0.732783,0.552662,0.0351061,0.700559,0.253287,-0.184057,0.151439,0.603952,-0.446942,-0.0611859,-0.0874377,0.825944,0.00941944,-0.185414,-0.393978,-0.558913,-0.479702,0.246527,0.233126,0.17787,-0.313434,-0.663359,-1.65503,-0.530578,0.20335,0.462845,-0.163165,-0.249456,0.32311,-0.826056,-0.70833,0.125904,0.344772,0.0126753,-0.303996,-1.00383,-0.122492,0.543163,0.654084,-0.361881,-0.32077,0.177176,-0.208233,0.353197,0.316679,0.408912,-0.0625537,-0.721409,0.288159,-0.28339,0.163837,0.634478,0.578954,-0.0742052,-0.110127,0.138025,0.65737,-1.05547,-0.56541,0.482868,-0.361319,-0.504925,-0.153924,0.890136,-0.311858,0.357335,-0.296984,0.0774949,-0.12566,-0.270888,0.0141138,-403.779
-414.226,0.919297,0.184244,4,15,0,468.297,0.444841,0.285968,0.222961,0.0473327,-0.509543,0.470379,0.328335,0.541834,-0.674159,-0.443969,0.029741,-0.30179,0.553875,0.421693,0.4183,-0.18062,-1.10739,0.431161,-0.485574,0.454053,0.755915,-0.314783,-0.155575,0.291731,0.312269,-0.952439,-0.450114,0.278631,-0.041179,-0.313158,-0.341456,0.74128,-0.220698,0.466134,-0.0396684,0.153439,-0.120977,-0.346728,0.0774587,-0.093352,-1.81088,-0.502314,-0.188261,-0.745313,-0.860351,0.341908,-0.516927,-0.620312,0.116979,-0.00955011,0.531643,0.119095,-0.0321641,0.5702,0.330265,-0.405352,0.0936539,-0.125971,0.947682,-0.0941797,-0.0102033,-0.145589,-0.355471,-0.0845532,0.33753,0.117932,-0.0319125,-0.430631,-0.979534,-1.1226,-0.541251,0.234766,0.269494,0.0871195,-0.00317944,0.472674,-0.807419,-0.477773,0.444841,0.285968,0.222961,0.0473327,-0.509543,0.470379,0.328335,0.541834,-0.674159,-0.443969,0.029741,-0.30179,0.553875,0.421693,0.4183,-0.18062,-1.10739,0.431161,-0.485574,-0.493378,0.454053,0.755915,-0.314783,-0.155575,0.291731,0.312269,-0.952439,-0.450114,0.278631,-0.041179,-0.313158,-0.341456,0.74128,-0.220698,0.466134,-0.0396684,0.153439,-0.120977,-0.346728,-0.156677,-404.492
-405.379,0.914202,0.184244,5,31,0,454.481,0.434628,0.568572,-0.161099,-0.6864,-0.358785,-0.606112,0.153942,0.872966,0.0579093,-1.44949,0.647988,-0.279654,0.00438087,0.138354,0.153137,0.0122511,-0.0586656,0.560898,0.429774,0.280035,0.306962,0.796621,0.258043,-0.255721,-0.379948,0.25237,-0.122984,0.006927,-0.693506,0.0320148,-0.311403,-0.397886,-1.42044,0.0563964,-0.611381,0.900771,0.639528,0.752983,0.0712615,-0.587865,0.0443331,-0.171351,0.566839,0.227715,0.148142,-0.140887,0.409055,-0.224437,-0.551346,0.135102,0.234854,0.584333,-0.254032,0.113382,0.578347,-0.203226,-0.361503,0.107442,0.286146,0.354105,-0.803179,0.0462613,-0.204029,-0.829019,-0.0179089,-0.382759,0.264382,-0.524867,-0.374293,-0.517775,0.174764,-0.605705,0.598576,-0.329256,-0.197063,-0.00247001,0.1398,-0.141865,0.434628,0.568572,-0.161099,-0.6864,-0.358785,-0.606112,0.153942,0.872966,0.0579093,-1.44949,0.647988,-0.279654,0.00438087,0.138354,0.153137,0.0122511,-0.0586656,0.560898,0.429774,-0.434593,0.280035,0.306962,0.796621,0.258043,-0.255721,-0.379948,0.25237,-0.122984,0.006927,-0.693506,0.0320148,-0.311403,-0.397886,-1.42044,0.0563964,-0.611381,0.900771,0.639528,0.752983,-0.0893764,-396.741
-408.828,0.928425,0.184244,5,31,0,442.083,0.699475,0.542684,-0.287626,-0.357169,0.145387,0.153127,0.689325,0.99755,-0.204797,-0.295829,-0.183979,-0.0920741,0.322012,0.226136,0.829976,-0.782723,-1.24574,0.212512,-0.789154,0.431655,0.710016,-0.248829,-0.336884,0.0747446,0.240862,-0.812859,-0.76819,0.52044,-0.0841207,-0.155985,-0.21073,0.694152,-0.510414,0.595787,-0.0541064,-0.0345232,0.13768,-0.133063,-0.031462,-0.700936,-1.63707,-0.29757,-0.061144,-1.00295,-0.270823,0.262039,-0.504035,-0.24984,0.353632,0.263729,0.528736,0.462399,-0.200392,0.381405,-0.20999,-0.68175,-0.637205,0.0769616,0.981221,-0.02687,0.126944,-0.559759,-0.401874,-0.123939,0.0640401,-0.33044,-0.0285461,-0.206411,-0.674783,-0.648465,-0.395036,0.19282,0.354988,-0.571368,0.0492584,0.566475,-0.580284,-0.398648,0.699475,0.542684,-0.287626,-0.357169,0.145387,0.153127,0.689325,0.99755,-0.204797,-0.295829,-0.183979,-0.0920741,0.322012,0.226136,0.829976,-0.782723,-1.24574,0.212512,-0.789154,-0.579093,0.431655,0.710016,-0.248829,-0.336884,0.0747446,0.240862,-0.812859,-0.76819,0.52044,-0.0841207,-0.155985,-0.21073,0.694152,-0.510414,0.595787,-0.0541064,-0.0345232,0.13768,-0.133063,-0.0556309,-398.572
