# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/vvkh875x.json
# init = 2 (Default)
# random
#   seed = 21761
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5eynn1p0o/poisson_5-20250829005559_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.168096
# Diagonal elements of inverse mass matrix:
# 0.0708641, 0.0756978, 0.122672, 0.166795, 0.159712, 0.184838, 0.0738962, 0.0694779, 0.146877, 0.249565, 0.0734371, 0.121095, 0.108255, 0.104902, 0.0683405, 0.127322, 0.194681, 0.0788532, 0.127284, 0.0971159, 0.0914887, 0.0814321, 0.148032, 0.135735, 0.10967, 0.149104, 0.156974, 0.151671, 0.190419, 0.145848, 0.111951, 0.10917, 0.2467, 0.093982, 0.161163, 0.0827414, 0.12635, 0.0912822, 0.142708, 0.186031, 0.182339, 0.101138, 0.0837562, 0.14125, 0.14205, 0.104152, 0.100966, 0.106162, 0.136258, 0.0997709, 0.0974838, 0.0869763, 0.10898, 0.070664, 0.0683556, 0.135964, 0.159278, 0.138585, 0.082224, 0.096922, 0.140522, 0.128955, 0.164561, 0.143471, 0.0990909, 0.142071, 0.10987, 0.182097, 0.194474, 0.158801, 0.113651, 0.115874, 0.0900281, 0.143265, 0.116872, 0.0748907, 0.157826, 0.182975
-403.077,0.982836,0.168096,5,31,0,442.142,0.635352,0.293585,-0.315804,-0.467593,-1.04932,-0.234648,0.491733,0.828997,-0.237067,-0.767211,-0.0212022,-0.067103,0.311943,0.24375,0.22004,-0.172854,-0.185248,0.249651,0.0929262,0.257062,0.579392,-0.0206217,-0.0852772,-0.418628,0.0129877,-0.334755,0.330093,0.0624067,-0.56962,0.519761,-0.110699,0.310612,-0.83639,-0.266685,0.0677934,0.458335,0.288045,0.32273,0.28381,-0.4427,-0.531475,-0.456384,-0.139692,-0.804402,0.0653069,0.0881861,0.210911,0.494922,0.112279,0.0786215,0.716758,0.155072,-0.626464,0.318906,0.319707,-0.25675,0.171971,0.305375,0.396273,0.172263,-0.150094,-0.290683,-0.165026,-1.42029,0.541945,-0.00881356,0.199091,-0.763179,-0.477155,-1.06295,-0.116365,-0.654674,0.00758602,0.0898112,-0.0775954,0.542977,-0.0253381,-0.838999,0.635352,0.293585,-0.315804,-0.467593,-1.04932,-0.234648,0.491733,0.828997,-0.237067,-0.767211,-0.0212022,-0.067103,0.311943,0.24375,0.22004,-0.172854,-0.185248,0.249651,0.0929262,0.150074,0.257062,0.579392,-0.0206217,-0.0852772,-0.418628,0.0129877,-0.334755,0.330093,0.0624067,-0.56962,0.519761,-0.110699,0.310612,-0.83639,-0.266685,0.0677934,0.458335,0.288045,0.32273,-0.566543,-395.22
-408.941,0.976039,0.168096,5,31,0,445.446,0.724885,0.640968,0.031228,0.239589,0.244765,-0.569703,0.566216,1.00436,-0.18895,-1.0706,0.742406,-0.434301,-0.163154,-0.0634327,0.651967,-0.539569,-1.54863,0.399413,-0.440783,0.169634,0.343663,0.2525,-0.410367,-0.0669205,0.498901,-0.124775,-1.2557,0.606668,-0.490426,-0.199424,0.150273,0.0733622,-0.782767,0.121096,-0.267055,0.379231,0.273792,0.585119,-0.970696,-0.0975385,-0.820132,0.212715,0.438077,-0.00316295,-0.596421,-0.223582,0.028323,-0.730777,-0.285909,-0.157219,-0.497413,0.85626,0.566921,0.337228,0.101587,-0.284154,-0.132648,0.0663851,0.161013,0.190115,-0.608522,-0.319638,-0.470644,0.748572,-0.419322,0.329071,0.269461,0.0471077,-0.78278,-0.0430319,0.524172,0.0684705,0.351816,-0.392934,0.292838,-0.347839,-0.345573,-0.476564,0.724885,0.640968,0.031228,0.239589,0.244765,-0.569703,0.566216,1.00436,-0.18895,-1.0706,0.742406,-0.434301,-0.163154,-0.0634327,0.651967,-0.539569,-1.54863,0.399413,-0.440783,-0.226674,0.169634,0.343663,0.2525,-0.410367,-0.0669205,0.498901,-0.124775,-1.2557,0.606668,-0.490426,-0.199424,0.150273,0.0733622,-0.782767,0.121096,-0.267055,0.379231,0.273792,0.585119,0.143197,-398.877
-420.916,0.85512,0.168096,5,31,0,453.05,0.315464,0.337222,-1.1066,-0.486542,-0.245203,0.122787,0.917165,0.496162,-0.0602775,-0.676631,-0.0210358,-0.393289,-0.385052,0.516923,0.494081,-0.479071,-0.0314123,0.807933,0.386204,0.0654291,-0.0881379,0.464458,0.221105,-0.988665,-0.106376,-0.505179,-0.23538,0.283926,-0.247741,0.381315,-0.29242,0.557068,-1.50422,0.138828,-0.0850099,0.400889,0.425946,0.55027,0.692354,-0.62726,-0.221202,-0.281119,-0.477091,-0.67975,0.39501,-0.330463,0.302959,0.397645,-0.538944,0.52746,0.606682,0.1284,-0.558567,0.431078,0.0854957,-0.220859,0.0137569,0.284613,0.799192,0.0505703,0.173814,-0.502607,-0.599242,-1.24623,-0.0431637,-0.158687,0.11137,-0.899016,-0.459958,-1.19735,-0.233964,-0.441367,0.232629,0.319569,0.0592834,1.14355,-0.0242634,-1.38455,0.315464,0.337222,-1.1066,-0.486542,-0.245203,0.122787,0.917165,0.496162,-0.0602775,-0.676631,-0.0210358,-0.393289,-0.385052,0.516923,0.494081,-0.479071,-0.0314123,0.807933,0.386204,-0.508829,0.0654291,-0.0881379,0.464458,0.221105,-0.988665,-0.106376,-0.505179,-0.23538,0.283926,-0.247741,0.381315,-0.29242,0.557068,-1.50422,0.138828,-0.0850099,0.400889,0.425946,0.55027,0.563892,-409.368
-409.285,0.949384,0.168096,5,31,0,460.096,0.775266,0.0433084,-0.66195,0.0443243,-0.057191,-0.284167,0.53516,0.752978,0.157909,-1.59741,0.920549,-0.515274,0.190812,0.316983,1.01226,-0.399363,-0.593704,0.32519,-0.687574,0.45894,0.125092,0.167979,-0.392909,-0.192627,-0.287234,0.336839,-0.512696,0.182269,-0.74657,0.618242,-0.120076,0.567889,-0.360488,-0.124262,-0.0733773,0.222717,-0.416577,0.761123,0.0655235,-0.0669841,-0.814389,-0.199879,-0.0895268,-0.1661,-0.122803,-0.602094,0.274826,0.142007,0.0369341,0.423914,0.255038,0.781793,-0.259437,0.557802,0.0825703,0.288356,0.338913,-0.102729,0.0605831,0.685785,-0.654714,-0.275423,-0.985609,-0.648814,-0.0434126,-0.222498,0.367298,-1.06343,-0.623433,-0.51308,0.432696,-0.379698,0.0831243,-0.643874,0.0434052,0.618604,0.515147,-1.18481,0.775266,0.0433084,-0.66195,0.0443243,-0.057191,-0.284167,0.53516,0.752978,0.157909,-1.59741,0.920549,-0.515274,0.190812,0.316983,1.01226,-0.399363,-0.593704,0.32519,-0.687574,-0.278111,0.45894,0.125092,0.167979,-0.392909,-0.192627,-0.287234,0.336839,-0.512696,0.182269,-0.74657,0.618242,-0.120076,0.567889,-0.360488,-0.124262,-0.0733773,0.222717,-0.416577,0.761123,-0.214272,-398.83
-408.844,0.974771,0.168096,5,31,0,449.744,0.734299,0.169748,-0.594536,0.161863,-0.0292802,-0.563121,0.659967,0.749138,0.157853,-1.58482,0.874236,-0.581548,0.376104,0.24105,1.03018,-0.296467,-0.540032,0.183132,-0.648082,0.363756,0.218604,0.334633,-0.43017,-0.21698,-0.313676,0.416415,-0.674736,0.0667047,-0.451749,0.4484,-0.253282,0.511129,-0.444554,-0.137212,-0.21635,0.357075,-0.581305,0.675255,0.0681812,-0.0860024,-0.587048,-0.250718,-0.0951458,-0.157128,0.00534336,-0.598319,0.183274,0.200174,-0.407236,0.257485,0.233267,0.705606,-0.20142,0.544413,0.14119,0.0269212,0.264991,-0.0940748,0.0577666,0.596625,-0.606387,-0.294504,-1.2301,-0.67345,0.112046,-0.258333,0.173147,-1.21236,-0.784712,-0.483584,0.475124,-0.298341,0.175949,-0.619305,0.207195,0.483383,0.466585,-1.02751,0.734299,0.169748,-0.594536,0.161863,-0.0292802,-0.563121,0.659967,0.749138,0.157853,-1.58482,0.874236,-0.581548,0.376104,0.24105,1.03018,-0.296467,-0.540032,0.183132,-0.648082,-0.499692,0.363756,0.218604,0.334633,-0.43017,-0.21698,-0.313676,0.416415,-0.674736,0.0667047,-0.451749,0.4484,-0.253282,0.511129,-0.444554,-0.137212,-0.21635,0.357075,-0.581305,0.675255,0.328044,-398.463
-410.386,0.922178,0.168096,5,31,0,444.735,0.533062,0.972785,0.321487,-0.260621,-0.343066,-0.410603,0.527312,0.960103,-1.14772,-0.0123041,0.157079,0.146102,-0.377919,0.0467795,0.00778709,-0.533053,-1.27146,0.353526,0.488708,-0.219958,0.10428,0.188697,-0.0617837,-0.458737,0.846888,-1.11697,-0.152988,0.588514,-0.378348,-0.679737,-0.114261,-0.00198195,-0.571218,0.287196,-0.406425,0.851007,1.22246,0.390499,-0.186357,-0.464159,-0.87308,0.0922117,0.345153,-0.587016,-0.435258,0.234446,-0.0252221,-0.383402,0.460176,-0.252506,0.25379,0.30656,0.067267,-0.305514,0.347282,-0.73278,0.000430751,0.236003,0.920581,0.103792,-0.279343,-0.140789,0.466475,0.390659,-0.0289989,0.562296,-0.327819,0.258897,-0.629542,-0.700216,-0.408889,-0.196657,0.35231,0.313584,-0.143876,0.204624,-1.06348,-0.186935,0.533062,0.972785,0.321487,-0.260621,-0.343066,-0.410603,0.527312,0.960103,-1.14772,-0.0123041,0.157079,0.146102,-0.377919,0.0467795,0.00778709,-0.533053,-1.27146,0.353526,0.488708,-0.157981,-0.219958,0.10428,0.188697,-0.0617837,-0.458737,0.846888,-1.11697,-0.152988,0.588514,-0.378348,-0.679737,-0.114261,-0.00198195,-0.571218,0.287196,-0.406425,0.851007,1.22246,0.390499,-0.317139,-400.21
