# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/jvwnq_h9.json
# init = 2 (Default)
# random
#   seed = 41526
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_531ojrejj/poisson_5-20250829005601_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.183719
# Diagonal elements of inverse mass matrix:
# 0.0579886, 0.0523054, 0.0970259, 0.115887, 0.1496, 0.0934845, 0.054161, 0.0589253, 0.100207, 0.216994, 0.062834, 0.0910312, 0.0758248, 0.0748, 0.0709142, 0.0923828, 0.159872, 0.0580897, 0.0707742, 0.07252, 0.0802472, 0.0837396, 0.0938144, 0.107035, 0.0980132, 0.125713, 0.13177, 0.0874871, 0.122533, 0.0810737, 0.105612, 0.0724442, 0.109557, 0.0764291, 0.120813, 0.0708797, 0.0599998, 0.086307, 0.0811565, 0.122143, 0.149719, 0.0737205, 0.0709382, 0.0886633, 0.122684, 0.0645636, 0.0905558, 0.11205, 0.0746834, 0.0745983, 0.0642309, 0.0603378, 0.0805394, 0.0675451, 0.0656779, 0.117664, 0.14716, 0.0883063, 0.0426343, 0.0796761, 0.102742, 0.11743, 0.104345, 0.100458, 0.077288, 0.0776542, 0.0718072, 0.136647, 0.193443, 0.102616, 0.0987514, 0.0997203, 0.0887243, 0.0996272, 0.0926377, 0.0710021, 0.093197, 0.11829
-528.413,1,0.183719,5,31,0,562.145,0.174333,0.445026,0.558162,-0.759922,-0.609777,-0.157012,0.343698,0.271274,0.206307,-0.667981,0.324752,0.0629734,0.539662,-0.194264,0.25579,-0.112699,-1.20449,0.244837,0.488068,-0.145649,-0.046892,0.609888,-0.0957679,0.137906,-0.329999,-0.680595,-0.677489,0.306179,-0.73507,-0.153751,0.165042,0.644515,0.0999034,-0.412302,-0.58663,0.346959,0.744421,0.25363,-0.458565,-0.346978,-0.900077,-0.296312,0.493294,0.241473,0.227839,0.414556,0.106214,0.00210807,0.528907,0.0634611,0.242976,0.738389,-0.0217688,0.468592,0.481685,-0.430662,-0.222077,-0.208257,0.645597,-0.418526,-0.597367,-0.424903,0.07855,0.158915,-0.0277007,0.0185876,0.122997,-0.592922,-0.806909,-0.0651117,-0.51539,-0.491634,-0.280494,0.0238883,0.200917,0.236889,-0.240747,-0.272378,0.174333,0.445026,0.558162,-0.759922,-0.609777,-0.157012,0.343698,0.271274,0.206307,-0.667981,0.324752,0.0629734,0.539662,-0.194264,0.25579,-0.112699,-1.20449,0.244837,0.488068,-0.208741,-0.145649,-0.046892,0.609888,-0.0957679,0.137906,-0.329999,-0.680595,-0.677489,0.306179,-0.73507,-0.153751,0.165042,0.644515,0.0999034,-0.412302,-0.58663,0.346959,0.744421,0.25363,0.555703,-521.082
-539.852,0.965635,0.183719,4,15,0,575.826,0.0299895,0.441343,0.580353,-0.633241,-0.627142,-0.0255933,0.290491,0.0391763,0.241572,-0.509,0.433242,-0.00785238,0.474912,-0.162505,0.059688,0.04509,-1.53804,0.178748,0.55408,0.0601881,-0.028096,0.874554,-0.0253132,0.278762,-0.481602,-0.800524,-0.698091,0.206979,-0.371789,-0.21087,0.136704,0.669907,-0.0906629,-0.494727,-0.354205,0.378635,0.595043,0.594386,-0.603219,-0.0399068,-0.622174,-0.39769,0.608361,0.475783,0.112503,0.293675,-0.10232,0.261124,0.660909,0.175029,0.290118,0.739446,-0.233117,0.415744,0.499569,-0.503585,-0.0161608,-0.61699,0.53263,-0.134786,-0.662589,-0.433009,-0.173674,0.256296,-0.367768,0.275798,-0.165448,-0.73281,-0.897311,-0.151705,-0.387413,-0.336713,-0.253568,-0.279353,0.448858,0.328482,-0.210671,-0.407838,0.0299895,0.441343,0.580353,-0.633241,-0.627142,-0.0255933,0.290491,0.0391763,0.241572,-0.509,0.433242,-0.00785238,0.474912,-0.162505,0.059688,0.04509,-1.53804,0.178748,0.55408,0.134686,0.0601881,-0.028096,0.874554,-0.0253132,0.278762,-0.481602,-0.800524,-0.698091,0.206979,-0.371789,-0.21087,0.136704,0.669907,-0.0906629,-0.494727,-0.354205,0.378635,0.595043,0.594386,-0.239277,-531.623
-539.41,0.994681,0.183719,5,31,0,579.859,0.281213,0.409578,-0.765097,0.116374,-0.275965,0.370947,0.64784,0.415258,0.465875,-1.81232,0.0710204,-0.192146,0.553604,-0.118599,0.240032,0.228532,-1.17581,0.0777759,0.429288,0.75032,0.0979188,-0.147283,-0.497091,-0.658096,-0.330556,-0.9958,-0.326806,0.37691,-0.00306551,-0.264761,0.102443,0.643708,-0.331238,-0.0586923,-0.386019,0.570789,0.1332,0.969741,0.0617723,-0.0866095,-1.09135,0.205258,0.143134,0.0223424,-0.87646,0.361385,0.142153,-0.415638,0.0468392,0.119065,0.432186,0.0581249,0.22625,0.0751288,0.470003,0.0792029,-0.553599,-1.09997,0.667397,0.193236,-0.682391,-0.595168,-0.168403,-0.188425,-0.235181,0.0282857,0.6091,-0.665475,-1.43131,-0.586239,0.100833,-0.349701,0.291392,-0.0631973,-0.126422,0.409412,-0.252326,-0.356812,0.281213,0.409578,-0.765097,0.116374,-0.275965,0.370947,0.64784,0.415258,0.465875,-1.81232,0.0710204,-0.192146,0.553604,-0.118599,0.240032,0.228532,-1.17581,0.0777759,0.429288,0.0326053,0.75032,0.0979188,-0.147283,-0.497091,-0.658096,-0.330556,-0.9958,-0.326806,0.37691,-0.00306551,-0.264761,0.102443,0.643708,-0.331238,-0.0586923,-0.386019,0.570789,0.1332,0.969741,0.354378,-528.684
-539.089,0.756589,0.183719,5,31,0,574.835,0.437137,0.139949,-0.00340382,-1.06918,-1.13564,0.070278,0.279516,0.898565,0.34552,-0.973414,0.350728,-0.0975727,0.293154,-0.144635,0.366202,0.0636535,-0.922246,0.570518,0.311884,-0.346311,0.700573,-0.0373931,-0.213257,-0.642337,0.27338,-0.236927,0.124687,0.6468,-0.65644,-0.274145,-1.03356,0.0844434,0.0790255,0.734195,-0.28743,0.463134,0.363731,-0.286601,0.014601,0.0343622,-1.85113,-0.00941103,0.246875,-0.122074,-1.33604,0.162398,0.0603551,-0.93025,0.111764,-0.0664274,0.360075,0.433165,0.0585141,0.406602,0.207627,0.000405276,-0.249258,-0.562379,0.696261,0.152864,-0.303357,-0.342982,-0.423574,-0.00211273,-0.120473,0.467532,-0.217427,-1.11074,-0.0812842,-0.623841,0.0264678,-0.0275014,0.0715801,-0.448396,-0.0857709,0.495738,-0.273878,-0.216766,0.437137,0.139949,-0.00340382,-1.06918,-1.13564,0.070278,0.279516,0.898565,0.34552,-0.973414,0.350728,-0.0975727,0.293154,-0.144635,0.366202,0.0636535,-0.922246,0.570518,0.311884,0.218992,-0.346311,0.700573,-0.0373931,-0.213257,-0.642337,0.27338,-0.236927,0.124687,0.6468,-0.65644,-0.274145,-1.03356,0.0844434,0.0790255,0.734195,-0.28743,0.463134,0.363731,-0.286601,0.544434,-528.578
-541.159,0.813392,0.183719,5,31,0,586.589,0.315603,0.527591,-0.118591,0.160025,0.587324,-0.639683,0.717244,0.0920141,0.108913,-1.67255,0.215801,0.0294491,0.375345,0.203011,0.276723,-0.119609,-0.804936,0.185232,-0.128877,0.293925,0.0719013,0.465574,-0.53946,-0.131529,0.0894164,-0.833433,-0.688895,-0.254417,-0.461716,0.0423584,0.141554,0.728056,-0.40863,-0.766953,-0.130881,0.465915,0.287215,0.938902,-0.336631,-0.419115,0.158523,0.0708438,0.0513314,0.448681,0.0378646,0.314738,-0.0597493,0.492291,0.34773,0.255477,0.150446,0.316145,-0.144951,0.323724,0.476477,-0.411556,-0.29797,0.328828,0.37966,0.259626,-0.381807,-0.404562,0.0170367,-0.00727876,0.114084,-0.223429,0.392444,0.155128,-1.12587,-0.346761,-0.726958,-0.494083,-0.119852,-0.667215,0.17109,0.682059,0.172758,-0.630577,0.315603,0.527591,-0.118591,0.160025,0.587324,-0.639683,0.717244,0.0920141,0.108913,-1.67255,0.215801,0.0294491,0.375345,0.203011,0.276723,-0.119609,-0.804936,0.185232,-0.128877,-0.310029,0.293925,0.0719013,0.465574,-0.53946,-0.131529,0.0894164,-0.833433,-0.688895,-0.254417,-0.461716,0.0423584,0.141554,0.728056,-0.40863,-0.766953,-0.130881,0.465915,0.287215,0.938902,0.691097,-533.008
-529.702,0.417017,0.183719,4,15,0,578.088,0.159471,0.622056,0.0930519,-0.125404,-0.579745,-0.240905,0.786605,0.299362,0.173567,-1.07455,0.39697,-0.0330656,0.228246,-0.254863,0.0210557,-0.0342359,-0.55174,0.668388,-0.435095,0.131904,0.355532,0.459982,-0.349169,-0.349162,0.789315,-1.16375,-0.420636,-0.371498,-0.495127,-0.141384,-0.242938,0.814758,-0.192899,-0.275699,-0.751577,0.894955,0.748885,0.301109,-0.457784,-0.423331,-0.886728,-0.346121,0.00821959,-0.15545,-0.0639906,0.445245,0.282728,-0.198004,0.840507,0.161138,0.478978,0.44295,-0.116899,0.514455,-0.00572306,-0.386948,-0.177741,-0.133309,0.556859,0.0458627,-0.903498,-0.654681,-0.667934,0.138638,-0.178472,0.320638,0.177367,-1.00129,-0.291922,-0.152356,-0.191243,-0.237283,-0.2505,-0.643122,0.163296,0.494424,-0.102096,-0.614766,0.159471,0.622056,0.0930519,-0.125404,-0.579745,-0.240905,0.786605,0.299362,0.173567,-1.07455,0.39697,-0.0330656,0.228246,-0.254863,0.0210557,-0.0342359,-0.55174,0.668388,-0.435095,-0.119176,0.131904,0.355532,0.459982,-0.349169,-0.349162,0.789315,-1.16375,-0.420636,-0.371498,-0.495127,-0.141384,-0.242938,0.814758,-0.192899,-0.275699,-0.751577,0.894955,0.748885,0.301109,0.257403,-520.824
