# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/jvwnq_h9.json
# init = 2 (Default)
# random
#   seed = 41526
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_531ojrejj/poisson_5-20250829005601_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.181701
# Diagonal elements of inverse mass matrix:
# 0.051033, 0.055178, 0.0949195, 0.11373, 0.0934197, 0.0909687, 0.0597059, 0.0563909, 0.092222, 0.2036, 0.0604574, 0.0780191, 0.070625, 0.0744689, 0.0662629, 0.0921407, 0.135891, 0.0695295, 0.0767689, 0.0954992, 0.0566793, 0.0749261, 0.100021, 0.109368, 0.0940485, 0.121431, 0.117189, 0.0879335, 0.131541, 0.0902227, 0.0834261, 0.0666349, 0.104942, 0.0795963, 0.132614, 0.0734317, 0.0693876, 0.0758616, 0.0929293, 0.0997525, 0.15912, 0.0852705, 0.0626235, 0.0999811, 0.129671, 0.0756794, 0.0842302, 0.101301, 0.0686827, 0.0624585, 0.0604288, 0.0677047, 0.0810529, 0.0710965, 0.0587931, 0.113209, 0.130269, 0.0899278, 0.0481718, 0.0987062, 0.0936366, 0.113894, 0.116508, 0.100441, 0.0723082, 0.0913805, 0.063553, 0.13704, 0.163254, 0.147863, 0.10833, 0.104944, 0.0821858, 0.103039, 0.0737419, 0.0683442, 0.0871814, 0.144559
-528.21,0.970779,0.181701,5,31,0,569.39,0.406966,0.353742,0.274629,-0.645607,-0.163847,0.400655,0.469227,0.275859,0.401565,-1.71919,0.337091,0.234836,-0.106513,-0.2279,-0.014097,-0.516341,-0.269451,0.413145,0.121489,0.533965,0.343934,0.0143986,-0.748068,-0.00114452,-0.136987,-0.276972,-0.765166,0.321751,-0.345733,-0.0297359,-0.217084,0.574138,0.184369,0.0731482,-1.28174,0.356836,0.811635,0.445426,-0.652497,-0.134227,-0.729749,-0.34151,0.252775,-0.0241506,-1.06279,0.299536,0.111492,-0.0119773,0.3815,-0.140739,0.290705,0.19745,-0.0593192,0.479943,0.448477,-0.0626971,-0.763182,-0.156512,0.459465,0.268482,-0.301937,-0.507991,0.000211577,-0.345553,0.159225,0.0432842,0.488204,-0.84717,-1.19334,-0.41732,-0.19811,0.244146,0.266676,-0.161874,-0.255363,0.630764,0.592852,-0.585081,0.406966,0.353742,0.274629,-0.645607,-0.163847,0.400655,0.469227,0.275859,0.401565,-1.71919,0.337091,0.234836,-0.106513,-0.2279,-0.014097,-0.516341,-0.269451,0.413145,0.121489,-0.0262603,0.533965,0.343934,0.0143986,-0.748068,-0.00114452,-0.136987,-0.276972,-0.765166,0.321751,-0.345733,-0.0297359,-0.217084,0.574138,0.184369,0.0731482,-1.28174,0.356836,0.811635,0.445426,0.143027,-518.979
-530.589,0.879798,0.181701,5,31,0,565.932,0.430665,0.522265,0.367009,-0.658688,-0.253414,0.312679,0.440918,0.420467,0.220943,-1.93746,0.353754,0.390396,0.289066,-0.335853,-0.193128,-0.330929,-0.43962,0.364219,0.0241017,0.279031,0.540803,0.0799077,-0.683743,0.148603,-0.34058,-0.158298,-0.589768,0.338809,-0.273223,-0.231801,-0.138712,0.668981,-0.257782,0.174635,-0.964984,0.282371,0.853727,0.373335,-0.475121,-0.139612,-0.926373,-0.551853,0.030004,-0.118618,-1.1996,0.503334,-0.109511,-0.0255222,0.480806,-0.0694484,0.202838,0.292128,-0.15678,0.2959,0.52963,0.112946,-0.752028,-0.0902046,0.598813,0.509648,-0.351495,-0.437051,-0.107741,-0.677458,0.340645,0.0574413,0.433515,-0.735599,-0.990287,-0.669036,0.0141827,0.167198,0.251378,-0.200944,-0.427433,0.597901,0.50216,-0.592747,0.430665,0.522265,0.367009,-0.658688,-0.253414,0.312679,0.440918,0.420467,0.220943,-1.93746,0.353754,0.390396,0.289066,-0.335853,-0.193128,-0.330929,-0.43962,0.364219,0.0241017,0.0126091,0.279031,0.540803,0.0799077,-0.683743,0.148603,-0.34058,-0.158298,-0.589768,0.338809,-0.273223,-0.231801,-0.138712,0.668981,-0.257782,0.174635,-0.964984,0.282371,0.853727,0.373335,-0.101312,-520.701
-542.173,0.904424,0.181701,5,31,0,573.432,0.375099,0.282132,-0.102021,-0.204731,-0.274266,0.161166,0.592458,0.196901,0.274314,-0.720618,0.0144056,-0.425135,0.353815,0.0643625,0.822545,-0.0814287,-0.660366,0.150211,-0.827104,0.322387,0.0983753,0.438684,-0.173287,-0.770572,0.246884,-1.08227,-0.0563793,-0.0679302,-0.517796,0.307749,-0.19332,0.314768,-0.145164,-0.198168,-0.273547,0.932771,0.227374,0.404194,0.0744172,-0.0141359,-0.0425109,-0.262223,0.444256,0.109773,-0.742833,0.125761,-0.265277,-0.504137,-0.0291377,-0.0820375,0.405396,1.04726,-0.137597,-0.101055,0.1196,-0.292885,0.314839,0.295953,0.923444,0.603485,-0.386279,0.0686709,-0.369933,0.42566,-0.0860092,0.106589,0.0758263,-1.36956,-0.846467,-0.670548,-0.288115,0.0786967,0.0369045,-0.15518,0.793801,0.506491,-1.09593,-0.0018616,0.375099,0.282132,-0.102021,-0.204731,-0.274266,0.161166,0.592458,0.196901,0.274314,-0.720618,0.0144056,-0.425135,0.353815,0.0643625,0.822545,-0.0814287,-0.660366,0.150211,-0.827104,0.00826121,0.322387,0.0983753,0.438684,-0.173287,-0.770572,0.246884,-1.08227,-0.0563793,-0.0679302,-0.517796,0.307749,-0.19332,0.314768,-0.145164,-0.198168,-0.273547,0.932771,0.227374,0.404194,0.185251,-533.621
-544.616,0.787533,0.181701,5,31,0,586.958,0.517413,0.574997,0.283025,-0.335943,-0.16079,-0.43104,0.381744,0.802287,-0.337933,-1.8027,0.600168,0.27634,0.196925,-0.470639,-0.0948716,-0.682971,-0.401736,0.158986,0.576843,-0.546283,0.593476,0.125327,-0.444573,-0.191412,0.25594,0.0220958,-0.545423,0.118857,-0.512475,-0.536578,-0.0879522,0.562791,-0.00597709,0.396391,-0.323947,0.195037,0.577723,0.345366,-0.53408,-0.516214,-1.57629,0.0353968,-0.24176,-0.0577654,0.176758,-0.0559523,0.194398,0.0235213,0.759147,0.252079,-0.168714,-0.221447,0.26723,0.364679,0.170597,-0.418519,-0.945083,-0.0117315,0.163869,0.169907,-0.460605,-0.67267,-0.0419905,-0.313905,0.104735,0.156812,0.186404,0.181981,-0.674197,-0.124249,-0.0124724,-0.68829,-0.211808,-0.533169,-0.542134,0.53002,0.401183,-1.19828,0.517413,0.574997,0.283025,-0.335943,-0.16079,-0.43104,0.381744,0.802287,-0.337933,-1.8027,0.600168,0.27634,0.196925,-0.470639,-0.0948716,-0.682971,-0.401736,0.158986,0.576843,0.349892,-0.546283,0.593476,0.125327,-0.444573,-0.191412,0.25594,0.0220958,-0.545423,0.118857,-0.512475,-0.536578,-0.0879522,0.562791,-0.00597709,0.396391,-0.323947,0.195037,0.577723,0.345366,0.00161459,-534.959
-535.255,0.887339,0.181701,5,31,0,592.379,0.0843313,0.363593,-0.103773,-0.210919,-0.332702,-0.202694,0.598713,0.252268,-0.100179,-0.600085,-0.155648,-0.422352,0.35719,0.317215,0.792946,0.319731,-0.580002,0.183578,-0.745008,0.403362,0.247455,0.219569,-0.0860022,-0.385775,-0.260107,-0.742296,-0.00848265,0.0479192,-0.304971,-0.130419,-0.164512,0.426207,-0.352732,-0.240772,-0.348655,0.657872,0.578092,-0.0528821,-0.261314,0.35405,-0.325085,-0.110332,0.660564,0.281482,-0.789115,0.32009,-0.243598,-0.678517,-0.00224352,0.183507,0.606563,0.965814,-0.0423736,0.15491,0.276354,-0.0704252,0.225275,0.226492,1.07711,0.335317,-0.184908,0.278153,-0.132243,0.080331,0.0219318,0.038611,0.20126,-1.1699,-0.784285,-0.638851,-0.307663,0.116397,0.245913,-0.0145111,0.0181147,0.555831,-0.925261,-0.390003,0.0843313,0.363593,-0.103773,-0.210919,-0.332702,-0.202694,0.598713,0.252268,-0.100179,-0.600085,-0.155648,-0.422352,0.35719,0.317215,0.792946,0.319731,-0.580002,0.183578,-0.745008,0.183797,0.403362,0.247455,0.219569,-0.0860022,-0.385775,-0.260107,-0.742296,-0.00848265,0.0479192,-0.304971,-0.130419,-0.164512,0.426207,-0.352732,-0.240772,-0.348655,0.657872,0.578092,-0.0528821,0.497131,-527.949
-536.793,1,0.181701,5,31,0,572.482,0.7211,0.540661,0.051577,-0.507501,-0.257508,0.0866111,0.329617,0.866839,0.421468,-1.81511,0.566766,0.0735375,0.199861,-0.583068,-0.323947,-0.587149,-0.560059,0.345354,0.600996,-0.333359,0.287098,0.150848,-0.403143,-0.0683251,0.436813,-0.158229,-0.75801,0.282913,-0.37187,0.0304714,-0.381475,0.283721,-0.0199846,0.198109,-0.665314,0.435408,0.347086,0.500982,-0.346037,-0.831238,-1.16085,0.0728519,-0.285748,0.0320176,-0.215142,0.132841,0.335035,0.226633,0.680611,0.0245575,-0.298586,-0.166398,0.280165,0.207534,0.207457,-0.308013,-1.01183,-0.350763,0.393466,-0.070414,-0.743615,-0.59589,-0.0372115,-0.497411,-0.0355838,0.234635,0.206865,-0.516717,-0.717819,-0.0239425,-0.340602,-0.76952,-0.21436,-0.565458,0.14322,0.304497,0.324968,-0.182142,0.7211,0.540661,0.051577,-0.507501,-0.257508,0.0866111,0.329617,0.866839,0.421468,-1.81511,0.566766,0.0735375,0.199861,-0.583068,-0.323947,-0.587149,-0.560059,0.345354,0.600996,-0.170046,-0.333359,0.287098,0.150848,-0.403143,-0.0683251,0.436813,-0.158229,-0.75801,0.282913,-0.37187,0.0304714,-0.381475,0.283721,-0.0199846,0.198109,-0.665314,0.435408,0.347086,0.500982,0.20626,-527.754
