# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/c8ynmscs.json
# init = 2 (Default)
# random
#   seed = 73916
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_51t4vkddr/poisson_5-20250829005554_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.212764
# Diagonal elements of inverse mass matrix:
# 0.0295102, 0.0338855, 0.035709, 0.061577, 0.0476033, 0.03847, 0.0269902, 0.0319822, 0.0310743, 0.0780096, 0.0351485, 0.0329306, 0.034731, 0.0415208, 0.0324889, 0.0423126, 0.0689505, 0.0322823, 0.0525867, 0.0616021, 0.0351502, 0.0522633, 0.0703225, 0.0532035, 0.08084, 0.0704202, 0.0497372, 0.0477491, 0.0765713, 0.0676671, 0.0516142, 0.049377, 0.0620926, 0.0506382, 0.0778853, 0.0307392, 0.0375118, 0.0495123, 0.0443089, 0.0613024, 0.0528303, 0.0409042, 0.0398426, 0.0338317, 0.0472607, 0.0400859, 0.0468987, 0.0471109, 0.0382522, 0.0403835, 0.0336638, 0.0337785, 0.042246, 0.0377384, 0.0273586, 0.0344737, 0.0468079, 0.0295346, 0.0288574, 0.0366812, 0.0739177, 0.0491878, 0.0786637, 0.0657135, 0.0449965, 0.0494547, 0.0629001, 0.0735732, 0.057301, 0.0703696, 0.0692318, 0.0777316, 0.0572094, 0.0531434, 0.0678897, 0.0379323, 0.0565208, 0.0572551
-1010.78,0.8257,0.212764,4,15,0,1048.01,0.233939,0.457085,0.131682,-0.48863,0.0672378,0.340751,0.876467,0.457422,0.0252284,-0.871317,-0.00181296,0.289846,0.0930722,-0.333372,-0.0115366,0.0763818,-0.584794,0.184006,-0.461198,-0.26464,0.197374,0.186122,0.452416,0.224731,-0.100603,-0.175832,-0.0110588,0.163881,-0.098997,-0.411106,-0.0569596,-0.0948626,-0.310632,0.000249683,-0.351585,0.369713,0.365334,-0.0365349,0.432834,0.00313241,-0.336567,-0.294387,-0.142615,0.165478,0.00778938,0.298016,-0.142464,0.194113,0.233541,0.303059,0.474529,0.377814,0.380752,0.260931,0.305109,0.224688,-0.481386,0.011431,0.735228,-0.0299611,-0.30772,0.0424055,-0.657968,-0.425202,0.0827802,-0.140801,-0.400629,-0.0687128,-0.528248,-0.456153,-0.37619,-0.239816,-0.653786,-0.0967201,-0.145881,0.207476,0.214446,-0.0595544,0.233939,0.457085,0.131682,-0.48863,0.0672378,0.340751,0.876467,0.457422,0.0252284,-0.871317,-0.00181296,0.289846,0.0930722,-0.333372,-0.0115366,0.0763818,-0.584794,0.184006,-0.461198,-0.480458,-0.26464,0.197374,0.186122,0.452416,0.224731,-0.100603,-0.175832,-0.0110588,0.163881,-0.098997,-0.411106,-0.0569596,-0.0948626,-0.310632,0.000249683,-0.351585,0.369713,0.365334,-0.0365349,-0.0470103,-1006.44
-1019.51,0.982704,0.212764,4,15,0,1057.74,0.581343,0.241714,0.0143281,-0.336538,-0.415614,-0.234996,0.457806,-0.47341,0.164393,-0.117484,0.014032,-0.0400792,0.411309,-0.11394,-0.105995,0.139271,-0.216562,0.241438,-0.191672,0.0568574,-0.0925222,0.267074,-0.714494,-0.704887,-0.0599277,-0.228471,0.108819,0.413848,-0.429579,0.105307,0.597208,0.0814633,-0.602942,0.511295,-0.170679,0.586713,0.141642,0.264722,-0.264618,-0.0641387,-0.735749,0.00955505,0.131298,0.376127,0.316002,0.00476497,-0.00957812,-0.231398,0.42046,0.439029,0.317362,0.0406173,-0.144182,0.235674,0.835718,0.515774,0.0281627,0.302072,0.531528,0.395213,-0.262687,-0.365948,-0.544603,-0.0899637,0.0846036,0.0696751,-0.437601,-0.818675,-0.802189,-0.345673,-0.312381,-0.50328,0.153492,-0.0681674,-0.680209,0.00649269,-0.523492,-0.175496,0.581343,0.241714,0.0143281,-0.336538,-0.415614,-0.234996,0.457806,-0.47341,0.164393,-0.117484,0.014032,-0.0400792,0.411309,-0.11394,-0.105995,0.139271,-0.216562,0.241438,-0.191672,-0.0193429,0.0568574,-0.0925222,0.267074,-0.714494,-0.704887,-0.0599277,-0.228471,0.108819,0.413848,-0.429579,0.105307,0.597208,0.0814633,-0.602942,0.511295,-0.170679,0.586713,0.141642,0.264722,-0.131448,-1014.11
-1011.25,0.849576,0.212764,4,15,0,1065.73,0.10354,0.506216,0.343331,-0.386121,0.0368162,0.333994,0.62891,0.472582,0.265437,-0.943665,0.0995425,0.451586,0.0495004,-0.239926,0.352092,-0.0539893,-0.977604,0.145354,-0.702987,-0.015002,0.739183,-0.073796,-0.0233797,-0.418416,-0.295354,-0.135532,0.256742,0.149829,-0.129337,-0.351087,-0.210231,0.275622,0.164004,-0.0960645,-0.60409,0.473427,-0.14556,0.168985,0.359015,-0.351575,0.184897,0.015411,0.173164,-0.0939936,-0.104631,0.352848,0.122434,0.0257347,-0.266621,0.303501,0.269892,0.243606,0.482498,0.383209,0.28264,0.036577,-0.440655,0.382838,0.734279,0.111037,-0.548491,-0.118777,-0.333896,-0.585214,0.271598,-0.221541,-0.151197,-0.462918,0.168029,-0.56614,-0.224849,-0.492159,-0.357215,-0.05529,-0.380655,0.543915,0.167702,-0.0523909,0.10354,0.506216,0.343331,-0.386121,0.0368162,0.333994,0.62891,0.472582,0.265437,-0.943665,0.0995425,0.451586,0.0495004,-0.239926,0.352092,-0.0539893,-0.977604,0.145354,-0.702987,-0.484609,-0.015002,0.739183,-0.073796,-0.0233797,-0.418416,-0.295354,-0.135532,0.256742,0.149829,-0.129337,-0.351087,-0.210231,0.275622,0.164004,-0.0960645,-0.60409,0.473427,-0.14556,0.168985,0.270058,-1006.02
-1010.91,0.997414,0.212764,4,15,0,1048.49,0.281418,0.145967,0.192702,0.0641603,0.0325926,0.265577,0.640414,0.163454,0.57862,-1.14742,-0.267163,0.371998,-0.0952842,0.0673476,-0.039012,-0.341998,-0.499218,0.254386,-0.297622,-0.210035,0.646744,0.23066,-0.428672,-0.470294,-0.281537,-0.275373,0.166809,0.191054,0.0432561,-0.20507,-0.0943517,0.0726845,-0.241586,0.188423,-0.427229,0.522171,0.191127,0.321778,0.0864406,-0.72507,0.260923,-0.137838,0.157877,-0.142728,0.0785424,-0.0554637,-0.0575722,0.196319,0.0679087,0.0942649,0.57461,-0.0549386,0.130996,0.206405,0.104266,-0.00392156,-0.272056,0.571351,0.504811,-0.011547,0.0568902,-0.194748,-0.712108,-0.481364,0.416561,0.0801936,-0.135654,-0.663394,-0.128842,-0.519015,-0.824494,-0.322336,0.0505945,-0.00887136,-0.319388,0.152869,0.128228,-0.108237,0.281418,0.145967,0.192702,0.0641603,0.0325926,0.265577,0.640414,0.163454,0.57862,-1.14742,-0.267163,0.371998,-0.0952842,0.0673476,-0.039012,-0.341998,-0.499218,0.254386,-0.297622,-0.370917,-0.210035,0.646744,0.23066,-0.428672,-0.470294,-0.281537,-0.275373,0.166809,0.191054,0.0432561,-0.20507,-0.0943517,0.0726845,-0.241586,0.188423,-0.427229,0.522171,0.191127,0.321778,0.0594419,-1006.23
-1009.02,0.982986,0.212764,4,15,0,1048.13,0.113649,0.327644,0.208845,0.209659,0.0807619,0.103663,0.782457,0.1956,0.115069,-0.85396,-0.0947922,0.421981,-0.303201,-0.250875,0.0221155,0.250359,-0.677922,0.216974,-0.566487,-0.0398594,0.392153,0.299815,-0.165124,-0.27591,0.462069,-0.328258,-0.0167933,-0.202734,-0.0585928,-0.429172,0.134223,0.122032,-0.302316,0.0110312,-0.496353,0.520553,0.126151,0.361659,0.0738126,-0.266314,0.016381,0.0427968,-0.0284436,-0.22536,-0.251382,0.168199,-0.106767,0.332052,0.108553,0.351751,0.376819,-0.0991417,-0.282365,0.262896,0.195354,0.372059,-0.20453,0.256779,0.538285,0.330896,0.121354,-0.206925,-0.517319,-0.728245,0.143206,0.00571623,-0.31955,-0.653589,-0.338735,-0.432007,-0.817166,-0.389029,-0.0135595,0.114507,-0.179659,0.306215,0.0980924,-0.0607399,0.113649,0.327644,0.208845,0.209659,0.0807619,0.103663,0.782457,0.1956,0.115069,-0.85396,-0.0947922,0.421981,-0.303201,-0.250875,0.0221155,0.250359,-0.677922,0.216974,-0.566487,-0.301541,-0.0398594,0.392153,0.299815,-0.165124,-0.27591,0.462069,-0.328258,-0.0167933,-0.202734,-0.0585928,-0.429172,0.134223,0.122032,-0.302316,0.0110312,-0.496353,0.520553,0.126151,0.361659,-0.114573,-1004.68
-1017.42,0.951184,0.212764,4,15,0,1054.31,0.594311,0.356936,0.0406773,-0.571154,-1.14152,-0.0837137,0.548399,0.197042,0.0847059,-0.558223,0.154923,0.0166589,0.738854,-0.247178,-0.0925204,-0.157133,-0.194291,0.390682,-0.0113154,-0.326885,0.594765,-0.165398,-0.018069,-0.243636,-0.950209,-0.0563432,0.0920568,0.446034,-0.353822,-0.34315,0.136956,0.301962,0.0916634,0.488589,-0.391674,0.474053,0.224095,0.106552,-0.089472,-0.194001,-0.344874,0.215806,0.287101,0.478565,0.144314,0.438354,-0.225376,-0.167089,-0.00749971,0.366832,0.313461,0.507504,0.382643,0.403473,0.773815,0.191656,0.0486623,0.451366,0.783109,0.114473,-0.950504,-0.15057,-0.27209,-0.175866,0.395694,-0.0502984,-0.513067,-0.24933,-0.328921,-0.25347,-0.0772741,-0.414107,-0.073862,-0.536144,-0.593357,0.43688,-0.615899,-0.154641,0.594311,0.356936,0.0406773,-0.571154,-1.14152,-0.0837137,0.548399,0.197042,0.0847059,-0.558223,0.154923,0.0166589,0.738854,-0.247178,-0.0925204,-0.157133,-0.194291,0.390682,-0.0113154,-0.0661382,-0.326885,0.594765,-0.165398,-0.018069,-0.243636,-0.950209,-0.0563432,0.0920568,0.446034,-0.353822,-0.34315,0.136956,0.301962,0.0916634,0.488589,-0.391674,0.474053,0.224095,0.106552,-0.107542,-1011.16
