# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/c8ynmscs.json
# init = 2 (Default)
# random
#   seed = 73916
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_51t4vkddr/poisson_5-20250829005554_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.213652
# Diagonal elements of inverse mass matrix:
# 0.0377843, 0.0278769, 0.0406477, 0.0541867, 0.062321, 0.0352515, 0.0178625, 0.0354803, 0.0354759, 0.0663764, 0.0338184, 0.0305041, 0.0378794, 0.0434725, 0.0385921, 0.0414708, 0.0546671, 0.0321947, 0.0485861, 0.057635, 0.0376459, 0.0511168, 0.0586706, 0.0532397, 0.0681873, 0.0703107, 0.0487935, 0.0377534, 0.0719073, 0.0660147, 0.0477186, 0.0403788, 0.0596865, 0.0401425, 0.0721964, 0.0318317, 0.0476225, 0.0507705, 0.0496841, 0.0584945, 0.0541353, 0.0393128, 0.0420223, 0.0483154, 0.0534058, 0.0399595, 0.044348, 0.0458078, 0.0388756, 0.0316129, 0.0369947, 0.0382793, 0.0380152, 0.0437219, 0.0278418, 0.0428145, 0.050257, 0.0379005, 0.0276395, 0.0393636, 0.0637583, 0.0577891, 0.0657873, 0.066319, 0.0444671, 0.044806, 0.0593875, 0.0871871, 0.070406, 0.0667722, 0.0585219, 0.069634, 0.0586663, 0.0555203, 0.0615993, 0.0360563, 0.0625148, 0.0546426
-1009.03,0.998937,0.213652,4,15,0,1048.55,0.486907,0.390668,-0.0891979,-0.680968,-0.769742,0.107417,0.57697,0.0066317,0.505028,-0.356823,-0.236182,0.292059,0.341869,-0.313132,0.135912,0.0851053,-0.0585354,0.200731,-0.262239,-0.0816745,0.613441,0.232343,-0.802352,-0.130814,-0.139712,-0.106915,0.230584,0.189187,-0.794103,0.192556,0.171567,0.171925,-0.223867,0.149778,-0.491229,0.598505,0.260645,0.139116,0.281287,-0.224107,0.0590301,0.39603,0.385112,0.402858,-0.122157,0.140943,-0.151868,0.415171,0.194771,0.614144,0.347996,0.284873,0.391974,0.255597,0.598998,0.295289,0.0335854,0.250619,0.391941,0.150162,-0.373435,-0.293961,-0.76913,-0.390775,0.34649,0.215174,-0.27995,-0.301342,-0.516821,-0.539115,-0.567885,-0.843261,-0.632926,-0.233704,-0.661652,0.553056,-0.347642,-0.402681,0.486907,0.390668,-0.0891979,-0.680968,-0.769742,0.107417,0.57697,0.0066317,0.505028,-0.356823,-0.236182,0.292059,0.341869,-0.313132,0.135912,0.0851053,-0.0585354,0.200731,-0.262239,-0.362477,-0.0816745,0.613441,0.232343,-0.802352,-0.130814,-0.139712,-0.106915,0.230584,0.189187,-0.794103,0.192556,0.171567,0.171925,-0.223867,0.149778,-0.491229,0.598505,0.260645,0.139116,-0.178979,-1002.97
-1010.42,0.834473,0.213652,4,15,0,1047.69,0.00765872,0.0635882,0.0356966,-0.361648,0.100308,-0.0602169,0.628014,0.316233,-0.164818,-0.517679,0.161967,0.0554597,0.160496,0.0956963,-0.0509937,-0.144947,-0.47942,0.423095,-0.084024,0.0829072,0.188686,-0.182705,0.232373,-0.359107,-0.245951,-0.339725,0.0323085,0.375396,0.150953,-0.349649,0.271436,0.358348,-0.209837,0.0540593,-0.402486,0.276983,-0.0235644,0.101008,-0.279349,-0.161139,-0.387808,-0.247395,-0.0812739,-0.0865591,0.225637,0.342523,-0.215543,-0.123421,0.0831573,0.237673,0.469161,0.113081,-0.0423741,0.15086,0.622528,0.32219,-0.0905007,0.208806,0.717637,0.516026,-0.200346,-0.00851569,-0.353794,-0.663208,-0.135545,-0.188248,-0.237208,-0.778149,0.124934,0.132814,-0.050971,-0.171854,0.476942,0.128254,0.2578,0.198538,-0.156839,-0.0624824,0.00765872,0.0635882,0.0356966,-0.361648,0.100308,-0.0602169,0.628014,0.316233,-0.164818,-0.517679,0.161967,0.0554597,0.160496,0.0956963,-0.0509937,-0.144947,-0.47942,0.423095,-0.084024,-0.184468,0.0829072,0.188686,-0.182705,0.232373,-0.359107,-0.245951,-0.339725,0.0323085,0.375396,0.150953,-0.349649,0.271436,0.358348,-0.209837,0.0540593,-0.402486,0.276983,-0.0235644,0.101008,-0.0114327,-1007.11
-1013.2,0.922286,0.213652,4,15,0,1049.75,0.41601,0.102117,0.164027,-0.447655,-0.185208,-0.11546,0.367014,0.334142,0.225797,-0.633933,-0.15989,0.0231143,-0.144786,0.0428338,0.266652,-0.325073,-0.235589,0.392073,-0.204064,0.237546,-0.0817863,0.0395568,-0.0440042,-0.217476,-0.0179569,0.104884,-0.111426,0.235674,-0.0823124,-0.331718,0.0286192,0.132293,-0.397412,-0.129821,-0.104045,0.540768,0.114009,0.1937,0.0367887,-0.407082,-0.228428,0.176338,0.176928,-0.252682,-0.0181403,0.274423,-0.371491,0.182701,0.180754,-0.225268,0.574615,0.585803,-0.088839,-0.101301,0.605523,0.23308,-0.267377,0.0653592,0.725344,0.146283,0.0669901,-0.333633,-0.708943,-0.428668,-0.0370908,0.120882,-0.170889,-0.767649,-0.21376,-0.0776962,-0.00152114,-0.141816,0.03822,0.216578,-0.0476344,0.00236184,0.0425444,0.0168377,0.41601,0.102117,0.164027,-0.447655,-0.185208,-0.11546,0.367014,0.334142,0.225797,-0.633933,-0.15989,0.0231143,-0.144786,0.0428338,0.266652,-0.325073,-0.235589,0.392073,-0.204064,0.117877,0.237546,-0.0817863,0.0395568,-0.0440042,-0.217476,-0.0179569,0.104884,-0.111426,0.235674,-0.0823124,-0.331718,0.0286192,0.132293,-0.397412,-0.129821,-0.104045,0.540768,0.114009,0.1937,-0.109092,-1009.97
-1014.82,0.958163,0.213652,4,15,0,1055.55,0.299725,0.490913,0.0587227,-0.355355,-0.260909,0.346411,0.345474,0.0879482,0.326185,-0.343315,-0.327433,0.512645,0.175399,0.100255,-0.509163,0.0546272,-0.644229,0.216392,-0.268727,-0.114273,0.791229,-0.0281485,-0.531097,-0.0133276,-0.369064,-0.278397,-0.0784114,0.397116,-0.626338,-0.0793636,0.274879,0.194634,0.307399,0.324515,-0.838323,0.493638,0.206791,0.125944,0.00103107,0.0328079,-0.0789468,-0.0345659,0.0405213,0.69993,0.0108208,0.208133,-0.110884,0.259259,0.176585,0.584218,0.208043,0.00664275,0.426612,0.6828,0.601709,0.448404,-0.562194,0.572795,0.680769,0.521899,-0.482145,0.0292599,0.0397294,-0.741964,0.225138,-0.423342,-0.317108,-0.723881,-0.441313,-0.0751033,-0.184402,-0.395139,-0.072573,-0.344521,-0.36187,0.661618,-0.733812,-0.579059,0.299725,0.490913,0.0587227,-0.355355,-0.260909,0.346411,0.345474,0.0879482,0.326185,-0.343315,-0.327433,0.512645,0.175399,0.100255,-0.509163,0.0546272,-0.644229,0.216392,-0.268727,-0.305563,-0.114273,0.791229,-0.0281485,-0.531097,-0.0133276,-0.369064,-0.278397,-0.0784114,0.397116,-0.626338,-0.0793636,0.274879,0.194634,0.307399,0.324515,-0.838323,0.493638,0.206791,0.125944,-0.159401,-1008.6
-1003.92,0.968321,0.213652,4,15,0,1047.78,0.446644,0.41713,-0.0363906,-0.29116,-0.293166,0.061132,0.595121,0.17502,0.128758,-0.458775,-0.0582999,0.424912,0.320811,0.107284,-0.33641,-0.239067,-0.999491,0.342099,-0.219245,-0.164405,0.409207,0.0243928,0.0343671,0.241396,-0.143996,-0.282348,-0.0517335,-0.075004,-0.396294,0.0571661,0.152326,0.2873,-0.094648,0.4568,-0.624347,0.62948,0.0342858,-0.197559,-0.309665,-0.227378,-0.000581798,0.152021,-0.117499,0.257688,0.110978,0.469367,-0.395539,0.196284,0.425187,0.516364,0.205015,0.238306,0.106034,0.155965,0.436632,0.627813,-0.161852,0.136019,0.645487,0.547548,-0.21757,-0.140337,-0.783915,-0.252312,0.222999,-0.585517,-0.133981,-0.570666,-0.247288,-0.269066,-0.399792,-0.625934,-0.0588073,-0.701113,-0.0120483,0.297621,-0.33087,-0.623417,0.446644,0.41713,-0.0363906,-0.29116,-0.293166,0.061132,0.595121,0.17502,0.128758,-0.458775,-0.0582999,0.424912,0.320811,0.107284,-0.33641,-0.239067,-0.999491,0.342099,-0.219245,-0.0869065,-0.164405,0.409207,0.0243928,0.0343671,0.241396,-0.143996,-0.282348,-0.0517335,-0.075004,-0.396294,0.0571661,0.152326,0.2873,-0.094648,0.4568,-0.624347,0.62948,0.0342858,-0.197559,-0.296384,-998.759
-1002.19,0.981226,0.213652,4,15,0,1040.29,0.076676,0.255322,0.221735,-0.315015,-0.113728,0.00916293,0.648017,0.0513849,0.179618,-0.64085,0.0521727,0.0204461,0.0240679,-0.289769,0.198165,0.138693,-0.116587,-0.0096481,-0.302486,0.019878,0.405107,-0.0843889,-0.394704,-0.501959,-0.186581,-0.115527,0.292339,0.520704,-0.113534,-0.413573,0.20474,0.168263,-0.377933,-0.0679953,-0.232173,0.465202,0.160142,0.487846,0.380048,-0.0762296,-0.219039,-0.0586941,0.174264,0.080984,0.0882206,-0.0375373,0.367912,0.072518,-0.223756,0.205966,0.472982,0.231823,0.158187,0.288556,0.576777,-0.198215,-0.207212,0.527181,0.544096,-0.153257,-0.496036,-0.341251,-0.124153,-0.549888,-0.0344911,0.241575,-0.435868,-0.634216,-0.324241,-0.27628,-0.184802,-0.171599,-0.202572,0.234705,-0.620413,0.281006,-0.235653,0.20505,0.076676,0.255322,0.221735,-0.315015,-0.113728,0.00916293,0.648017,0.0513849,0.179618,-0.64085,0.0521727,0.0204461,0.0240679,-0.289769,0.198165,0.138693,-0.116587,-0.0096481,-0.302486,-0.0873768,0.019878,0.405107,-0.0843889,-0.394704,-0.501959,-0.186581,-0.115527,0.292339,0.520704,-0.113534,-0.413573,0.20474,0.168263,-0.377933,-0.0679953,-0.232173,0.465202,0.160142,0.487846,-0.235854,-998.5
