# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:55:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/7vj6d1mb.json
# init = 2 (Default)
# random
#   seed = 32394
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5_uubbvmc/poisson_5-20250829005556_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.135434
# Diagonal elements of inverse mass matrix:
# 0.198049, 0.224225, 0.39358, 0.400152, 0.449102, 0.440567, 0.315614, 0.242336, 0.300665, 0.470792, 0.310436, 0.421263, 0.349922, 0.241356, 0.262887, 0.536843, 0.585749, 0.319881, 0.273461, 0.221131, 0.406159, 0.279289, 0.56695, 0.427812, 0.68859, 0.376486, 0.369414, 0.257552, 0.390186, 0.283473, 0.398762, 0.421923, 0.395172, 0.293017, 0.420465, 0.361495, 0.327125, 0.279484, 0.365078, 0.437854, 0.433032, 0.288075, 0.284642, 0.292223, 0.646643, 0.300182, 0.261293, 0.300408, 0.290141, 0.298544, 0.294596, 0.394771, 0.670189, 0.202126, 0.222625, 0.327686, 0.586994, 0.427931, 0.373707, 0.374898, 0.371036, 0.357711, 0.503481, 0.346711, 0.37269, 0.379823, 0.485494, 0.386322, 0.383803, 0.273301, 0.286621, 0.616012, 0.380429, 0.462125, 0.373488, 0.211621, 0.736382, 0.384618
-144.7,0.996471,0.135434,5,31,0,180.334,0.708121,1.73908,-0.174506,0.329983,-0.77768,0.279322,0.00552585,0.952662,0.101681,0.327302,0.991701,-0.889722,-0.350867,-0.357735,0.620949,-1.5574,-1.39401,0.420302,0.440182,-0.499123,-0.736418,0.5188,-0.159306,0.34389,-1.29644,0.337175,-0.219479,0.344885,-0.212099,0.884507,-1.25862,0.159969,-0.338292,-0.729748,0.263668,-0.601816,1.6013,0.395238,0.518557,0.202309,-1.11997,-0.416694,0.611929,0.0516875,-0.833114,-0.375634,0.527939,-0.336676,0.579236,-0.184408,0.0341868,-0.234761,0.321799,-0.553063,-0.711936,-0.314825,0.397112,-0.109538,1.24558,-1.40094,-0.0202089,-0.768343,-1.57921,-0.924075,-0.998116,-0.202252,0.941726,-1.22668,0.114152,-0.81172,-0.493889,-0.84887,-0.32008,-0.71688,0.470418,0.833366,-0.184894,0.611541,0.708121,1.73908,-0.174506,0.329983,-0.77768,0.279322,0.00552585,0.952662,0.101681,0.327302,0.991701,-0.889722,-0.350867,-0.357735,0.620949,-1.5574,-1.39401,0.420302,0.440182,-1.4149,-0.499123,-0.736418,0.5188,-0.159306,0.34389,-1.29644,0.337175,-0.219479,0.344885,-0.212099,0.884507,-1.25862,0.159969,-0.338292,-0.729748,0.263668,-0.601816,1.6013,0.395238,1.20191,-124.031
-151.407,0.878033,0.135434,5,31,0,194.101,0.230518,-0.41367,-0.896006,-0.347732,-1.08348,-0.203802,-0.258365,0.948773,-0.125869,-0.643288,0.662478,0.494142,0.504125,0.692027,-0.214861,-0.348552,-1.04843,1.69432,0.585419,0.375279,0.608842,-0.166068,-1.3021,-0.383516,0.2306,-0.0106657,0.118688,0.578329,0.241086,0.623863,0.496667,-1.0646,-2.08056,0.219717,-0.852416,0.334724,0.68063,0.614008,-0.36028,-0.923768,-0.816882,-0.104957,-0.111882,-1.01431,-0.942395,0.0005182,-0.337178,-0.0531114,0.32588,-0.538116,-0.770454,0.403418,-1.67689,0.306067,1.01108,0.789123,-1.42043,-0.532283,-0.0992641,0.862011,-0.0621914,0.297424,-1.39861,0.114512,0.135805,-0.288253,-1.16617,0.011762,-0.442063,-0.785166,-0.0839393,-1.09866,0.522813,-0.506173,-1.44847,0.632153,-1.77945,-2.49045,0.230518,-0.41367,-0.896006,-0.347732,-1.08348,-0.203802,-0.258365,0.948773,-0.125869,-0.643288,0.662478,0.494142,0.504125,0.692027,-0.214861,-0.348552,-1.04843,1.69432,0.585419,-0.227746,0.375279,0.608842,-0.166068,-1.3021,-0.383516,0.2306,-0.0106657,0.118688,0.578329,0.241086,0.623863,0.496667,-1.0646,-2.08056,0.219717,-0.852416,0.334724,0.68063,0.614008,0.737494,-126.041
-156.3,0.973476,0.135434,5,31,0,192.842,1.11823,0.236071,0.178165,0.190836,-1.18215,0.219517,-0.975221,0.484739,0.447736,0.395606,0.495847,0.451424,-0.292466,0.245314,0.267671,-0.801711,-0.242622,0.212637,-0.478134,-1.20908,-0.148205,-0.136566,0.131388,0.368381,-1.70085,0.374895,-0.7243,0.388022,-0.420099,0.579633,0.0582237,-0.849016,0.605929,-0.367944,0.346665,-0.466768,1.03931,-0.0946427,0.526368,-0.706625,-0.170869,-0.231712,0.966419,0.692213,-1.18881,-0.357942,1.14582,0.0718106,-0.138121,0.255778,0.866111,-0.207615,-0.270991,-0.202151,1.08471,-1.09407,0.241667,0.436208,0.98599,-1.81063,-0.122054,-0.613666,-1.23681,-1.02188,-1.14591,-0.085957,0.699534,-1.74893,-0.69305,0.512419,0.226787,0.149549,-0.301309,-0.673176,0.689418,1.22775,0.275208,1.48207,1.11823,0.236071,0.178165,0.190836,-1.18215,0.219517,-0.975221,0.484739,0.447736,0.395606,0.495847,0.451424,-0.292466,0.245314,0.267671,-0.801711,-0.242622,0.212637,-0.478134,-0.971492,-1.20908,-0.148205,-0.136566,0.131388,0.368381,-1.70085,0.374895,-0.7243,0.388022,-0.420099,0.579633,0.0582237,-0.849016,0.605929,-0.367944,0.346665,-0.466768,1.03931,-0.0946427,2.22503,-135.808
-159.771,0.997346,0.135434,5,31,0,204.407,1.18967,0.582263,-0.277317,-0.700873,-0.351576,0.41187,-0.694157,-0.271561,0.873851,0.367058,-0.00683262,0.897467,0.530798,0.0516236,0.110216,-1.89957,-0.346077,0.761413,-0.553642,-0.584854,0.126072,-1.32041,0.534371,0.110035,-0.214117,-1.46533,-0.275744,0.770007,0.490966,1.20477,0.669112,-1.24444,-0.495861,-0.379827,0.231282,-0.0190744,1.07623,-0.763492,0.559288,-0.813993,-0.612626,-0.159833,1.34014,0.539091,-1.28582,-0.670274,0.936728,0.79022,-0.13376,0.452795,-0.1444,-0.241819,-1.86915,-0.489905,0.562882,-1.12558,-0.21058,0.871863,-0.0657611,-0.870552,0.0804244,-0.782967,-1.28047,-0.292409,-1.61677,0.359285,1.10712,-1.197,-0.906266,-0.083178,-0.619756,-1.7205,-0.965026,0.627461,-0.465788,0.94365,0.0635578,0.00498025,1.18967,0.582263,-0.277317,-0.700873,-0.351576,0.41187,-0.694157,-0.271561,0.873851,0.367058,-0.00683262,0.897467,0.530798,0.0516236,0.110216,-1.89957,-0.346077,0.761413,-0.553642,-0.67462,-0.584854,0.126072,-1.32041,0.534371,0.110035,-0.214117,-1.46533,-0.275744,0.770007,0.490966,1.20477,0.669112,-1.24444,-0.495861,-0.379827,0.231282,-0.0190744,1.07623,-0.763492,1.55031,-135.006
-150.573,0.877543,0.135434,5,31,0,196.53,0.19859,0.502767,0.0308393,0.10152,-1.28057,-0.779582,0.136434,1.27085,0.286633,-0.121496,0.822373,-0.737891,-1.37014,0.255867,0.135935,-0.738811,-0.511252,0.607835,0.110161,-0.410498,-0.14098,0.607561,-1.4293,-0.562555,-0.592868,0.549974,-1.10979,0.976935,-0.434084,0.675382,-0.0151442,-1.06291,-0.0521633,0.18729,-0.0879968,0.0202963,1.23749,0.75242,0.414965,-2.26827,0.123137,0.750751,-0.420498,-0.643148,-0.945155,0.784648,0.0415698,-1.43494,-0.442403,-0.250518,0.15031,1.52489,-1.19816,0.391018,0.295377,0.657461,0.656941,-0.559963,0.804577,0.313957,-0.632923,0.429827,-1.5575,-0.346284,0.255488,-0.268963,0.67903,-0.187251,-0.413867,-0.538403,-0.0471144,0.572115,0.469888,-2.22151,0.706651,1.00101,-1.42322,0.568319,0.19859,0.502767,0.0308393,0.10152,-1.28057,-0.779582,0.136434,1.27085,0.286633,-0.121496,0.822373,-0.737891,-1.37014,0.255867,0.135935,-0.738811,-0.511252,0.607835,0.110161,1.07994,-0.410498,-0.14098,0.607561,-1.4293,-0.562555,-0.592868,0.549974,-1.10979,0.976935,-0.434084,0.675382,-0.0151442,-1.06291,-0.0521633,0.18729,-0.0879968,0.0202963,1.23749,0.75242,0.890945,-126.498
-150.879,0.964737,0.135434,5,31,0,189.881,0.130417,0.396495,-0.966624,-0.206845,-0.182622,-0.613344,-0.16399,0.853204,0.336082,-0.172223,-0.251342,-0.0615997,-0.475878,0.476379,-0.757671,-0.0212012,-0.128953,2.02216,-0.439861,0.057118,-1.02258,0.550083,-2.34547,-0.57046,-0.205646,0.213222,-0.23736,0.183401,-1.07276,0.5059,-0.546912,0.369116,-0.175607,0.658255,1.49007,-0.0897481,1.20156,0.741765,0.37165,-1.43476,-1.22798,0.744796,0.906108,-0.89252,-0.634234,-0.430825,0.492449,-0.477102,-0.44798,0.272713,-0.190889,1.71617,-2.21394,0.199261,0.566486,0.216096,0.165552,-1.22601,0.238287,-0.225598,-0.646879,-0.977033,-1.40917,-0.408993,0.0386319,0.313265,-0.000774393,0.02354,0.255799,-1.0686,0.0241177,-1.41084,-0.359191,-2.18594,-0.28126,0.40982,-1.62469,-0.842758,0.130417,0.396495,-0.966624,-0.206845,-0.182622,-0.613344,-0.16399,0.853204,0.336082,-0.172223,-0.251342,-0.0615997,-0.475878,0.476379,-0.757671,-0.0212012,-0.128953,2.02216,-0.439861,0.227412,0.057118,-1.02258,0.550083,-2.34547,-0.57046,-0.205646,0.213222,-0.23736,0.183401,-1.07276,0.5059,-0.546912,0.369116,-0.175607,0.658255,1.49007,-0.0897481,1.20156,0.741765,0.296056,-123.777
-143.827,0.950214,0.135434,5,31,0,186.085,0.475184,1.06086,-0.583899,-0.37536,-0.442568,0.0759687,-0.621312,0.617165,0.580062,-0.297021,0.985561,0.186968,0.185599,0.399732,-0.341901,-1.22062,-0.402378,-0.0224257,0.112346,0.11913,1.12247,0.215447,-1.02754,-0.104652,-1.37543,0.59172,0.681938,0.687246,-0.304809,0.789768,0.145463,-0.562058,-1.0977,0.533602,-1.0039,-0.342862,0.201932,0.420653,1.00215,0.194966,-0.153539,0.835626,0.0357908,-0.276173,-0.98197,0.414886,0.314052,0.217613,-0.242349,0.0487842,-0.181381,-0.601945,-0.251192,0.409902,-0.776918,-0.104176,-0.149649,0.521288,0.249897,-0.448896,-0.337392,-0.392395,-1.17252,-0.524194,-1.06456,-1.65642,-0.381084,-1.3539,-0.337927,-0.343723,0.522628,-0.800141,0.374303,-0.440687,-0.245656,1.02925,-1.39136,-0.728105,0.475184,1.06086,-0.583899,-0.37536,-0.442568,0.0759687,-0.621312,0.617165,0.580062,-0.297021,0.985561,0.186968,0.185599,0.399732,-0.341901,-1.22062,-0.402378,-0.0224257,0.112346,-0.371964,0.11913,1.12247,0.215447,-1.02754,-0.104652,-1.37543,0.59172,0.681938,0.687246,-0.304809,0.789768,0.145463,-0.562058,-1.0977,0.533602,-1.0039,-0.342862,0.201932,0.420653,0.309588,-127.085
-148.814,0.972557,0.135434,5,31,0,181.494,0.541427,0.245535,0.110403,0.398292,0.278376,-0.111598,-0.329382,-0.196064,0.287001,-0.495825,0.664935,-0.19662,0.0229105,0.658151,0.393536,-1.23381,-0.144098,0.897788,-0.402243,0.277095,0.265518,0.276874,-1.61387,-0.602495,-0.828299,0.186874,-0.548406,0.852675,0.341326,-0.185533,-0.00966618,0.576358,0.375407,0.484151,-1.07963,0.065538,1.20602,-0.509264,0.559785,-0.240165,-0.612362,0.136511,1.02253,-0.300942,-0.479447,-0.49038,0.145147,0.912845,-0.794894,0.264906,0.0841967,0.839818,-1.66538,0.42454,-0.300371,-0.0745004,0.847315,-0.0463296,0.729972,0.054495,-0.804957,-0.744801,-2.65598,-0.537163,-0.215899,-1.61715,-0.6868,0.144063,-0.0998141,0.146424,0.26355,-0.893414,-0.256504,-0.8524,0.385,0.76147,-1.37467,-0.104051,0.541427,0.245535,0.110403,0.398292,0.278376,-0.111598,-0.329382,-0.196064,0.287001,-0.495825,0.664935,-0.19662,0.0229105,0.658151,0.393536,-1.23381,-0.144098,0.897788,-0.402243,-1.38872,0.277095,0.265518,0.276874,-1.61387,-0.602495,-0.828299,0.186874,-0.548406,0.852675,0.341326,-0.185533,-0.00966618,0.576358,0.375407,0.484151,-1.07963,0.065538,1.20602,-0.509264,0.469324,-129.656
-152.176,0.983564,0.135434,5,31,0,186.46,0.692312,1.02222,-0.54376,-0.204065,-0.210064,-0.310439,0.830786,1.31973,-0.531736,-0.827438,0.0770584,0.668763,-0.57776,-0.573747,-0.128632,0.0588174,-2.2521,0.991313,0.0414168,-0.547872,0.094455,0.503372,-0.165208,-0.312379,-0.186014,-0.035716,-0.00101766,0.37697,0.515388,0.749167,-0.163481,-0.942122,-1.21779,-0.465333,0.0436926,0.515179,-0.293587,1.18399,0.214929,-0.924392,-0.566578,0.514194,-1.10291,-0.878852,-1.59934,-0.279039,0.681426,-0.803143,1.72858,-0.341281,-0.049799,0.979534,-0.441991,-0.191397,0.0129109,-0.0968029,-1.30038,-0.0399743,0.0209914,0.0978872,0.51497,-0.14891,0.00523616,0.597397,-1.20699,0.84313,-0.292388,-1.42039,-1.00421,-1.23598,0.718651,-0.805054,1.04045,-0.608881,-0.471696,0.431042,0.00982854,0.0490834,0.692312,1.02222,-0.54376,-0.204065,-0.210064,-0.310439,0.830786,1.31973,-0.531736,-0.827438,0.0770584,0.668763,-0.57776,-0.573747,-0.128632,0.0588174,-2.2521,0.991313,0.0414168,0.457318,-0.547872,0.094455,0.503372,-0.165208,-0.312379,-0.186014,-0.035716,-0.00101766,0.37697,0.515388,0.749167,-0.163481,-0.942122,-1.21779,-0.465333,0.0436926,0.515179,-0.293587,1.18399,0.34831,-130.994
-147.101,0.962655,0.135434,5,31,0,187.688,0.492137,1.04082,-1.03873,0.965155,0.290711,-0.915074,-0.406104,0.935308,-0.280771,-0.10804,0.194733,0.789906,-0.764161,-0.0315747,-0.147657,-0.376504,-1.65173,1.68329,0.16322,-0.358616,0.12297,0.677604,-0.387626,-0.440964,-0.345437,-0.0381817,-0.529599,0.518398,0.168922,0.508456,-0.191511,-0.708066,-0.127906,0.791575,-0.249157,0.440194,0.105679,-0.017908,0.328338,-1.16737,-1.37754,-0.441769,-0.0738163,-0.89898,-2.76312,-0.626357,0.0755398,-0.423512,0.959139,0.271337,-0.0656009,2.18524,-1.56834,0.148003,-0.268913,0.149957,0.186228,0.834397,0.225632,1.36908,0.0875103,-0.26595,-0.685714,0.932911,-0.430258,0.772046,-0.680203,-1.10161,-0.3172,-0.636332,0.139002,-0.234882,1.50395,-0.596662,0.209393,0.655313,-0.747162,-0.0827041,0.492137,1.04082,-1.03873,0.965155,0.290711,-0.915074,-0.406104,0.935308,-0.280771,-0.10804,0.194733,0.789906,-0.764161,-0.0315747,-0.147657,-0.376504,-1.65173,1.68329,0.16322,-0.834937,-0.358616,0.12297,0.677604,-0.387626,-0.440964,-0.345437,-0.0381817,-0.529599,0.518398,0.168922,0.508456,-0.191511,-0.708066,-0.127906,0.791575,-0.249157,0.440194,0.105679,-0.017908,0.0611736,-123.377
-143.71,0.99816,0.135434,5,31,0,179.471,0.966348,0.0369869,-0.727923,-0.141931,-0.66121,-0.068088,-0.17209,1.29919,0.264069,0.454096,1.78019,-0.329444,-0.427578,0.503075,0.767795,-1.82967,-1.18732,0.673464,0.488366,-0.385333,0.409856,-0.210373,-0.104646,-0.159284,-1.22958,-0.181621,-0.440593,0.362179,-0.236797,0.546303,-0.801595,0.62082,-0.175694,-0.569766,0.346063,-0.373638,1.01851,1.36295,0.309437,-0.26173,0.640968,0.728903,0.17018,-0.620587,-0.552375,-0.0582699,-0.234167,-0.314114,-0.0518264,-0.734711,-0.847779,-0.136722,-0.825219,-0.304295,1.02388,0.0284697,0.306248,-1.46974,1.18765,-0.594352,-0.940755,-0.860574,-0.845644,-0.938714,0.0952419,-0.609577,0.369013,0.448579,-0.650449,-0.34966,0.110777,-0.91253,0.0174013,-0.401369,0.00675995,0.638617,-0.765301,-0.693207,0.966348,0.0369869,-0.727923,-0.141931,-0.66121,-0.068088,-0.17209,1.29919,0.264069,0.454096,1.78019,-0.329444,-0.427578,0.503075,0.767795,-1.82967,-1.18732,0.673464,0.488366,-1.68833,-0.385333,0.409856,-0.210373,-0.104646,-0.159284,-1.22958,-0.181621,-0.440593,0.362179,-0.236797,0.546303,-0.801595,0.62082,-0.175694,-0.569766,0.346063,-0.373638,1.01851,1.36295,0.202237,-125.259
-142.089,0.991213,0.135434,5,31,0,178.504,0.96099,0.0621045,-0.918645,-0.123335,-0.514804,0.0387587,-0.201345,1.28268,0.181212,0.321631,1.5602,-0.14844,-0.430969,0.341001,0.748473,-1.9454,-1.25821,0.697995,0.662998,-0.341375,0.40211,0.0878112,-0.122765,-0.213336,-1.40646,-0.0767596,-0.501901,0.286667,-0.243328,0.306031,-0.494664,0.464371,-0.199122,-0.374912,0.152956,-0.270567,0.754266,1.22622,0.247939,-0.273563,0.573438,0.691822,0.334651,-0.773397,-0.511412,0.156742,-0.0943972,-0.597851,-0.0337082,-0.450722,-0.966365,-0.120599,-0.69174,-0.299624,1.06757,-0.208101,0.364582,-1.5317,1.25259,-0.827894,-1.24532,-0.481761,-1.0339,-0.972079,0.123778,-0.760604,0.301722,0.369243,-0.35501,-0.532533,0.0552582,-0.765073,0.139632,-0.627775,0.0126388,0.689444,-0.574325,-0.986117,0.96099,0.0621045,-0.918645,-0.123335,-0.514804,0.0387587,-0.201345,1.28268,0.181212,0.321631,1.5602,-0.14844,-0.430969,0.341001,0.748473,-1.9454,-1.25821,0.697995,0.662998,-1.3169,-0.341375,0.40211,0.0878112,-0.122765,-0.213336,-1.40646,-0.0767596,-0.501901,0.286667,-0.243328,0.306031,-0.494664,0.464371,-0.199122,-0.374912,0.152956,-0.270567,0.754266,1.22622,0.564757,-123.656
