# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/h8xa41by.json
# init = 2 (Default)
# random
#   seed = 81600
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5xu8b5mgc/poisson_5-20250829005607_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.170504
# Diagonal elements of inverse mass matrix:
# 0.104397, 0.205039, 0.146022, 0.120897, 0.144528, 0.17409, 0.0942073, 0.17498, 0.168306, 0.187082, 0.176815, 0.125659, 0.202824, 0.214477, 0.135528, 0.171711, 0.130972, 0.13327, 0.12645, 0.166363, 0.20763, 0.152952, 0.19327, 0.1992, 0.192962, 0.20143, 0.161082, 0.144385, 0.331462, 0.112199, 0.18047, 0.143026, 0.22263, 0.180413, 0.220398, 0.178226, 0.170502, 0.21389, 0.131754, 0.167748, 0.207008, 0.184092, 0.156606, 0.141809, 0.332136, 0.159058, 0.129233, 0.15275, 0.154655, 0.28097, 0.177912, 0.158333, 0.167952, 0.198561, 0.123195, 0.14821, 0.124804, 0.107584, 0.157597, 0.158048, 0.198511, 0.231388, 0.152877, 0.203002, 0.210165, 0.173756, 0.189048, 0.169253, 0.219773, 0.22815, 0.235658, 0.178646, 0.310888, 0.202706, 0.265106, 0.271624, 0.164392, 0.190008
-289.915,0.992726,0.170504,5,31,0,325.91,0.216129,-0.017907,0.284586,0.892224,1.11133,0.40912,-0.472205,-0.534486,-0.0600862,-1.38453,-0.55136,-0.040764,-0.0802487,-0.341705,0.202837,0.0111954,0.49028,0.416321,-0.222435,0.3655,0.132936,0.402031,-0.239074,-0.0342989,-0.168927,-0.177512,1.00681,0.452747,-0.645948,-0.108604,-0.829403,0.382357,-0.434618,-0.606079,0.18474,0.622676,-0.0303479,0.266276,-0.21177,-0.329977,0.00304018,-0.839237,-0.280445,-0.112391,-1.95926,-1.0801,0.433318,0.194183,0.600657,0.735462,0.985105,0.309964,0.496516,0.119484,0.978557,0.537583,0.184987,-0.175053,0.495167,-0.462741,-0.243734,0.247435,-0.0405342,-0.370754,0.725146,0.55675,-0.334792,0.00279965,-0.476611,0.0169502,0.204489,-0.0804582,-0.589494,-0.726112,0.385538,-0.796618,0.180564,-0.738712,0.216129,-0.017907,0.284586,0.892224,1.11133,0.40912,-0.472205,-0.534486,-0.0600862,-1.38453,-0.55136,-0.040764,-0.0802487,-0.341705,0.202837,0.0111954,0.49028,0.416321,-0.222435,-0.328296,0.3655,0.132936,0.402031,-0.239074,-0.0342989,-0.168927,-0.177512,1.00681,0.452747,-0.645948,-0.108604,-0.829403,0.382357,-0.434618,-0.606079,0.18474,0.622676,-0.0303479,0.266276,-0.541258,-278.139
-292.837,0.972112,0.170504,5,31,0,328.946,-0.0532224,-0.666739,0.805823,-0.206581,0.601854,-0.0190825,1.35563,-0.430683,-0.19686,1.11652,-0.483308,0.307728,-0.96228,-0.392477,-1.06703,-0.153864,-0.445477,-0.289551,0.973859,-0.320746,0.410666,-0.148619,-0.468781,-0.0896227,-0.684349,-0.388968,-0.338994,0.988711,-0.63075,1.46504,0.0454796,-0.638604,0.730374,0.128804,-0.530439,-0.0634272,0.253213,-0.379041,-0.176926,-0.540581,-0.0839975,0.145062,0.346856,0.320121,-0.00653535,-0.0837722,0.0691129,0.106068,0.769171,-0.692448,0.332648,0.0511526,0.671994,-0.268348,0.193373,-0.186481,1.04455,0.808111,0.26952,-0.229818,-0.398149,-0.757373,-0.181434,-0.392399,-0.685026,0.126157,0.173245,-0.140039,0.064328,-1.20077,-0.586816,-0.239867,-1.00553,0.66619,-1.02652,0.0916759,-0.202888,0.333906,-0.0532224,-0.666739,0.805823,-0.206581,0.601854,-0.0190825,1.35563,-0.430683,-0.19686,1.11652,-0.483308,0.307728,-0.96228,-0.392477,-1.06703,-0.153864,-0.445477,-0.289551,0.973859,0.205743,-0.320746,0.410666,-0.148619,-0.468781,-0.0896227,-0.684349,-0.388968,-0.338994,0.988711,-0.63075,1.46504,0.0454796,-0.638604,0.730374,0.128804,-0.530439,-0.0634272,0.253213,-0.379041,0.66005,-280.306
-298.453,0.970347,0.170504,5,31,0,336.503,0.264112,0.0363195,0.0984979,0.994308,1.36465,0.345936,-0.21668,0.393417,-0.12274,-1.33315,0.242407,-0.673425,-0.618006,-0.661425,0.0582934,-0.809646,0.242801,0.57579,-0.656219,0.29193,-0.67303,0.946796,0.0512769,0.861364,0.273636,-0.0155955,1.4537,-0.574171,-0.692844,-0.0628154,-0.379458,0.696021,-1.03921,-0.946221,0.0805708,0.254782,-0.0315176,-0.624437,0.146449,-0.209117,-0.390598,-0.652161,0.224448,-0.0525015,-1.8753,-1.0401,0.072526,-0.0796564,0.523879,-0.133613,1.19084,0.191598,0.472016,0.32589,1.02906,0.297039,-0.206879,0.479807,-0.0552698,-0.151427,-0.150076,-0.244314,0.383329,-0.5736,0.428278,-0.0557647,-0.32824,0.309629,-0.263509,-0.100811,0.801844,-1.01213,-0.0811251,-1.13943,0.511373,-0.138133,-0.0583614,-0.438765,0.264112,0.0363195,0.0984979,0.994308,1.36465,0.345936,-0.21668,0.393417,-0.12274,-1.33315,0.242407,-0.673425,-0.618006,-0.661425,0.0582934,-0.809646,0.242801,0.57579,-0.656219,0.474766,0.29193,-0.67303,0.946796,0.0512769,0.861364,0.273636,-0.0155955,1.4537,-0.574171,-0.692844,-0.0628154,-0.379458,0.696021,-1.03921,-0.946221,0.0805708,0.254782,-0.0315176,-0.624437,0.129216,-283.748
-299.841,0.964762,0.170504,5,31,0,335.883,0.200838,-0.236694,-0.0743896,0.92203,1.33491,0.493171,-0.315241,0.348303,-0.144971,-1.18874,0.0519638,-0.661896,-0.611721,-0.5937,-0.0942049,-0.799134,0.162473,0.561982,-0.457585,-0.0180466,-0.612683,0.737791,0.0448671,0.961038,0.513435,0.0996061,1.61194,-0.469662,-0.747788,0.236771,-0.353902,0.433367,-1.28527,-0.647483,-0.177924,0.112475,0.0274247,-0.446578,-0.0490221,-0.01368,-0.36377,-0.917076,0.0643702,0.107018,-1.32829,-1.34466,-0.0347885,-0.217045,0.800908,0.104887,0.872649,0.11506,0.732317,0.183495,0.986929,0.411066,-0.11769,0.748283,-0.205887,-0.28208,-0.295064,-0.0456966,0.31538,-0.764707,0.694667,-0.0276235,-0.274642,0.0974501,0.251231,-0.322455,0.48815,-1.30021,-0.000993451,-1.09555,-0.091836,0.527843,-0.00256278,-0.454043,0.200838,-0.236694,-0.0743896,0.92203,1.33491,0.493171,-0.315241,0.348303,-0.144971,-1.18874,0.0519638,-0.661896,-0.611721,-0.5937,-0.0942049,-0.799134,0.162473,0.561982,-0.457585,1.1026,-0.0180466,-0.612683,0.737791,0.0448671,0.961038,0.513435,0.0996061,1.61194,-0.469662,-0.747788,0.236771,-0.353902,0.433367,-1.28527,-0.647483,-0.177924,0.112475,0.0274247,-0.446578,-0.0193768,-285.461
-298.86,0.918477,0.170504,5,31,0,343.894,0.187082,-0.562697,0.446006,0.275254,0.406704,-0.759446,1.13223,-1.01631,-0.0590086,0.644919,-0.313167,0.0634538,-0.922403,-0.671355,-0.427429,0.29451,0.09094,-0.247215,0.743023,0.607415,0.651803,-0.240242,-1.12194,-1.5147,-1.21812,-0.90319,0.215505,1.15245,-0.561662,0.972145,-0.0241325,-0.657167,0.720138,0.606225,0.0858493,0.79233,-0.179385,-0.0322878,0.264407,-0.444225,-0.0384237,0.47425,-0.15646,0.348262,-0.599707,0.318718,-0.0363625,0.548126,0.519607,-0.942396,0.414184,0.558418,0.946652,-0.348298,-0.0381908,-0.699575,0.807958,-0.262465,0.856314,-0.111478,-0.357543,-1.01613,-0.502047,-0.409137,-0.685028,0.664904,-0.306864,-0.205059,-0.693167,-0.539669,-0.699374,0.65409,-0.798351,0.698727,-0.555563,-1.65069,-0.764733,-0.213878,0.187082,-0.562697,0.446006,0.275254,0.406704,-0.759446,1.13223,-1.01631,-0.0590086,0.644919,-0.313167,0.0634538,-0.922403,-0.671355,-0.427429,0.29451,0.09094,-0.247215,0.743023,0.694911,0.607415,0.651803,-0.240242,-1.12194,-1.5147,-1.21812,-0.90319,0.215505,1.15245,-0.561662,0.972145,-0.0241325,-0.657167,0.720138,0.606225,0.0858493,0.79233,-0.179385,-0.0322878,0.648972,-282.436
-287.194,0.974242,0.170504,5,31,0,337.643,0.727586,-0.496736,0.519297,0.167543,0.156955,-0.630272,0.861941,-0.655656,-0.0506586,0.657763,-0.386694,0.213333,-0.845907,-0.729927,-0.168911,-0.116879,0.0569179,-0.300317,0.704161,0.71775,0.888356,0.124828,-0.454308,-0.802065,-0.297005,-1.13591,0.454132,0.708519,0.300164,0.162544,0.641521,-0.293753,0.236868,-0.614137,-0.529785,0.839246,0.240288,-0.392028,0.0487713,-0.896864,-0.00210005,0.251793,0.180058,-0.511271,-0.983177,-0.0208196,0.107666,-0.229228,0.560184,0.075238,0.704084,0.393582,0.624206,0.151413,0.899522,-0.995099,0.371152,0.362322,0.651901,-0.373192,0.47155,-0.945947,-0.509816,0.485688,0.0257099,0.729219,-0.214907,-0.887753,0.126495,0.584372,-0.38868,0.407434,-0.968682,0.305941,-0.7092,-1.68064,-0.161371,0.0330394,0.727586,-0.496736,0.519297,0.167543,0.156955,-0.630272,0.861941,-0.655656,-0.0506586,0.657763,-0.386694,0.213333,-0.845907,-0.729927,-0.168911,-0.116879,0.0569179,-0.300317,0.704161,0.316459,0.71775,0.888356,0.124828,-0.454308,-0.802065,-0.297005,-1.13591,0.454132,0.708519,0.300164,0.162544,0.641521,-0.293753,0.236868,-0.614137,-0.529785,0.839246,0.240288,-0.392028,-0.795221,-274.229
