# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/kssomuh7.json
# init = 2 (Default)
# random
#   seed = 35777
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5d_bk9wvf/poisson_5-20250829005609_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.197065
# Diagonal elements of inverse mass matrix:
# 0.0595371, 0.0684759, 0.063699, 0.0711134, 0.0949474, 0.104117, 0.0734782, 0.151476, 0.145447, 0.0930559, 0.106753, 0.0866661, 0.198478, 0.18522, 0.107135, 0.103163, 0.0733302, 0.107147, 0.0855471, 0.0949212, 0.111974, 0.104741, 0.106432, 0.132738, 0.127648, 0.109459, 0.111958, 0.133629, 0.279664, 0.0743803, 0.103964, 0.174483, 0.162927, 0.137313, 0.181413, 0.0958055, 0.168077, 0.135623, 0.0985458, 0.125315, 0.226627, 0.134001, 0.0836948, 0.131322, 0.203338, 0.148485, 0.095366, 0.0926457, 0.112734, 0.0871645, 0.0675335, 0.0934904, 0.0895517, 0.0748209, 0.0704076, 0.0929196, 0.069863, 0.0984312, 0.0959044, 0.104433, 0.150555, 0.19668, 0.101882, 0.128348, 0.0933852, 0.11053, 0.109613, 0.120918, 0.152972, 0.118155, 0.130634, 0.137962, 0.143448, 0.123452, 0.228737, 0.223268, 0.125282, 0.135263
-425.184,0.810366,0.197065,4,15,0,462.597,-0.111124,0.471802,0.473631,0.640371,0.234051,0.23841,0.548733,-0.47809,-1.00234,-0.198227,-0.131762,-0.113664,-0.811655,-1.15326,0.241336,0.137652,0.0599873,0.15977,0.196086,0.603316,0.144551,-0.235977,0.0271983,0.0816901,0.1041,-0.512589,-0.666361,0.219757,-1.30565,0.586961,0.338006,0.147835,-1.0657,0.508979,-0.13475,0.582852,0.201069,0.0640698,-0.5949,0.0590469,-0.681402,-0.00508816,0.722846,-0.273581,-0.791904,-1.14325,0.228632,0.551745,0.656393,0.186945,0.75318,0.463304,0.309655,0.322777,0.87345,-0.320706,0.648753,0.923277,-0.131332,-0.40187,-0.235279,-0.0450486,-0.355754,0.441881,0.469885,0.0336255,0.131218,-0.237515,-0.421089,0.272237,-0.366956,-0.561813,-0.691867,-0.389946,-2.02752,-1.20644,-1.05082,-0.215949,-0.111124,0.471802,0.473631,0.640371,0.234051,0.23841,0.548733,-0.47809,-1.00234,-0.198227,-0.131762,-0.113664,-0.811655,-1.15326,0.241336,0.137652,0.0599873,0.15977,0.196086,0.5983,0.603316,0.144551,-0.235977,0.0271983,0.0816901,0.1041,-0.512589,-0.666361,0.219757,-1.30565,0.586961,0.338006,0.147835,-1.0657,0.508979,-0.13475,0.582852,0.201069,0.0640698,0.310644,-412.126
-420.118,0.782508,0.197065,4,31,0,469.277,0.252209,0.241461,0.682655,0.512943,0.95469,0.417957,0.64521,-0.095518,-0.335946,-0.216404,0.160923,-0.347803,-0.539195,-1.53464,-0.863807,-0.355341,0.530065,0.020702,0.0486177,-0.139123,0.915383,0.290585,0.36808,-0.172323,0.141554,-0.133931,0.151644,0.525232,-0.889209,0.350025,-0.292991,-0.331835,-0.228972,-0.582732,0.132519,0.43439,-0.498605,0.163267,-0.350313,-1.05284,-0.706894,-0.644672,0.254411,0.0316588,-0.351987,-0.385225,-0.213807,0.283254,0.547394,-0.273208,0.470127,-0.273891,0.397701,-0.35611,0.316528,0.591083,0.749569,0.235507,0.315174,0.506845,-0.176119,-0.531702,0.212775,0.00344808,0.253867,0.107891,-0.403236,0.0314583,0.0769899,0.792758,0.21404,-0.502346,0.23529,-0.0598249,-0.226895,-0.912102,-0.171367,0.194102,0.252209,0.241461,0.682655,0.512943,0.95469,0.417957,0.64521,-0.095518,-0.335946,-0.216404,0.160923,-0.347803,-0.539195,-1.53464,-0.863807,-0.355341,0.530065,0.020702,0.0486177,-0.178774,-0.139123,0.915383,0.290585,0.36808,-0.172323,0.141554,-0.133931,0.151644,0.525232,-0.889209,0.350025,-0.292991,-0.331835,-0.228972,-0.582732,0.132519,0.43439,-0.498605,0.163267,-0.202956,-411.405
-415.038,0.938421,0.197065,4,15,0,457.472,0.199982,0.223968,0.40338,-0.082421,-0.269778,0.500664,0.5388,-0.391378,-0.47329,-0.102658,-0.0710766,0.606218,-1.10113,-0.429193,0.238119,0.0308362,-0.5351,0.38787,-0.367257,-0.107584,-0.020517,-0.189132,-0.551605,0.223571,0.371326,-0.080045,0.465554,-0.187347,-0.399085,0.394108,-0.230184,0.0579892,-0.392386,0.928797,-0.402095,0.477604,0.143918,-0.464579,0.185518,-0.88989,0.0860889,-0.0777997,0.312764,-0.150909,-0.583351,-0.442926,0.517168,0.307063,0.522441,0.400244,1.16424,0.561881,0.215757,0.160896,0.231489,0.438477,0.650522,0.674686,0.207002,-0.0159307,0.275724,0.075109,-0.440389,0.365895,0.41257,0.203517,-0.0487259,-0.0914298,-0.39638,-0.536907,0.0697903,0.0300512,-0.744961,-0.308473,-0.821112,-0.381255,0.0978659,-0.391626,0.199982,0.223968,0.40338,-0.082421,-0.269778,0.500664,0.5388,-0.391378,-0.47329,-0.102658,-0.0710766,0.606218,-1.10113,-0.429193,0.238119,0.0308362,-0.5351,0.38787,-0.367257,0.69345,-0.107584,-0.020517,-0.189132,-0.551605,0.223571,0.371326,-0.080045,0.465554,-0.187347,-0.399085,0.394108,-0.230184,0.0579892,-0.392386,0.928797,-0.402095,0.477604,0.143918,-0.464579,-0.0383089,-407.843
-425.97,0.980401,0.197065,5,31,0,467.806,0.251752,0.155921,0.49465,-0.461279,-0.0770436,0.365165,0.363294,-0.439655,-0.501938,0.480376,0.0940061,-0.322577,-0.00349503,-1.42974,-0.0499827,0.568141,-0.0660137,0.496708,0.403931,-0.119804,0.394578,-0.160472,-0.03815,-0.0129218,-0.0843049,0.544184,0.0458332,-0.0502196,-0.863087,0.741284,-0.0949855,-0.0436796,-0.889287,0.503581,-0.360265,0.632606,0.188717,-0.360334,0.206812,-0.607084,0.0631902,-0.681016,-0.709662,-0.118061,-1.0634,-0.345916,0.505037,0.962757,0.308966,0.826164,0.40053,0.538122,0.697431,0.359606,0.498763,0.103775,0.950821,0.0601195,0.164997,-0.312974,-0.144004,0.162671,-0.368748,-0.11243,0.0540011,-0.144819,-0.157705,-0.357406,-0.317516,-0.637494,-0.0742516,-0.144717,-0.826722,0.110547,-1.12064,-0.857999,-0.322734,0.826906,0.251752,0.155921,0.49465,-0.461279,-0.0770436,0.365165,0.363294,-0.439655,-0.501938,0.480376,0.0940061,-0.322577,-0.00349503,-1.42974,-0.0499827,0.568141,-0.0660137,0.496708,0.403931,-0.322223,-0.119804,0.394578,-0.160472,-0.03815,-0.0129218,-0.0843049,0.544184,0.0458332,-0.0502196,-0.863087,0.741284,-0.0949855,-0.0436796,-0.889287,0.503581,-0.360265,0.632606,0.188717,-0.360334,0.0267257,-416.327
-418.935,0.945748,0.197065,4,15,0,461.501,0.281486,-0.027763,0.359188,-0.387053,-0.259341,0.288481,0.212279,-0.109402,-0.581669,0.668121,-0.142619,0.0173637,-0.123793,-1.41353,-0.128252,0.436358,0.260036,-0.0102958,0.274357,-0.0380794,0.709859,0.08776,0.362966,0.0304908,-0.185692,0.355703,0.473643,-0.171404,-1.19968,0.79021,0.0290201,-0.029085,-1.13209,0.153434,-0.114831,0.363493,0.290008,-0.429883,0.302515,-0.0174867,0.0467474,-0.23855,-0.0489902,0.0197231,-0.763312,-0.136458,0.653913,0.881896,0.407965,0.433499,0.559319,0.400237,1.04597,0.296327,0.217406,0.339396,0.781959,0.331503,0.132226,-0.489399,-0.0976765,0.224509,-0.198319,-0.0458152,0.0422442,-0.346282,0.0671135,-0.30301,0.000130777,-0.61166,0.312805,-0.527776,-0.628097,0.322659,-1.3615,-0.35911,-0.525385,0.351427,0.281486,-0.027763,0.359188,-0.387053,-0.259341,0.288481,0.212279,-0.109402,-0.581669,0.668121,-0.142619,0.0173637,-0.123793,-1.41353,-0.128252,0.436358,0.260036,-0.0102958,0.274357,0.386047,-0.0380794,0.709859,0.08776,0.362966,0.0304908,-0.185692,0.355703,0.473643,-0.171404,-1.19968,0.79021,0.0290201,-0.029085,-1.13209,0.153434,-0.114831,0.363493,0.290008,-0.429883,-0.345844,-410.114
-418.58,0.918649,0.197065,4,15,0,456.923,0.280546,0.207335,0.416761,-0.276904,0.339308,0.378113,0.252675,-0.611774,-0.866916,0.494383,-0.288903,0.0127404,-0.211405,-1.57156,0.157967,0.36856,0.359271,0.0567861,0.225276,-0.0572059,0.441942,0.251337,0.387426,-0.389879,0.162543,0.372002,-0.296865,0.614453,-0.804543,0.258594,0.386144,0.203014,-0.981311,-0.0557939,0.493181,0.258512,-0.452224,-0.650795,0.575701,0.0114679,0.22262,-0.301725,-0.129318,-0.14694,-0.856578,0.00998048,0.343503,0.365524,0.613581,0.693604,0.565521,0.206221,0.587539,0.0636654,0.238257,0.334568,0.957764,0.337218,-0.552068,-0.552647,0.189881,0.0360879,0.0206265,-0.128594,0.333531,-0.230733,-0.304827,0.234504,0.385147,-0.583599,0.0688101,-0.33805,-0.54603,-1.07505,-0.749245,-0.780796,0.33368,-0.196309,0.280546,0.207335,0.416761,-0.276904,0.339308,0.378113,0.252675,-0.611774,-0.866916,0.494383,-0.288903,0.0127404,-0.211405,-1.57156,0.157967,0.36856,0.359271,0.0567861,0.225276,0.277738,-0.0572059,0.441942,0.251337,0.387426,-0.389879,0.162543,0.372002,-0.296865,0.614453,-0.804543,0.258594,0.386144,0.203014,-0.981311,-0.0557939,0.493181,0.258512,-0.452224,-0.650795,-0.14053,-409.763
