# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/i4_h1me6.json
# init = 2 (Default)
# random
#   seed = 30407
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5ad6z0ztu/poisson_5-20250829005611_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.176613
# Diagonal elements of inverse mass matrix:
# 0.0634042, 0.0517022, 0.0529046, 0.0486285, 0.066235, 0.0629054, 0.0521916, 0.0770521, 0.0801271, 0.0663706, 0.116603, 0.0688257, 0.176107, 0.130229, 0.0885282, 0.0466196, 0.0631185, 0.0710363, 0.080103, 0.0755889, 0.0986213, 0.0878635, 0.077425, 0.0869717, 0.0918117, 0.0978882, 0.0794414, 0.103012, 0.168458, 0.0721991, 0.115156, 0.109336, 0.108025, 0.0889616, 0.165539, 0.0698017, 0.0882877, 0.10805, 0.0725379, 0.0981302, 0.0982144, 0.134846, 0.0696703, 0.0668068, 0.146122, 0.0819229, 0.0628909, 0.0571968, 0.0515115, 0.071207, 0.0580068, 0.0710715, 0.0459346, 0.0687128, 0.0541774, 0.0721034, 0.0417099, 0.0807613, 0.100662, 0.102949, 0.0789059, 0.134865, 0.0863991, 0.103839, 0.0711501, 0.110079, 0.0905208, 0.0919984, 0.120574, 0.0752358, 0.0824393, 0.124618, 0.100601, 0.0846131, 0.140172, 0.178714, 0.10794, 0.106216
-545.361,0.985693,0.176613,5,31,0,592.981,0.34102,0.218993,0.3896,0.300588,0.364927,0.454406,0.263379,-0.426291,-0.377915,-0.127514,-0.192872,0.15107,-0.311147,-0.374274,-0.749793,0.205191,-0.0260286,0.0235912,-0.432869,0.0776239,0.452502,0.502408,0.362818,0.216893,-0.12321,-0.32288,0.266177,0.308384,-1.56758,0.140017,0.0733734,-0.422498,-0.00333471,-0.0876175,-0.328656,0.427413,-0.0525351,-0.340433,0.255979,-0.370798,0.251841,-0.545362,-0.214807,-0.461254,-1.55668,-0.56682,0.231206,0.188782,1.12038,0.114247,0.690909,-0.327358,0.0403044,0.286439,0.644857,0.450464,0.997211,0.496556,-0.574543,-0.245095,-0.0136126,-0.474423,0.25407,0.304966,-0.028487,-0.367261,0.133501,-0.286514,-0.643653,0.380723,-0.113463,-0.832538,-0.0273761,0.0811896,-0.719922,-0.416435,-0.174989,0.22957,0.34102,0.218993,0.3896,0.300588,0.364927,0.454406,0.263379,-0.426291,-0.377915,-0.127514,-0.192872,0.15107,-0.311147,-0.374274,-0.749793,0.205191,-0.0260286,0.0235912,-0.432869,0.305941,0.0776239,0.452502,0.502408,0.362818,0.216893,-0.12321,-0.32288,0.266177,0.308384,-1.56758,0.140017,0.0733734,-0.422498,-0.00333471,-0.0876175,-0.328656,0.427413,-0.0525351,-0.340433,0.42114,-536.981
-541.624,0.785706,0.176613,5,31,0,579.852,-0.144585,0.359752,0.456643,0.273794,0.344501,0.00553803,0.391248,-0.361487,-0.168957,0.199281,0.0456461,0.00343982,-1.25194,-0.714409,-0.339843,0.249254,0.342147,-0.220445,0.506335,0.113859,0.219429,-0.0832168,-0.00783878,0.605315,-0.17741,-0.297925,0.30597,-0.177664,-0.470836,0.722638,-0.357411,-0.173529,-0.203775,0.174348,-0.626136,0.0347174,0.193521,0.505989,0.497435,-0.175773,-0.140815,-0.0276121,0.573185,0.368659,-0.0426722,0.152555,0.466231,0.729988,0.44726,0.817988,0.265007,0.490285,0.898072,0.306272,0.545885,0.0973619,0.618539,0.0920095,0.19705,0.137766,0.424294,-0.169026,0.0432596,-0.166676,0.410806,-0.581989,-0.0676172,0.0950776,0.0218033,-0.173975,0.242894,-1.2751,-0.283811,0.161804,0.0567233,-0.829522,-0.345912,-0.000305137,-0.144585,0.359752,0.456643,0.273794,0.344501,0.00553803,0.391248,-0.361487,-0.168957,0.199281,0.0456461,0.00343982,-1.25194,-0.714409,-0.339843,0.249254,0.342147,-0.220445,0.506335,0.0240884,0.113859,0.219429,-0.0832168,-0.00783878,0.605315,-0.17741,-0.297925,0.30597,-0.177664,-0.470836,0.722638,-0.357411,-0.173529,-0.203775,0.174348,-0.626136,0.0347174,0.193521,0.505989,-0.300044,-534.778
-544.753,0.979414,0.176613,5,31,0,580.908,0.424574,0.356894,-0.0301341,0.259007,0.461606,0.421933,0.31218,0.178626,-0.460183,-0.13207,-0.674802,0.288069,-1.08217,-0.646155,-0.189485,0.525358,0.115259,0.183097,-0.512063,0.465383,-0.115955,0.344486,-0.131494,0.103828,-0.30814,0.0121346,0.00616629,0.489793,-0.853401,-0.137478,0.195345,-0.36474,-0.381212,0.221044,-0.330901,0.812499,0.0435078,-0.586832,-0.131325,-0.379442,0.202082,-0.541212,-0.402248,0.00332502,-1.41304,-0.459714,-0.0913302,-0.00520341,0.747409,-0.173836,0.617332,-0.0964431,0.268437,0.14619,0.638379,0.112972,0.691585,0.649503,-0.261973,-0.214058,-0.25187,-0.843523,-0.11137,0.202666,-0.206141,0.338897,-0.124688,0.138815,-0.426033,0.672261,0.109787,0.114636,-0.227159,-0.300582,-1.27802,-0.916801,-0.254338,-0.35178,0.424574,0.356894,-0.0301341,0.259007,0.461606,0.421933,0.31218,0.178626,-0.460183,-0.13207,-0.674802,0.288069,-1.08217,-0.646155,-0.189485,0.525358,0.115259,0.183097,-0.512063,0.200457,0.465383,-0.115955,0.344486,-0.131494,0.103828,-0.30814,0.0121346,0.00616629,0.489793,-0.853401,-0.137478,0.195345,-0.36474,-0.381212,0.221044,-0.330901,0.812499,0.0435078,-0.586832,0.515965,-536.414
-548.456,0.984023,0.176613,5,31,0,578.985,-0.0792358,0.305938,0.805553,0.428598,0.309657,0.324639,0.527931,-0.0107063,-0.469865,-0.129657,-0.676351,0.17073,-1.24844,-0.745307,-0.288281,0.362751,0.133879,-0.15632,0.0344438,0.26623,0.605561,-0.0931696,-0.286108,0.680468,-0.124501,-0.242011,0.549694,-0.284977,-0.618928,0.720124,-0.35338,-0.36472,-0.240322,-0.091742,-0.737711,-0.102153,0.148013,0.286364,0.271973,-0.238565,0.135069,0.23467,0.542609,0.653944,-0.13696,-0.225294,0.314477,0.462868,0.493528,0.612842,0.287702,0.0191578,0.640393,-0.512258,0.00985041,0.324165,0.214979,0.130216,0.259406,-0.0845133,0.377229,-0.00220817,-0.301538,-0.364933,0.506818,-0.562372,-0.0525456,-0.395754,0.0647503,-0.0139946,0.322705,-0.920183,-0.168713,0.108481,0.0132049,-0.831354,-0.335174,-0.0311961,-0.0792358,0.305938,0.805553,0.428598,0.309657,0.324639,0.527931,-0.0107063,-0.469865,-0.129657,-0.676351,0.17073,-1.24844,-0.745307,-0.288281,0.362751,0.133879,-0.15632,0.0344438,0.400043,0.26623,0.605561,-0.0931696,-0.286108,0.680468,-0.124501,-0.242011,0.549694,-0.284977,-0.618928,0.720124,-0.35338,-0.36472,-0.240322,-0.091742,-0.737711,-0.102153,0.148013,0.286364,0.283268,-541.622
-553.846,0.995168,0.176613,5,31,0,595.008,-0.124754,-0.0793878,0.188723,0.433857,0.689568,0.536534,0.819782,-0.521236,-0.0149571,-0.105408,-0.64411,-0.0367212,-0.496169,-0.253351,-0.92805,0.406521,0.152232,0.0505956,0.027107,0.285603,0.403463,0.766436,-0.00955726,0.544677,-0.939434,-0.54484,0.449296,-0.488955,-0.376091,0.205716,0.197993,-0.420033,-0.978531,0.313404,0.0575357,0.407092,0.30133,-0.140104,0.448143,0.156788,-0.185247,-0.451577,-0.134279,0.231231,-1.00944,-0.311412,0.601581,0.73856,0.381841,0.35801,0.256326,0.373624,0.695435,0.268418,0.994258,-0.0193745,0.65215,0.371975,0.0207343,0.103384,0.429525,-0.492251,-0.205236,-0.168334,-0.0137011,-0.924373,-0.804886,0.364703,-0.347332,0.21243,-0.61915,-0.501487,-0.354485,-0.421705,-1.58723,-0.548757,-0.160072,-0.320199,-0.124754,-0.0793878,0.188723,0.433857,0.689568,0.536534,0.819782,-0.521236,-0.0149571,-0.105408,-0.64411,-0.0367212,-0.496169,-0.253351,-0.92805,0.406521,0.152232,0.0505956,0.027107,-0.100777,0.285603,0.403463,0.766436,-0.00955726,0.544677,-0.939434,-0.54484,0.449296,-0.488955,-0.376091,0.205716,0.197993,-0.420033,-0.978531,0.313404,0.0575357,0.407092,0.30133,-0.140104,-0.0350005,-544.061
-550.154,0.991522,0.176613,5,31,0,585.96,0.222378,0.340435,0.452564,0.0426188,0.248777,-0.0196522,0.048155,0.280972,-0.64952,-0.218057,0.0203458,0.25205,-1.2067,-0.545486,0.170702,-0.058604,0.0800864,-0.0148919,0.179691,0.424521,0.284019,-0.393739,-0.0448554,0.0614724,0.563188,0.120674,-0.0683757,0.710886,-0.678483,0.20001,0.156202,-0.300518,-0.18292,0.293929,-1.00041,0.462841,-0.212846,-0.203508,-0.0925213,-0.595824,0.25157,0.00822578,0.312085,0.0795016,-0.608428,-0.173756,-0.153564,0.0792897,0.85132,0.127724,0.312676,-0.265882,0.227247,0.075382,0.0131076,-0.089145,0.516997,0.0814898,-0.0852528,-0.212467,-0.0321722,-0.437153,-0.0131901,-0.0221224,0.280561,0.532359,0.550979,-0.483126,0.0658209,0.0373391,0.409157,-0.53603,-0.0669151,0.177212,0.09264,-1.0897,-0.412536,-0.126245,0.222378,0.340435,0.452564,0.0426188,0.248777,-0.0196522,0.048155,0.280972,-0.64952,-0.218057,0.0203458,0.25205,-1.2067,-0.545486,0.170702,-0.058604,0.0800864,-0.0148919,0.179691,0.37414,0.424521,0.284019,-0.393739,-0.0448554,0.0614724,0.563188,0.120674,-0.0683757,0.710886,-0.678483,0.20001,0.156202,-0.300518,-0.18292,0.293929,-1.00041,0.462841,-0.212846,-0.203508,-0.19209,-544.451
