# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bl89x3o0.json
# init = 2 (Default)
# random
#   seed = 37385
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5lurvkh70/poisson_5-20250829005603_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.198758
# Diagonal elements of inverse mass matrix:
# 0.0291572, 0.0266634, 0.024393, 0.0407671, 0.0248495, 0.0297066, 0.0247476, 0.046759, 0.0461716, 0.0355005, 0.0426277, 0.0363623, 0.0353402, 0.0471719, 0.0470137, 0.0257959, 0.039426, 0.0379254, 0.0412999, 0.0461855, 0.0639255, 0.0485366, 0.0508045, 0.0434746, 0.0572271, 0.073446, 0.0380319, 0.0480109, 0.082276, 0.0345047, 0.0452678, 0.0795558, 0.0623015, 0.0329347, 0.05792, 0.0325567, 0.0486121, 0.0546128, 0.0539741, 0.0591362, 0.0473788, 0.0398027, 0.0397548, 0.0295372, 0.0686726, 0.0407291, 0.0391998, 0.0476551, 0.0207433, 0.0276595, 0.0338783, 0.0363757, 0.0255103, 0.0474146, 0.0295725, 0.0470439, 0.0253543, 0.0302946, 0.0463753, 0.0458229, 0.0436351, 0.0593686, 0.0443037, 0.0579267, 0.0394577, 0.0678042, 0.0503811, 0.04974, 0.0797806, 0.0499207, 0.0387388, 0.0666033, 0.0576897, 0.0436428, 0.0895892, 0.0567219, 0.0714736, 0.0504442
-1027.82,0.97374,0.198758,5,31,0,1072.38,0.0818394,0.174976,0.60659,0.0587963,0.260727,0.351622,0.275309,-0.493495,-0.218602,0.000551684,-0.45268,0.0390258,0.228259,-0.281076,-0.398013,0.398812,-0.207142,-0.126603,-0.0800976,-0.12283,-0.516316,0.283286,-0.0285039,0.155362,0.0854102,-0.0463933,0.682727,0.410858,-0.475222,-0.136373,0.299225,-0.768353,-0.208992,0.213605,-0.363035,0.303274,-0.0177122,-0.257189,-0.00477904,-0.159468,0.0558252,-0.146351,-0.551077,0.680128,-0.141562,-0.169152,-0.0808487,0.0191086,0.845976,0.720587,-0.137714,0.297889,0.280343,0.454747,0.43288,0.131853,0.888748,0.319652,-0.0089404,0.132666,0.290478,-0.363268,0.053762,-0.442345,0.11221,-0.589786,0.0150455,-0.461213,-0.393335,-0.0512668,-0.235222,0.122489,-0.282025,0.119005,-0.219342,-0.814711,-0.0521439,0.145869,0.0818394,0.174976,0.60659,0.0587963,0.260727,0.351622,0.275309,-0.493495,-0.218602,0.000551684,-0.45268,0.0390258,0.228259,-0.281076,-0.398013,0.398812,-0.207142,-0.126603,-0.0800976,-0.218799,-0.12283,-0.516316,0.283286,-0.0285039,0.155362,0.0854102,-0.0463933,0.682727,0.410858,-0.475222,-0.136373,0.299225,-0.768353,-0.208992,0.213605,-0.363035,0.303274,-0.0177122,-0.257189,0.507171,-1022.98
-1027.26,0.797257,0.198758,5,31,0,1064.78,-0.18005,0.417157,0.25425,0.190494,0.184314,0.105914,0.571335,0.032849,-0.438256,-0.0963849,-0.159656,0.185839,-0.346497,-0.633226,0.165506,0.34177,0.160392,-0.242251,-0.309212,0.125592,-0.0599585,-0.0543322,0.0945274,0.228495,-0.0977468,-0.594363,-0.496784,-0.243409,-0.438409,0.76905,0.267455,-0.308799,-0.155888,0.0797859,-0.0396896,0.352926,-0.0485612,-0.0584053,0.00131215,0.0644047,0.120925,0.331605,0.546627,0.136756,-0.401017,0.039468,0.421212,0.384298,0.597755,0.495632,0.600557,0.278049,0.746874,-0.16486,0.455377,-0.0636616,0.727384,0.442401,0.0623265,-0.341649,0.0436489,-0.107207,0.174798,-0.219895,0.290127,-0.0301547,0.196076,0.329607,-0.614325,0.0444887,0.394017,-0.850847,0.0480488,0.226786,-1.13725,0.408012,-0.660132,-0.126086,-0.18005,0.417157,0.25425,0.190494,0.184314,0.105914,0.571335,0.032849,-0.438256,-0.0963849,-0.159656,0.185839,-0.346497,-0.633226,0.165506,0.34177,0.160392,-0.242251,-0.309212,-0.204287,0.125592,-0.0599585,-0.0543322,0.0945274,0.228495,-0.0977468,-0.594363,-0.496784,-0.243409,-0.438409,0.76905,0.267455,-0.308799,-0.155888,0.0797859,-0.0396896,0.352926,-0.0485612,-0.0584053,0.678515,-1021.85
-1016.98,1,0.198758,4,15,0,1057.86,-0.174961,0.514311,0.410519,0.182312,0.116201,0.0946534,0.401789,-0.0631058,-0.448506,-0.101121,-0.0600981,0.362612,-0.379557,-0.4752,0.0403274,0.350894,-0.0549034,-0.219917,-0.29556,0.0100636,-0.0302209,0.158026,-0.0173019,0.307817,0.0340957,-0.501886,-0.169497,-0.0568463,-0.160474,0.608706,0.226698,-0.365449,-0.355113,0.0196018,0.170131,0.441246,-0.148234,0.0109065,0.311683,-0.128754,0.0755255,0.342393,0.355597,0.380135,-0.428833,-0.0152578,0.35899,0.134935,0.869829,0.688263,0.635233,0.337476,0.871024,-0.157986,0.32158,0.0943553,0.833183,0.608621,0.0196944,-0.380792,-0.135905,-0.401938,-0.0546477,-0.157239,0.215788,-0.192981,0.209119,0.242451,-0.695525,0.227837,-0.0122813,-0.799279,-0.14748,0.197198,-1.0724,0.0966235,-0.397929,-0.275873,-0.174961,0.514311,0.410519,0.182312,0.116201,0.0946534,0.401789,-0.0631058,-0.448506,-0.101121,-0.0600981,0.362612,-0.379557,-0.4752,0.0403274,0.350894,-0.0549034,-0.219917,-0.29556,-0.200689,0.0100636,-0.0302209,0.158026,-0.0173019,0.307817,0.0340957,-0.501886,-0.169497,-0.0568463,-0.160474,0.608706,0.226698,-0.365449,-0.355113,0.0196018,0.170131,0.441246,-0.148234,0.0109065,-0.18227,-1011.61
-1023.14,0.976491,0.198758,4,15,0,1056.24,-0.180889,0.456259,0.411074,0.0756419,0.179998,0.452069,0.33641,-0.402687,-0.319781,-0.319027,-0.32271,-0.0291415,0.172538,-0.043027,-0.141155,0.463144,0.0202304,-0.538685,-0.00294022,-0.309299,-0.246848,0.136089,0.483848,0.616077,0.369727,-0.446505,-0.149691,-0.190841,-0.667796,0.626296,0.350509,-0.0698287,-0.379819,0.184758,-0.510537,0.453811,-0.430428,0.0841944,0.22901,0.249834,0.241349,0.428803,0.0789052,0.314341,-0.177211,-0.353102,0.102618,0.168654,0.611595,0.623471,0.227547,0.349668,0.379548,-0.256811,0.421296,0.349881,0.726195,0.2058,-0.0965257,-0.10484,0.290221,-0.728429,0.237217,-0.0946667,0.0453374,-0.694636,0.0790046,0.234921,-0.50509,-0.254588,0.267035,-0.763144,-0.359469,0.104391,-0.467676,-0.493449,-0.547228,0.0999427,-0.180889,0.456259,0.411074,0.0756419,0.179998,0.452069,0.33641,-0.402687,-0.319781,-0.319027,-0.32271,-0.0291415,0.172538,-0.043027,-0.141155,0.463144,0.0202304,-0.538685,-0.00294022,-0.26732,-0.309299,-0.246848,0.136089,0.483848,0.616077,0.369727,-0.446505,-0.149691,-0.190841,-0.667796,0.626296,0.350509,-0.0698287,-0.379819,0.184758,-0.510537,0.453811,-0.430428,0.0841944,0.0962834,-1017.85
-1023.78,0.895947,0.198758,5,31,0,1066,0.256537,0.345017,0.202036,-0.0117609,0.47262,0.372691,0.348443,-0.249258,-0.608058,0.0493173,-0.5707,0.19069,-0.495843,-0.520249,-0.13645,0.648294,0.0800685,0.0666024,-0.139079,0.5959,-0.386192,0.360423,-0.118992,0.174943,0.0429205,-0.291324,0.379511,0.000559678,-0.625766,0.159701,0.584477,-0.127786,-0.0406749,0.139587,-0.605297,0.17103,0.186617,-0.753263,-0.235014,-0.386086,0.0813355,0.136894,0.219843,0.59283,-0.280881,-0.501563,-0.248277,0.171068,0.799193,0.643751,0.149632,0.266523,0.512181,-0.0496598,0.83147,-0.141032,0.779687,0.57664,-0.261357,0.24611,0.0353668,0.0606591,-0.0447021,-0.0887771,0.427745,-0.566496,0.349449,-0.162051,-0.395203,0.146179,0.210355,-0.398433,-0.102824,0.353513,-0.491128,-0.197683,-0.245454,-0.121367,0.256537,0.345017,0.202036,-0.0117609,0.47262,0.372691,0.348443,-0.249258,-0.608058,0.0493173,-0.5707,0.19069,-0.495843,-0.520249,-0.13645,0.648294,0.0800685,0.0666024,-0.139079,-0.300918,0.5959,-0.386192,0.360423,-0.118992,0.174943,0.0429205,-0.291324,0.379511,0.000559678,-0.625766,0.159701,0.584477,-0.127786,-0.0406749,0.139587,-0.605297,0.17103,0.186617,-0.753263,0.153625,-1018.3
-1022.66,0.998055,0.198758,5,31,0,1057.55,-0.21732,0.549581,0.565676,0.140299,-0.0548897,0.0584328,0.46194,-0.40159,-0.0297298,-0.130746,-0.303543,0.107765,0.172825,-0.192174,-0.105701,0.0835963,-0.278398,-0.342865,0.183477,-0.631348,-0.0535532,-0.163414,0.248564,0.196865,-0.154207,-0.425584,0.103344,0.0394746,-0.238163,0.430595,-0.098818,-0.505053,-0.361845,0.408252,0.277743,0.513339,-0.224672,0.451516,0.0109877,0.0808202,-0.0127893,-0.143061,-0.169535,0.232856,-0.227495,0.175742,0.543537,0.260822,0.628749,0.497167,0.308196,0.284384,0.514822,0.428455,0.12722,0.28323,0.75877,0.24488,0.261265,-0.433226,0.31164,-0.469868,0.348098,-0.203905,0.115518,-0.0597716,-0.0972956,0.143903,-0.671578,-0.0975417,-0.421097,-0.370507,-0.16055,-0.114344,-0.794015,0.00618159,-0.40895,0.0729932,-0.21732,0.549581,0.565676,0.140299,-0.0548897,0.0584328,0.46194,-0.40159,-0.0297298,-0.130746,-0.303543,0.107765,0.172825,-0.192174,-0.105701,0.0835963,-0.278398,-0.342865,0.183477,-0.266636,-0.631348,-0.0535532,-0.163414,0.248564,0.196865,-0.154207,-0.425584,0.103344,0.0394746,-0.238163,0.430595,-0.098818,-0.505053,-0.361845,0.408252,0.277743,0.513339,-0.224672,0.451516,0.186962,-1018.35
