# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/18b9ouqe.json
# init = 2 (Default)
# random
#   seed = 77084
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5pqg8zpci/poisson_5-20250829005606_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.143681
# Diagonal elements of inverse mass matrix:
# 0.198516, 0.46424, 0.531204, 0.233551, 0.341059, 0.318349, 0.212472, 0.510048, 0.366065, 0.433845, 0.269917, 0.209599, 0.421039, 0.457193, 0.355811, 0.301739, 0.224708, 0.340779, 0.266063, 0.288744, 0.575505, 0.510251, 0.400958, 0.517338, 0.455817, 0.275063, 0.300699, 0.33333, 0.580838, 0.293226, 0.385122, 0.294522, 0.435756, 0.253306, 0.336033, 0.303668, 0.609819, 0.306301, 0.489828, 0.328056, 0.290526, 0.541806, 0.24117, 0.278618, 0.563552, 0.306391, 0.381679, 0.257626, 0.358387, 0.464379, 0.457978, 0.263257, 0.263346, 0.410991, 0.402031, 0.22514, 0.253151, 0.258634, 0.511051, 0.371256, 0.271949, 0.564651, 0.318284, 0.57702, 0.55802, 0.282347, 0.240757, 0.285851, 0.468897, 0.364663, 0.502405, 0.393624, 0.411084, 0.491019, 0.686186, 0.407599, 0.362857, 0.280051
-156.227,0.97067,0.143681,5,31,0,200.469,0.654284,-0.041333,-0.92365,1.09507,1.35431,-0.551197,1.09015,-0.630918,0.137302,0.618846,0.810249,-0.105865,-1.24819,-0.864466,-0.859582,-1.0866,0.408809,0.189993,0.912943,0.679635,1.55201,-0.88555,0.32553,-0.677663,-2.08422,0.254175,0.468275,1.27881,0.764335,0.275234,-0.807845,0.62895,0.289247,-0.618307,-0.0440355,-0.582754,-0.414514,0.359764,-0.221257,-0.145207,0.296258,0.427809,1.21923,-0.217313,0.47859,-0.386049,0.881042,-0.563675,0.315912,0.308299,0.0928798,-0.652561,0.629079,-0.230869,-0.633355,0.268008,0.125917,-0.167344,1.3495,-0.221139,-0.490192,-0.757038,-1.38442,0.515231,0.013113,-0.557599,0.548157,0.0804991,-0.535938,0.201275,-0.939009,-0.528902,-1.10594,1.29139,-2.35375,-0.759724,-0.106376,-0.358169,0.654284,-0.041333,-0.92365,1.09507,1.35431,-0.551197,1.09015,-0.630918,0.137302,0.618846,0.810249,-0.105865,-1.24819,-0.864466,-0.859582,-1.0866,0.408809,0.189993,0.912943,-0.960154,0.679635,1.55201,-0.88555,0.32553,-0.677663,-2.08422,0.254175,0.468275,1.27881,0.764335,0.275234,-0.807845,0.62895,0.289247,-0.618307,-0.0440355,-0.582754,-0.414514,0.359764,-0.76106,-132.777
-152.155,0.973733,0.143681,5,31,0,188.417,-0.0901096,-0.354218,-0.670277,0.747657,1.14546,0.0179082,0.296252,0.143615,-0.953838,-0.365671,-0.51691,-0.384124,-0.69734,-0.652897,-0.507589,0.728282,-0.0467473,0.153537,0.671805,0.214451,-0.997488,-0.578538,-0.795929,0.0459826,-0.118036,-0.322062,0.600107,0.593853,-1.94671,0.929054,-0.0932284,-0.914003,0.434443,0.708347,-0.36805,0.464848,0.868639,-0.039732,-0.191489,0.624184,-0.101313,-0.0298602,-0.558169,0.157032,-1.8835,0.18686,-0.696555,0.397235,0.340089,0.327058,0.35019,0.951858,1.44497,1.12204,0.436421,0.0370464,0.266448,0.599422,-1.44062,-0.924471,0.390501,-1.44434,0.541395,-2.43584,-0.926228,0.0383746,0.0268514,-0.000556109,0.00591029,-0.539692,0.821044,0.0873495,-0.459315,-2.01628,1.36954,-0.475555,-0.0529301,0.15071,-0.0901096,-0.354218,-0.670277,0.747657,1.14546,0.0179082,0.296252,0.143615,-0.953838,-0.365671,-0.51691,-0.384124,-0.69734,-0.652897,-0.507589,0.728282,-0.0467473,0.153537,0.671805,1.33521,0.214451,-0.997488,-0.578538,-0.795929,0.0459826,-0.118036,-0.322062,0.600107,0.593853,-1.94671,0.929054,-0.0932284,-0.914003,0.434443,0.708347,-0.36805,0.464848,0.868639,-0.039732,1.31405,-129.061
-148.041,0.970465,0.143681,5,31,0,187.369,0.0933602,0.58556,-1.02024,0.790982,1.2464,-0.587557,0.243573,-0.704494,-0.178776,1.42366,-0.685261,-0.0291819,-1.17716,-0.548698,-0.307955,-1.18514,0.549997,0.0989503,0.859138,0.0372455,0.531088,0.863536,0.0802805,0.76388,-1.92801,0.166883,0.246557,0.755457,0.654205,-0.0146202,-0.342766,0.512039,0.102361,-1.03958,-0.233167,-0.478677,-0.521018,-0.389927,-0.956326,-0.417157,0.637555,-0.295804,0.89569,0.278053,-0.581516,0.138921,-0.252619,0.259734,0.0549975,0.0824281,-0.81181,-0.0603189,0.470304,-1.29199,-0.638971,0.299204,0.277321,0.4078,0.888519,-0.814359,0.195901,-0.285297,-0.347117,0.0404133,-0.638281,-0.578194,0.610746,-0.274986,-1.02066,0.539675,-0.777133,-0.218243,-0.757818,0.838447,-2.54998,0.0843555,0.596367,-0.129345,0.0933602,0.58556,-1.02024,0.790982,1.2464,-0.587557,0.243573,-0.704494,-0.178776,1.42366,-0.685261,-0.0291819,-1.17716,-0.548698,-0.307955,-1.18514,0.549997,0.0989503,0.859138,0.532843,0.0372455,0.531088,0.863536,0.0802805,0.76388,-1.92801,0.166883,0.246557,0.755457,0.654205,-0.0146202,-0.342766,0.512039,0.102361,-1.03958,-0.233167,-0.478677,-0.521018,-0.389927,0.234231,-128.479
-151.506,0.941525,0.143681,5,31,0,190.973,-0.263582,0.197469,-0.645933,0.568341,1.53172,-0.140967,0.13801,-0.945916,-0.703204,-0.384453,-0.319454,-0.196575,-0.624546,-1.04896,-0.789885,0.661466,-0.466355,0.937221,0.286029,0.183633,-0.423666,-1.39998,-0.405965,-1.21511,0.342516,0.569806,1.0248,1.1554,-2.06782,0.774363,-0.0756271,-0.610797,-0.0733004,0.191388,-0.41497,0.590584,0.813038,0.468701,-1.00675,0.844989,-0.00938855,-0.756389,0.457537,-0.767142,-1.82358,-0.25567,-0.251376,0.281944,0.944803,-0.0145649,0.541912,0.571831,1.56302,1.1904,-0.424155,-0.0129684,0.573506,0.975842,-0.759063,-0.413104,0.198668,0.180848,0.0442111,-1.92032,-0.762319,0.801207,0.291841,-0.424899,-0.949789,-0.836909,0.111801,-0.42646,-0.825307,-0.823066,0.716794,-1.23416,-0.88797,-0.233032,-0.263582,0.197469,-0.645933,0.568341,1.53172,-0.140967,0.13801,-0.945916,-0.703204,-0.384453,-0.319454,-0.196575,-0.624546,-1.04896,-0.789885,0.661466,-0.466355,0.937221,0.286029,2.20957,0.183633,-0.423666,-1.39998,-0.405965,-1.21511,0.342516,0.569806,1.0248,1.1554,-2.06782,0.774363,-0.0756271,-0.610797,-0.0733004,0.191388,-0.41497,0.590584,0.813038,0.468701,0.57302,-127.767
-158.915,0.977983,0.143681,5,31,0,196.005,0.711656,-0.217868,-0.910453,0.746894,0.0794193,-0.727195,0.592292,-0.173687,-0.0571096,1.75706,0.162632,-0.14399,-1.50562,-0.409225,-0.638812,-1.46117,0.983652,0.253104,0.450846,-0.281806,-0.341317,0.25745,0.0801233,0.212212,-2.43945,-0.0874862,-0.479851,1.41244,0.651337,-0.338111,0.142053,0.470157,0.888939,-0.517484,0.150814,-0.3213,0.331315,-0.56883,-0.565893,-0.969773,0.309032,-0.926649,1.36701,0.952946,-0.159226,0.557483,0.38202,0.254248,0.762684,0.204542,-0.569609,-1.30672,0.564884,-0.650094,-0.330618,0.203938,0.0425456,-0.194495,0.592424,-0.690699,0.0755187,-2.21259,-0.579817,-0.604445,-0.323612,-0.150139,0.103581,-0.354547,-0.482159,0.945767,-0.53765,0.592154,-1.4209,0.041734,-2.29636,0.300245,0.0315158,0.163976,0.711656,-0.217868,-0.910453,0.746894,0.0794193,-0.727195,0.592292,-0.173687,-0.0571096,1.75706,0.162632,-0.14399,-1.50562,-0.409225,-0.638812,-1.46117,0.983652,0.253104,0.450846,0.507571,-0.281806,-0.341317,0.25745,0.0801233,0.212212,-2.43945,-0.0874862,-0.479851,1.41244,0.651337,-0.338111,0.142053,0.470157,0.888939,-0.517484,0.150814,-0.3213,0.331315,-0.56883,0.778799,-134.865
-160.482,0.986754,0.143681,5,31,0,198.497,0.908661,-0.718676,-0.416225,1.41891,0.0824901,-1.0296,0.34272,-1.60204,-0.447893,1.32484,-0.0874702,-0.243857,-1.06069,0.120355,0.697553,-1.78211,0.879349,-0.0418243,0.774291,0.0936481,0.207648,0.331431,-0.24611,0.123726,-2.16592,-0.135972,-0.403236,1.33132,0.380053,-0.756525,1.09936,0.438386,0.821823,0.055441,0.0053958,-0.422546,-0.552572,-0.168038,-0.439445,-0.747286,-0.107732,-1.01716,1.31779,0.592019,-0.609717,0.578943,-0.413197,0.212033,1.25019,0.293868,-1.07232,-1.37337,0.918555,-0.3413,-0.792116,-0.0999256,-0.219811,0.251862,0.399205,-0.65904,-0.225373,-2.25215,-0.811685,-1.23015,-0.984498,0.266278,-0.102007,-0.0646882,-0.0136907,0.37671,-0.578344,0.657669,-0.991769,0.467137,-1.39498,-0.0636463,0.120441,0.291005,0.908661,-0.718676,-0.416225,1.41891,0.0824901,-1.0296,0.34272,-1.60204,-0.447893,1.32484,-0.0874702,-0.243857,-1.06069,0.120355,0.697553,-1.78211,0.879349,-0.0418243,0.774291,0.881223,0.0936481,0.207648,0.331431,-0.24611,0.123726,-2.16592,-0.135972,-0.403236,1.33132,0.380053,-0.756525,1.09936,0.438386,0.821823,0.055441,0.0053958,-0.422546,-0.552572,-0.168038,-0.0373228,-135.494
