# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/hf5by519.json
# init = 2 (Default)
# random
#   seed = 67355
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5hv8_zlnk/poisson_5-20250829005617_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.18175
# Diagonal elements of inverse mass matrix:
# 0.09974, 0.219031, 0.0921203, 0.11665, 0.0961364, 0.231552, 0.151532, 0.218756, 0.13541, 0.154638, 0.136027, 0.225405, 0.131466, 0.161836, 0.137298, 0.146251, 0.154441, 0.135118, 0.15733, 0.198079, 0.195492, 0.321936, 0.216425, 0.179006, 0.176309, 0.198237, 0.204247, 0.15488, 0.135401, 0.201359, 0.180598, 0.187298, 0.258148, 0.206719, 0.105278, 0.198865, 0.220718, 0.101725, 0.163851, 0.113903, 0.186884, 0.201702, 0.250066, 0.180949, 0.106785, 0.207252, 0.160782, 0.158628, 0.200992, 0.105056, 0.126221, 0.203422, 0.125882, 0.14007, 0.176989, 0.131789, 0.109333, 0.122708, 0.152882, 0.195728, 0.151624, 0.243333, 0.137772, 0.185946, 0.239623, 0.135467, 0.148688, 0.310577, 0.137558, 0.157023, 0.210457, 0.275239, 0.20261, 0.282988, 0.150326, 0.267592, 0.234867, 0.144932
-302.528,0.96632,0.18175,5,31,0,339.845,-0.171238,-1.64857,0.300598,0.642302,0.482534,-1.20197,0.453477,-0.615328,-0.221761,0.38262,0.0143583,-0.744397,-0.144409,0.0961417,-0.230607,0.342741,0.0260628,1.15589,0.576402,-0.335425,-0.549539,-0.881137,0.10328,0.314276,0.633514,0.873253,-0.82463,0.161343,1.04229,-0.0013001,0.644709,0.208236,-0.613591,-0.806486,0.224474,-0.318423,0.341795,0.505804,0.193606,1.43668,0.536569,0.514878,-0.969326,-1.15299,0.624852,-0.698847,0.084727,-0.320345,0.052599,0.489461,1.17227,0.985708,0.358443,0.627238,-0.321339,0.550068,-0.290179,0.293973,-0.627466,-0.233387,0.358209,-0.507337,0.93655,-0.46399,-1.4185,0.163178,0.263654,-1.0663,0.464071,0.0444765,-0.184035,-0.756777,-0.00392133,-1.29969,-0.420153,-0.566518,-0.333844,0.391366,-0.171238,-1.64857,0.300598,0.642302,0.482534,-1.20197,0.453477,-0.615328,-0.221761,0.38262,0.0143583,-0.744397,-0.144409,0.0961417,-0.230607,0.342741,0.0260628,1.15589,0.576402,0.505154,-0.335425,-0.549539,-0.881137,0.10328,0.314276,0.633514,0.873253,-0.82463,0.161343,1.04229,-0.0013001,0.644709,0.208236,-0.613591,-0.806486,0.224474,-0.318423,0.341795,0.505804,-0.722447,-286.306
-294.574,0.722764,0.18175,4,15,0,339.139,-0.156415,-1.74043,0.254043,0.455929,0.24987,-0.804518,0.576536,-0.245459,0.390943,0.363457,-0.275328,0.158863,-0.0449257,0.861882,-0.114675,0.116511,0.307913,0.0900058,0.0251752,-0.678356,-0.496758,-1.70222,0.10744,0.255695,0.671354,-0.293152,-0.964089,0.527276,1.00476,-0.0598912,0.588126,0.663355,0.179971,-0.52226,0.357732,-0.188161,0.511373,1.08535,0.310745,1.04078,0.657592,0.515211,-0.857273,-1.38827,0.406818,-0.934049,-0.14662,-1.06391,-0.150966,0.579822,0.80969,0.546491,0.405429,0.345767,-0.838395,0.0682038,-0.236152,0.129799,0.118363,0.0856687,0.247119,0.0330041,0.177255,-0.77322,-1.08038,0.230939,-0.0664356,-1.37134,0.920712,-0.0696962,0.00723525,-0.436799,-0.0371983,-1.40807,-0.420828,-0.527773,-0.410976,0.136243,-0.156415,-1.74043,0.254043,0.455929,0.24987,-0.804518,0.576536,-0.245459,0.390943,0.363457,-0.275328,0.158863,-0.0449257,0.861882,-0.114675,0.116511,0.307913,0.0900058,0.0251752,-0.469377,-0.678356,-0.496758,-1.70222,0.10744,0.255695,0.671354,-0.293152,-0.964089,0.527276,1.00476,-0.0598912,0.588126,0.663355,0.179971,-0.52226,0.357732,-0.188161,0.511373,1.08535,-1.04754,-278.864
-287.89,0.938272,0.18175,5,31,0,335.257,0.399278,-0.222962,0.246361,0.456932,0.323836,-0.484672,0.140238,-0.350268,-0.195803,0.770687,0.26546,-0.637778,0.768624,-0.0728142,0.426714,0.18696,-0.396902,-0.474142,-0.876814,-0.889319,0.243412,-0.376706,0.138682,0.474014,0.894762,-0.297568,-0.0615398,-0.284194,0.727724,-0.0987008,0.50701,0.847102,0.501128,-0.268172,0.973901,-1.0851,-0.933102,0.209302,0.54737,0.506454,-0.027637,-0.0244997,-0.962971,-0.916554,0.332874,-0.665306,-0.684892,0.453431,0.0804908,0.336352,0.27903,-0.447204,0.723059,0.0661187,-0.935279,0.129587,0.154703,0.439318,0.50289,-0.496674,-0.107243,-0.600927,0.122343,-0.787778,-0.947726,0.81713,0.0598739,-0.0430274,0.026974,0.37102,-0.722873,-1.44422,0.989431,-0.0587267,0.0370969,-0.0882717,-0.156469,0.33526,0.399278,-0.222962,0.246361,0.456932,0.323836,-0.484672,0.140238,-0.350268,-0.195803,0.770687,0.26546,-0.637778,0.768624,-0.0728142,0.426714,0.18696,-0.396902,-0.474142,-0.876814,-0.272935,-0.889319,0.243412,-0.376706,0.138682,0.474014,0.894762,-0.297568,-0.0615398,-0.284194,0.727724,-0.0987008,0.50701,0.847102,0.501128,-0.268172,0.973901,-1.0851,-0.933102,0.209302,-1.22264,-276.059
-292.604,0.945948,0.18175,4,31,0,325.636,0.213906,-0.317391,0.651227,-0.196541,0.39998,-0.87453,0.430852,-0.502543,-0.131877,0.256787,0.0656383,-0.0844469,0.848499,-0.128877,0.278155,-0.10086,-0.105986,-0.483697,-0.365262,-0.8919,-0.0390647,-0.793517,0.600868,1.12891,0.784835,-0.250474,0.333288,-0.893164,0.731065,-0.865114,0.794997,0.517157,0.114406,-0.12351,0.955832,-0.374726,-0.997257,0.0952687,0.604455,0.673775,-0.758926,0.58359,-1.00668,-0.552973,0.688375,-0.397862,-0.843414,0.421606,0.197855,0.452921,0.390371,-0.843165,0.422835,-0.544977,-0.322907,-0.04813,0.228625,0.413144,0.196958,-0.474479,-0.285184,-0.573011,0.308592,-0.659548,-0.871184,0.540272,-0.386126,-0.17595,-0.260602,0.37617,-0.24882,-0.832095,0.620693,-0.418192,0.292954,-0.462581,0.118993,0.450951,0.213906,-0.317391,0.651227,-0.196541,0.39998,-0.87453,0.430852,-0.502543,-0.131877,0.256787,0.0656383,-0.0844469,0.848499,-0.128877,0.278155,-0.10086,-0.105986,-0.483697,-0.365262,0.146968,-0.8919,-0.0390647,-0.793517,0.600868,1.12891,0.784835,-0.250474,0.333288,-0.893164,0.731065,-0.865114,0.794997,0.517157,0.114406,-0.12351,0.955832,-0.374726,-0.997257,0.0952687,-0.827899,-281.028
-291.391,0.994402,0.18175,4,31,0,328.117,0.0305726,-1.10528,0.116286,0.251313,0.635744,-1.14834,-0.0721419,-0.0735765,0.164595,0.892927,0.298184,-0.907671,0.658008,-0.0579591,0.367109,0.428915,0.152152,-0.72169,-0.561807,-1.34124,-0.0609719,-1.06843,-0.709688,0.502334,0.671944,0.0813508,0.460972,0.559398,0.321193,-0.277695,0.594978,0.0871362,-0.381961,0.648903,0.780793,-0.00490131,-0.37559,0.390662,0.676383,0.830396,-0.788014,-0.317159,-0.230107,-0.0937352,0.847198,-0.300894,-0.371564,1.0804,-0.737826,0.204949,0.655416,-1.07506,0.445334,0.236484,-0.0112956,0.733586,0.89876,0.144666,0.752046,-0.290989,0.437572,0.509807,0.556245,-0.641167,-1.00536,0.970563,0.592365,-0.275283,-0.211364,0.549265,-0.342974,-1.83247,0.800023,-0.58116,-0.168356,-0.228818,0.206502,0.193853,0.0305726,-1.10528,0.116286,0.251313,0.635744,-1.14834,-0.0721419,-0.0735765,0.164595,0.892927,0.298184,-0.907671,0.658008,-0.0579591,0.367109,0.428915,0.152152,-0.72169,-0.561807,0.652663,-1.34124,-0.0609719,-1.06843,-0.709688,0.502334,0.671944,0.0813508,0.460972,0.559398,0.321193,-0.277695,0.594978,0.0871362,-0.381961,0.648903,0.780793,-0.00490131,-0.37559,0.390662,-0.879192,-276.351
-293.636,0.976305,0.18175,5,31,0,335.053,0.695333,-0.0679774,0.213639,0.654387,0.176987,-0.977324,0.564098,-1.21803,-0.0441847,-0.519711,-0.0633546,-0.563909,0.00921511,0.215514,-0.201442,0.13177,-0.185869,0.280582,0.589436,-0.67318,0.359812,-0.966511,0.777128,0.273198,0.737832,-1.06586,-0.283956,-0.025978,0.145926,0.496231,1.03269,0.205046,0.140034,-0.919271,0.22239,-0.66471,-0.346564,0.726937,0.503761,0.568325,0.39676,0.52747,-1.22756,-0.39258,0.00932711,-0.0894154,0.582842,-0.404933,0.144785,0.443266,0.59986,1.16194,-0.212555,0.281559,-0.5378,-0.484424,0.510399,0.364312,-0.175967,0.030854,0.652014,-0.796863,-0.307645,-0.0025074,-0.785431,0.458729,-0.478041,-1.88292,0.253006,-0.385477,-0.056569,-0.84423,-1.36678,-0.132759,0.217834,-1.05397,-0.398464,0.291453,0.695333,-0.0679774,0.213639,0.654387,0.176987,-0.977324,0.564098,-1.21803,-0.0441847,-0.519711,-0.0633546,-0.563909,0.00921511,0.215514,-0.201442,0.13177,-0.185869,0.280582,0.589436,0.310842,-0.67318,0.359812,-0.966511,0.777128,0.273198,0.737832,-1.06586,-0.283956,-0.025978,0.145926,0.496231,1.03269,0.205046,0.140034,-0.919271,0.22239,-0.66471,-0.346564,0.726937,-0.171194,-279.434
