# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/du6j1bxg.json
# init = 2 (Default)
# random
#   seed = 43711
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5cq1vj3t8/poisson_5-20250829005619_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.191946
# Diagonal elements of inverse mass matrix:
# 0.0763145, 0.145634, 0.0708753, 0.0543039, 0.091143, 0.128724, 0.0948093, 0.161916, 0.0659566, 0.0797923, 0.103017, 0.171124, 0.065835, 0.0734321, 0.0742151, 0.116118, 0.0942992, 0.135668, 0.102052, 0.131546, 0.100739, 0.28128, 0.126843, 0.134605, 0.100815, 0.0985575, 0.142356, 0.142989, 0.0829863, 0.13153, 0.0973467, 0.116854, 0.0978207, 0.128487, 0.0840483, 0.167074, 0.177287, 0.0750017, 0.0801037, 0.066271, 0.173, 0.141985, 0.139975, 0.13029, 0.0809516, 0.15287, 0.105815, 0.0726458, 0.167677, 0.0758609, 0.0807597, 0.0956365, 0.0910377, 0.0757557, 0.121114, 0.0972673, 0.0675266, 0.112201, 0.0917664, 0.125863, 0.0920688, 0.181877, 0.0905664, 0.101495, 0.162105, 0.0987357, 0.147743, 0.184144, 0.133031, 0.140001, 0.101376, 0.227862, 0.146927, 0.161184, 0.171592, 0.168824, 0.116034, 0.114152
-411.454,0.763332,0.191946,5,31,0,458.482,0.692704,-0.261178,0.601448,0.260439,0.0240257,-0.354222,0.408367,-1.24424,0.0822014,0.0102942,-0.132314,-0.0109024,0.576886,0.441437,0.0265132,-0.224157,-0.443755,-0.938485,0.134719,-0.692231,0.36731,-1.04544,-0.300751,0.440994,0.34865,0.286635,0.361318,0.0921141,0.46915,-0.0237497,-0.0728803,0.130311,0.400487,-0.636362,1.03682,0.159123,-0.436969,0.526476,0.670382,0.515137,-0.100017,-0.404865,0.09175,0.410326,0.0124267,-1.36454,0.157883,0.206276,0.0838821,0.563664,0.600668,0.698111,0.258529,0.398237,-0.619338,0.217111,0.303047,0.128696,0.235929,-0.93853,-0.103223,-0.492378,0.308312,-0.813889,-0.714189,0.555571,0.360901,-0.587146,-0.299318,-0.214106,0.433731,-0.668408,0.139592,-0.554909,-0.0327687,-0.152599,-0.230712,0.129848,0.692704,-0.261178,0.601448,0.260439,0.0240257,-0.354222,0.408367,-1.24424,0.0822014,0.0102942,-0.132314,-0.0109024,0.576886,0.441437,0.0265132,-0.224157,-0.443755,-0.938485,0.134719,0.350222,-0.692231,0.36731,-1.04544,-0.300751,0.440994,0.34865,0.286635,0.361318,0.0921141,0.46915,-0.0237497,-0.0728803,0.130311,0.400487,-0.636362,1.03682,0.159123,-0.436969,0.526476,-1.411,-402.157
-419.526,0.794657,0.191946,5,63,0,456.508,-0.189237,-0.43368,0.51229,0.627852,0.839075,-0.173425,-0.0614674,-0.320198,0.151389,0.021041,0.11941,-1.68484,0.512671,-0.217881,0.551184,0.367312,0.063908,0.201389,-0.575396,-0.124653,0.580652,-1.22738,0.400893,-0.499949,0.40079,0.231357,-0.552812,-0.791821,0.0365574,0.192425,0.720225,0.51173,0.447229,0.24717,-0.230533,-0.208956,-0.546343,1.11358,0.115275,0.731912,-0.502611,0.0266327,-0.669302,-0.868456,0.531001,-0.0435137,0.156436,0.580411,-0.38802,0.339833,0.380005,0.506289,0.36162,0.070016,0.199889,0.317899,0.950646,-0.019937,0.501416,0.348726,0.441575,-0.538163,-0.428854,0.114168,-0.342785,0.371371,-0.603303,-0.773234,0.209979,0.0606629,0.269471,-1.3452,-0.586571,0.0613094,-0.440107,-0.445645,0.0996053,-0.0647342,-0.189237,-0.43368,0.51229,0.627852,0.839075,-0.173425,-0.0614674,-0.320198,0.151389,0.021041,0.11941,-1.68484,0.512671,-0.217881,0.551184,0.367312,0.063908,0.201389,-0.575396,-0.311398,-0.124653,0.580652,-1.22738,0.400893,-0.499949,0.40079,0.231357,-0.552812,-0.791821,0.0365574,0.192425,0.720225,0.51173,0.447229,0.24717,-0.230533,-0.208956,-0.546343,1.11358,-0.700163,-408.873
-419.646,0.945586,0.191946,5,31,0,462.383,0.104925,-0.524003,0.477796,0.388827,0.578212,0.0302717,0.0674539,-0.939536,0.143778,-0.0253679,0.0526131,-1.55624,0.371971,-0.0594881,0.476451,0.141383,-0.297838,0.0966497,-0.267571,-0.338153,0.815301,-0.915487,0.317479,-0.0666858,-0.0346486,9.46824e-05,-0.694412,-0.0946439,0.140561,0.178362,0.566437,0.237218,0.565398,0.134078,-0.547319,0.237837,-0.853257,0.661769,0.101914,0.67337,-0.0970436,0.147762,-0.278064,-0.914333,0.473641,0.583977,0.187361,0.639239,-0.37524,0.710957,0.215967,0.512973,0.786048,0.0695842,0.164517,0.15933,0.735879,-0.0737162,0.479361,0.399593,0.217003,-0.273027,-0.330002,-0.34356,-0.664674,0.295704,0.0276642,-0.43526,-0.147339,-0.389061,0.291357,-1.43138,-0.937679,-0.18418,0.0525923,-0.219146,-0.229932,0.427943,0.104925,-0.524003,0.477796,0.388827,0.578212,0.0302717,0.0674539,-0.939536,0.143778,-0.0253679,0.0526131,-1.55624,0.371971,-0.0594881,0.476451,0.141383,-0.297838,0.0966497,-0.267571,0.739714,-0.338153,0.815301,-0.915487,0.317479,-0.0666858,-0.0346486,9.46824e-05,-0.694412,-0.0946439,0.140561,0.178362,0.566437,0.237218,0.565398,0.134078,-0.547319,0.237837,-0.853257,0.661769,-0.309929,-410.169
-422.89,0.990211,0.191946,5,31,0,462.718,0.343535,0.205031,0.881717,0.88977,0.183369,-0.457897,-0.0688074,-1.10923,0.662432,-1.78518e-06,-0.125052,-1.729,0.187299,0.287542,-0.133571,0.11689,-0.487036,0.0134273,0.216952,-0.0449947,0.219381,-1.32546,-1.30654,0.0846814,0.264312,0.363815,0.739656,-0.321924,0.396248,-0.305752,0.534748,0.588893,0.515333,-0.115448,-0.0388549,0.320177,-0.628069,0.843659,0.558098,0.983298,-0.230713,0.0327767,-0.0678607,-0.23025,-0.128012,-0.431987,0.360369,0.495277,-0.991456,0.421966,0.562135,0.284851,-0.0778315,-0.42732,-0.0249104,0.342599,0.464982,-0.362985,0.465615,-1.18295,-0.131846,-0.543584,0.264848,-0.301796,-0.790753,-0.0124481,0.149304,-0.801886,-0.449834,0.00696266,0.124776,-1.2106,-0.0502108,-0.071752,-0.504918,0.0413907,0.446834,0.127433,0.343535,0.205031,0.881717,0.88977,0.183369,-0.457897,-0.0688074,-1.10923,0.662432,-1.78518e-06,-0.125052,-1.729,0.187299,0.287542,-0.133571,0.11689,-0.487036,0.0134273,0.216952,0.12263,-0.0449947,0.219381,-1.32546,-1.30654,0.0846814,0.264312,0.363815,0.739656,-0.321924,0.396248,-0.305752,0.534748,0.588893,0.515333,-0.115448,-0.0388549,0.320177,-0.628069,0.843659,-0.78386,-411.111
-422.265,0.970107,0.191946,4,31,0,466.561,0.354419,-0.736277,0.109783,0.406353,0.551774,0.238712,0.610965,-1.00705,-0.0951433,-0.210815,-0.116442,-0.238005,0.697941,0.0730226,0.692032,0.0474726,-0.379877,-0.473359,-0.608561,-0.644959,0.790847,-0.527332,0.398346,-0.598932,0.468087,0.171345,-0.461007,-0.032896,0.381626,0.20556,0.375658,-0.163368,0.115661,-0.289656,0.281108,0.0359673,-0.82177,0.716667,0.609989,0.331175,-0.614923,-0.171765,-0.130545,0.117397,-0.00314379,0.172152,-0.172272,0.341953,0.485663,0.714682,0.595659,0.108586,-0.0328792,-0.0350911,-0.242845,0.106534,0.470799,0.457718,-0.321229,-0.0226787,0.870867,-0.623953,0.850242,-0.448698,0.127344,0.262522,-0.0636758,-0.361678,0.274916,0.0939786,0.804372,-0.0580102,-1.03399,-0.357568,-0.054193,-0.642531,-0.141191,-0.396093,0.354419,-0.736277,0.109783,0.406353,0.551774,0.238712,0.610965,-1.00705,-0.0951433,-0.210815,-0.116442,-0.238005,0.697941,0.0730226,0.692032,0.0474726,-0.379877,-0.473359,-0.608561,0.0830555,-0.644959,0.790847,-0.527332,0.398346,-0.598932,0.468087,0.171345,-0.461007,-0.032896,0.381626,0.20556,0.375658,-0.163368,0.115661,-0.289656,0.281108,0.0359673,-0.82177,0.716667,-0.400951,-414.223
-421.518,0.567026,0.191946,5,31,0,467.131,0.218896,-0.267772,0.690253,0.281277,0.130908,-0.690883,-0.0897898,-0.465581,0.246412,0.364077,-0.00549943,-1.09123,0.0701248,0.204396,-0.218817,-0.122089,0.559495,-0.115556,0.356033,-0.37667,0.147371,-1.6812,-0.677083,0.324688,0.165032,0.321746,0.309946,-0.185168,-0.176717,0.438523,0.205769,0.800015,0.324903,-0.131976,0.753466,-0.212879,-0.184229,0.879248,0.271777,1.20305,0.0853942,-0.374813,-0.196628,-0.568266,0.440605,-0.855815,0.103095,0.414132,-1.16342,-0.0600447,0.617672,0.945956,0.600446,1.07879,-0.20669,0.375305,0.619794,0.125477,0.83875,-0.168999,-0.438857,-0.629357,-0.619919,-0.419923,-1.5414,0.23102,0.0344991,-0.846731,-0.274231,-0.212498,-0.0566109,-1.70346,0.0837124,-0.0798419,-0.827664,-0.621724,0.148902,0.12954,0.218896,-0.267772,0.690253,0.281277,0.130908,-0.690883,-0.0897898,-0.465581,0.246412,0.364077,-0.00549943,-1.09123,0.0701248,0.204396,-0.218817,-0.122089,0.559495,-0.115556,0.356033,-0.0546581,-0.37667,0.147371,-1.6812,-0.677083,0.324688,0.165032,0.321746,0.309946,-0.185168,-0.176717,0.438523,0.205769,0.800015,0.324903,-0.131976,0.753466,-0.212879,-0.184229,0.879248,-1.04479,-408.186
