# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/2_oy11wm.json
# init = 2 (Default)
# random
#   seed = 46305
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5swbb4wdr/poisson_5-20250829005621_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.169617
# Diagonal elements of inverse mass matrix:
# 0.0559702, 0.0957492, 0.0498548, 0.0495001, 0.0676277, 0.0934601, 0.0623566, 0.126908, 0.0729005, 0.0496481, 0.0906012, 0.122902, 0.0507463, 0.0626379, 0.0582267, 0.0808806, 0.0681257, 0.0849267, 0.113492, 0.15573, 0.0714471, 0.171735, 0.110214, 0.111174, 0.0758509, 0.0738731, 0.110012, 0.142684, 0.081088, 0.0978992, 0.0832048, 0.0982313, 0.064065, 0.0755291, 0.0657871, 0.104445, 0.101847, 0.0582744, 0.0524214, 0.0441605, 0.112168, 0.105903, 0.107548, 0.0964801, 0.0743702, 0.122061, 0.0563921, 0.0823952, 0.107194, 0.0606257, 0.0606762, 0.0672293, 0.0723159, 0.0789031, 0.0893317, 0.067092, 0.0490229, 0.0741838, 0.0605009, 0.116289, 0.0772512, 0.142995, 0.0654058, 0.114448, 0.113736, 0.0640595, 0.0763745, 0.19778, 0.0812371, 0.0834394, 0.0694995, 0.185934, 0.0924352, 0.117382, 0.119144, 0.108349, 0.0849411, 0.0912529
-543.539,0.922901,0.169617,5,31,0,581.391,0.125486,-0.428734,0.591385,0.153347,0.446184,0.170593,0.44479,-1.0331,-0.216681,0.16612,-0.10069,-0.630444,0.0119549,0.30612,0.505386,-0.129661,0.0357857,0.256935,-0.527886,-0.0827844,0.17444,-0.606592,-0.135778,-0.455394,-0.303743,0.169739,-0.120805,-0.0752329,-0.0584415,-0.298046,0.243058,-0.163157,0.428839,-0.038922,0.670115,0.239446,0.317831,0.481446,0.51186,0.907278,-0.523822,0.1128,-0.433811,-0.291986,-0.336795,-0.0798397,0.389083,0.102766,-0.698081,0.43826,0.0139757,1.12932,0.452962,0.627862,0.252253,0.192944,0.659871,0.221755,0.702102,-0.0268548,0.07388,0.708598,0.321109,-0.182525,-0.727529,0.596901,0.10083,-0.91757,-0.297184,0.306846,0.0286334,-1.52851,-0.275236,-0.476585,-0.341351,-0.269507,0.273145,0.0209233,0.125486,-0.428734,0.591385,0.153347,0.446184,0.170593,0.44479,-1.0331,-0.216681,0.16612,-0.10069,-0.630444,0.0119549,0.30612,0.505386,-0.129661,0.0357857,0.256935,-0.527886,-0.146892,-0.0827844,0.17444,-0.606592,-0.135778,-0.455394,-0.303743,0.169739,-0.120805,-0.0752329,-0.0584415,-0.298046,0.243058,-0.163157,0.428839,-0.038922,0.670115,0.239446,0.317831,0.481446,-0.386019,-535.407
-553.397,0.969713,0.169617,5,31,0,585.988,0.259099,-0.315043,0.212581,-0.179782,0.797518,-0.339947,0.167459,-0.658672,-0.0816789,0.0612626,-0.382593,-0.16679,-0.210541,0.509471,0.760589,0.230518,-0.397745,-0.176148,0.0034853,-1.17085,0.143971,-0.856287,0.0906158,-0.66858,0.410407,0.284887,0.066216,-0.608153,0.281689,0.477072,0.40189,-0.173193,0.531379,0.285493,0.477366,-0.0240441,-0.497908,0.77423,0.362013,0.51232,-0.587519,0.466439,-0.286719,0.0997971,0.0301048,-0.792204,0.0217606,0.332805,0.154882,0.674131,0.712026,0.694165,0.250147,-0.381061,-0.420107,0.342454,1.11502,0.858801,0.128814,0.0816407,-0.0124601,-0.946568,0.128445,-0.538293,0.0518339,0.144833,0.408624,-0.376633,-0.390379,-0.000595227,-0.10386,-0.385918,-0.30249,-0.19245,-0.0275053,-0.614583,0.45755,-0.308148,0.259099,-0.315043,0.212581,-0.179782,0.797518,-0.339947,0.167459,-0.658672,-0.0816789,0.0612626,-0.382593,-0.16679,-0.210541,0.509471,0.760589,0.230518,-0.397745,-0.176148,0.0034853,-0.0930433,-1.17085,0.143971,-0.856287,0.0906158,-0.66858,0.410407,0.284887,0.066216,-0.608153,0.281689,0.477072,0.40189,-0.173193,0.531379,0.285493,0.477366,-0.0240441,-0.497908,0.77423,-0.226202,-545.233
-559.723,0.990117,0.169617,5,31,0,590.597,-0.0916062,-0.343877,0.758598,0.742165,0.0163948,0.142485,0.559004,-1.77729,0.147817,0.521674,0.216361,-1.23071,0.863569,-0.268707,0.0867735,-0.306673,0.647461,-0.482592,-0.476424,0.157521,0.415129,-1.04725,-0.286103,0.345401,0.0660987,0.248313,-0.125179,-0.0375891,-0.208191,-0.407435,0.0384234,0.360623,0.180246,-0.356902,0.620198,-0.0242887,0.20617,0.687338,0.609814,0.923405,-0.550054,-0.349801,-0.224026,-0.26272,0.359629,0.482227,0.0472176,-0.357714,-0.689793,0.113326,0.297063,0.526041,0.155891,0.920349,0.217813,0.0517339,0.267294,-0.404485,0.61055,-0.198041,0.0835445,0.280609,0.480837,-0.0867088,-1.02534,0.653877,-0.0250377,-1.41796,0.100177,-0.366007,-0.20082,-1.72976,-0.0965003,-0.393321,-0.554006,-0.0938593,-0.283117,-0.302858,-0.0916062,-0.343877,0.758598,0.742165,0.0163948,0.142485,0.559004,-1.77729,0.147817,0.521674,0.216361,-1.23071,0.863569,-0.268707,0.0867735,-0.306673,0.647461,-0.482592,-0.476424,0.275569,0.157521,0.415129,-1.04725,-0.286103,0.345401,0.0660987,0.248313,-0.125179,-0.0375891,-0.208191,-0.407435,0.0384234,0.360623,0.180246,-0.356902,0.620198,-0.0242887,0.20617,0.687338,-0.832522,-547.872
-561.745,0.989122,0.169617,5,31,0,596.182,-0.180775,0.117702,0.557763,0.445115,0.160114,0.288854,0.6256,-1.96965,0.232624,0.655399,0.0809809,-1.57515,0.731963,-0.142252,0.151611,-0.0944098,0.623999,-0.826055,-0.287833,-0.294891,0.254086,-0.727316,0.0692951,0.307365,0.0264143,0.602355,-0.594639,-0.0837948,-0.112314,-0.139308,0.370315,0.293001,0.168365,-0.353535,0.412501,0.133665,-0.470328,0.32886,0.556894,0.904251,-0.935469,-0.141375,-0.336929,-0.555073,0.65298,-0.0512865,-0.0244389,-0.376237,-0.508447,0.112657,0.254347,0.609018,-0.197909,0.347248,0.265704,0.0514081,0.544735,-0.257004,0.854977,-0.321292,-0.0624388,-0.0194327,0.677747,-0.37232,-0.959804,0.220412,0.447162,-0.997821,0.429615,-0.0736164,-0.0957168,-1.4509,0.147879,0.00238014,-0.335554,-0.241156,-0.69992,-0.0623454,-0.180775,0.117702,0.557763,0.445115,0.160114,0.288854,0.6256,-1.96965,0.232624,0.655399,0.0809809,-1.57515,0.731963,-0.142252,0.151611,-0.0944098,0.623999,-0.826055,-0.287833,0.404398,-0.294891,0.254086,-0.727316,0.0692951,0.307365,0.0264143,0.602355,-0.594639,-0.0837948,-0.112314,-0.139308,0.370315,0.293001,0.168365,-0.353535,0.412501,0.133665,-0.470328,0.32886,-0.190096,-550.25
-549.817,1,0.169617,5,31,0,594.148,0.262432,-0.412418,0.595347,0.107964,0.316979,-0.29968,0.192253,-0.239977,0.0383278,-0.236669,-0.332707,-0.143144,0.125823,0.482595,0.639713,-0.527848,-0.56691,0.450435,-0.542756,-0.345644,0.565894,-1.09717,-0.432868,-0.498859,0.416557,-0.543942,-0.00157809,-0.509912,-0.0105109,-0.170351,-0.0269957,0.151085,0.547227,0.28398,0.355873,0.0108953,0.415536,1.03769,0.694784,0.799292,-0.35313,0.101299,0.051843,0.298335,-0.276188,0.0680431,0.262435,0.284734,-0.370879,0.803949,0.323046,0.827516,0.574622,0.12443,-0.11221,0.344614,0.875657,0.707445,-0.00885873,0.0264167,0.221408,-0.598514,-0.232438,-0.242291,-0.223694,0.513991,-0.126967,-0.734305,-0.444414,-0.0876372,0.254191,-0.535891,-0.568529,-0.429309,-0.421142,-0.489011,0.416221,0.151974,0.262432,-0.412418,0.595347,0.107964,0.316979,-0.29968,0.192253,-0.239977,0.0383278,-0.236669,-0.332707,-0.143144,0.125823,0.482595,0.639713,-0.527848,-0.56691,0.450435,-0.542756,0.0902408,-0.345644,0.565894,-1.09717,-0.432868,-0.498859,0.416557,-0.543942,-0.00157809,-0.509912,-0.0105109,-0.170351,-0.0269957,0.151085,0.547227,0.28398,0.355873,0.0108953,0.415536,1.03769,-0.146903,-542.109
-548.449,0.882055,0.169617,5,31,0,587.802,0.290006,-0.502445,0.349456,0.203396,0.518032,-0.260482,0.389484,-0.964512,0.225876,0.655834,-0.0194745,-0.702518,0.522262,0.176314,0.124107,0.0140437,-0.293067,-0.170131,-0.740285,-0.540935,0.437754,-1.21727,0.315465,-0.109256,0.397966,0.349896,0.0145595,-0.306541,0.473128,-0.0164183,0.27434,-0.440819,0.31571,-0.0727289,-0.0782541,0.419372,-0.154099,0.511801,0.449769,0.832454,-0.0245567,0.139216,-0.602603,-1.09028,-0.0732239,-0.380166,0.365951,0.30101,-0.150284,0.589592,0.360858,0.217513,0.421915,0.605383,-0.828292,0.462419,0.600059,0.470556,0.607903,0.0204041,-0.0321499,-0.617225,0.392697,0.0973957,-0.896821,0.104507,0.322287,-1.34812,-0.181438,0.0568916,-0.331656,-0.907386,0.120554,-0.19516,0.0857591,-0.219276,0.303734,-0.423369,0.290006,-0.502445,0.349456,0.203396,0.518032,-0.260482,0.389484,-0.964512,0.225876,0.655834,-0.0194745,-0.702518,0.522262,0.176314,0.124107,0.0140437,-0.293067,-0.170131,-0.740285,0.184102,-0.540935,0.437754,-1.21727,0.315465,-0.109256,0.397966,0.349896,0.0145595,-0.306541,0.473128,-0.0164183,0.27434,-0.440819,0.31571,-0.0727289,-0.0782541,0.419372,-0.154099,0.511801,-0.573672,-539.543
