# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/ucvyx9fz.json
# init = 2 (Default)
# random
#   seed = 27498
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5d29oupb3/poisson_5-20250829005613_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.212015
# Diagonal elements of inverse mass matrix:
# 0.0359534, 0.0480869, 0.0301625, 0.0361583, 0.0281422, 0.0370357, 0.0417209, 0.0647592, 0.0348405, 0.032421, 0.0349187, 0.0418377, 0.0238449, 0.0344149, 0.0293465, 0.0455728, 0.0372682, 0.0333581, 0.0425379, 0.0536942, 0.0361856, 0.0604476, 0.0598181, 0.0674745, 0.0426839, 0.0345841, 0.0542416, 0.0709442, 0.0465514, 0.0570059, 0.0429035, 0.0622372, 0.0323315, 0.0548937, 0.0340832, 0.040215, 0.0441531, 0.0275685, 0.0384845, 0.0221781, 0.050236, 0.0399876, 0.0524142, 0.0602384, 0.0355182, 0.0677159, 0.0475228, 0.0295287, 0.0603961, 0.0384085, 0.0199491, 0.0249942, 0.0390044, 0.0297959, 0.0468495, 0.0396461, 0.025976, 0.0362674, 0.0342148, 0.0387615, 0.0418664, 0.0696299, 0.0281887, 0.0567567, 0.0589608, 0.0523433, 0.0426053, 0.0464511, 0.0411564, 0.0634716, 0.0349373, 0.0728916, 0.0566243, 0.0600714, 0.0512594, 0.0527899, 0.0429291, 0.0543481
-1067.33,0.96768,0.212015,4,15,0,1100.28,0.0919683,-0.235156,0.436123,0.226053,0.152847,-0.0155556,0.233216,-0.2223,0.0159558,0.0571207,-0.121247,-0.272743,0.198741,-0.184084,0.646219,-0.386982,-0.359721,-0.201297,-0.0459795,-0.317921,0.592558,-0.153835,0.0294265,-0.334122,0.213339,-0.102611,-0.289354,-0.372536,0.165982,-0.183696,0.0625528,-0.580635,0.452397,-0.437993,0.353368,-0.159763,0.274303,0.766789,-0.208901,0.694486,0.0649002,0.402439,0.270004,-0.360246,0.30127,-0.203554,0.206845,0.512125,-0.313888,0.285602,0.927542,0.484584,0.665836,0.440967,0.155841,0.266248,0.818578,0.607151,0.263959,0.468494,0.0159809,-0.501579,0.506675,-0.494231,0.184162,0.15427,-0.304236,-0.0977238,0.00231202,0.0892265,0.0785282,-0.501188,-0.118445,-0.126868,-0.261262,-0.287684,0.223029,-0.0445491,0.0919683,-0.235156,0.436123,0.226053,0.152847,-0.0155556,0.233216,-0.2223,0.0159558,0.0571207,-0.121247,-0.272743,0.198741,-0.184084,0.646219,-0.386982,-0.359721,-0.201297,-0.0459795,-0.0131793,-0.317921,0.592558,-0.153835,0.0294265,-0.334122,0.213339,-0.102611,-0.289354,-0.372536,0.165982,-0.183696,0.0625528,-0.580635,0.452397,-0.437993,0.353368,-0.159763,0.274303,0.766789,0.0217515,-1062.39
-1072.15,0.98845,0.212015,5,31,0,1107,-0.0701773,-0.480694,0.248952,0.0477637,0.422106,-0.224928,-0.379279,-1.30692,0.153221,0.223351,0.291333,0.128025,0.35167,0.256772,-0.240025,-0.187797,0.511083,0.427259,-0.2739,0.0622038,0.126278,-0.197606,-0.809575,-0.430341,-0.0844539,0.426529,0.111568,-0.655587,0.083928,-0.236129,0.300455,0.293801,0.169718,0.35505,0.144217,0.178823,-0.112673,0.468301,0.594014,0.886068,-0.0331999,0.00831955,-0.136687,0.00651093,0.138153,-0.291754,-0.0741406,0.397721,-0.419593,0.432104,0.496578,0.659597,-0.330339,0.131291,0.0840646,0.0263324,0.603385,0.150877,0.430216,-0.109166,0.126324,-0.705704,0.143122,-0.097116,-0.174851,-0.138204,0.355591,-0.00479792,0.286589,-0.427539,0.546642,-0.229154,-0.0845749,-0.392565,-0.0692719,-0.153723,-0.0693673,-0.265767,-0.0701773,-0.480694,0.248952,0.0477637,0.422106,-0.224928,-0.379279,-1.30692,0.153221,0.223351,0.291333,0.128025,0.35167,0.256772,-0.240025,-0.187797,0.511083,0.427259,-0.2739,0.10218,0.0622038,0.126278,-0.197606,-0.809575,-0.430341,-0.0844539,0.426529,0.111568,-0.655587,0.083928,-0.236129,0.300455,0.293801,0.169718,0.35505,0.144217,0.178823,-0.112673,0.468301,-0.194505,-1066.98
-1070.91,0.921405,0.212015,4,15,0,1115.16,-0.174677,-0.371282,0.285138,0.0686888,0.554206,0.283706,-0.235117,-1.2691,0.0389843,0.147524,0.522929,-0.0569849,0.192146,0.0205982,-0.275376,-0.230382,0.293905,0.269528,-0.31293,-0.325197,0.379438,-0.166638,-0.894711,-0.154896,-0.257059,0.414215,0.109365,-0.464435,0.0156086,-0.0979786,0.111746,-0.0845306,0.494801,0.323629,0.193688,0.209559,-0.241392,0.654514,0.307603,0.826846,-0.244194,-0.102034,0.0221577,0.0321462,-0.0199445,-0.302598,0.224362,0.13644,-0.426611,0.423033,0.572309,0.569375,-0.0710641,0.242476,0.151965,0.225795,0.544608,0.506319,0.669838,-0.161839,0.169294,-0.687136,0.111098,-0.215176,-0.236199,-0.0318578,0.0364519,0.0884052,0.0489529,-0.725699,0.459389,-0.174082,0.170977,0.000824963,-0.10384,-0.0732249,0.0112265,-0.344386,-0.174677,-0.371282,0.285138,0.0686888,0.554206,0.283706,-0.235117,-1.2691,0.0389843,0.147524,0.522929,-0.0569849,0.192146,0.0205982,-0.275376,-0.230382,0.293905,0.269528,-0.31293,0.248496,-0.325197,0.379438,-0.166638,-0.894711,-0.154896,-0.257059,0.414215,0.109365,-0.464435,0.0156086,-0.0979786,0.111746,-0.0845306,0.494801,0.323629,0.193688,0.209559,-0.241392,0.654514,-0.219725,-1065.76
-1063.63,0.928661,0.212015,4,15,0,1104.91,0.10571,-0.378549,0.225074,0.06804,0.234216,-0.18131,-0.0634249,-0.540572,0.134132,-0.146379,-0.333962,-0.274105,0.611596,-0.174811,0.393836,0.0238157,-0.127482,0.235396,0.0292109,0.483452,0.359806,0.0926875,-0.372407,-0.478129,-0.464057,-0.0134104,-0.00141631,-0.365215,0.225345,-0.299411,0.367898,-0.0767243,0.108089,0.0264571,0.182554,-0.21349,0.176773,0.516323,0.0543534,0.67956,0.39116,0.11902,0.193045,-0.243559,0.340045,-0.171364,-0.0183022,0.511928,-0.0170309,0.344034,0.732836,0.722945,0.366293,0.31898,0.373399,0.475723,0.887546,0.248933,0.313121,0.169045,-0.102048,-0.493806,0.417287,0.137344,0.167871,0.264713,0.00592407,0.157914,0.160621,-0.264133,0.163023,-0.38478,-0.0866304,-0.24972,0.218541,-0.688206,0.205519,0.0635302,0.10571,-0.378549,0.225074,0.06804,0.234216,-0.18131,-0.0634249,-0.540572,0.134132,-0.146379,-0.333962,-0.274105,0.611596,-0.174811,0.393836,0.0238157,-0.127482,0.235396,0.0292109,0.159567,0.483452,0.359806,0.0926875,-0.372407,-0.478129,-0.464057,-0.0134104,-0.00141631,-0.365215,0.225345,-0.299411,0.367898,-0.0767243,0.108089,0.0264571,0.182554,-0.21349,0.176773,0.516323,-0.255123,-1059.34
-1058.72,0.919295,0.212015,4,15,0,1098.04,0.200223,-0.712465,0.364835,-0.0180634,0.300172,0.0772008,0.149373,-0.723794,0.112098,0.312278,-0.0473052,-0.240421,0.258318,-0.0500228,0.216486,-0.386087,0.364344,0.0925953,-0.440584,-0.0286239,0.47685,-0.352821,-0.273817,-0.163771,0.0651292,0.204669,-0.171259,-0.0462686,0.133413,-0.609552,0.0932588,-0.195047,0.192954,-0.252295,0.286501,-0.170176,0.216383,0.552774,0.43745,0.816704,0.0375882,0.236129,0.390101,0.154838,0.36754,-0.349858,-0.0599094,0.474892,0.0927212,0.41865,0.695819,0.513324,0.22488,0.578608,0.0201261,0.199061,0.66935,-0.229956,0.534828,-0.000147846,-0.072206,-0.368469,0.235543,-0.0296619,0.16764,-0.0886598,0.333817,0.314971,0.455843,-0.229547,0.178621,-0.152548,-0.203397,-0.0457188,-0.110383,-0.199641,-0.318154,-0.154632,0.200223,-0.712465,0.364835,-0.0180634,0.300172,0.0772008,0.149373,-0.723794,0.112098,0.312278,-0.0473052,-0.240421,0.258318,-0.0500228,0.216486,-0.386087,0.364344,0.0925953,-0.440584,0.170822,-0.0286239,0.47685,-0.352821,-0.273817,-0.163771,0.0651292,0.204669,-0.171259,-0.0462686,0.133413,-0.609552,0.0932588,-0.195047,0.192954,-0.252295,0.286501,-0.170176,0.216383,0.552774,0.0416971,-1054.55
-1066.14,0.981168,0.212015,4,15,0,1093.16,-0.0881639,-0.40995,0.155452,0.168028,0.222707,-0.276254,-0.0324246,-0.568825,-0.113837,0.00421148,0.233288,-0.0551263,0.285773,-0.0211255,0.243817,0.00771566,-0.148091,-0.0821771,0.220516,-0.245898,0.045503,0.0683631,-0.543034,-0.371705,0.243452,-0.0558718,-0.160054,-0.480376,0.040345,0.324056,-0.054084,-0.205337,0.429174,0.109431,0.129411,0.30689,-0.199667,0.757532,0.100863,0.69395,0.0320474,0.39018,-0.263706,-0.364536,0.359328,-0.430289,0.187791,0.201245,-0.475921,0.25442,0.483633,0.791381,0.012039,0.254934,0.347854,0.161394,0.913172,0.813716,0.404415,0.263989,0.166199,-0.390528,0.666301,-0.423388,-0.0893661,0.324907,-0.111694,-0.404153,-0.0415121,0.00100994,0.444989,-0.485534,-0.0808577,-0.0276614,-0.13426,-0.305614,0.640069,-0.183055,-0.0881639,-0.40995,0.155452,0.168028,0.222707,-0.276254,-0.0324246,-0.568825,-0.113837,0.00421148,0.233288,-0.0551263,0.285773,-0.0211255,0.243817,0.00771566,-0.148091,-0.0821771,0.220516,0.254467,-0.245898,0.045503,0.0683631,-0.543034,-0.371705,0.243452,-0.0558718,-0.160054,-0.480376,0.040345,0.324056,-0.054084,-0.205337,0.429174,0.109431,0.129411,0.30689,-0.199667,0.757532,-0.138132,-1061.5
