# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/epf6mw8x.json
# init = 2 (Default)
# random
#   seed = 56745
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5it9qwc71/poisson_5-20250829005616_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.180123
# Diagonal elements of inverse mass matrix:
# 0.268496, 0.36636, 0.188594, 0.26385, 0.163256, 0.283254, 0.434888, 0.261335, 0.24415, 0.379775, 0.423443, 0.401571, 0.341439, 0.253749, 0.363433, 0.272237, 0.252937, 0.310438, 0.419341, 0.372874, 0.243215, 0.478349, 0.484266, 0.291453, 0.22107, 0.354444, 0.296665, 0.208569, 0.351027, 0.365815, 0.430367, 0.351654, 0.341506, 0.537624, 0.345444, 0.322733, 0.325958, 0.26496, 0.365127, 0.316789, 0.357898, 0.298539, 0.426563, 0.241235, 0.15858, 0.442426, 0.347184, 0.305155, 0.348225, 0.348718, 0.211191, 0.346586, 0.28455, 0.297247, 0.584233, 0.314936, 0.225885, 0.29608, 0.414052, 0.499955, 0.306513, 0.361175, 0.351169, 0.326209, 0.364306, 0.301444, 0.315337, 0.333826, 0.267188, 0.28796, 0.26972, 0.487025, 0.353546, 0.524265, 0.307323, 0.509594, 0.23948, 0.233494
-170.301,0.885123,0.180123,5,31,0,201.143,0.658695,-0.0107221,-0.0112476,-0.16745,-0.0118561,-0.697876,0.951805,-1.09942,0.251483,0.738134,-1.1079,-1.23204,-0.072829,0.148125,1.18978,0.620325,0.238943,-0.827075,-0.452943,-0.740107,0.372591,-0.565645,-0.279047,0.337153,0.380577,1.08993,0.181344,0.7666,-0.635177,0.366086,-0.0998442,-1.44008,-0.105155,-0.0823268,0.824972,0.043343,0.275297,-0.00333058,-0.408124,-0.46742,0.5496,0.360816,-0.124866,0.515849,0.369624,-0.562049,1.52194,0.666497,-0.832914,-0.51057,1.57377,0.485316,-0.200126,-0.324565,-0.182866,-0.161457,0.73455,-1.0119,-0.944471,0.370074,1.30516,-0.228338,0.398211,0.134314,-0.326271,0.663088,-0.184677,-0.0601473,-0.209609,-0.150085,-0.189579,0.882988,0.0078877,-1.79094,-0.519287,0.101371,-0.591212,0.608388,0.658695,-0.0107221,-0.0112476,-0.16745,-0.0118561,-0.697876,0.951805,-1.09942,0.251483,0.738134,-1.1079,-1.23204,-0.072829,0.148125,1.18978,0.620325,0.238943,-0.827075,-0.452943,0.89408,-0.740107,0.372591,-0.565645,-0.279047,0.337153,0.380577,1.08993,0.181344,0.7666,-0.635177,0.366086,-0.0998442,-1.44008,-0.105155,-0.0823268,0.824972,0.043343,0.275297,-0.00333058,-0.687172,-153.24
-171.181,0.959627,0.180123,5,47,0,208.596,0.180479,-0.0411538,1.1875,0.814123,0.513948,-1.03127,0.18743,-1.56296,0.179892,-0.607544,0.741464,0.435968,-0.977784,-0.0573228,0.259773,-0.111256,0.596425,-0.304351,-0.492651,-0.0133355,0.469005,0.329951,-2.10026,0.455948,1.07344,-0.978356,-0.578968,-0.714143,-0.244993,-0.544946,-0.12184,1.84068,0.212234,0.375202,0.370151,0.0366006,0.485394,0.197634,0.467154,1.73921,-0.550436,-0.790171,-0.00896784,-0.926556,0.570064,-0.51537,0.43445,-0.24797,-0.0674695,0.0875496,0.525419,1.73095,0.754965,0.318896,-1.05099,0.240123,0.553054,0.628817,0.222889,0.140832,0.860511,-0.695402,0.669304,0.112879,-1.46875,-0.0588232,0.269443,-0.168239,0.0367673,1.02528,-0.49902,-2.00699,-0.237326,-0.164133,0.0132836,-0.546029,0.105617,0.761195,0.180479,-0.0411538,1.1875,0.814123,0.513948,-1.03127,0.18743,-1.56296,0.179892,-0.607544,0.741464,0.435968,-0.977784,-0.0573228,0.259773,-0.111256,0.596425,-0.304351,-0.492651,0.0892875,-0.0133355,0.469005,0.329951,-2.10026,0.455948,1.07344,-0.978356,-0.578968,-0.714143,-0.244993,-0.544946,-0.12184,1.84068,0.212234,0.375202,0.370151,0.0366006,0.485394,0.197634,-0.549401,-149.655
-170.671,0.969518,0.180123,5,31,0,215.349,0.820399,-0.899366,0.0977482,0.527468,-0.396922,-0.39242,0.357279,0.226821,-0.927523,0.102323,1.07451,-0.694394,0.161999,0.546876,0.181668,-0.121874,0.328813,-0.249499,-0.622373,0.0530292,0.412134,-1.52841,-0.55297,-0.73933,1.30783,-1.65182,0.407301,-0.232821,-0.0155398,0.725129,0.570857,-0.159072,-0.897568,-0.366263,0.332398,0.576426,0.450187,1.03876,0.761782,1.21422,-1.44798,0.525046,0.566694,0.887701,0.817252,-0.321797,-0.23434,-0.0914875,-0.934825,-0.364166,0.693963,-0.871912,0.164401,-0.0689594,-0.484123,0.181812,0.918354,0.24336,-0.540408,-0.0816537,0.646683,0.22283,0.630003,-1.73215,-0.108793,-0.406513,0.561046,-1.41721,0.0216673,-0.462379,-0.162756,0.178288,-0.465436,-1.29338,0.238459,0.556498,0.295815,-0.300948,0.820399,-0.899366,0.0977482,0.527468,-0.396922,-0.39242,0.357279,0.226821,-0.927523,0.102323,1.07451,-0.694394,0.161999,0.546876,0.181668,-0.121874,0.328813,-0.249499,-0.622373,-0.121531,0.0530292,0.412134,-1.52841,-0.55297,-0.73933,1.30783,-1.65182,0.407301,-0.232821,-0.0155398,0.725129,0.570857,-0.159072,-0.897568,-0.366263,0.332398,0.576426,0.450187,1.03876,0.269737,-152.445
-165.576,0.921433,0.180123,5,63,0,207.885,0.893919,0.389071,0.544163,-0.0209141,0.653645,-0.881593,-0.273118,-1.27179,-0.234387,1.06021,-0.692989,-0.50922,-0.195587,-0.464636,0.831344,-0.907347,0.560243,0.0586604,-0.641715,0.303604,0.279763,0.425755,-1.8427,0.417975,0.130776,0.787312,-0.223059,0.258756,0.910397,0.180782,-0.371376,1.2889,-0.36306,0.289318,0.172597,-0.507239,0.109596,-0.0125619,-0.313706,-0.0522107,0.602688,-1.47787,0.06284,-0.28286,0.283609,0.0456431,1.7063,0.436798,-0.217348,0.130289,0.787559,1.344,-0.22223,-0.0514404,-0.143061,-0.424943,0.727181,-0.121034,0.136716,-1.54955,0.114444,-0.848621,1.31238,0.435567,-0.749569,1.02117,-0.698039,0.688869,0.193172,0.68832,-0.18559,-1.64014,0.216016,-1.20228,0.709286,-0.775245,0.480388,0.730781,0.893919,0.389071,0.544163,-0.0209141,0.653645,-0.881593,-0.273118,-1.27179,-0.234387,1.06021,-0.692989,-0.50922,-0.195587,-0.464636,0.831344,-0.907347,0.560243,0.0586604,-0.641715,1.10204,0.303604,0.279763,0.425755,-1.8427,0.417975,0.130776,0.787312,-0.223059,0.258756,0.910397,0.180782,-0.371376,1.2889,-0.36306,0.289318,0.172597,-0.507239,0.109596,-0.0125619,-2.23554,-145.654
-165.996,0.998736,0.180123,5,31,0,201.675,1.32307,-0.69453,0.948964,-1.17367,0.457054,-0.710444,0.0703714,-0.517334,-0.501368,0.297489,0.653678,-0.895059,-0.650828,-0.900372,0.534635,0.0217739,0.825249,0.433646,0.194682,0.847422,0.543003,0.0915039,-1.36242,-0.165923,1.22899,-0.891802,-0.539197,0.346909,0.935957,0.492627,-1.07604,0.774456,-0.233644,-0.14584,0.324498,0.492737,-0.124602,0.496096,0.33822,-0.822445,-2.05049,-0.202181,0.450532,-0.316352,0.58938,0.262468,0.133663,1.37134,0.251467,-0.777454,0.347064,0.862671,-0.364084,-0.308099,0.00455295,0.674022,1.86793,0.327985,-0.109139,-0.906696,0.0378543,-0.189792,1.22171,-0.867358,0.092388,-0.367387,0.0718947,-0.120709,-0.368558,-0.165223,0.19816,-1.40271,-0.173691,-2.06899,0.272611,0.733833,0.472197,0.666366,1.32307,-0.69453,0.948964,-1.17367,0.457054,-0.710444,0.0703714,-0.517334,-0.501368,0.297489,0.653678,-0.895059,-0.650828,-0.900372,0.534635,0.0217739,0.825249,0.433646,0.194682,0.282992,0.847422,0.543003,0.0915039,-1.36242,-0.165923,1.22899,-0.891802,-0.539197,0.346909,0.935957,0.492627,-1.07604,0.774456,-0.233644,-0.14584,0.324498,0.492737,-0.124602,0.496096,-2.03473,-144.405
-167.902,0.930128,0.180123,5,31,0,212.049,0.115125,-0.538162,1.24837,1.29618,-0.0570947,-1.5129,0.814604,0.152614,0.382963,-2.19049,0.171939,-0.102048,-0.126666,0.941863,-0.273178,0.270694,0.584489,-0.430314,-1.05648,-0.258608,0.203645,-0.927602,-0.31835,0.323718,0.329946,-0.168747,0.889423,0.472145,-0.300456,0.201063,0.327752,-0.420786,-0.347236,-0.0973029,2.21154,0.377446,0.334061,0.0830606,1.49472,1.04428,0.851875,0.144313,-0.145886,0.0934587,0.417517,0.00132148,0.380241,0.149456,-0.593127,-0.332675,1.19199,-0.717244,-0.129948,0.374301,-1.56373,-0.317055,-0.611671,0.780752,-1.0763,0.227259,0.894916,0.133727,-0.412865,0.144347,-1.62521,-0.556226,0.753811,-0.941365,0.691567,0.0786396,-0.708704,-1.84997,-0.0610383,-1.17989,0.287189,-0.503838,-0.640773,0.770279,0.115125,-0.538162,1.24837,1.29618,-0.0570947,-1.5129,0.814604,0.152614,0.382963,-2.19049,0.171939,-0.102048,-0.126666,0.941863,-0.273178,0.270694,0.584489,-0.430314,-1.05648,0.308483,-0.258608,0.203645,-0.927602,-0.31835,0.323718,0.329946,-0.168747,0.889423,0.472145,-0.300456,0.201063,0.327752,-0.420786,-0.347236,-0.0973029,2.21154,0.377446,0.334061,0.0830606,-2.91471,-144.642
