# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/ic_10r01.json
# init = 2 (Default)
# random
#   seed = 88175
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_52tl15ga6/poisson_5-20250829005627_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.209166
# Diagonal elements of inverse mass matrix:
# 0.160256, 0.18479, 0.112029, 0.124995, 0.131264, 0.217501, 0.138867, 0.151879, 0.174126, 0.198392, 0.174667, 0.17451, 0.178224, 0.188265, 0.122878, 0.213185, 0.199724, 0.148886, 0.124011, 0.237732, 0.33904, 0.189919, 0.246389, 0.128568, 0.268695, 0.135905, 0.176372, 0.102634, 0.140145, 0.218209, 0.14062, 0.223758, 0.235147, 0.326339, 0.135572, 0.132448, 0.175988, 0.117398, 0.242396, 0.0998933, 0.165447, 0.194681, 0.168898, 0.416511, 0.1338, 0.215197, 0.133487, 0.139625, 0.167559, 0.155471, 0.170615, 0.120598, 0.189087, 0.111653, 0.209236, 0.224469, 0.18353, 0.0991577, 0.230856, 0.116566, 0.318578, 0.175604, 0.272485, 0.130771, 0.303596, 0.151749, 0.332937, 0.266216, 0.294497, 0.135421, 0.129259, 0.284397, 0.245092, 0.160775, 0.248475, 0.111023, 0.127093, 0.167539
-298.134,0.737927,0.209166,4,15,0,333.307,-0.399441,0.299675,0.956563,0.993418,0.737273,0.108397,0.225216,0.305448,-0.202693,-0.0134444,-1.06857,0.6338,-0.386354,-0.304369,0.234786,-0.396052,-1.32666,-0.0611483,0.610773,-0.183182,-0.00293102,-0.789212,0.0770968,0.807031,0.134592,0.135141,0.178615,1.52571,0.595884,-1.42506,0.91981,-0.378268,-0.433958,-0.465996,0.381648,1.16157,-0.777009,0.272232,-0.664313,0.34889,0.576616,-0.399694,-0.0158836,-0.367509,-0.10326,-0.471289,0.224938,0.439733,0.823171,-0.0438705,0.155542,-0.870681,-1.27633,0.722415,0.0063634,-1.16198,-0.805613,0.0810233,-0.752944,0.144105,-1.08362,0.0963492,-0.407662,0.324982,-0.263665,-0.605228,-0.352916,-0.980542,-0.912332,0.344584,-0.26374,-0.992795,-0.334274,0.755983,-0.0382667,0.0685672,-0.211358,0.307142,-0.399441,0.299675,0.956563,0.993418,0.737273,0.108397,0.225216,0.305448,-0.202693,-0.0134444,-1.06857,0.6338,-0.386354,-0.304369,0.234786,-0.396052,-1.32666,-0.0611483,0.610773,-0.946616,-0.183182,-0.00293102,-0.789212,0.0770968,0.807031,0.134592,0.135141,0.178615,1.52571,0.595884,-1.42506,0.91981,-0.378268,-0.433958,-0.465996,0.381648,1.16157,-0.777009,0.272232,-1.7337,-282.947
-283.57,0.964827,0.209166,4,15,0,335.284,-0.304599,0.203004,0.834839,0.0402768,0.0851305,-0.696263,0.229609,-0.713585,0.543632,-0.266248,-0.421617,-0.442866,0.401564,0.280853,0.807554,-0.151636,-0.776986,-0.105612,-0.403268,0.353976,-0.910624,-0.184031,-0.00354399,0.285913,0.170766,0.661723,-0.647505,1.16548,-0.368122,-0.79116,0.333487,-0.0685808,-0.0815742,-1.00444,-0.0735435,1.09776,0.62042,0.958528,-0.852159,0.304291,-0.0457844,0.0583361,-0.519724,-1.47509,0.0652557,0.316681,0.664784,-0.0339067,0.631098,0.761792,0.746513,-0.111765,-0.300604,-0.172596,-1.15555,0.236674,0.325131,0.281786,0.241128,-0.163934,-1.19138,1.25157,-1.03204,-0.371729,0.236694,0.35748,-0.382637,-0.377853,-1.2004,0.842638,0.121295,-0.721741,0.127963,0.268757,-0.329636,-0.175431,0.16286,-0.305596,-0.304599,0.203004,0.834839,0.0402768,0.0851305,-0.696263,0.229609,-0.713585,0.543632,-0.266248,-0.421617,-0.442866,0.401564,0.280853,0.807554,-0.151636,-0.776986,-0.105612,-0.403268,0.856218,0.353976,-0.910624,-0.184031,-0.00354399,0.285913,0.170766,0.661723,-0.647505,1.16548,-0.368122,-0.79116,0.333487,-0.0685808,-0.0815742,-1.00444,-0.0735435,1.09776,0.62042,0.958528,-1.51493,-270.127
-279.444,1,0.209166,4,15,0,312.142,0.222445,0.297172,0.531539,0.430978,0.140264,-0.551965,-0.400446,-0.577424,0.61413,-0.392513,-0.214272,-0.321456,0.401274,0.22753,0.596354,-0.0140057,-0.335657,0.21452,-0.238797,0.354919,-1.22432,-0.58377,-0.528445,0.20174,-0.141065,0.43543,-0.503484,1.14344,-0.353217,-0.825177,0.505278,-0.13429,-0.0454668,-0.816108,-0.00500102,0.895359,0.314857,1.18537,-0.867684,0.456229,-0.135944,-0.240816,-0.390166,-2.23474,-0.132094,0.263364,0.651997,-0.14943,0.520076,0.789721,0.419105,0.0240655,-0.337227,-0.148839,-1.09438,0.171072,0.27357,0.576597,0.322714,0.0984413,-1.02652,1.23273,-1.00208,-0.322041,0.341063,0.149933,-0.164924,-0.164768,-1.18675,0.455394,0.235736,-0.67518,-0.0347145,0.101891,-0.996198,-0.0400633,0.187602,-0.426397,0.222445,0.297172,0.531539,0.430978,0.140264,-0.551965,-0.400446,-0.577424,0.61413,-0.392513,-0.214272,-0.321456,0.401274,0.22753,0.596354,-0.0140057,-0.335657,0.21452,-0.238797,-0.629669,0.354919,-1.22432,-0.58377,-0.528445,0.20174,-0.141065,0.43543,-0.503484,1.14344,-0.353217,-0.825177,0.505278,-0.13429,-0.0454668,-0.816108,-0.00500102,0.895359,0.314857,1.18537,0.123957,-265.496
-281.318,0.592104,0.209166,4,31,0,322.772,0.377678,-0.306923,0.215458,0.73225,0.339051,-0.772662,-0.419906,-0.0331362,0.515399,-0.609567,-0.138477,-0.09445,0.342049,0.449505,0.11904,-0.316725,-0.753793,-0.0262484,-0.241968,0.06183,-0.840405,-0.756915,-0.38657,0.51458,-0.190647,0.926889,-0.194518,0.954589,-0.513196,-0.778689,0.858268,-0.163964,-0.163512,-1.42546,0.795061,0.733879,0.135207,1.1252,-0.789173,0.325074,0.0799191,-0.518171,0.402464,-1.74431,0.0798243,0.947698,0.7727,-0.0421752,0.239835,0.252508,0.0351138,0.483158,-0.364315,-0.537514,-1.01696,0.271588,-0.57702,0.551982,0.141116,0.300075,-1.29175,0.483429,-0.629138,-0.542287,0.222784,-0.245548,-0.608837,0.0921125,-0.788091,0.408753,0.0521164,-0.525091,0.00996528,0.233718,-0.312064,0.377882,0.153768,0.147484,0.377678,-0.306923,0.215458,0.73225,0.339051,-0.772662,-0.419906,-0.0331362,0.515399,-0.609567,-0.138477,-0.09445,0.342049,0.449505,0.11904,-0.316725,-0.753793,-0.0262484,-0.241968,0.623426,0.06183,-0.840405,-0.756915,-0.38657,0.51458,-0.190647,0.926889,-0.194518,0.954589,-0.513196,-0.778689,0.858268,-0.163964,-0.163512,-1.42546,0.795061,0.733879,0.135207,1.1252,-0.691622,-268.34
-287.295,0.976876,0.209166,4,15,0,318.079,-0.119165,-0.099332,0.753613,0.122534,-0.0839794,-1.08709,-0.33359,-0.0148137,-0.652949,-0.554486,-0.331388,1.04439,-0.142502,-0.410521,1.1173,0.0457854,0.207918,0.395846,0.602567,-0.273106,-1.16368,0.389578,-0.789676,0.532482,0.0250045,0.623999,0.287066,0.991598,0.411998,-0.808452,0.155777,-0.0762012,-0.379992,-1.70351,-0.417199,0.899642,0.211162,0.82989,-0.277063,0.3241,-0.362666,0.723053,0.329017,-1.06962,0.761264,0.021516,0.473221,0.08198,0.21608,0.321729,-0.276534,0.0314638,0.17729,0.547959,0.243448,-1.10655,0.462111,0.380456,-0.599928,-0.546576,-1.93237,0.605298,-0.339264,0.314498,-0.67297,-0.412101,-0.504462,-1.45208,-0.628624,0.0760414,0.218245,-1.0267,-1.1735,0.129507,-0.430755,0.14039,0.132288,-1.0288,-0.119165,-0.099332,0.753613,0.122534,-0.0839794,-1.08709,-0.33359,-0.0148137,-0.652949,-0.554486,-0.331388,1.04439,-0.142502,-0.410521,1.1173,0.0457854,0.207918,0.395846,0.602567,-0.46013,-0.273106,-1.16368,0.389578,-0.789676,0.532482,0.0250045,0.623999,0.287066,0.991598,0.411998,-0.808452,0.155777,-0.0762012,-0.379992,-1.70351,-0.417199,0.899642,0.211162,0.82989,0.253618,-270.974
-294.146,0.749217,0.209166,4,15,0,333.009,0.0168088,-0.217883,-0.690923,0.51059,0.962937,0.261392,0.665784,0.0890437,0.217135,0.0492898,0.263544,-0.787976,-0.329064,-0.121021,0.147859,-0.0909842,-0.711469,0.094473,-0.659071,-0.21891,0.572534,-0.401257,0.68506,0.34383,-0.755438,0.985501,-0.282877,1.00673,0.019138,-0.355398,0.187649,0.22661,-0.18899,-0.323847,-0.593989,0.101929,-0.528375,0.685373,-1.33254,-0.146453,0.851918,-1.22167,0.482459,-0.931743,0.202928,0.532813,-0.010443,0.667662,0.485,-0.183596,0.19682,0.796257,-0.191553,0.293193,-0.586392,0.395387,-0.709548,0.241335,-0.195381,0.517589,-0.308635,0.199973,-1.40705,0.120333,-1.0917,-0.871938,-1.01113,-1.48637,-0.746353,0.448092,0.3778,-0.311829,0.386458,-0.425793,-0.609977,0.741921,0.411048,-0.0695924,0.0168088,-0.217883,-0.690923,0.51059,0.962937,0.261392,0.665784,0.0890437,0.217135,0.0492898,0.263544,-0.787976,-0.329064,-0.121021,0.147859,-0.0909842,-0.711469,0.094473,-0.659071,0.329536,-0.21891,0.572534,-0.401257,0.68506,0.34383,-0.755438,0.985501,-0.282877,1.00673,0.019138,-0.355398,0.187649,0.22661,-0.18899,-0.323847,-0.593989,0.101929,-0.528375,0.685373,-1.16527,-280.467
