# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/9p3q8hc6.json
# init = 2 (Default)
# random
#   seed = 67417
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_580vd9sfg/poisson_5-20250829005629_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.166562
# Diagonal elements of inverse mass matrix:
# 0.114389, 0.0717426, 0.0600898, 0.0698104, 0.0818041, 0.0906445, 0.103319, 0.0823063, 0.0781859, 0.138855, 0.120864, 0.0907435, 0.0849863, 0.0882896, 0.0752593, 0.133286, 0.142809, 0.0824135, 0.101669, 0.148575, 0.257972, 0.180175, 0.158647, 0.086523, 0.179302, 0.100054, 0.150712, 0.0856235, 0.0939097, 0.153054, 0.0689015, 0.144633, 0.181896, 0.150227, 0.10711, 0.0781986, 0.131415, 0.0915835, 0.156587, 0.0621636, 0.0765194, 0.109668, 0.102006, 0.156113, 0.0711849, 0.104758, 0.0942859, 0.0815961, 0.069426, 0.0836064, 0.127155, 0.0738265, 0.108931, 0.102825, 0.0997418, 0.121764, 0.109801, 0.0653298, 0.136105, 0.0902967, 0.155978, 0.078978, 0.135024, 0.117049, 0.293393, 0.108485, 0.175332, 0.141428, 0.253939, 0.0979256, 0.0890535, 0.213078, 0.136588, 0.115059, 0.122594, 0.0748802, 0.0802073, 0.203747
-408.575,0.992923,0.166562,5,31,0,442.343,-0.568956,0.276817,0.476363,-0.00143325,0.0884387,0.157926,-0.32571,0.596721,-0.256208,-0.0611128,0.0156054,0.167255,0.288957,-0.0994992,-0.0628207,-0.189316,-0.86884,0.270797,-0.152126,0.412723,-0.19807,-0.308293,-0.311722,0.127274,-0.399333,0.112157,0.507666,0.574823,-0.165381,-0.0189232,0.0113639,-0.294697,-0.508622,0.162863,-0.335213,0.833335,-0.145657,0.293753,0.151678,0.422213,0.410467,0.350847,0.393129,0.0161366,-0.0488406,0.23261,0.422352,0.223667,0.722535,-0.318254,0.389057,0.675373,0.350544,0.149336,0.106953,0.186587,0.703504,1.0283,-0.427505,0.282321,-0.474334,0.193602,-0.0106326,0.137331,-0.0670002,0.0145095,-0.473078,-1.12294,-0.687387,0.241672,0.435533,-0.413854,0.047064,0.0244696,-0.461969,0.795961,0.185131,0.437407,-0.568956,0.276817,0.476363,-0.00143325,0.0884387,0.157926,-0.32571,0.596721,-0.256208,-0.0611128,0.0156054,0.167255,0.288957,-0.0994992,-0.0628207,-0.189316,-0.86884,0.270797,-0.152126,0.247141,0.412723,-0.19807,-0.308293,-0.311722,0.127274,-0.399333,0.112157,0.507666,0.574823,-0.165381,-0.0189232,0.0113639,-0.294697,-0.508622,0.162863,-0.335213,0.833335,-0.145657,0.293753,-0.350045,-402.273
-410.739,0.948128,0.166562,5,31,0,447.894,-0.0795966,-0.187724,0.631802,0.174302,-0.028571,0.222028,0.142103,-0.0537111,0.190352,-0.69874,-0.333229,0.28867,-0.169618,-0.118535,0.791859,-0.664216,-0.12779,-0.418562,0.159848,-0.146413,-0.479192,-0.397409,0.134919,0.519026,-0.242691,0.209218,-0.186205,0.33207,0.0857356,-0.415712,0.863989,-0.327314,-0.465004,-1.0028,0.474731,0.75989,0.188214,0.641039,-1.12498,0.821656,-0.0255808,-0.365524,0.483332,-0.67107,0.24485,0.318074,0.843102,0.238484,0.214466,0.554187,-0.574007,0.251515,-0.22878,0.439513,-0.0731579,-0.226214,0.185749,0.468391,-0.610467,-0.172198,-0.337417,-0.0172792,-0.585856,-0.304329,-1.3057,-0.0575209,0.454921,-0.613257,-0.670102,0.632976,0.30871,-0.626506,-0.445141,-0.295237,-0.395406,0.731353,0.0859646,0.0485464,-0.0795966,-0.187724,0.631802,0.174302,-0.028571,0.222028,0.142103,-0.0537111,0.190352,-0.69874,-0.333229,0.28867,-0.169618,-0.118535,0.791859,-0.664216,-0.12779,-0.418562,0.159848,0.279328,-0.146413,-0.479192,-0.397409,0.134919,0.519026,-0.242691,0.209218,-0.186205,0.33207,0.0857356,-0.415712,0.863989,-0.327314,-0.465004,-1.0028,0.474731,0.75989,0.188214,0.641039,-0.546091,-401.941
-416.557,0.938011,0.166562,5,31,0,450.339,-0.635299,0.479845,0.422543,0.39222,0.544126,-0.307327,-0.414936,0.355274,-0.50829,-0.262493,0.0805205,-0.213833,-0.0779187,0.138691,-0.324666,0.0376776,-0.599463,0.473613,-0.148349,0.0907959,-0.37284,-0.262526,-0.619908,0.251033,-0.6527,-0.00672059,-0.0475895,0.717163,0.430763,-0.00899298,0.216748,0.00639298,-0.282621,0.216816,-0.178923,0.578131,-0.152482,0.5607,-0.339467,0.254937,0.764768,0.546755,-0.0304405,0.255563,0.628582,0.301841,-0.523018,0.521955,0.369767,0.052413,0.991771,0.779921,-0.0535063,0.189029,-0.248938,-0.204219,0.55609,0.725762,-0.0648175,0.205048,-0.916899,0.257874,0.512486,0.558365,-0.372134,0.107723,-0.993917,-0.685549,-0.882204,0.0247589,0.267944,-0.980193,0.227327,0.512876,-0.032523,0.118113,0.293256,-0.230513,-0.635299,0.479845,0.422543,0.39222,0.544126,-0.307327,-0.414936,0.355274,-0.50829,-0.262493,0.0805205,-0.213833,-0.0779187,0.138691,-0.324666,0.0376776,-0.599463,0.473613,-0.148349,0.568063,0.0907959,-0.37284,-0.262526,-0.619908,0.251033,-0.6527,-0.00672059,-0.0475895,0.717163,0.430763,-0.00899298,0.216748,0.00639298,-0.282621,0.216816,-0.178923,0.578131,-0.152482,0.5607,-0.483239,-408.692
-413.335,0.939991,0.166562,5,31,0,449.207,-0.213507,-0.0685441,0.665229,0.271902,-0.706742,0.0134234,-0.330752,-0.18534,0.756939,-0.318664,-0.11866,0.247836,0.119007,0.00176318,0.571064,-0.865467,-0.0838891,-0.211641,0.276964,-0.119601,-0.400774,-0.601754,0.182593,0.595536,-0.00985659,0.484074,-0.0753349,0.415036,0.132852,-0.208176,0.86912,-0.162067,-0.646422,-0.723393,0.135997,0.928768,0.476512,0.552379,-0.579447,0.785096,-0.374602,-0.488215,0.398579,-0.747709,-0.19547,-0.085996,0.793414,0.181221,0.449258,0.909364,-0.250336,0.0264782,-0.249674,0.556224,0.118967,0.124896,-0.0861288,0.677654,-0.628334,0.0842585,-0.248908,0.291951,-0.710558,0.0543582,-1.1674,-0.165984,0.332063,-0.743307,-0.701308,0.56808,0.158158,-0.469498,-0.467958,0.0685372,-0.566889,0.63305,0.0635355,-0.133252,-0.213507,-0.0685441,0.665229,0.271902,-0.706742,0.0134234,-0.330752,-0.18534,0.756939,-0.318664,-0.11866,0.247836,0.119007,0.00176318,0.571064,-0.865467,-0.0838891,-0.211641,0.276964,0.179079,-0.119601,-0.400774,-0.601754,0.182593,0.595536,-0.00985659,0.484074,-0.0753349,0.415036,0.132852,-0.208176,0.86912,-0.162067,-0.646422,-0.723393,0.135997,0.928768,0.476512,0.552379,-1.82549,-404.551
-407.208,0.956473,0.166562,5,31,0,453.1,-0.681873,0.501545,0.13981,0.0731864,0.465329,-0.372194,-0.401157,0.354158,-0.117663,-0.39047,0.132805,0.270025,0.272108,-0.0559752,0.120419,0.130145,-0.802363,0.397911,-0.0350382,0.185762,-0.554893,0.263899,-0.528871,0.377314,-0.622606,-0.0903889,0.0642069,0.672328,0.422163,0.0466975,-0.0611035,-0.283506,-0.143843,0.106443,0.180365,0.40851,-0.180861,0.3207,-0.276888,0.239116,0.501926,0.389473,0.111976,0.0963895,0.679496,0.169153,0.0657823,0.54989,0.555822,0.151703,1.04189,0.0609621,-0.0146062,-0.207298,-0.285507,-0.368198,0.205595,0.815991,-0.340154,0.0910449,-0.763486,0.114034,0.251427,0.382448,-0.719612,0.15606,-0.598087,-0.530465,-0.813984,-0.0735267,0.374186,-0.64573,-0.289515,0.0253168,0.132601,0.384608,0.32667,0.0169163,-0.681873,0.501545,0.13981,0.0731864,0.465329,-0.372194,-0.401157,0.354158,-0.117663,-0.39047,0.132805,0.270025,0.272108,-0.0559752,0.120419,0.130145,-0.802363,0.397911,-0.0350382,-0.00070776,0.185762,-0.554893,0.263899,-0.528871,0.377314,-0.622606,-0.0903889,0.0642069,0.672328,0.422163,0.0466975,-0.0611035,-0.283506,-0.143843,0.106443,0.180365,0.40851,-0.180861,0.3207,-0.582318,-401.054
-421.14,0.959044,0.166562,5,31,0,450.306,-0.1853,-0.027508,0.941467,0.569158,-0.0969441,-0.0996247,0.0634204,0.0126669,0.569922,0.360392,-0.799912,-0.236355,-0.466119,0.039552,0.395195,-1.25883,0.168545,-0.108046,0.3189,-0.378456,-1.20652,-0.674196,0.184567,0.747512,-0.0484927,0.0011139,0.0232157,0.410653,0.192335,-0.648749,1.09997,0.330808,-0.356477,-0.407089,-0.0178308,0.594536,0.235233,0.50198,-1.0025,0.622883,0.203877,-0.111306,0.499972,-0.253322,0.076725,0.598005,0.523005,0.425694,0.239137,0.632759,-0.378477,0.674997,-0.0790757,0.793344,0.200832,0.163293,0.512381,0.632585,-0.263542,0.128478,-0.913121,-0.00278899,-0.650825,0.124002,-0.998461,-0.539779,-0.82241,-0.670398,-0.783575,0.23474,-0.0960307,-0.558878,0.186767,0.337821,-0.345259,0.553286,0.317524,-0.594764,-0.1853,-0.027508,0.941467,0.569158,-0.0969441,-0.0996247,0.0634204,0.0126669,0.569922,0.360392,-0.799912,-0.236355,-0.466119,0.039552,0.395195,-1.25883,0.168545,-0.108046,0.3189,-0.160579,-0.378456,-1.20652,-0.674196,0.184567,0.747512,-0.0484927,0.0011139,0.0232157,0.410653,0.192335,-0.648749,1.09997,0.330808,-0.356477,-0.407089,-0.0178308,0.594536,0.235233,0.50198,-0.584114,-410.708
