# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/f41c484v.json
# init = 2 (Default)
# random
#   seed = 53538
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_5e0tyhonm/poisson_5-20250829005631_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.2047
# Diagonal elements of inverse mass matrix:
# 0.0717673, 0.0707809, 0.0550088, 0.0626642, 0.0987248, 0.0697632, 0.0742359, 0.0758874, 0.0639526, 0.092144, 0.0762939, 0.063721, 0.0613001, 0.0531705, 0.0651111, 0.102631, 0.122721, 0.0610593, 0.0730534, 0.117351, 0.11392, 0.168505, 0.119142, 0.0595335, 0.127274, 0.0914942, 0.0833018, 0.0715553, 0.0698229, 0.0935647, 0.0647221, 0.0975535, 0.131013, 0.112006, 0.0913885, 0.0654324, 0.121253, 0.0687461, 0.114097, 0.0642068, 0.0686912, 0.106252, 0.0642477, 0.10512, 0.0763049, 0.0633307, 0.0661499, 0.0692053, 0.0606702, 0.0818549, 0.076782, 0.0710028, 0.086638, 0.0859067, 0.0585141, 0.0977081, 0.05974, 0.0556641, 0.103908, 0.0810363, 0.103737, 0.0760244, 0.104034, 0.0842682, 0.164147, 0.119837, 0.154308, 0.118973, 0.137794, 0.0835903, 0.073392, 0.116289, 0.096318, 0.0868942, 0.107875, 0.0461235, 0.0597711, 0.137408
-560.159,0.912218,0.2047,4,15,0,595.533,-0.835537,-0.0646162,0.463458,0.440136,0.489515,-0.318559,-0.584908,-0.102404,-0.00563946,0.297149,0.200419,0.100701,0.0714065,0.00709501,0.208382,-0.179903,-0.577955,-0.155882,0.287344,-0.120863,-0.0295771,-0.143898,-0.337241,0.274971,-0.087811,0.341749,0.025792,-0.0862213,-0.0313654,0.0794242,0.276008,0.467871,-1.1721,0.143656,0.283904,0.173215,0.301398,0.365843,0.0859417,0.530186,-0.124676,-0.227056,0.315945,-0.877879,-0.0893168,0.108286,0.76638,0.857209,0.653821,0.203341,-0.128254,-0.000955015,-0.167976,0.342921,-0.00608593,0.0258455,-0.0735223,0.35736,-0.361309,0.221113,-0.857837,0.60391,-0.196652,0.341992,-0.043405,-0.515522,-0.140453,0.00570365,-1.12284,-0.0529184,-0.0274889,-0.0286331,-0.669904,-0.344882,0.396629,1.26017,-0.101124,-0.703806,-0.835537,-0.0646162,0.463458,0.440136,0.489515,-0.318559,-0.584908,-0.102404,-0.00563946,0.297149,0.200419,0.100701,0.0714065,0.00709501,0.208382,-0.179903,-0.577955,-0.155882,0.287344,0.259797,-0.120863,-0.0295771,-0.143898,-0.337241,0.274971,-0.087811,0.341749,0.025792,-0.0862213,-0.0313654,0.0794242,0.276008,0.467871,-1.1721,0.143656,0.283904,0.173215,0.301398,0.365843,-0.724756,-553.161
-539.205,0.98398,0.2047,4,15,0,593.859,-0.236065,0.146883,0.614762,0.544322,-0.153691,0.322608,0.0804016,-0.369634,0.277357,-0.0422886,-0.414407,-0.0668463,0.275355,0.0186932,0.0133498,-0.6355,-0.604793,0.136695,-0.0722713,0.539663,0.268786,-0.252659,0.153758,0.118601,-0.0849591,-0.195142,0.202096,0.0716863,-0.793097,0.131473,0.192062,0.124897,-0.192018,0.172268,0.0519245,0.23668,0.195154,0.0774744,-0.423131,0.146115,-0.226557,0.067662,0.450137,-0.176786,0.30169,0.37505,0.472489,0.588948,0.482415,0.501237,0.182907,0.574625,0.16602,0.135409,0.422385,0.217847,0.765164,0.653896,-0.19895,0.161275,-0.190397,0.538253,0.533112,0.332809,-0.386712,0.0405127,-0.372417,-0.623041,-0.642933,-0.100418,0.250786,-0.573807,0.359198,-0.197008,-0.581309,0.161644,0.044643,0.12963,-0.236065,0.146883,0.614762,0.544322,-0.153691,0.322608,0.0804016,-0.369634,0.277357,-0.0422886,-0.414407,-0.0668463,0.275355,0.0186932,0.0133498,-0.6355,-0.604793,0.136695,-0.0722713,0.16507,0.539663,0.268786,-0.252659,0.153758,0.118601,-0.0849591,-0.195142,0.202096,0.0716863,-0.793097,0.131473,0.192062,0.124897,-0.192018,0.172268,0.0519245,0.23668,0.195154,0.0774744,-1.01865,-534.292
-540.061,0.965563,0.2047,4,15,0,574.604,-0.0315112,0.0435225,0.288997,-0.27283,0.0457449,-0.261538,-0.622794,0.463865,0.0448321,-0.395657,0.599491,0.255558,-0.00299599,0.377216,0.380561,-0.59546,-0.457962,0.128661,0.193802,-0.482276,-0.14068,-0.597643,-0.0947003,0.417126,-0.0596,0.28481,0.00968565,0.433831,0.686768,-0.12089,0.455611,-0.398874,-0.543596,-0.715008,0.362587,0.679113,0.0826481,0.813684,-0.234137,0.778193,0.564022,-0.000203583,0.301097,-0.0660763,-0.183927,-0.104541,0.223679,0.179768,0.152025,0.255363,0.184887,0.0706548,-0.190818,0.0670561,0.327005,-0.184466,-0.0241778,0.406501,-0.245444,0.127064,-0.355334,-0.109389,-0.552015,-0.250827,-1.00756,-0.0323941,-0.811275,-0.335706,-0.868845,0.382733,-0.123756,-0.440113,-0.755725,0.423124,0.0791477,0.662608,0.355294,-0.860725,-0.0315112,0.0435225,0.288997,-0.27283,0.0457449,-0.261538,-0.622794,0.463865,0.0448321,-0.395657,0.599491,0.255558,-0.00299599,0.377216,0.380561,-0.59546,-0.457962,0.128661,0.193802,-0.181503,-0.482276,-0.14068,-0.597643,-0.0947003,0.417126,-0.0596,0.28481,0.00968565,0.433831,0.686768,-0.12089,0.455611,-0.398874,-0.543596,-0.715008,0.362587,0.679113,0.0826481,0.813684,-1.0726,-533.297
-537.933,0.992167,0.2047,5,31,0,568.384,-0.106121,0.0158931,0.367039,0.633014,0.208218,0.0408475,0.165381,-0.0394389,0.0343468,-0.119828,-0.429307,-0.129195,0.122198,-0.000523025,-0.0157117,-0.389556,-0.401409,0.00331747,-0.0855413,0.209885,0.132853,0.0769198,0.0175798,0.273053,-0.18735,0.0409241,0.421984,-0.0887984,-0.481516,-0.353226,0.237422,-0.0274023,-0.391673,0.063968,0.153656,0.31866,0.318098,0.0382534,-0.256813,0.150468,0.00673191,0.113043,0.464765,0.0162974,0.622301,0.234596,0.438138,0.372663,0.427242,0.549753,0.263614,0.806027,-0.142551,0.0611913,0.22862,0.243784,0.638205,0.487039,-0.124492,-0.212974,0.000359528,0.935486,0.31128,0.462639,-0.272137,-0.0284543,-0.210136,-0.760412,-0.541267,-0.109628,0.0639003,-0.446091,0.20799,-0.213875,-0.438108,0.222245,0.253052,0.217119,-0.106121,0.0158931,0.367039,0.633014,0.208218,0.0408475,0.165381,-0.0394389,0.0343468,-0.119828,-0.429307,-0.129195,0.122198,-0.000523025,-0.0157117,-0.389556,-0.401409,0.00331747,-0.0855413,0.126377,0.209885,0.132853,0.0769198,0.0175798,0.273053,-0.18735,0.0409241,0.421984,-0.0887984,-0.481516,-0.353226,0.237422,-0.0274023,-0.391673,0.063968,0.153656,0.31866,0.318098,0.0382534,-0.77329,-533.78
-541.493,0.878797,0.2047,4,15,0,582.022,-0.18675,0.328149,0.239989,0.566056,0.071894,-0.046786,0.137758,-0.0767429,-0.169382,-0.0568105,-0.38911,-0.0985929,0.0640157,-0.00771933,0.0913605,-0.437149,-0.281612,0.287825,-0.205482,0.221578,-0.12168,-0.1655,0.264662,0.236968,-0.146043,0.150345,0.637978,0.0303858,-0.399364,-0.523046,0.0821386,-0.105141,-0.438471,0.0566941,0.025947,0.259594,0.104796,0.232482,-0.27959,0.209178,-0.112141,0.143954,0.503169,0.0695769,0.570026,0.23598,0.371725,0.492504,0.374669,0.596948,0.164487,0.637271,-0.0869256,0.047689,0.128043,0.185493,0.642647,0.507709,-0.315191,-0.272065,0.0799262,0.966805,0.473243,0.547707,-0.437943,0.0636461,-0.157979,-0.699081,-0.82153,-0.285079,-0.124346,-0.465109,0.0935264,-0.163445,-0.479762,0.376117,0.30039,0.385706,-0.18675,0.328149,0.239989,0.566056,0.071894,-0.046786,0.137758,-0.0767429,-0.169382,-0.0568105,-0.38911,-0.0985929,0.0640157,-0.00771933,0.0913605,-0.437149,-0.281612,0.287825,-0.205482,0.16909,0.221578,-0.12168,-0.1655,0.264662,0.236968,-0.146043,0.150345,0.637978,0.0303858,-0.399364,-0.523046,0.0821386,-0.105141,-0.438471,0.0566941,0.025947,0.259594,0.104796,0.232482,-0.404324,-536.783
-535.138,0.851377,0.2047,4,15,0,582.088,-0.00770523,-0.0799544,0.730577,-0.14539,-0.455506,0.527536,-0.0137158,-0.0917845,0.173176,-0.0156357,-0.0381986,0.0475892,0.00649475,0.3569,0.0368799,-0.959427,-0.284774,-0.0136756,0.195084,-0.0310637,-0.0320834,-0.921093,-0.255511,0.497784,-0.067837,0.19337,-0.165837,0.47781,0.332307,-0.367192,0.252764,-0.53025,-0.555435,0.120986,-0.0623482,0.638875,0.0839931,0.236676,-0.561885,0.701658,0.107541,0.136491,0.344636,-0.210959,-0.132283,0.193027,0.308272,0.536835,0.502381,0.50007,0.305651,0.570048,-0.23915,0.471701,0.46062,-0.215555,0.322114,0.555489,-0.543454,0.58502,-0.76648,-0.0158792,-0.272814,-0.10733,-1.05645,-0.350477,-0.925473,-0.49351,-0.682506,-0.0369453,0.0357139,-0.390093,-0.354471,0.510592,-0.377708,0.387656,0.276625,-1.00391,-0.00770523,-0.0799544,0.730577,-0.14539,-0.455506,0.527536,-0.0137158,-0.0917845,0.173176,-0.0156357,-0.0381986,0.0475892,0.00649475,0.3569,0.0368799,-0.959427,-0.284774,-0.0136756,0.195084,0.0315298,-0.0310637,-0.0320834,-0.921093,-0.255511,0.497784,-0.067837,0.19337,-0.165837,0.47781,0.332307,-0.367192,0.252764,-0.53025,-0.555435,0.120986,-0.0623482,0.638875,0.0839931,0.236676,0.154085,-527.911
