# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_5_model
# start_datetime = 2025-08-29 03:56:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/f058biyn.json
# init = 2 (Default)
# random
#   seed = 91829
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_531vzms7k/poisson_5-20250829005623_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_5.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,raw_gamma.1,raw_gamma.2,raw_gamma.3,raw_gamma.4,raw_gamma.5,raw_gamma.6,raw_gamma.7,raw_gamma.8,raw_gamma.9,raw_gamma.10,raw_gamma.11,raw_gamma.12,raw_gamma.13,raw_gamma.14,raw_gamma.15,raw_gamma.16,raw_gamma.17,raw_gamma.18,raw_gamma.19,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,gamma.16,gamma.17,gamma.18,gamma.19,gamma.20,log_lik
# Adaptation terminated
# Step size = 0.16701
# Diagonal elements of inverse mass matrix:
# 0.0364427, 0.0406409, 0.03161, 0.0266464, 0.0363988, 0.0313162, 0.0412675, 0.0345089, 0.0262345, 0.0370157, 0.0284705, 0.034405, 0.0300693, 0.0244742, 0.0393858, 0.0661385, 0.0531221, 0.0299717, 0.0356756, 0.0564011, 0.0614128, 0.0536399, 0.0755688, 0.0411447, 0.0547477, 0.0516641, 0.0495198, 0.0394726, 0.046637, 0.0521718, 0.0328285, 0.0586387, 0.100094, 0.0468186, 0.0443094, 0.0389336, 0.0449448, 0.0289894, 0.0513387, 0.03209, 0.0340807, 0.0659824, 0.0343813, 0.0538422, 0.0370451, 0.0329694, 0.032259, 0.0470442, 0.0348132, 0.0320861, 0.042102, 0.0282849, 0.0414476, 0.0403781, 0.0291075, 0.0421246, 0.0329099, 0.0264507, 0.039783, 0.0415237, 0.0625596, 0.039248, 0.0411187, 0.0476011, 0.0707553, 0.0604682, 0.0646528, 0.046292, 0.0515373, 0.0477505, 0.0384544, 0.0483219, 0.0624064, 0.0694958, 0.0718298, 0.0303417, 0.052841, 0.0455403
-1043.05,0.909228,0.16701,5,31,0,1073.09,0.339473,0.00659117,0.247933,0.0236842,0.312563,0.354706,-0.447938,0.151286,-0.020268,-0.282087,0.46824,0.232002,0.251927,0.283551,-0.433202,-0.477154,-0.563202,0.0845688,-0.368898,-0.41433,0.130102,-0.2851,-0.359242,-0.182896,-0.0905961,0.136187,0.0256204,-0.0659427,0.321387,-0.44327,-0.0402297,0.357054,-0.47292,0.136127,0.350707,0.240423,0.150211,0.117071,0.177884,0.320944,-0.0436667,-0.341258,0.89048,-0.435083,-0.10729,0.0980497,0.604914,0.235449,0.54272,0.404863,0.224834,0.451681,-0.213327,0.459147,0.352664,-0.163802,0.765013,0.46255,0.134481,-0.00624215,-0.494862,0.41981,-0.0730497,0.257728,-0.206737,-0.40901,-0.337201,0.267686,-0.175128,-0.129068,0.264307,-0.203038,-0.705961,-0.56917,-0.429486,0.534222,-0.240638,0.206992,0.339473,0.00659117,0.247933,0.0236842,0.312563,0.354706,-0.447938,0.151286,-0.020268,-0.282087,0.46824,0.232002,0.251927,0.283551,-0.433202,-0.477154,-0.563202,0.0845688,-0.368898,-0.163775,-0.41433,0.130102,-0.2851,-0.359242,-0.182896,-0.0905961,0.136187,0.0256204,-0.0659427,0.321387,-0.44327,-0.0402297,0.357054,-0.47292,0.136127,0.350707,0.240423,0.150211,0.117071,0.389637,-1038.35
-1041.58,0.943295,0.16701,5,31,0,1077.58,-0.0085573,-0.00592346,0.0211547,0.390337,-0.590124,0.179382,0.0161883,-0.0327268,0.0448887,0.227739,0.287608,-0.118352,0.0724515,0.16886,0.152217,-0.466245,-0.283622,0.202554,0.0680665,0.0358187,-0.552288,-0.000679523,-0.28028,0.529467,-0.215269,-0.452103,0.00896872,0.492815,0.321015,0.147364,0.671339,-0.476331,-0.989016,0.00370346,0.0138217,0.183225,0.10075,0.414869,-0.0741546,0.714063,0.425046,-0.0134128,-0.250833,0.121545,0.409919,0.627681,0.310333,0.129149,0.129643,0.187112,0.204143,0.47163,0.590998,0.0313678,0.667663,0.303436,0.248862,0.491676,0.10824,0.305408,-0.174669,0.199234,0.0658224,0.234625,-0.793364,0.0876368,-0.308464,-0.414579,-0.180308,0.17027,-0.222151,0.19011,0.199195,-0.231306,-0.407425,0.364705,0.205191,-0.0976513,-0.0085573,-0.00592346,0.0211547,0.390337,-0.590124,0.179382,0.0161883,-0.0327268,0.0448887,0.227739,0.287608,-0.118352,0.0724515,0.16886,0.152217,-0.466245,-0.283622,0.202554,0.0680665,-0.325896,0.0358187,-0.552288,-0.000679523,-0.28028,0.529467,-0.215269,-0.452103,0.00896872,0.492815,0.321015,0.147364,0.671339,-0.476331,-0.989016,0.00370346,0.0138217,0.183225,0.10075,0.414869,0.0428081,-1037.12
-1037.67,0.991143,0.16701,5,31,0,1075.12,0.158386,0.00497844,0.259462,0.0319146,0.341269,0.0616564,-0.80775,0.10649,0.188497,-0.0861658,0.571605,0.26874,0.228776,0.305255,-0.329884,-0.208327,-0.561236,0.161658,-0.473842,-0.464823,-0.0885325,-0.236447,-0.395108,0.00900579,-0.0861956,-0.166598,0.189,0.0502227,0.584409,-0.141694,0.0781352,0.00216122,-0.671973,0.0912331,0.245202,0.244535,0.187735,0.250388,0.297477,0.255643,0.0209774,-0.305227,0.701468,-0.298895,-0.17648,0.261298,0.682687,0.204599,0.438319,0.561624,0.42751,0.470914,-0.0060246,0.492614,0.550819,-0.218872,0.277671,0.666589,0.291961,-0.0502449,-0.459602,0.59566,0.0160426,0.601541,-0.0592684,-0.267321,-0.279184,0.0436249,-0.0659027,-0.0566102,0.446146,-0.0124903,-0.712733,-0.4258,-0.355117,0.528968,-0.0985651,0.311097,0.158386,0.00497844,0.259462,0.0319146,0.341269,0.0616564,-0.80775,0.10649,0.188497,-0.0861658,0.571605,0.26874,0.228776,0.305255,-0.329884,-0.208327,-0.561236,0.161658,-0.473842,-0.221481,-0.464823,-0.0885325,-0.236447,-0.395108,0.00900579,-0.0861956,-0.166598,0.189,0.0502227,0.584409,-0.141694,0.0781352,0.00216122,-0.671973,0.0912331,0.245202,0.244535,0.187735,0.250388,0.319342,-1032.78
-1036.34,0.991117,0.16701,5,31,0,1073.18,0.168498,-0.0112931,-0.10838,0.25593,-0.617461,0.449365,0.192124,0.0121386,-0.0629022,0.179455,0.144625,-0.137965,0.220415,0.0972764,0.258493,-0.755446,-0.245207,0.151119,0.058079,0.056272,-0.25947,-0.229458,-0.257397,0.408029,-0.168278,-0.41277,-0.171092,0.395548,-0.00352318,0.0907487,0.487432,-0.0482773,-0.700534,0.0567431,0.141435,0.130067,0.0946814,0.278995,-0.190083,0.572025,0.31468,-0.201647,0.00892258,-0.0667832,0.345562,0.498016,0.248325,0.195672,0.247122,0.169969,0.0859511,0.431733,0.47141,-0.112788,0.494838,0.329522,0.743851,0.442177,-0.113701,0.41513,-0.394079,-0.0130347,0.197509,-0.134456,-0.800387,-0.0087681,-0.368694,-0.148765,-0.193931,0.0999418,-0.222764,0.0752007,0.148143,-0.312184,-0.404379,0.335786,0.128138,-0.202738,0.168498,-0.0112931,-0.10838,0.25593,-0.617461,0.449365,0.192124,0.0121386,-0.0629022,0.179455,0.144625,-0.137965,0.220415,0.0972764,0.258493,-0.755446,-0.245207,0.151119,0.058079,-0.248864,0.056272,-0.25947,-0.229458,-0.257397,0.408029,-0.168278,-0.41277,-0.171092,0.395548,-0.00352318,0.0907487,0.487432,-0.0482773,-0.700534,0.0567431,0.141435,0.130067,0.0946814,0.278995,0.110848,-1032.57
-1038,0.96827,0.16701,5,31,0,1073.45,0.235845,0.208018,0.19897,0.186348,0.113245,0.231698,-0.45084,0.0571225,-0.114948,-0.218746,0.496556,-0.0520122,0.025597,0.275878,-0.131899,-0.102608,-0.570847,0.0147228,-0.374319,-0.637269,0.117731,0.057205,-0.269466,0.0569631,0.0386935,-0.43916,0.250268,0.148586,0.449973,-0.36023,0.0201787,-0.014303,-0.522052,0.134122,0.0657064,0.306105,-0.0699771,0.601417,0.311551,0.595421,0.127574,-0.394735,0.321738,-0.28676,0.0773998,0.336215,0.558641,0.273095,0.268251,0.44379,0.488793,0.378916,0.0078521,0.493509,0.396527,-0.32887,0.28913,0.260632,0.45196,0.0737789,-0.121793,0.683828,-0.140026,0.678756,0.112361,-0.136744,-0.244241,-0.18983,-0.230997,0.0532023,0.263362,-0.0946643,-0.624254,-0.317883,-0.737954,0.61473,-0.00357005,0.156522,0.235845,0.208018,0.19897,0.186348,0.113245,0.231698,-0.45084,0.0571225,-0.114948,-0.218746,0.496556,-0.0520122,0.025597,0.275878,-0.131899,-0.102608,-0.570847,0.0147228,-0.374319,-0.0277805,-0.637269,0.117731,0.057205,-0.269466,0.0569631,0.0386935,-0.43916,0.250268,0.148586,0.449973,-0.36023,0.0201787,-0.014303,-0.522052,0.134122,0.0657064,0.306105,-0.0699771,0.601417,0.0655076,-1033.65
-1036.87,0.994706,0.16701,5,31,0,1067.9,0.124382,-0.363147,0.154264,0.145555,-0.5013,0.247008,0.0274505,0.201307,0.305678,-0.00991673,0.192691,-0.0371742,0.236376,0.196981,-0.156271,-0.737607,-0.281414,0.0179738,0.0967568,0.163452,-0.580616,-0.297162,-0.203015,0.226028,-0.325091,-0.153933,-0.353873,0.342935,0.101941,0.258679,0.754395,-0.0928187,-0.809817,0.0634357,0.197586,0.158597,0.33193,0.162584,-0.0744152,0.447739,0.434115,0.00225009,0.368998,-0.0643222,0.195969,0.478092,0.487621,0.138694,0.302259,0.364959,0.0331879,0.621223,0.272765,0.0660944,0.621236,0.300611,0.708798,0.62106,-0.405733,0.310685,-0.907882,0.0204,0.186765,-0.218462,-0.876727,-0.281381,-0.457307,-0.192541,-0.0338633,0.143508,-0.110099,0.177215,0.226177,-0.631277,-0.0480623,0.429581,0.089228,0.0779252,0.124382,-0.363147,0.154264,0.145555,-0.5013,0.247008,0.0274505,0.201307,0.305678,-0.00991673,0.192691,-0.0371742,0.236376,0.196981,-0.156271,-0.737607,-0.281414,0.0179738,0.0967568,0.140407,0.163452,-0.580616,-0.297162,-0.203015,0.226028,-0.325091,-0.153933,-0.353873,0.342935,0.101941,0.258679,0.754395,-0.0928187,-0.809817,0.0634357,0.197586,0.158597,0.33193,0.162584,0.0547637,-1031.9
